Date,Open,High,Low,Close,Ma10:Top:Line,Ma20:Top:Line,Ma50:Top:Line,Ma150:Top:Line,Ma200:Top:Line,Supertrend:Top:ColorLine,Supertrend_Dir,ParabolicSAR:Top:ColorLine,ParabolicSAR_Dir,Volume:Middle:Histogram,Vo50:Middle:Line,Macd:Bottom:Line,MacdSignal:Bottom:Line,MacdDelta:Bottom:Histogram,RsRating:Hidden:Hidden
2023-07-13,34.36,34.81,33.99,34.68,,,,,,,0,33.9900,1,12936,,,,,0
2023-07-14,34.36,35.02,34.03,34.70,,,,,,,0,33.9900,1,11128,,,,,0
2023-07-17,34.84,34.97,33.73,33.84,,,,,,,0,35.0200,0,10768,,,,,0
2023-07-18,34.00,35.63,33.75,35.32,,,,,,,0,33.7300,1,11490,,,,,0
2023-07-19,35.30,35.61,34.14,34.80,,,,,,,0,33.7300,1,8832,,,,,0
2023-07-20,34.75,35.17,34.29,35.12,,,,,,,0,33.7500,1,5823,,,,,0
2023-07-21,35.30,35.35,33.86,34.10,,,,,,,0,33.7877,1,8337,,,,,0
2023-07-24,34.35,34.92,33.91,34.24,,,,,,,0,33.8246,1,6317,,,,,0
2023-07-25,33.74,34.74,33.57,33.98,,,,,,,0,35.6350,0,8376,,,,,0
2023-07-26,33.66,34.75,33.55,34.67,34.54,,,,,37.7980,0,35.5937,0,10699,,,,,0
2023-07-27,35.09,35.88,34.47,34.71,34.55,,,,,37.7980,0,33.5500,1,12954,,,,,0
2023-07-28,35.36,35.74,34.73,35.41,34.62,,,,,37.7980,0,33.5500,1,7117,,,,,0
2023-07-31,35.45,35.74,34.54,34.84,34.72,,,,,37.7980,0,33.5966,1,7769,,,,,0
2023-08-01,34.79,34.94,33.37,33.67,34.55,,,,,37.7980,0,35.8800,0,15542,,,,,0
2023-08-02,33.25,33.78,32.51,33.58,34.43,,,,,36.8973,0,35.8298,0,8398,,,,,0
2023-08-03,33.25,33.72,33.00,33.56,34.28,,,,,36.8973,0,35.6970,0,5896,,,,,0
2023-08-04,33.66,34.23,33.02,33.26,34.19,,,,,36.8973,0,35.5695,0,5591,,,,,0
2023-08-07,33.37,33.89,33.08,33.72,34.14,,,,,36.8973,0,35.4471,0,5092,,,,,0
2023-08-08,33.15,33.62,32.80,32.85,34.03,,,,,36.6186,0,35.3297,0,8659,,,,,0
2023-08-09,32.89,33.31,32.25,32.51,33.81,34.18,,,,36.1657,0,35.2169,0,5813,,,,,0
2023-08-10,32.67,33.34,31.91,32.33,33.57,34.06,,,,36.1011,0,35.0389,0,8975,,,,,0
2023-08-11,31.66,33.13,31.49,32.85,33.32,33.97,,,,35.9305,0,34.7886,0,10584,,,,,0
2023-08-14,32.70,32.99,31.85,32.17,33.05,33.88,,,,35.9305,0,34.4587,0,7145,,,,,0
2023-08-15,31.70,32.12,31.11,31.76,32.86,33.71,,,,35.1734,0,34.1618,0,8153,,,,,0
2023-08-16,31.60,32.17,30.83,30.83,32.58,33.51,,,,35.1086,0,33.7956,0,7035,,,,,0
2023-08-17,30.82,31.29,30.47,30.65,32.29,33.28,,,,34.3705,0,33.3804,0,13443,,,,,0
2023-08-18,30.19,32.99,29.56,32.80,32.25,33.22,,,,34.3705,0,30.4650,1,14586,,,,,0
2023-08-21,32.56,32.56,30.97,30.99,31.97,33.06,,,,34.3705,0,29.5600,1,10964,,,,,0
2023-08-22,31.97,32.63,31.19,32.58,31.95,32.99,,,,34.3705,0,29.5600,1,17290,,,,,0
2023-08-23,32.92,33.06,31.38,32.24,31.92,32.87,,,,34.3705,0,29.6286,1,11352,,,,,0
2023-08-24,31.46,32.07,31.15,31.60,31.85,32.71,,,,34.3705,0,29.7659,1,8393,,,,,0
2023-08-25,31.75,32.07,31.34,31.93,31.76,32.54,,,,34.3705,0,29.8976,1,7714,,,,,0
2023-08-28,32.03,32.50,31.62,31.73,31.71,32.38,,,,34.3705,0,30.0241,1,6229,,,,,0
2023-08-29,31.58,32.23,31.51,31.68,31.70,32.28,,,,34.3705,0,30.1456,1,6564,,-0.8412,-1.0350,0.1938,0
2023-08-30,31.72,32.15,31.46,31.88,31.81,32.20,,,,34.3705,0,30.2621,1,5872,,-0.7880,-0.9856,0.1976,0
2023-08-31,31.88,32.17,31.70,32.09,31.95,32.12,,,,34.3705,0,30.3740,1,8424,,-0.7206,-0.9326,0.2120,0
2023-09-01,31.84,32.23,30.64,31.00,31.77,32.01,,,,34.3705,0,30.4815,1,10087,,-0.7465,-0.8954,0.1489,0
2023-09-05,30.67,32.10,30.36,32.07,31.88,31.93,,,,34.3705,0,33.0600,0,18068,,-0.6730,-0.8509,0.1779,0
2023-09-06,31.91,32.42,31.16,32.40,31.86,31.90,,,,34.3705,0,33.0060,0,14120,,-0.5813,-0.7970,0.2156,0
