Date,Open,High,Low,Close,Ma10:Top:Line,Ma20:Top:Line,Ma50:Top:Line,Ma150:Top:Line,Ma200:Top:Line,Supertrend:Top:ColorLine,Supertrend_Dir,ParabolicSAR:Top:ColorLine,ParabolicSAR_Dir,Volume:Middle:Histogram,Vo50:Middle:Line,Macd:Bottom:Line,MacdSignal:Bottom:Line,MacdDelta:Bottom:Histogram,RsRating:Hidden:Hidden
2023-07-12,4.80,4.80,4.56,4.68,,,,,,,0,4.8000,0,81,,,,,0
2023-07-13,4.62,4.80,4.50,4.62,,,,,,,0,4.8000,0,171,,,,,0
2023-07-14,4.68,4.74,4.50,4.56,,,,,,,0,4.8000,0,98,,,,,0
2023-07-17,4.50,4.68,4.44,4.62,,,,,,,0,4.8000,0,82,,,,,0
2023-07-18,4.50,4.80,4.50,4.80,,,,,,,0,4.4400,1,116,,,,,0
2023-07-19,4.80,4.86,4.62,4.62,,,,,,,0,4.4400,1,105,,,,,0
2023-07-20,4.86,5.10,4.74,5.10,,,,,,,0,4.4568,1,234,,,,,0
2023-07-21,4.92,5.04,4.92,4.98,,,,,,,0,4.4954,1,143,,,,,0
2023-07-24,5.04,5.28,4.92,5.16,,,,,,,0,4.5317,1,187,,,,,0
2023-07-25,5.28,5.28,4.86,4.92,4.81,,,,,5.9700,0,4.5915,1,356,,,,,0
2023-07-26,4.92,5.10,4.92,5.10,4.85,,,,,5.8740,0,4.6466,1,75,,,,,0
2023-07-27,5.16,5.22,4.98,5.04,4.89,,,,,5.8740,0,4.6973,1,60,,,,,0
2023-07-28,5.16,5.16,4.92,5.04,4.94,,,,,5.8740,0,4.7439,1,46,,,,,0
2023-07-31,5.04,5.04,4.86,4.98,4.97,,,,,5.7570,0,4.7868,1,121,,,,,0
2023-08-01,5.10,5.10,4.86,4.92,4.99,,,,,5.7570,0,4.8262,1,98,,,,,0
2023-08-02,4.92,4.98,4.62,4.86,5.01,,,,,5.6265,0,5.2800,0,133,,,,,0
2023-08-03,4.74,4.92,4.74,4.74,4.97,,,,,5.6265,0,5.2668,0,42,,,,,0
2023-08-04,4.80,5.04,4.80,5.04,4.98,,,,,5.6265,0,5.2539,0,80,,,,,0
2023-08-07,5.04,5.16,4.68,4.74,4.94,,,,,5.6265,0,5.2412,0,161,,,,,0
2023-08-08,4.68,5.10,4.62,5.04,4.95,4.88,,,,5.6265,0,5.2288,0,423,,,,,0
2023-08-09,4.74,5.04,4.50,4.86,4.93,4.89,,,,5.6265,0,5.2166,0,410,,,,,0
2023-08-10,4.92,5.04,4.80,4.92,4.91,4.90,,,,5.6265,0,5.1879,0,100,,,,,0
2023-08-11,4.98,4.98,4.80,4.86,4.90,4.92,,,,5.6265,0,5.1604,0,47,,,,,0
2023-08-14,4.80,4.98,4.74,4.80,4.88,4.93,,,,5.6265,0,5.1340,0,111,,,,,0
2023-08-15,4.80,4.98,4.50,4.50,4.84,4.91,,,,5.6265,0,5.1086,0,50,,,,,0
2023-08-16,4.50,4.50,4.02,4.32,4.78,4.90,,,,5.2674,0,5.0843,0,183,,,,,0
2023-08-17,4.20,4.50,4.20,4.38,4.75,4.86,,,,5.2674,0,5.0204,0,44,,,,,0
2023-08-18,4.14,4.44,4.08,4.38,4.68,4.83,,,,5.2650,0,4.9604,0,20,,,,,0
2023-08-21,4.32,4.50,4.26,4.32,4.64,4.79,,,,5.2650,0,4.9040,0,70,,,,,0
2023-08-22,4.26,4.56,4.26,4.38,4.57,4.76,,,,5.2650,0,4.8509,0,160,,,,,0
2023-08-23,4.44,4.80,4.32,4.62,4.55,4.74,,,,5.2650,0,4.8011,0,260,,,,,0
