Date,Open,High,Low,Close,Ma10:Top:Line,Ma20:Top:Line,Ma50:Top:Line,Ma150:Top:Line,Ma200:Top:Line,Supertrend:Top:ColorLine,Supertrend_Dir,ParabolicSAR:Top:ColorLine,ParabolicSAR_Dir,Volume:Middle:Histogram,Vo50:Middle:Line,Macd:Bottom:Line,MacdSignal:Bottom:Line,MacdDelta:Bottom:Histogram,RsRating:Hidden:Hidden
2023-07-13,15.80,16.42,15.64,16.09,,,,,,,0,16.4222,0,30238,,,,,0
2023-07-14,15.77,15.91,14.99,15.24,,,,,,,0,16.4222,0,50562,,,,,0
2023-07-17,15.28,15.34,14.58,14.72,,,,,,,0,16.4222,0,60765,,,,,0
2023-07-18,14.80,15.61,14.72,15.08,,,,,,,0,16.3485,0,40271,,,,,0
2023-07-19,14.40,15.67,14.07,15.58,,,,,,,0,16.2778,0,112598,,,,,0
2023-07-20,15.46,15.63,15.17,15.29,,,,,,,0,16.1455,0,38291,,,,,0
2023-07-21,15.36,16.14,14.53,15.16,,,,,,,0,14.0719,1,75432,,,,,0
2023-07-24,15.56,15.81,15.01,15.07,,,,,,,0,14.1133,1,60429,,,,,0
2023-07-25,15.15,15.19,14.86,15.06,,,,,,,0,14.1538,1,45728,,,,,0
2023-07-26,15.16,15.63,15.12,15.59,15.29,,,,,18.0389,0,14.1935,1,38116,,,,,0
2023-07-27,15.77,16.09,15.63,15.76,15.25,,,,,18.0389,0,14.2323,1,36286,,,,,0
2023-07-28,15.99,16.29,15.76,16.24,15.35,,,,,18.0389,0,14.2705,1,48244,,,,,0
2023-07-31,16.40,16.76,16.01,16.34,15.52,,,,,18.0389,0,14.3514,1,56157,,,,,0
2023-08-01,16.14,16.66,15.98,16.59,15.67,,,,,18.0389,0,14.4962,1,32906,,,,,0
2023-08-02,16.43,17.00,16.24,16.98,15.81,,,,,18.0389,0,14.6324,1,50035,,,,,0
2023-08-03,16.87,17.36,16.70,16.96,15.97,,,,,18.0389,0,14.8218,1,68116,,,,,0
2023-08-04,17.63,18.07,17.03,17.17,16.18,,,,,18.0389,0,15.0758,1,132057,,,,,0
2023-08-07,17.44,17.81,17.27,17.70,16.44,,,,,18.0389,0,15.4348,1,65750,,,,,0
2023-08-08,17.88,18.08,17.62,17.98,16.73,,,,,18.0389,0,15.7507,1,67209,,,,,0
2023-08-09,18.08,18.08,17.10,17.17,16.89,16.09,,,,18.0389,0,16.0764,1,56021,,,,,0
2023-08-10,17.21,17.48,16.97,17.46,17.06,16.16,,,,18.0389,0,16.3965,1,52531,,,,,0
2023-08-11,17.43,17.62,17.15,17.15,17.15,16.25,,,,18.0389,0,16.6654,1,30140,,,,,0
2023-08-14,17.01,17.07,16.66,16.88,17.20,16.36,,,,18.0389,0,18.0771,0,41464,,,,,0
