Date,Open,High,Low,Close,Ma10:Top:Line,Ma20:Top:Line,Ma50:Top:Line,Ma150:Top:Line,Ma200:Top:Line,Supertrend:Top:ColorLine,Supertrend_Dir,ParabolicSAR:Top:ColorLine,ParabolicSAR_Dir,Volume:Middle:Histogram,Vo50:Middle:Line,Macd:Bottom:Line,MacdSignal:Bottom:Line,MacdDelta:Bottom:Histogram,RsRating:Hidden:Hidden
2023-07-12,13.17,13.49,13.17,13.29,,,,,,,0,13.4886,0,18,,,,,0
2023-07-13,13.17,13.42,12.97,13.17,,,,,,,0,13.4886,0,64,,,,,0
2023-07-14,13.04,13.17,13.04,13.04,,,,,,,0,13.4886,0,14,,,,,0
2023-07-17,13.04,13.23,13.04,13.17,,,,,,,0,13.4783,0,30,,,,,0
2023-07-18,13.04,13.23,12.91,13.23,,,,,,,0,13.4681,0,63,,,,,0
2023-07-19,13.10,13.23,13.04,13.17,,,,,,,0,13.4457,0,78,,,,,0
2023-07-20,13.04,13.42,13.04,13.10,,,,,,,0,13.4242,0,25,,,,,0
2023-07-21,13.10,13.36,13.04,13.17,,,,,,,0,13.4240,0,22,,,,,0
2023-07-24,13.17,13.17,12.91,13.10,,,,,,,0,13.4240,0,86,,,,,0
2023-07-25,13.04,13.10,12.91,13.10,13.15,,,,,13.8371,0,13.3931,0,37,,,,,0
2023-07-26,13.23,13.23,12.91,13.17,13.14,,,,,13.8371,0,13.3639,0,45,,,,,0
2023-07-27,13.17,13.17,12.97,13.17,13.14,,,,,13.8371,0,13.3366,0,15,,,,,0
2023-07-28,13.10,13.23,13.10,13.17,13.15,,,,,13.8371,0,13.3108,0,9,,,,,0
2023-07-31,13.17,13.23,13.17,13.17,13.15,,,,,13.8371,0,13.2867,0,17,,,,,0
2023-08-01,13.17,13.23,13.17,13.23,13.15,,,,,13.8371,0,13.2639,0,54,,,,,0
2023-08-02,13.23,13.23,13.17,13.23,13.16,,,,,13.8166,0,13.2426,0,23,,,,,0
2023-08-03,13.17,13.23,13.17,13.17,13.17,,,,,13.7741,0,12.9077,1,19,,,,,0
