Date,Open,High,Low,Close,Ma10:Top:Line,Ma20:Top:Line,Ma50:Top:Line,Ma150:Top:Line,Ma200:Top:Line,Supertrend:Top:ColorLine,Supertrend_Dir,ParabolicSAR:Top:ColorLine,ParabolicSAR_Dir,Volume:Middle:Histogram,Vo50:Middle:Line,Macd:Bottom:Line,MacdSignal:Bottom:Line,MacdDelta:Bottom:Histogram,RsRating:Hidden:Hidden
2023-07-12,28.23,28.41,27.87,27.92,,,,,,,0,28.4150,0,35577,,,,,0
2023-07-13,27.95,28.06,27.70,28.04,,,,,,,0,28.4150,0,41086,,,,,0
2023-07-14,27.95,28.07,27.79,27.95,,,,,,,0,28.4150,0,35642,,,,,0
2023-07-17,27.97,28.21,27.83,28.18,,,,,,,0,28.4006,0,44189,,,,,0
2023-07-18,28.22,28.36,27.79,28.06,,,,,,,0,28.3865,0,42185,,,,,0
2023-07-19,28.30,28.53,28.05,28.51,,,,,,,0,27.6972,1,43695,,,,,0
2023-07-20,28.41,28.61,28.22,28.58,,,,,,,0,27.7138,1,36375,,,,,0
2023-07-21,28.56,28.92,28.54,28.69,,,,,,,0,27.7495,1,24331,,,,,0
2023-07-24,28.67,28.94,28.42,28.61,,,,,,,0,27.8195,1,20923,,,,,0
2023-07-25,28.55,28.65,28.37,28.46,28.30,,,,,29.7557,0,27.9090,1,29984,,,,,0
2023-07-26,28.50,28.69,28.22,28.39,28.35,,,,,29.7213,0,27.9913,1,25374,,,,,0
2023-07-27,28.55,28.55,27.47,27.61,28.30,,,,,29.4739,0,28.9381,0,64301,,,,,0
2023-07-28,27.86,27.97,27.35,27.65,28.27,,,,,29.1644,0,28.9088,0,27602,,,,,0
2023-07-31,27.68,28.04,27.61,28.03,28.26,,,,,29.1644,0,28.8465,0,31846,,,,,0
2023-08-01,28.03,28.20,27.85,28.13,28.27,,,,,29.1644,0,28.7867,0,32380,,,,,0
2023-08-02,28.02,28.29,27.85,28.25,28.24,,,,,29.1644,0,28.7293,0,24966,,,,,0
2023-08-03,28.06,28.06,27.41,27.62,28.14,,,,,29.1644,0,28.6742,0,38047,,,,,0
2023-08-04,27.46,29.15,27.27,27.85,28.06,,,,,29.1644,0,27.3513,1,78924,,,,,0
2023-08-07,27.89,28.10,27.52,27.99,28.00,,,,,29.1644,0,27.2744,1,48218,,,,,0
2023-08-08,27.70,27.84,27.53,27.70,27.92,28.11,,,,29.1644,0,27.2744,1,43125,,,,,0
2023-08-09,27.67,27.95,27.46,27.71,27.86,28.10,,,,29.1644,0,27.3119,1,40883,,,,,0
2023-08-10,27.85,28.03,27.49,27.65,27.86,28.08,,,,29.1644,0,27.3487,1,48483,,,,,0
2023-08-11,27.45,27.78,27.34,27.64,27.86,28.07,,,,29.1644,0,29.1500,0,22113,,,,,0
2023-08-14,27.61,28.00,27.58,27.99,27.85,28.06,,,,29.1644,0,29.1138,0,25747,,,,,0
2023-08-15,27.84,27.97,27.32,27.33,27.77,28.02,,,,29.1644,0,29.0784,0,33026,,,,,0
2023-08-16,27.41,27.60,27.27,27.37,27.69,27.96,,,,29.0993,0,29.0079,0,28317,,,,,0
2023-08-17,27.38,27.55,27.04,27.05,27.63,27.89,,,,28.9435,0,28.9039,0,22659,,,,,0
2023-08-18,26.97,27.73,26.97,27.68,27.61,27.84,,,,28.9435,0,28.7548,0,48706,,,,,0
2023-08-21,27.61,27.64,27.24,27.58,27.57,27.78,,,,28.9435,0,28.5764,0,37997,,,,,0
2023-08-22,27.81,28.00,27.65,27.88,27.59,27.76,,,,28.9435,0,28.4158,0,37257,,,,,0
2023-08-23,28.09,28.62,27.93,28.54,27.67,27.76,,,,28.9435,0,26.9709,1,41074,,,,,0
2023-08-24,28.51,28.93,28.13,28.29,27.73,27.80,,,,28.9435,0,27.0038,1,30041,,,,,0
2023-08-25,28.48,28.51,28.19,28.38,27.81,27.83,,,,28.9435,0,27.0810,1,35147,,,,,0
2023-08-28,28.47,28.71,28.45,28.58,27.87,27.86,,,,28.9435,0,27.1551,1,36636,,0.0143,-0.1752,0.1895,0
2023-08-29,28.50,28.89,28.41,28.86,28.02,27.90,,,,28.9435,0,27.2263,1,33467,,0.0784,-0.1245,0.2029,0
2023-08-30,28.94,29.29,28.80,29.17,28.20,27.94,,,,27.4642,1,27.2946,1,49715,,0.1519,-0.0692,0.2211,0
2023-08-31,29.20,29.30,29.08,29.10,28.41,28.02,,,,27.7002,1,27.4145,1,36662,,0.2022,-0.0149,0.2171,0
2023-09-01,29.27,29.31,28.80,28.99,28.54,28.07,,,,27.7002,1,27.5651,1,60445,,0.2310,0.0343,0.1968,0
2023-09-05,28.80,29.16,28.36,28.41,28.62,28.10,,,,27.7002,1,27.7400,1,48942,,0.2048,0.0684,0.1364,0
2023-09-06,28.36,28.67,28.14,28.21,28.65,28.12,,,,27.7002,1,27.8974,1,58099,,0.1653,0.0877,0.0776,0
2023-09-07,28.13,28.67,28.00,28.56,28.66,28.16,,,,27.7002,1,29.3143,0,44155,,0.1608,0.1024,0.0584,0
2023-09-08,28.62,28.77,28.33,28.42,28.67,28.20,,,,27.7002,1,29.2880,0,27808,,0.1444,0.1108,0.0336,0
2023-09-11,28.44,28.69,28.28,28.44,28.68,28.24,,,,27.7002,1,29.2622,0,21918,,0.1313,0.1149,0.0164,0
2023-09-12,28.35,28.59,28.25,28.32,28.65,28.26,,,,27.7002,1,29.2370,0,37495,,0.1098,0.1139,-0.0040,0
2023-09-13,28.28,28.38,27.95,28.05,28.57,28.29,,,,27.7002,1,29.2122,0,34834,,0.0704,0.1052,-0.0348,0
2023-09-14,28.32,28.48,28.08,28.25,28.48,28.34,,,,27.7002,1,29.1617,0,50407,,0.0546,0.0951,-0.0405,0
2023-09-15,28.11,28.63,27.92,28.54,28.42,28.41,,,,27.7002,1,29.1131,0,123596,,0.0650,0.0890,-0.0240,0
2023-09-18,28.52,28.57,28.22,28.23,28.34,28.44,,,,27.7002,1,29.0417,0,24468,,0.0476,0.0808,-0.0331,0
2023-09-19,28.11,28.40,28.03,28.16,28.32,28.47,,,,27.7002,1,28.9745,0,26095,,0.0279,0.0702,-0.0423,0
2023-09-20,28.40,28.74,28.08,28.16,28.31,28.48,28.16,,,27.7002,1,28.9113,0,33042,39360,0.0115,0.0584,-0.0470,0
2023-09-21,27.94,27.97,27.36,27.37,28.20,28.43,28.14,,,29.2507,0,28.8520,0,39316,39435,-0.0643,0.0339,-0.0982,0
2023-09-22,27.45,27.92,27.36,27.55,28.11,28.39,28.13,,,29.2389,0,28.7436,0,38853,39390,-0.1085,0.0054,-0.1139,0
2023-09-25,27.40,27.56,27.19,27.26,27.99,28.33,28.12,,,28.9275,0,28.6052,0,21777,39113,-0.1653,-0.0287,-0.1366,0
2023-09-26,27.04,27.13,26.29,26.47,27.80,28.23,28.09,,,28.3940,0,28.4350,0,56126,39352,-0.2707,-0.0771,-0.1936,0
