Date,Open,High,Low,Close,Ma10:Top:Line,Ma20:Top:Line,Ma50:Top:Line,Ma150:Top:Line,Ma200:Top:Line,Supertrend:Top:ColorLine,Supertrend_Dir,ParabolicSAR:Top:ColorLine,ParabolicSAR_Dir,Volume:Middle:Histogram,Vo50:Middle:Line,Macd:Bottom:Line,MacdSignal:Bottom:Line,MacdDelta:Bottom:Histogram,RsRating:Hidden:Hidden
2023-07-12,17.34,17.50,17.30,17.41,,,,,,,0,17.2965,1,1542,,,,,0
2023-07-13,17.54,17.63,17.49,17.57,,,,,,,0,17.2965,1,2287,,,,,0
2023-07-14,17.65,17.66,17.51,17.52,,,,,,,0,17.2965,1,1524,,,,,0
2023-07-17,17.52,17.55,17.46,17.52,,,,,,,0,17.3111,1,1099,,,,,0
2023-07-18,17.65,17.76,17.61,17.74,,,,,,,0,17.3252,1,1337,,,,,0
2023-07-19,17.81,17.81,17.72,17.76,,,,,,,0,17.3513,1,768,,,,,0
2023-07-20,17.62,17.69,17.60,17.69,,,,,,,0,17.3882,1,839,,,,,0
2023-07-21,17.67,17.68,17.56,17.64,,,,,,,0,17.4221,1,1450,,,,,0
2023-07-24,17.66,17.77,17.63,17.67,,,,,,,0,17.4534,1,1193,,,,,0
2023-07-25,17.76,17.94,17.76,17.87,17.64,,,,,18.3594,0,17.4821,1,1244,,,,,0
2023-07-26,17.81,17.92,17.81,17.91,17.69,,,,,18.3594,0,17.5274,1,859,,,,,0
2023-07-27,18.09,18.24,18.07,18.11,17.74,,,,,18.3594,0,17.5683,1,2864,,,,,0
2023-07-28,18.31,18.43,18.25,18.33,17.82,,,,,18.3594,0,17.6483,1,1362,,,,,0
2023-07-31,18.34,18.34,18.26,18.28,17.90,,,,,18.3594,0,17.7579,1,790,,,,,0
2023-08-01,18.13,18.18,18.07,18.09,17.94,,,,,18.3594,0,17.8521,1,1087,,,,,0
2023-08-02,17.78,17.80,17.64,17.68,17.93,,,,,18.3586,0,18.4307,0,1426,,,,,0
2023-08-03,17.44,17.62,17.44,17.56,17.92,,,,,18.1775,0,18.4150,0,1982,,,,,0
2023-08-04,17.67,17.67,17.43,17.51,17.90,,,,,18.1775,0,18.3760,0,1606,,,,,0
2023-08-07,17.36,17.42,17.29,17.35,17.87,,,,,18.0078,0,18.3192,0,1811,,,,,0
2023-08-08,17.22,17.22,17.06,17.15,17.80,17.72,,,,17.8113,0,18.2371,0,1718,,,,,0
2023-08-09,17.08,17.17,16.94,16.98,17.70,17.70,,,,17.7305,0,18.1193,0,1513,,,,,0
2023-08-10,17.21,17.28,16.96,16.99,17.59,17.67,,,,17.7305,0,17.9775,0,959,,,,,0
2023-08-11,17.00,17.00,16.88,16.93,17.45,17.64,,,,17.6081,0,17.8528,0,857,,,,,0
2023-08-14,16.97,16.97,16.78,16.85,17.31,17.60,,,,17.5348,0,17.7170,0,1457,,,,,0
2023-08-15,16.99,16.99,16.78,16.81,17.18,17.56,,,,17.5348,0,17.5669,0,1409,,,,,0
2023-08-16,16.63,16.68,16.55,16.58,17.07,17.50,,,,17.2844,0,17.4408,0,1206,,,,,0
2023-08-17,16.79,16.79,16.64,16.65,16.98,17.45,,,,17.2844,0,17.2813,0,1176,,,,,0
2023-08-18,16.59,17.13,16.59,16.79,16.91,17.40,,,,17.2844,0,17.1505,0,5905,,,,,0
2023-08-21,16.94,16.94,16.84,16.93,16.87,17.37,,,,17.2844,0,17.1258,0,13883,,,,,0
2023-08-22,17.02,17.02,16.91,16.99,16.85,17.32,,,,17.2844,0,17.1258,0,2115,,,,,0
2023-08-23,17.17,17.24,17.14,17.21,16.87,17.29,,,,17.2844,0,16.5548,1,1007,,,,,0
2023-08-24,17.22,17.25,17.06,17.13,16.89,17.24,,,,17.2844,0,16.5685,1,1716,,,,,0
2023-08-25,17.13,17.22,17.02,17.17,16.91,17.18,,,,17.2844,0,16.5957,1,1149,,,,,0
2023-08-28,17.30,17.39,17.26,17.34,16.96,17.13,,,,16.6542,1,16.6217,1,2980,,-0.2051,-0.3312,0.1261,0
2023-08-29,17.21,17.41,17.21,17.41,17.02,17.10,,,,16.6542,1,16.6680,1,964,,-0.1658,-0.2981,0.1323,0
2023-08-30,17.51,17.54,17.47,17.50,17.11,17.09,,,,16.8659,1,16.7271,1,581,,-0.1257,-0.2636,0.1380,0
