Date,Open,High,Low,Close,Ma10:Top:Line,Ma20:Top:Line,Ma50:Top:Line,Ma150:Top:Line,Ma200:Top:Line,Supertrend:Top:ColorLine,Supertrend_Dir,ParabolicSAR:Top:ColorLine,ParabolicSAR_Dir,Volume:Middle:Histogram,Vo50:Middle:Line,Macd:Bottom:Line,MacdSignal:Bottom:Line,MacdDelta:Bottom:Histogram,RsRating:Hidden:Hidden
2023-07-12,270.70,273.08,268.98,269.76,,,,,,,0,268.9820,1,73210,,,,,0
2023-07-13,270.42,272.01,269.48,269.57,,,,,,,0,268.9820,1,63928,,,,,0
2023-07-14,269.87,269.87,264.72,268.92,,,,,,,0,273.0762,0,62109,,,,,0
2023-07-17,270.21,272.29,267.85,271.72,,,,,,,0,272.9090,0,52396,,,,,0
2023-07-18,271.48,275.22,271.48,275.09,,,,,,,0,264.7163,1,44840,,,,,0
2023-07-19,272.70,272.89,269.05,271.43,,,,,,,0,264.9263,1,62060,,,,,0
2023-07-20,273.30,274.18,270.34,272.15,,,,,,,0,265.1322,1,67599,,,,,0
2023-07-21,273.21,273.44,270.71,272.36,,,,,,,0,265.3339,1,42164,,,,,0
2023-07-24,273.47,275.87,273.16,273.66,,,,,,,0,265.5316,1,50872,,,,,0
2023-07-25,273.01,279.01,273.01,278.88,272.36,,,,,288.6315,0,265.9450,1,68099,,,,,0
2023-07-26,276.77,278.60,274.23,276.54,273.03,,,,,288.6315,0,266.7288,1,82572,,,,,0
2023-07-27,273.17,275.82,260.89,267.16,272.79,,,,,284.5310,0,279.0081,0,146636,,,,,0
2023-07-28,267.37,276.23,264.80,275.81,273.48,,,,,284.5310,0,278.6457,0,74184,,,,,0
2023-07-31,276.68,280.87,276.68,278.85,274.19,,,,,284.5310,0,260.8887,1,79189,,,,,0
2023-08-01,275.58,281.82,275.58,279.05,274.59,,,,,284.5310,0,261.2884,1,60841,,,,,0
2023-08-02,275.20,278.02,270.29,271.40,274.59,,,,,284.5310,0,262.1096,1,84429,,,,,0
