Date,Open,High,Low,Close,Ma10:Top:Line,Ma20:Top:Line,Ma50:Top:Line,Ma150:Top:Line,Ma200:Top:Line,Supertrend:Top:ColorLine,Supertrend_Dir,ParabolicSAR:Top:ColorLine,ParabolicSAR_Dir,Volume:Middle:Histogram,Vo50:Middle:Line,Macd:Bottom:Line,MacdSignal:Bottom:Line,MacdDelta:Bottom:Histogram,RsRating:Hidden:Hidden
2023-07-13,194.30,196.84,193.03,196.08,,,,,,,0,193.0279,1,306213,,,,,0
2023-07-14,195.70,196.06,193.91,195.22,,,,,,,0,193.0279,1,221161,,,,,0
2023-07-17,195.11,198.22,194.03,197.61,,,,,,,0,193.0279,1,285358,,,,,0
2023-07-18,197.85,202.19,197.62,201.82,,,,,,,0,193.2355,1,525871,,,,,0
2023-07-19,199.97,202.64,199.84,201.31,,,,,,,0,193.7729,1,527924,,,,,0
2023-07-20,202.33,203.25,201.36,202.36,,,,,,,0,194.4824,1,416421,,,,,0
2023-07-21,202.30,202.95,198.38,199.27,,,,,,,0,195.3588,1,536505,,,,,0
2023-07-24,199.89,201.18,198.61,198.96,,,,,,,0,196.1475,1,342414,,,,,0
2023-07-25,197.25,199.02,196.77,197.93,,,,,,,0,203.2464,0,469434,,,,,0
2023-07-26,196.54,197.63,192.72,194.81,198.54,,,,,205.4042,0,203.1169,0,543355,,,,,0
2023-07-27,196.31,196.31,193.32,193.91,198.32,,,,,204.9150,0,202.7010,0,680511,,,,,0
2023-07-28,195.65,196.28,194.05,195.06,198.31,,,,,204.9150,0,202.3018,0,412984,,,,,0
2023-07-31,196.40,197.20,195.01,197.00,198.24,,,,,204.9150,0,201.9186,0,481763,,,,,0
2023-08-01,202.82,210.99,202.45,210.13,199.07,,,,,193.9917,1,192.7208,1,1100344,,,,,0
2023-08-02,209.24,216.61,207.62,210.00,199.94,,,,,197.9645,1,193.0862,1,788764,,,,,0
2023-08-03,208.92,210.55,206.90,208.30,200.54,,,,,197.9645,1,194.0272,1,463118,,,,,0
2023-08-04,209.93,211.23,207.78,207.98,201.41,,,,,197.9645,1,194.9306,1,441256,,,,,0
2023-08-07,209.34,213.59,209.03,212.97,202.81,,,,,197.9645,1,195.7979,1,326882,,,,,0
2023-08-08,211.92,212.46,209.94,212.12,204.23,,,,,197.9645,1,196.6304,1,350779,,,,,0
2023-08-09,211.84,212.46,208.96,209.83,205.73,202.13,,,,197.9645,1,197.4297,1,372337,,,,,0
2023-08-10,209.63,211.96,207.98,208.97,207.24,202.78,,,,197.9645,1,198.1970,1,285046,,,,,0
2023-08-11,209.70,211.66,209.08,210.35,208.76,203.53,,,,197.9645,1,198.9336,1,225828,,,,,0
2023-08-14,209.30,212.06,209.30,211.00,210.16,204.20,,,,198.6292,1,199.6407,1,279123,,,,,0
2023-08-15,209.81,210.61,208.83,209.94,210.15,204.61,,,,198.6292,1,200.3196,1,210443,,,,,0
2023-08-16,210.00,211.83,208.07,208.16,209.96,204.95,,,,198.6292,1,200.9713,1,269140,,,,,0
2023-08-17,208.90,210.45,206.01,206.51,209.78,205.16,,,,198.6292,1,201.5969,1,234124,,,,,0
2023-08-18,204.93,208.33,204.31,206.77,209.66,205.53,,,,198.6292,1,202.1975,1,371044,,,,,0
2023-08-21,207.57,208.29,205.24,207.82,209.15,205.98,,,,198.6292,1,202.7741,1,289717,,,,,0
2023-08-22,209.14,209.84,207.44,209.31,208.87,206.55,,,,198.6292,1,203.3276,1,324392,,,,,0
2023-08-23,209.78,214.61,209.78,213.18,209.20,207.47,,,,200.6866,1,203.8589,1,388979,,,,,0
2023-08-24,213.66,215.95,212.61,212.80,209.58,208.41,,,,202.9201,1,204.3691,1,623541,,,,,0
2023-08-25,213.85,217.22,211.58,216.02,210.15,209.46,,,,202.9201,1,204.8588,1,545712,,,,,0
2023-08-28,215.99,219.34,215.93,217.94,210.84,210.50,,,,205.8884,1,205.6006,1,364541,,,,,0
2023-08-29,216.83,220.44,216.83,219.71,211.82,210.98,,,,206.9766,1,206.6999,1,317510,,4.5108,3.8471,0.6637,0
2023-08-30,220.63,221.78,219.59,221.63,213.17,211.57,,,,209.5382,1,208.0740,1,284264,,4.8780,4.0533,0.8247,0
2023-08-31,221.56,223.72,220.97,221.91,214.71,212.25,,,,211.4862,1,209.7186,1,470162,,5.1323,4.2691,0.8632,0
2023-09-01,222.94,225.39,222.69,225.09,216.54,213.10,,,,213.2288,1,211.6782,1,332536,,5.5267,4.5206,1.0061,0
2023-09-05,224.45,225.00,220.14,221.14,217.87,213.51,,,,213.2288,1,213.8723,1,370641,,5.4576,4.7080,0.7496,0
2023-09-06,221.14,224.00,220.73,223.11,219.25,214.06,,,,213.2288,1,215.7154,1,393575,,5.4981,4.8660,0.6320,0
2023-09-07,222.33,226.57,221.67,226.19,220.55,214.88,,,,213.2288,1,217.2636,1,411176,,5.7130,5.0354,0.6776,0
2023-09-08,225.83,227.52,225.29,227.46,222.02,215.80,,,,215.4375,1,218.9382,1,334053,,5.9178,5.2119,0.7059,0
2023-09-11,227.73,229.40,226.37,229.30,223.35,216.75,,,,217.1101,1,220.6547,1,366463,,6.1575,5.4010,0.7565,0
2023-09-12,228.22,231.61,217.36,219.53,223.51,217.18,,,,217.1101,1,229.3989,0,1255000,,5.4960,5.4200,0.0759,0
2023-09-13,216.55,218.09,211.80,213.28,222.87,217.34,,,,229.8436,0,231.6145,0,1287831,,4.4163,5.2193,-0.8030,0
2023-09-14,215.20,216.20,213.00,214.00,222.10,217.64,,,,228.9712,0,231.6145,0,503770,,3.5770,4.8908,-1.3138,0
2023-09-15,211.63,211.63,206.93,209.65,220.88,217.79,,,,224.3285,0,230.8219,0,1102020,,2.5320,4.4190,-1.8870,0
2023-09-18,209.29,213.49,208.47,211.11,219.48,218.01,,,,224.3285,0,229.3881,0,494928,,1.8005,3.8953,-2.0948,0
2023-09-19,210.24,210.93,204.52,208.23,218.19,218.03,,,,223.2519,0,228.0404,0,551489,,0.9771,3.3117,-2.3346,0
2023-09-20,209.46,212.14,206.47,206.77,216.55,217.90,,,,223.2519,0,226.1585,0,263891,,0.2048,2.6903,-2.4855,0
2023-09-21,206.15,206.15,202.42,202.92,214.23,217.39,209.65,,,219.6935,0,224.4272,0,408050,463048,-0.7099,2.0103,-2.7202,0
2023-09-22,202.07,206.32,201.35,204.85,211.96,216.99,209.83,,,219.1955,0,222.2262,0,439845,465720,-1.2641,1.3554,-2.6195,0
2023-09-25,204.86,208.97,203.96,207.98,209.83,216.59,210.08,,,219.1955,0,219.7208,0,460558,470508,-1.4349,0.7973,-2.2322,0
2023-09-26,206.61,207.55,202.88,203.32,208.21,215.86,210.19,,,219.1955,0,217.5160,0,360571,472012,-1.9235,0.2532,-2.1767,0
2023-09-27,205.09,207.37,204.36,206.49,207.53,215.20,210.29,,,219.1955,0,215.5758,0,435858,470212,-2.0316,-0.2038,-1.8278,0
2023-09-28,205.79,209.36,205.25,207.62,206.89,214.50,210.41,,,219.1955,0,213.8685,0,326679,466187,-2.0032,-0.5637,-1.4395,0
2023-09-29,208.93,209.03,204.92,205.45,206.47,213.68,210.48,,,219.1955,0,212.3660,0,280975,463478,-2.1310,-0.8771,-1.2539,0
