Date,Open,High,Low,Close,Ma10:Top:Line,Ma20:Top:Line,Ma50:Top:Line,Ma150:Top:Line,Ma200:Top:Line,Supertrend:Top:ColorLine,Supertrend_Dir,ParabolicSAR:Top:ColorLine,ParabolicSAR_Dir,Volume:Middle:Histogram,Vo50:Middle:Line,Macd:Bottom:Line,MacdSignal:Bottom:Line,MacdDelta:Bottom:Histogram,RsRating:Hidden:Hidden
2023-07-12,7.21,7.30,7.19,7.27,,,,,,,0,7.1868,1,55977,,,,,0
2023-07-13,7.29,7.40,7.29,7.38,,,,,,,0,7.1868,1,58437,,,,,0
2023-07-14,7.55,7.68,7.54,7.56,,,,,,,0,7.1868,1,59316,,,,,0
2023-07-17,7.54,7.70,7.49,7.67,,,,,,,0,7.2065,1,54503,,,,,0
2023-07-18,7.63,7.65,7.53,7.60,,,,,,,0,7.2359,1,33468,,,,,0
2023-07-19,7.44,7.44,7.31,7.31,,,,,,,0,7.2636,1,34752,,,,,0
2023-07-20,7.24,7.38,7.18,7.21,,,,,,,0,7.6975,0,59455,,,,,0
2023-07-21,7.24,7.24,7.12,7.18,,,,,,,0,7.6871,0,41379,,,,,0
2023-07-24,7.19,7.21,7.12,7.18,,,,,,,0,7.6645,0,32219,,,,,0
2023-07-25,7.36,7.57,7.36,7.54,7.39,,,,,8.0587,0,7.6428,0,47399,,,,,0
2023-07-26,7.43,7.45,7.33,7.34,7.40,,,,,7.9845,0,7.6219,0,35510,,,,,0
2023-07-27,7.47,7.70,7.47,7.52,7.41,,,,,7.9845,0,7.1218,1,38065,,,,,0
2023-07-28,7.67,7.83,7.65,7.80,7.43,,,,,7.9845,0,7.1333,1,41269,,,,,0
2023-07-31,7.50,7.51,7.44,7.46,7.41,,,,,7.9845,0,7.1611,1,33592,,,,,0
2023-08-01,7.42,7.45,7.32,7.43,7.40,,,,,7.9845,0,7.1877,1,19448,,,,,0
2023-08-02,7.20,7.21,7.07,7.07,7.37,,,,,7.8642,0,7.8275,0,52612,,,,,0
2023-08-03,7.07,7.13,7.01,7.08,7.36,,,,,7.7584,0,7.8123,0,32504,,,,,0
2023-08-04,7.13,7.20,7.08,7.12,7.35,,,,,7.7584,0,7.7802,0,24828,,,,,0
2023-08-07,7.25,7.26,7.17,7.23,7.36,,,,,7.7584,0,7.7494,0,35571,,,,,0
2023-08-08,7.06,7.08,6.95,7.06,7.31,7.35,,,,7.6668,0,7.7198,0,27305,,,,,0
2023-08-09,7.18,7.21,7.08,7.09,7.29,7.34,,,,7.6668,0,7.6739,0,29989,,,,,0
2023-08-10,7.20,7.21,7.07,7.08,7.24,7.33,,,,7.6668,0,7.6308,0,41887,,,,,0
