Date,Open,High,Low,Close,Ma10:Top:Line,Ma20:Top:Line,Ma50:Top:Line,Ma150:Top:Line,Ma200:Top:Line,Supertrend:Top:ColorLine,Supertrend_Dir,ParabolicSAR:Top:ColorLine,ParabolicSAR_Dir,Volume:Middle:Histogram,Vo50:Middle:Line,Macd:Bottom:Line,MacdSignal:Bottom:Line,MacdDelta:Bottom:Histogram,RsRating:Hidden:Hidden
2023-07-13,20.23,20.74,20.02,20.48,,,,,,,0,20.0200,1,7574,,,,,0
2023-07-14,20.48,20.73,20.19,20.66,,,,,,,0,20.0200,1,4508,,,,,0
2023-07-17,20.77,21.52,20.74,21.23,,,,,,,0,20.0200,1,8566,,,,,0
2023-07-18,21.24,21.74,21.15,21.51,,,,,,,0,20.0800,1,8292,,,,,0
2023-07-19,21.64,22.21,21.64,21.70,,,,,,,0,20.1796,1,8485,,,,,0
2023-07-20,21.71,21.99,20.50,20.52,,,,,,,0,20.3420,1,14101,,,,,0
2023-07-21,20.66,21.09,19.94,20.76,,,,,,,0,22.2100,0,9969,,,,,0
2023-07-24,20.72,21.36,20.38,21.19,,,,,,,0,22.1646,0,7179,,,,,0
2023-07-25,21.07,21.07,20.06,20.15,,,,,,,0,22.1201,0,8040,,,,,0
2023-07-26,20.24,20.75,19.99,20.72,20.89,,,,,23.0445,0,22.0765,0,11535,,,,,0
2023-07-27,20.96,20.96,19.44,19.48,20.79,,,,,23.0445,0,22.0338,0,5774,,,,,0
2023-07-28,19.63,20.87,19.63,20.28,20.75,,,,,23.0445,0,21.9300,0,11805,,,,,0
2023-07-31,20.38,21.12,20.06,21.07,20.74,,,,,23.0445,0,21.8304,0,11060,,,,,0
2023-08-01,21.10,21.34,20.03,20.54,20.64,,,,,23.0445,0,21.7348,0,11605,,,,,0
2023-08-02,20.45,21.63,19.92,21.32,20.60,,,,,23.0445,0,21.6430,0,17519,,,,,0
2023-08-03,20.24,20.27,18.54,19.25,20.48,,,,,23.0445,0,21.6300,0,22394,,,,,0
2023-08-04,19.15,20.14,18.90,19.79,20.38,,,,,23.0445,0,21.6300,0,16505,,,,,0
2023-08-07,19.92,19.92,18.76,18.95,20.16,,,,,23.0445,0,21.4446,0,10459,,,,,0
2023-08-08,18.75,18.93,18.08,18.30,19.97,,,,,22.1570,0,21.2703,0,12111,,,,,0
2023-08-09,18.35,18.98,18.27,18.96,19.79,20.34,,,,22.1271,0,21.0147,0,7969,,,,,0
2023-08-10,18.83,19.82,18.83,19.50,19.80,20.29,,,,22.1271,0,20.7795,0,5655,,,,,0
2023-08-11,19.34,20.02,19.19,19.94,19.76,20.26,,,,22.1271,0,20.5632,0,6778,,,,,0
2023-08-14,19.94,19.97,19.16,19.69,19.62,20.18,,,,22.1271,0,20.3641,0,8610,,,,,0
2023-08-15,19.69,19.69,19.05,19.48,19.52,20.08,,,,22.1271,0,20.1810,0,9555,,,,,0
2023-08-16,19.27,19.36,18.53,18.80,19.27,19.93,,,,22.0440,0,20.0125,0,10442,,,,,0
2023-08-17,18.70,19.39,18.56,19.08,19.25,19.86,,,,22.0121,0,19.8575,0,6489,,,,,0
2023-08-18,18.85,19.59,18.85,19.44,19.21,19.80,,,,22.0121,0,19.7149,0,5778,,,,,0
2023-08-21,19.40,19.99,18.88,19.70,19.29,19.72,,,,22.0121,0,18.0750,1,11785,,,,,0
2023-08-22,19.73,20.05,19.42,20.04,19.46,19.72,,,,22.0121,0,18.1133,1,7832,,,,,0
2023-08-23,20.15,21.15,20.15,20.74,19.64,19.72,,,,22.0121,0,18.1908,1,7296,,,,,0
2023-08-24,20.75,20.75,20.17,20.41,19.73,19.76,,,,22.0121,0,18.3683,1,9509,,,,,0
2023-08-25,20.48,20.67,20.14,20.55,19.79,19.78,,,,22.0121,0,18.5352,1,5409,,,,,0
2023-08-28,20.70,20.92,20.56,20.84,19.91,19.77,,,,22.0121,0,18.6921,1,5664,,,,,0
2023-08-29,20.88,21.10,20.57,20.67,20.03,19.77,,,,22.0121,0,18.8396,1,6860,,-0.0432,-0.3423,0.2991,0
2023-08-30,20.75,21.19,20.58,21.14,20.26,19.76,,,,22.0121,0,18.9782,1,7856,,0.0352,-0.2668,0.3020,0
2023-08-31,21.07,21.32,20.40,20.42,20.40,19.82,,,,22.0121,0,19.1552,1,9832,,0.0388,-0.2057,0.2445,0
2023-09-01,20.53,20.83,19.48,19.72,20.42,19.82,,,,22.0121,0,19.3716,1,9819,,-0.0146,-0.1675,0.1529,0
2023-09-05,19.44,20.42,19.44,19.83,20.44,19.86,,,,22.0121,0,21.3200,0,12277,,-0.0476,-0.1435,0.0959,0
2023-09-06,19.90,20.06,18.88,19.92,20.42,19.94,,,,22.0121,0,21.2824,0,16623,,-0.0656,-0.1279,0.0623,0
2023-09-07,20.12,20.18,19.55,19.60,20.31,19.98,,,,22.0121,0,21.1863,0,14449,,-0.1046,-0.1233,0.0187,0
2023-09-08,19.61,19.91,19.21,19.71,20.24,19.99,,,,22.0121,0,21.0941,0,9703,,-0.1251,-0.1236,-0.0015,0
2023-09-11,19.80,20.05,19.43,19.79,20.16,19.98,,,,22.0121,0,21.0055,0,11065,,-0.1334,-0.1256,-0.0078,0
2023-09-12,19.70,20.00,19.16,19.18,20.00,19.95,,,,22.0121,0,20.9205,0,7835,,-0.1871,-0.1379,-0.0492,0
