Date,Open,High,Low,Close,Ma10:Top:Line,Ma20:Top:Line,Ma50:Top:Line,Ma150:Top:Line,Ma200:Top:Line,Supertrend:Top:ColorLine,Supertrend_Dir,ParabolicSAR:Top:ColorLine,ParabolicSAR_Dir,Volume:Middle:Histogram,Vo50:Middle:Line,Macd:Bottom:Line,MacdSignal:Bottom:Line,MacdDelta:Bottom:Histogram,RsRating:Hidden:Hidden
2023-07-12,104.53,104.79,102.51,102.58,,,,,,,0,104.7918,0,112543,,,,,0
2023-07-13,102.97,104.10,102.20,103.47,,,,,,,0,104.7918,0,98460,,,,,0
2023-07-14,103.41,103.41,100.62,102.00,,,,,,,0,104.7918,0,87609,,,,,0
2023-07-17,101.52,103.09,101.52,102.56,,,,,,,0,104.6249,0,98695,,,,,0
2023-07-18,102.25,104.41,101.96,104.26,,,,,,,0,104.4647,0,106894,,,,,0
2023-07-19,103.95,103.95,100.41,100.98,,,,,,,0,104.4082,0,174945,,,,,0
2023-07-20,100.98,101.07,96.02,97.98,,,,,,,0,104.4082,0,216570,,,,,0
2023-07-21,98.59,99.24,96.06,96.19,,,,,,,0,103.9478,0,129337,,,,,0
2023-07-24,96.93,99.14,96.41,97.80,,,,,,,0,103.3133,0,135531,,,,,0
2023-07-25,98.74,101.40,98.09,100.81,100.86,,,,,108.6470,0,102.7296,0,120541,,,,,0
2023-07-26,99.80,101.03,98.15,99.51,100.56,,,,,108.4691,0,102.1926,0,105991,,,,,0
2023-07-27,99.70,100.04,97.87,98.29,100.04,,,,,107.5936,0,101.6985,0,120918,,,,,0
2023-07-28,99.36,99.74,97.66,99.56,99.79,,,,,107.0995,0,101.2440,0,93647,,,,,0
2023-07-31,99.96,102.43,99.96,102.21,99.76,,,,,107.0995,0,96.0168,1,136081,,,,,0
2023-08-01,99.73,103.47,99.56,102.61,99.59,,,,,107.0995,0,96.1451,1,148120,,,,,0
2023-08-02,101.52,102.67,100.74,101.04,99.60,,,,,107.0995,0,96.4380,1,136799,,,,,0
2023-08-03,100.70,103.48,99.48,101.12,99.91,,,,,107.0995,0,96.7192,1,141880,,,,,0
2023-08-04,101.20,102.55,99.40,99.54,100.25,,,,,107.0995,0,97.1248,1,128336,,,,,0
2023-08-07,99.58,101.28,99.58,100.18,100.49,,,,,107.0995,0,97.5059,1,78199,,,,,0
2023-08-08,98.47,99.89,96.96,99.69,100.37,100.62,,,,107.0509,0,103.4779,0,93493,,,,,0
2023-08-09,100.88,100.88,99.14,100.28,100.45,100.50,,,,107.0509,0,103.3475,0,130901,,,,,0
