Date,Open,High,Low,Close,Ma10:Top:Line,Ma20:Top:Line,Ma50:Top:Line,Ma150:Top:Line,Ma200:Top:Line,Supertrend:Top:ColorLine,Supertrend_Dir,ParabolicSAR:Top:ColorLine,ParabolicSAR_Dir,Volume:Middle:Histogram,Vo50:Middle:Line,Macd:Bottom:Line,MacdSignal:Bottom:Line,MacdDelta:Bottom:Histogram,RsRating:Hidden:Hidden
2023-07-12,127.12,127.60,125.96,126.23,,,,,,,0,125.9603,1,30889,,,,,0
2023-07-13,126.28,129.03,124.87,127.98,,,,,,,0,129.0315,0,46588,,,,,0
2023-07-14,127.74,128.46,126.63,127.58,,,,,,,0,129.0315,0,32221,,,,,0
2023-07-17,127.10,131.23,126.52,130.79,,,,,,,0,124.8749,1,46212,,,,,0
2023-07-18,130.19,132.30,128.91,131.47,,,,,,,0,125.0019,1,46203,,,,,0
2023-07-19,131.40,132.16,130.28,131.51,,,,,,,0,125.2937,1,25194,,,,,0
2023-07-20,131.43,131.98,130.23,131.94,,,,,,,0,125.5738,1,30892,,,,,0
2023-07-21,132.52,132.76,131.29,131.88,,,,,,,0,125.8427,1,23462,,,,,0
2023-07-24,131.39,132.39,130.25,130.34,,,,,,,0,126.2577,1,21176,,,,,0
2023-07-25,130.50,131.52,129.88,130.84,130.06,,,,,138.0852,0,126.6478,1,31924,,,,,0
2023-07-26,130.75,132.78,130.55,132.27,130.66,,,,,138.0852,0,127.0144,1,17748,,,,,0
2023-07-27,132.44,132.44,128.73,130.39,130.90,,,,,138.0852,0,127.4754,1,28451,,,,,0
2023-07-28,132.36,133.26,130.45,132.97,131.44,,,,,138.0852,0,127.8994,1,14886,,,,,0
2023-07-31,133.07,133.39,131.27,132.14,131.58,,,,,138.0852,0,128.4350,1,37943,,,,,0
2023-08-01,131.49,133.88,131.49,133.34,131.76,,,,,138.0852,0,129.0296,1,30727,,,,,0
2023-08-02,132.26,133.22,129.07,129.76,131.59,,,,,138.0852,0,133.8781,0,41668,,,,,0
2023-08-03,129.21,130.64,127.47,129.06,131.30,,,,,137.3098,0,133.8781,0,22777,,,,,0
2023-08-04,129.06,130.29,128.88,129.48,131.06,,,,,137.3098,0,133.6219,0,11418,,,,,0
2023-08-07,129.90,131.69,129.65,130.90,131.11,,,,,137.3098,0,133.3761,0,23180,,,,,0
2023-08-08,129.24,132.02,128.28,131.62,131.19,130.62,,,,137.3098,0,133.1400,0,22448,,,,,0
2023-08-09,131.00,133.22,131.00,133.01,131.27,130.96,,,,137.3098,0,127.4749,1,28865,,,,,0
2023-08-10,133.84,134.75,132.71,132.71,131.50,131.20,,,,137.3098,0,127.5898,1,50644,,,,,0
2023-08-11,129.59,131.76,125.79,126.15,130.82,131.13,,,,137.3098,0,134.7532,0,58398,,,,,0
2023-08-14,125.38,126.73,121.40,122.27,129.83,130.70,,,,133.8097,0,134.7532,0,46720,,,,,0
2023-08-15,121.69,122.70,119.92,119.93,128.49,130.13,,,,130.9191,0,134.2190,0,27665,,,,,0
2023-08-16,119.36,120.32,117.34,117.79,127.29,129.44,,,,128.3722,0,133.3610,0,51866,,,,,0
2023-08-17,118.00,118.35,116.09,116.90,126.08,128.69,,,,126.4899,0,132.0790,0,37858,,,,,0
2023-08-18,116.09,117.14,114.85,116.79,124.81,127.93,,,,125.0254,0,130.4801,0,23582,,,,,0
2023-08-21,117.24,118.28,115.70,117.63,123.48,127.30,,,,125.0254,0,128.6050,0,35495,,,,,0
2023-08-22,117.60,119.29,117.60,118.03,122.12,126.66,,,,125.0254,0,126.9548,0,30343,,,,,0
2023-08-23,118.14,120.81,117.13,120.68,120.89,126.08,,,,125.0254,0,125.5027,0,20825,,,,,0
2023-08-24,120.22,121.34,118.84,118.87,119.50,125.50,,,,125.0254,0,124.2248,0,21628,,,,,0
2023-08-25,118.69,119.36,117.41,119.08,118.80,124.81,,,,125.0254,0,123.1002,0,22488,,,,,0
2023-08-28,119.86,120.77,118.19,119.78,118.55,124.19,,,,125.0254,0,122.1106,0,25682,,-3.6595,-3.8499,0.1904,0
2023-08-29,119.93,122.97,119.16,122.43,118.80,123.64,,,,125.0254,0,114.8536,1,31472,,-3.2583,-3.7316,0.4732,0
2023-08-30,121.96,123.07,121.53,121.75,119.19,123.24,,,,125.0254,0,115.0160,1,27725,,-2.9607,-3.5774,0.6167,0
2023-08-31,121.38,122.11,117.50,119.00,119.40,122.74,,,,125.0254,0,115.3383,1,70248,,-2.9132,-3.4445,0.5314,0
2023-09-01,119.64,121.00,118.86,120.27,119.75,122.28,,,,125.0254,0,115.6478,1,16138,,-2.7414,-3.3039,0.5625,0
2023-09-05,119.84,121.00,116.41,116.45,119.63,121.56,,,,125.0254,0,115.9448,1,21120,,-2.8803,-3.2192,0.3389,0
2023-09-06,116.02,117.13,115.18,115.75,119.41,120.76,,,,124.9054,0,123.0743,0,19313,,-3.0127,-3.1779,0.1652,0
2023-09-07,115.17,115.18,113.62,113.79,118.72,119.80,,,,122.9107,0,122.9164,0,23395,,-3.2385,-3.1900,-0.0485,0
2023-09-08,114.37,115.78,112.94,113.19,118.15,118.83,,,,122.8724,0,122.5444,0,15820,,-3.4262,-3.2372,-0.1889,0
2023-09-11,114.23,115.40,113.14,114.63,117.70,118.25,,,,122.6077,0,121.9684,0,10300,,-3.4187,-3.2735,-0.1452,0
2023-09-12,114.67,116.03,113.63,115.51,117.28,117.91,,,,122.6077,0,121.4269,0,14991,,-3.3041,-3.2796,-0.0244,0
2023-09-13,115.74,116.63,114.83,115.17,116.55,117.67,,,,122.6077,0,120.9179,0,15002,,-3.2035,-3.2644,0.0609,0
2023-09-14,117.07,117.07,114.76,116.00,115.98,117.58,,,,122.6077,0,120.4394,0,19314,,-3.0224,-3.2160,0.1936,0
2023-09-15,115.13,116.03,113.04,114.76,115.55,117.48,,,,122.4921,0,119.9897,0,82202,,-2.9447,-3.1617,0.2170,0
2023-09-18,114.64,115.97,113.97,115.18,115.04,117.40,,,,122.4921,0,119.5669,0,24175,,-2.8167,-3.0927,0.2760,0
2023-09-19,115.26,115.47,114.10,114.55,114.85,117.24,,,,122.1787,0,119.1695,0,15071,,-2.7347,-3.0211,0.2864,0
2023-09-20,115.36,116.44,113.19,113.59,114.64,117.02,123.48,,,122.1787,0,118.7960,0,18401,29855,-2.7158,-2.9601,0.2443,0
2023-09-21,112.43,113.93,111.24,111.40,114.40,116.56,123.19,,,120.2560,0,118.4448,0,24876,29735,-2.8452,-2.9371,0.0919,0
2023-09-22,111.41,113.80,110.61,110.82,114.16,116.16,122.84,,,120.0670,0,117.8687,0,24893,29301,-2.9598,-2.9416,-0.0182,0
2023-09-25,111.23,113.10,109.93,111.20,113.82,115.76,122.52,,,119.5360,0,117.1432,0,28124,29219,-2.9857,-2.9505,-0.0353,0
2023-09-26,111.06,112.24,108.48,108.85,113.15,115.21,122.08,,,118.7051,0,116.2777,0,44775,29190,-3.1592,-2.9922,-0.1670,0
2023-09-27,109.52,109.86,107.91,109.09,112.54,114.55,121.63,,,116.9808,0,115.1854,0,27304,28812,-3.2404,-3.0418,-0.1985,0
2023-09-28,109.22,109.75,108.12,108.50,111.80,113.89,121.17,,,116.7088,0,114.0217,0,33772,28984,-3.3140,-3.0963,-0.2177,0
2023-09-29,109.40,110.27,107.31,107.68,111.09,113.32,120.68,,,116.6726,0,113.0441,0,29344,28953,-3.3997,-3.1570,-0.2427,0
2023-10-02,107.79,108.56,103.47,104.08,109.98,112.51,120.13,,,114.6388,0,112.0113,0,37552,29235,-3.7154,-3.2686,-0.4467,0
