Date,Open,High,Low,Close,Ma10:Top:Line,Ma20:Top:Line,Ma50:Top:Line,Ma150:Top:Line,Ma200:Top:Line,Supertrend:Top:ColorLine,Supertrend_Dir,ParabolicSAR:Top:ColorLine,ParabolicSAR_Dir,Volume:Middle:Histogram,Vo50:Middle:Line,Macd:Bottom:Line,MacdSignal:Bottom:Line,MacdDelta:Bottom:Histogram,RsRating:Hidden:Hidden
2023-07-12,28.37,28.56,28.17,28.39,,,,,,,0,28.1700,1,10405,,,,,0
2023-07-13,28.75,29.41,28.65,29.04,,,,,,,0,28.1700,1,11108,,,,,0
2023-07-14,29.00,29.09,28.43,28.68,,,,,,,0,28.1700,1,7629,,,,,0
2023-07-17,28.69,29.03,28.61,28.71,,,,,,,0,28.1948,1,6058,,,,,0
2023-07-18,28.70,28.93,28.58,28.79,,,,,,,0,28.2191,1,5703,,,,,0
2023-07-19,28.97,29.06,28.21,28.39,,,,,,,0,29.4100,0,9971,,,,,0
2023-07-20,28.29,28.51,27.83,28.00,,,,,,,0,29.3860,0,7658,,,,,0
2023-07-21,28.28,28.31,27.50,27.59,,,,,,,0,29.3238,0,9096,,,,,0
2023-07-24,27.64,27.79,27.21,27.32,,,,,,,0,29.2143,0,6292,,,,,0
2023-07-25,27.31,27.77,27.26,27.51,28.24,,,,,29.3960,0,29.0540,0,7895,,,,,0
2023-07-26,27.43,27.88,27.39,27.75,28.18,,,,,29.3960,0,28.9065,0,8317,,,,,0
2023-07-27,28.11,28.13,27.22,27.37,28.01,,,,,29.3960,0,28.7708,0,6254,,,,,0
2023-07-28,27.73,28.39,27.73,28.35,27.98,,,,,29.3960,0,28.6459,0,7484,,,,,0
2023-07-31,28.43,28.92,28.43,28.54,27.96,,,,,29.3960,0,27.2100,1,8565,,,,,0
2023-08-01,28.42,29.10,28.29,28.93,27.98,,,,,29.3960,0,27.2442,1,9998,,,,,0
2023-08-02,28.51,28.85,28.45,28.47,27.98,,,,,29.3960,0,27.3184,1,7738,,,,,0
2023-08-03,28.41,28.88,28.39,28.48,28.03,,,,,29.3960,0,27.3897,1,7809,,,,,0
2023-08-04,28.52,28.95,28.30,28.77,28.15,,,,,29.3960,0,27.4581,1,6568,,,,,0
2023-08-07,28.90,29.00,28.49,28.99,28.32,,,,,29.3960,0,27.5238,1,8323,,,,,0
2023-08-08,29.01,29.01,28.45,28.58,28.42,28.33,,,,29.3960,0,27.5868,1,8988,,,,,0
2023-08-09,28.35,28.35,27.04,27.08,28.36,28.27,,,,29.3960,0,29.1000,0,19717,,,,,0
2023-08-10,28.58,32.20,28.52,32.03,28.82,28.42,,,,26.8884,1,27.0400,1,53173,,,,,0
2023-08-11,31.68,31.74,30.20,30.52,29.04,28.51,,,,27.2965,1,27.0400,1,26687,,,,,0
2023-08-14,30.50,30.82,30.23,30.82,29.27,28.61,,,,27.2965,1,27.1432,1,15632,,,,,0
2023-08-15,30.83,31.35,30.22,31.26,29.50,28.74,,,,27.3112,1,27.2443,1,14133,,,,,0
2023-08-16,31.28,31.53,30.61,30.63,29.72,28.85,,,,27.6676,1,27.3435,1,9912,,,,,0
2023-08-17,30.65,30.86,30.02,30.24,29.89,28.96,,,,27.6676,1,27.4406,1,8594,,,,,0
