Date,Open,High,Low,Close,Ma10:Top:Line,Ma20:Top:Line,Ma50:Top:Line,Ma150:Top:Line,Ma200:Top:Line,Supertrend:Top:ColorLine,Supertrend_Dir,ParabolicSAR:Top:ColorLine,ParabolicSAR_Dir,Volume:Middle:Histogram,Vo50:Middle:Line,Macd:Bottom:Line,MacdSignal:Bottom:Line,MacdDelta:Bottom:Histogram,RsRating:Hidden:Hidden
2023-07-13,55.84,56.26,55.59,56.14,,,,,,,0,55.5911,1,230569,,,,,0
2023-07-14,56.20,56.21,55.66,55.75,,,,,,,0,55.5911,1,169290,,,,,0
2023-07-17,54.38,54.81,54.27,54.76,,,,,,,0,56.2582,0,154055,,,,,0
2023-07-18,54.22,54.77,54.21,54.63,,,,,,,0,56.2185,0,151701,,,,,0
2023-07-19,53.58,53.92,53.54,53.87,,,,,,,0,56.1381,0,179649,,,,,0
2023-07-20,54.66,54.92,54.16,54.18,,,,,,,0,55.9823,0,141612,,,,,0
2023-07-21,54.44,54.47,53.92,54.08,,,,,,,0,55.8358,0,83127,,,,,0
2023-07-24,53.86,54.85,53.80,54.53,,,,,,,0,55.6981,0,165135,,,,,0
2023-07-25,56.52,57.11,56.24,56.79,,,,,,,0,53.5412,1,267016,,,,,0
2023-07-26,55.49,55.77,54.95,55.27,55.00,,,,,58.7807,0,53.6127,1,197531,,,,,0
2023-07-27,54.95,55.31,54.43,54.54,54.84,,,,,58.2099,0,53.6827,1,192568,,,,,0
2023-07-28,54.00,54.03,53.53,53.77,54.64,,,,,57.0923,0,57.1123,0,199001,,,,,0
2023-07-31,54.09,54.40,54.07,54.14,54.58,,,,,57.0923,0,57.0407,0,201587,,,,,0
2023-08-01,53.26,53.44,53.00,53.34,54.45,,,,,56.4108,0,56.9705,0,257710,,,,,0
2023-08-02,52.25,52.48,51.73,51.91,54.25,,,,,55.4642,0,56.8116,0,241820,,,,,0
2023-08-03,51.64,52.43,51.47,52.11,54.05,,,,,55.2576,0,56.5065,0,231385,,,,,0
2023-08-04,52.09,52.78,51.91,52.09,53.85,,,,,55.2576,0,56.1033,0,151884,,,,,0
2023-08-07,52.24,52.41,51.91,52.10,53.61,,,,,55.2264,0,55.7324,0,125673,,,,,0
2023-08-08,51.24,51.80,50.82,51.71,53.10,,,,,54.4551,0,55.3912,0,148360,,,,,0
2023-08-09,52.15,52.26,51.76,51.82,52.75,53.88,,,,54.4551,0,54.9337,0,122329,,,,,0
2023-08-10,51.75,52.08,51.15,51.33,52.43,53.64,,,,54.4551,0,54.5219,0,169081,,,,,0
2023-08-11,50.70,51.11,50.60,51.06,52.16,53.40,,,,53.7543,0,54.1514,0,213857,,,,,0
2023-08-14,49.91,50.25,49.44,50.15,51.76,53.17,,,,52.9406,0,53.7256,0,236577,,,,,0
2023-08-15,49.58,49.66,49.08,49.15,51.34,52.90,,,,52.4755,0,53.1257,0,307663,,,,,0
2023-08-16,48.79,49.47,48.75,48.83,51.03,52.64,,,,52.1256,0,52.4785,0,173884,,,,,0
