Date,Open,High,Low,Close,Ma10:Top:Line,Ma20:Top:Line,Ma50:Top:Line,Ma150:Top:Line,Ma200:Top:Line,Supertrend:Top:ColorLine,Supertrend_Dir,ParabolicSAR:Top:ColorLine,ParabolicSAR_Dir,Volume:Middle:Histogram,Vo50:Middle:Line,Macd:Bottom:Line,MacdSignal:Bottom:Line,MacdDelta:Bottom:Histogram,RsRating:Hidden:Hidden
2023-07-13,21.26,21.55,21.09,21.36,,,,,,,0,21.5508,0,28287,,,,,0
2023-07-14,21.32,21.33,20.90,21.22,,,,,,,0,21.5508,0,23966,,,,,0
2023-07-17,21.15,21.43,21.02,21.28,,,,,,,0,21.5508,0,16756,,,,,0
2023-07-18,21.25,21.64,21.09,21.40,,,,,,,0,20.8994,1,14980,,,,,0
2023-07-19,21.59,22.00,21.33,21.70,,,,,,,0,20.9142,1,33610,,,,,0
2023-07-20,21.75,21.89,21.61,21.76,,,,,,,0,20.9578,1,15746,,,,,0
2023-07-21,21.88,21.88,21.45,21.66,,,,,,,0,20.9996,1,17342,,,,,0
2023-07-24,21.58,21.91,21.57,21.60,,,,,,,0,21.0397,1,17645,,,,,0
2023-07-25,21.43,21.70,21.34,21.48,,,,,,,0,21.0783,1,15369,,,,,0
2023-07-26,21.21,21.66,21.16,21.57,21.50,,,,,22.7459,0,21.1153,1,14309,,,,,0
2023-07-27,21.66,21.70,21.23,21.37,21.50,,,,,22.7459,0,21.1508,1,10598,,,,,0
2023-07-28,21.34,21.64,21.30,21.60,21.54,,,,,22.7459,0,21.1618,1,10744,,,,,0
2023-07-31,21.74,21.98,21.64,21.82,21.59,,,,,22.7459,0,21.1954,1,19564,,,,,0
2023-08-01,21.73,21.76,21.39,21.70,21.62,,,,,22.7459,0,21.2277,1,10503,,,,,0
2023-08-02,21.61,21.61,21.31,21.51,21.61,,,,,22.7394,0,21.2587,1,10808,,,,,0
2023-08-03,21.51,22.09,21.47,21.83,21.61,,,,,22.7394,0,21.2885,1,15627,,,,,0
2023-08-04,21.94,22.20,21.85,21.93,21.64,,,,,22.7394,0,21.3065,1,13919,,,,,0
2023-08-07,22.05,22.16,21.71,21.84,21.67,,,,,22.7394,0,21.3782,1,13552,,,,,0
2023-08-08,21.50,22.02,21.23,21.84,21.70,,,,,22.7394,0,22.2022,0,20683,,,,,0
2023-08-09,21.94,22.67,21.93,22.15,21.76,21.63,,,,22.7394,0,21.2251,1,41386,,,,,0
