Date,Open,High,Low,Close,Ma10:Top:Line,Ma20:Top:Line,Ma50:Top:Line,Ma150:Top:Line,Ma200:Top:Line,Supertrend:Top:ColorLine,Supertrend_Dir,ParabolicSAR:Top:ColorLine,ParabolicSAR_Dir,Volume:Middle:Histogram,Vo50:Middle:Line,Macd:Bottom:Line,MacdSignal:Bottom:Line,MacdDelta:Bottom:Histogram,RsRating:Hidden:Hidden
2023-07-12,4.90,4.90,4.74,4.78,,,,,,,0,4.7400,1,643,,,,,0
2023-07-13,4.78,4.93,4.78,4.84,,,,,,,0,4.7400,1,778,,,,,0
2023-07-14,4.84,4.91,4.73,4.75,,,,,,,0,4.9300,0,551,,,,,0
2023-07-17,4.76,4.95,4.75,4.90,,,,,,,0,4.7300,1,734,,,,,0
2023-07-18,4.86,5.00,4.82,4.88,,,,,,,0,4.7300,1,508,,,,,0
2023-07-19,4.90,5.00,4.90,4.94,,,,,,,0,4.7408,1,401,,,,,0
2023-07-20,4.95,5.02,4.76,4.81,,,,,,,0,4.7512,1,833,,,,,0
2023-07-21,4.85,4.93,4.83,4.88,,,,,,,0,4.7550,1,697,,,,,0
2023-07-24,4.89,4.89,4.72,4.77,,,,,,,0,5.0200,0,685,,,,,0
2023-07-25,4.75,4.80,4.68,4.77,4.83,,,,,5.2410,0,5.0140,0,389,,,,,0
2023-07-26,4.75,4.83,4.69,4.71,4.83,,,,,5.2410,0,5.0006,0,441,,,,,0
2023-07-27,4.73,4.75,4.59,4.64,4.81,,,,,5.1616,0,4.9878,0,760,,,,,0
2023-07-28,4.75,4.88,4.66,4.83,4.81,,,,,5.1616,0,4.9639,0,668,,,,,0
2023-07-31,4.83,4.94,4.83,4.88,4.81,,,,,5.1616,0,4.9415,0,321,,,,,0
2023-08-01,4.86,4.95,4.82,4.90,4.81,,,,,5.1616,0,4.5900,1,494,,,,,0
2023-08-02,4.85,4.87,4.73,4.81,4.80,,,,,5.1616,0,4.5972,1,545,,,,,0
2023-08-03,4.78,4.91,4.75,4.84,4.80,,,,,5.1616,0,4.6043,1,246,,,,,0
2023-08-04,4.84,4.96,4.81,4.82,4.80,,,,,5.1616,0,4.6112,1,274,,,,,0
2023-08-07,4.79,4.94,4.74,4.86,4.81,,,,,5.1616,0,4.6251,1,620,,,,,0
2023-08-08,4.87,5.25,4.79,5.20,4.85,4.84,,,,4.4397,1,4.6385,1,1337,,,,,0
2023-08-09,5.19,5.24,4.89,4.95,4.87,4.85,,,,4.4397,1,4.6752,1,583,,,,,0
2023-08-10,4.95,5.09,4.95,4.99,4.91,4.86,,,,4.4397,1,4.7097,1,375,,,,,0
