Date,Open,High,Low,Close,Ma10:Top:Line,Ma20:Top:Line,Ma50:Top:Line,Ma150:Top:Line,Ma200:Top:Line,Supertrend:Top:ColorLine,Supertrend_Dir,ParabolicSAR:Top:ColorLine,ParabolicSAR_Dir,Volume:Middle:Histogram,Vo50:Middle:Line,Macd:Bottom:Line,MacdSignal:Bottom:Line,MacdDelta:Bottom:Histogram,RsRating:Hidden:Hidden
2023-07-13,1.88,2.24,1.86,2.22,,,,,,,0,1.8600,1,2195,,,,,0
2023-07-14,2.23,2.31,1.98,2.00,,,,,,,0,1.8600,1,1220,,,,,0
2023-07-17,1.99,2.13,1.90,2.08,,,,,,,0,1.8600,1,577,,,,,0
2023-07-18,2.07,2.29,2.02,2.21,,,,,,,0,1.8690,1,1271,,,,,0
2023-07-19,2.23,2.44,2.21,2.40,,,,,,,0,1.8778,1,2130,,,,,0
2023-07-20,2.36,2.36,2.12,2.18,,,,,,,0,1.9003,1,1353,,,,,0
2023-07-21,2.22,2.45,2.20,2.41,,,,,,,0,1.9219,1,1171,,,,,0
2023-07-24,2.41,2.42,2.22,2.29,,,,,,,0,1.9536,1,1108,,,,,0
2023-07-25,2.28,2.34,2.13,2.14,,,,,,,0,1.9834,1,846,,,,,0
2023-07-26,2.10,2.19,2.02,2.06,2.20,,,,,2.8776,0,2.0114,1,1131,,,,,0
2023-07-27,2.09,2.12,1.98,1.99,2.18,,,,,2.7859,0,2.4500,0,771,,,,,0
2023-07-28,2.00,2.16,2.00,2.13,2.19,,,,,2.7859,0,2.4407,0,611,,,,,0
2023-07-31,2.15,2.31,2.12,2.20,2.20,,,,,2.7859,0,2.4315,0,671,,,,,0
2023-08-01,2.22,2.22,2.01,2.04,2.18,,,,,2.7859,0,2.4226,0,725,,,,,0
2023-08-02,2.13,2.13,1.93,1.96,2.14,,,,,2.7126,0,2.4138,0,1058,,,,,0
2023-08-03,1.95,2.03,1.88,1.95,2.12,,,,,2.6144,0,2.3945,0,690,,,,,0
2023-08-04,1.95,2.00,1.91,1.93,2.07,,,,,2.5754,0,2.3636,0,540,,,,,0
2023-08-07,1.98,1.98,1.68,1.77,2.02,,,,,2.4784,0,2.3346,0,969,,,,,0
2023-08-08,1.75,1.85,1.62,1.83,1.99,,,,,2.3876,0,2.2822,0,598,,,,,0
2023-08-09,1.85,1.86,1.71,1.73,1.95,2.08,,,,2.3876,0,2.2160,0,548,,,,,0
2023-08-10,1.76,1.79,1.68,1.71,1.93,2.05,,,,2.3384,0,2.1564,0,1006,,,,,0
2023-08-11,1.69,1.78,1.67,1.68,1.88,2.03,,,,2.3011,0,2.1028,0,689,,,,,0
2023-08-14,1.66,1.78,1.64,1.77,1.84,2.02,,,,2.2705,0,2.0545,0,487,,,,,0
2023-08-15,1.79,1.79,1.63,1.64,1.80,1.99,,,,2.2624,0,2.0110,0,653,,,,,0
2023-08-16,1.64,1.65,1.50,1.60,1.76,1.95,,,,2.1172,0,1.9719,0,764,,,,,0
2023-08-17,1.60,1.69,1.57,1.66,1.73,1.92,,,,2.1172,0,1.9153,0,465,,,,,0
2023-08-18,1.64,1.73,1.57,1.68,1.71,1.89,,,,2.1172,0,1.8655,0,444,,,,,0
2023-08-21,1.70,1.73,1.63,1.67,1.70,1.86,,,,2.1172,0,1.8216,0,919,,,,,0
2023-08-22,1.69,1.71,1.52,1.52,1.67,1.83,,,,2.1172,0,1.7830,0,823,,,,,0
2023-08-23,1.52,1.65,1.52,1.62,1.65,1.80,,,,2.0784,0,1.7491,0,432,,,,,0
2023-08-24,1.62,1.63,1.54,1.56,1.64,1.78,,,,2.0528,0,1.7192,0,325,,,,,0
2023-08-25,1.56,1.68,1.53,1.68,1.64,1.76,,,,2.0528,0,1.6929,0,508,,,,,0
2023-08-28,1.73,1.73,1.58,1.63,1.63,1.73,,,,2.0528,0,1.5000,1,541,,,,,0
2023-08-29,1.63,1.82,1.60,1.79,1.64,1.72,,,,2.0528,0,1.5046,1,621,,-0.1421,-0.1845,0.0424,0
2023-08-30,1.78,1.92,1.76,1.84,1.66,1.71,,,,2.0528,0,1.5172,1,641,,-0.1195,-0.1715,0.0520,0
2023-08-31,1.85,1.92,1.79,1.79,1.68,1.70,,,,2.0528,0,1.5414,1,741,,-0.1043,-0.1581,0.0537,0
2023-09-01,1.81,1.99,1.81,1.87,1.70,1.70,,,,2.0528,0,1.5641,1,684,,-0.0849,-0.1434,0.0585,0
2023-09-05,1.88,1.90,1.70,1.72,1.70,1.70,,,,2.0528,0,1.5982,1,588,,-0.0807,-0.1309,0.0502,0
2023-09-06,1.71,1.73,1.63,1.66,1.72,1.69,,,,2.0528,0,1.6295,1,377,,-0.0813,-0.1210,0.0397,0
2023-09-07,1.65,1.69,1.57,1.62,1.72,1.69,,,,2.0528,0,1.9900,0,579,,-0.0840,-0.1136,0.0296,0
2023-09-08,1.63,1.66,1.55,1.64,1.72,1.68,,,,2.0528,0,1.9816,0,344,,-0.0835,-0.1076,0.0240,0
2023-09-11,1.65,1.71,1.61,1.66,1.72,1.68,,,,2.0528,0,1.9643,0,261,,-0.0806,-0.1022,0.0215,0
2023-09-12,1.66,1.68,1.60,1.61,1.72,1.67,,,,2.0528,0,1.9478,0,378,,-0.0814,-0.0980,0.0166,0
2023-09-13,1.60,1.71,1.60,1.66,1.71,1.67,,,,2.0528,0,1.9319,0,708,,-0.0772,-0.0939,0.0167,0
2023-09-14,1.66,1.73,1.66,1.69,1.69,1.68,,,,2.0528,0,1.9166,0,413,,-0.0705,-0.0892,0.0187,0
2023-09-15,1.68,1.69,1.54,1.54,1.67,1.67,,,,2.0101,0,1.9019,0,1264,,-0.0765,-0.0867,0.0102,0
2023-09-18,1.55,1.58,1.48,1.56,1.64,1.67,,,,1.9164,0,1.8802,0,420,,-0.0787,-0.0851,0.0064,0
2023-09-19,1.54,1.60,1.52,1.57,1.62,1.66,,,,1.9164,0,1.8482,0,291,,-0.0787,-0.0838,0.0051,0
2023-09-20,1.57,1.61,1.51,1.52,1.61,1.66,,,,1.9164,0,1.8187,0,302,,-0.0819,-0.0834,0.0015,0
2023-09-21,1.49,1.52,1.38,1.49,1.59,1.65,1.82,,,1.8200,0,1.7916,0,1086,759,-0.0858,-0.0839,-0.0019,0
2023-09-22,1.50,1.53,1.44,1.47,1.58,1.65,1.81,,,1.8200,0,1.7505,0,282,721,-0.0894,-0.0850,-0.0044,0
2023-09-25,1.45,1.48,1.35,1.35,1.55,1.63,1.80,,,1.7780,0,1.7134,0,582,708,-0.1009,-0.0882,-0.0127,0
2023-09-26,1.35,1.38,1.26,1.28,1.51,1.62,1.78,,,1.6833,0,1.6698,0,573,708,-0.1143,-0.0934,-0.0209,0
2023-09-27,1.28,1.35,1.28,1.35,1.48,1.59,1.76,,,1.6616,0,1.6129,0,459,691,-0.1179,-0.0983,-0.0196,0
2023-09-28,1.36,1.38,1.29,1.38,1.45,1.57,1.74,,,1.6616,0,1.5639,0,267,654,-0.1170,-0.1020,-0.0149,0
2023-09-29,1.38,1.40,1.32,1.32,1.43,1.55,1.72,,,1.6616,0,1.5218,0,284,633,-0.1197,-0.1056,-0.0141,0
2023-10-02,1.32,1.36,1.25,1.29,1.40,1.52,1.70,,,1.6341,0,1.4855,0,479,619,-0.1229,-0.1090,-0.0139,0
2023-10-03,1.27,1.45,1.25,1.41,1.39,1.50,1.68,,,1.6341,0,1.4480,0,969,616,-0.1144,-0.1101,-0.0043,0
2023-10-04,1.39,1.42,1.26,1.28,1.36,1.48,1.67,,,1.6341,0,1.4450,0,361,606,-0.1164,-0.1114,-0.0051,0
2023-10-05,1.30,1.43,1.30,1.37,1.35,1.47,1.65,,,1.6341,0,1.4450,0,407,592,-0.1099,-0.1111,0.0012,0
2023-10-06,1.37,1.39,1.30,1.38,1.34,1.46,1.64,,,1.6341,0,1.4300,0,344,583,-0.1027,-0.1094,0.0067,0
2023-10-09,1.36,1.37,1.30,1.34,1.34,1.44,1.63,,,1.6341,0,1.4300,0,217,576,-0.0991,-0.1074,0.0082,0
2023-10-10,1.32,1.45,1.32,1.38,1.35,1.43,1.61,,,1.6341,0,1.2500,1,368,570,-0.0920,-0.1043,0.0123,0
2023-10-11,1.35,1.41,1.30,1.36,1.35,1.42,1.60,,,1.6341,0,1.2539,1,319,561,-0.0870,-0.1008,0.0139,0
2023-10-12,1.37,1.38,1.27,1.32,1.35,1.40,1.58,,,1.6341,0,1.2577,1,338,547,-0.0852,-0.0977,0.0125,0
2023-10-13,1.32,1.36,1.29,1.34,1.35,1.39,1.57,,,1.6341,0,1.2615,1,171,537,-0.0813,-0.0944,0.0131,0
