Date,Open,High,Low,Close,Ma10:Top:Line,Ma20:Top:Line,Ma50:Top:Line,Ma150:Top:Line,Ma200:Top:Line,Supertrend:Top:ColorLine,Supertrend_Dir,ParabolicSAR:Top:ColorLine,ParabolicSAR_Dir,Volume:Middle:Histogram,Vo50:Middle:Line,Macd:Bottom:Line,MacdSignal:Bottom:Line,MacdDelta:Bottom:Histogram,RsRating:Hidden:Hidden
2023-07-12,68.07,68.46,67.64,67.73,,,,,,,0,67.6433,1,7359,,,,,0
2023-07-13,67.89,68.57,67.47,67.62,,,,,,,0,68.5691,0,5796,,,,,0
2023-07-14,67.44,68.24,66.97,68.17,,,,,,,0,68.5691,0,3971,,,,,0
2023-07-17,67.79,69.31,67.79,69.12,,,,,,,0,66.9656,1,5468,,,,,0
2023-07-18,69.27,70.60,69.27,70.33,,,,,,,0,66.9656,1,5312,,,,,0
2023-07-19,69.92,70.71,69.92,70.25,,,,,,,0,67.1111,1,5947,,,,,0
2023-07-20,68.78,69.03,65.41,66.76,,,,,,,0,70.7072,0,14527,,,,,0
2023-07-21,67.21,69.43,67.07,67.59,,,,,,,0,70.7072,0,8129,,,,,0
2023-07-24,67.48,67.58,66.43,67.12,,,,,,,0,70.6012,0,5893,,,,,0
2023-07-25,67.15,67.47,66.28,67.03,68.17,,,,,71.9260,0,70.4974,0,4628,,,,,0
2023-07-26,66.91,67.92,66.90,67.34,68.13,,,,,71.9260,0,70.3956,0,5658,,,,,0
2023-07-27,67.59,67.71,66.67,66.88,68.06,,,,,71.8692,0,70.2959,0,4106,,,,,0
2023-07-28,67.14,67.42,65.49,65.60,67.80,,,,,71.2476,0,70.1982,0,3979,,,,,0
2023-07-31,65.56,66.36,65.56,66.16,67.50,,,,,70.5173,0,70.1024,0,3452,,,,,0
2023-08-01,65.39,66.28,65.39,66.00,67.07,,,,,70.1993,0,70.0086,0,2593,,,,,0
2023-08-02,65.33,66.17,65.25,65.32,66.58,,,,,69.9165,0,69.8239,0,2710,,,,,0
2023-08-03,64.76,65.86,64.26,65.39,66.44,,,,,69.3251,0,69.5493,0,4385,,,,,0
2023-08-04,65.61,65.72,64.80,64.96,66.18,,,,,69.3251,0,69.1265,0,2334,,,,,0
2023-08-07,64.91,65.81,64.91,65.21,65.99,,,,,69.3251,0,68.7376,0,3396,,,,,0
2023-08-08,64.54,64.97,63.91,64.97,65.78,66.98,,,,68.4036,0,68.3797,0,3029,,,,,0
2023-08-09,65.12,65.79,64.98,65.27,65.58,66.85,,,,68.4036,0,67.9329,0,3248,,,,,0
2023-08-10,65.41,65.86,64.85,65.70,65.46,66.76,,,,68.4036,0,67.5307,0,4323,,,,,0
2023-08-11,65.30,65.60,64.95,65.48,65.45,66.62,,,,68.4036,0,67.1688,0,2922,,,,,0
2023-08-14,65.28,65.28,64.33,64.91,65.32,66.41,,,,68.3735,0,66.8430,0,3094,,,,,0
2023-08-15,64.53,64.69,63.89,64.11,65.13,66.10,,,,67.8123,0,66.5499,0,3352,,,,,0
2023-08-16,63.83,64.63,63.64,63.67,64.97,65.77,,,,67.5978,0,66.2310,0,2829,,,,,0
2023-08-17,63.67,64.62,62.88,63.15,64.74,65.59,,,,67.3862,0,65.8688,0,2851,,,,,0
2023-08-18,62.57,63.42,62.57,62.97,64.54,65.36,,,,66.5262,0,65.3907,0,6505,,,,,0
2023-08-21,62.87,63.21,62.60,62.87,64.31,65.15,,,,66.2628,0,64.8821,0,3175,,,,,0
2023-08-22,63.26,63.54,63.00,63.26,64.14,64.96,,,,66.2628,0,64.4652,0,4176,,,,,0
2023-08-23,63.40,64.19,62.89,64.08,64.02,64.80,,,,66.2628,0,62.5655,1,2719,,,,,0
2023-08-24,64.09,64.60,63.73,63.81,63.83,64.64,,,,66.2628,0,62.5980,1,5448,,,,,0
2023-08-25,63.87,64.06,63.14,63.50,63.63,64.54,,,,66.2628,0,62.6780,1,2388,,,,,0
