Date,Open,High,Low,Close,Ma10:Top:Line,Ma20:Top:Line,Ma50:Top:Line,Ma150:Top:Line,Ma200:Top:Line,Supertrend:Top:ColorLine,Supertrend_Dir,ParabolicSAR:Top:ColorLine,ParabolicSAR_Dir,Volume:Middle:Histogram,Vo50:Middle:Line,Macd:Bottom:Line,MacdSignal:Bottom:Line,MacdDelta:Bottom:Histogram,RsRating:Hidden:Hidden
2023-07-13,64.03,66.45,63.87,66.37,,,,,,,0,63.8659,1,109132,,,,,0
2023-07-14,66.17,66.57,65.20,65.38,,,,,,,0,63.8659,1,100298,,,,,0
2023-07-17,64.04,64.71,63.68,64.62,,,,,,,0,66.5738,0,48828,,,,,0
2023-07-18,64.37,65.75,64.27,65.26,,,,,,,0,66.5738,0,75682,,,,,0
2023-07-19,64.27,65.48,64.05,65.36,,,,,,,0,66.5159,0,95006,,,,,0
2023-07-20,66.31,67.17,65.89,66.64,,,,,,,0,63.6786,1,99375,,,,,0
2023-07-21,66.97,67.06,66.36,66.74,,,,,,,0,63.7484,1,65705,,,,,0
2023-07-24,66.75,68.02,66.57,67.59,,,,,,,0,63.8168,1,75251,,,,,0
2023-07-25,68.63,71.96,68.50,71.18,,,,,,,0,63.9850,1,163276,,,,,0
2023-07-26,71.01,72.18,70.93,71.55,67.07,,,,,76.9967,0,64.4633,1,135440,,,,,0
2023-07-27,71.56,72.99,71.30,71.50,67.58,,,,,76.9967,0,65.0804,1,116231,,,,,0
2023-07-28,72.67,72.76,70.68,72.57,68.30,,,,,76.9967,0,65.8718,1,66923,,,,,0
2023-07-31,73.11,74.59,73.11,74.46,69.29,,,,,76.9967,0,66.5840,1,105050,,,,,0
2023-08-01,73.26,73.34,71.97,72.29,69.99,,,,,76.9967,0,67.5444,1,109236,,,,,0
2023-08-02,70.64,71.52,69.59,69.91,70.44,,,,,76.5274,0,68.3895,1,90540,,,,,0
2023-08-03,69.94,71.92,69.92,71.33,70.91,,,,,76.5274,0,69.1332,1,88285,,,,,0
2023-08-04,71.14,71.70,70.50,71.43,71.38,,,,,76.5274,0,69.5883,1,85692,,,,,0
2023-08-07,71.81,72.00,71.00,71.58,71.78,,,,,76.5274,0,69.9204,1,75999,,,,,0
2023-08-08,69.83,72.49,69.56,72.08,71.87,,,,,76.5274,0,74.5869,0,108941,,,,,0
2023-08-09,72.71,72.80,71.46,71.87,71.90,69.49,,,,76.5274,0,74.4863,0,69572,,,,,0
2023-08-10,72.35,73.31,71.20,71.75,71.93,69.76,,,,76.5274,0,74.3876,0,86765,,,,,0
2023-08-11,70.69,71.24,70.24,70.80,71.75,70.03,,,,76.3149,0,74.2910,0,95056,,,,,0
2023-08-14,69.81,70.53,68.73,70.37,71.34,70.31,,,,75.2701,0,74.1963,0,78907,,,,,0
2023-08-15,69.52,69.68,68.69,69.07,71.02,70.50,,,,74.7620,0,73.9776,0,92629,,,,,0
2023-08-16,68.60,69.85,68.33,69.20,70.95,70.70,,,,74.5684,0,73.6600,0,103924,,,,,0
2023-08-17,70.60,70.87,68.78,68.90,70.71,70.81,,,,74.5684,0,73.2338,0,71299,,,,,0
2023-08-18,68.08,68.12,66.32,66.57,70.22,70.80,,,,72.9919,0,72.8416,0,116632,,,,,0
2023-08-21,66.86,67.84,66.73,67.72,69.83,70.81,,,,72.8633,0,72.1890,0,67406,,,,,0
2023-08-22,68.90,68.91,67.87,68.27,69.45,70.66,,,,72.8633,0,71.6016,0,55818,,,,,0
2023-08-23,68.56,70.34,68.26,70.17,69.28,70.59,,,,72.8633,0,71.0730,0,91280,,,,,0
2023-08-24,69.22,69.98,67.90,68.01,68.91,70.42,,,,72.8633,0,70.5972,0,93591,,,,,0
2023-08-25,68.42,68.46,66.36,67.04,68.53,70.14,,,,72.8633,0,70.3399,0,50828,,,,,0
2023-08-28,67.65,68.17,67.29,68.06,68.30,69.82,,,,72.8633,0,69.9780,0,81650,,,,,0
2023-08-29,68.08,69.40,67.55,69.39,68.33,69.68,,,,72.8633,0,69.6117,0,68941,,-0.1940,-0.0086,-0.1854,0
2023-08-30,69.49,70.12,69.10,69.86,68.40,69.67,,,,72.8633,0,66.3153,1,59830,,-0.0937,-0.0256,-0.0681,0
2023-08-31,69.90,70.21,69.44,69.51,68.46,69.58,,,,72.8633,0,66.3913,1,70376,,-0.0414,-0.0288,-0.0127,0
2023-09-01,70.99,71.62,70.61,70.79,68.88,69.55,,,,72.8633,0,66.5441,1,57777,,0.1017,-0.0027,0.1044,0
2023-09-05,70.44,70.95,68.29,68.34,68.94,69.39,,,,72.8633,0,66.8489,1,99862,,0.0174,0.0013,0.0161,0
2023-09-06,67.76,68.60,67.25,68.58,68.98,69.21,,,,72.8633,0,67.1354,1,84379,,-0.0296,-0.0048,-0.0247,0
2023-09-07,67.69,67.88,67.07,67.65,68.72,69.00,,,,72.6336,0,71.6240,0,63051,,-0.1403,-0.0319,-0.1083,0
2023-09-08,67.25,67.88,66.98,67.84,68.71,68.81,,,,72.3422,0,71.5330,0,62149,,-0.2103,-0.0676,-0.1427,0
2023-09-11,69.84,70.12,69.07,69.29,68.93,68.73,,,,72.3422,0,71.3508,0,42508,,-0.1472,-0.0835,-0.0637,0
2023-09-12,68.50,69.28,68.05,68.33,68.96,68.63,,,,72.3422,0,71.1760,0,61204,,-0.1725,-0.1013,-0.0712,0
2023-09-13,68.33,68.40,67.31,67.54,68.77,68.55,,,,72.3422,0,71.0081,0,58268,,-0.2535,-0.1318,-0.1218,0
2023-09-14,68.99,70.07,68.96,69.12,68.70,68.55,,,,72.3422,0,70.8469,0,102284,,-0.1877,-0.1429,-0.0447,0
2023-09-15,69.22,69.42,68.65,68.75,68.62,68.54,,,,72.3422,0,70.6922,0,130791,,-0.1642,-0.1472,-0.0170,0
2023-09-18,68.64,68.99,68.03,68.65,68.41,68.65,,,,72.3422,0,70.5437,0,58502,,-0.1514,-0.1480,-0.0034,0
2023-09-19,68.60,68.87,67.13,67.65,68.34,68.64,,,,72.3422,0,70.4011,0,59825,,-0.2195,-0.1623,-0.0572,0
2023-09-20,68.16,68.81,67.07,67.12,68.19,68.58,,,,72.3422,0,70.2642,0,33122,,-0.3129,-0.1925,-0.1205,0
2023-09-21,65.50,66.22,64.67,65.50,67.98,68.35,68.99,,,70.4322,0,70.1328,0,92203,83506,-0.5118,-0.2563,-0.2555,0
2023-09-22,66.36,66.57,64.18,64.40,67.63,68.17,68.95,,,70.4322,0,69.8050,0,101775,83359,-0.7491,-0.3549,-0.3942,0
2023-09-25,63.77,64.44,63.10,64.20,67.13,68.03,68.93,,,68.8561,0,69.3548,0,80967,82973,-0.9423,-0.4724,-0.4699,0
2023-09-26,63.39,64.08,62.43,62.62,66.55,67.76,68.89,,,68.3672,0,68.7294,0,156619,85128,-1.2094,-0.6198,-0.5897,0
2023-09-27,63.00,63.14,62.01,62.74,66.07,67.42,68.84,,,67.5096,0,67.9733,0,74977,85114,-1.3953,-0.7749,-0.6204,0
2023-09-28,63.65,65.04,63.56,64.63,65.63,67.16,68.82,,,67.5096,0,67.1379,0,58597,84386,-1.3738,-0.8947,-0.4791,0
2023-09-29,65.62,66.03,64.65,64.88,65.24,66.93,68.79,,,67.5096,0,66.4195,0,60172,83602,-1.3213,-0.9800,-0.3413,0
2023-10-02,64.20,65.03,63.11,63.73,64.75,66.58,68.73,,,67.5096,0,66.0309,0,76013,83808,-1.3573,-1.0555,-0.3018,0
2023-10-03,62.66,63.88,62.61,63.32,64.31,66.33,68.64,,,67.5096,0,66.0309,0,63133,83566,-1.4030,-1.1250,-0.2780,0
2023-10-04,63.38,63.68,62.20,63.20,63.92,66.06,68.48,,,67.5096,0,65.4675,0,80894,81918,-1.4318,-1.1863,-0.2454,0
2023-10-05,63.12,63.72,61.65,61.78,63.55,65.77,68.29,,,67.5096,0,64.9829,0,70299,80615,-1.5514,-1.2594,-0.2921,0
2023-10-06,62.27,64.09,61.97,63.71,63.48,65.56,68.13,,,67.5096,0,64.4501,0,89086,80073,-1.4735,-1.3022,-0.1713,0
2023-10-09,63.01,64.25,62.83,63.93,63.46,65.29,67.96,,,67.5096,0,61.6530,1,44901,79632,-1.3785,-1.3174,-0.0610,0
2023-10-10,64.51,65.44,64.26,64.82,63.67,65.11,67.77,,,67.5096,0,61.7049,1,53286,78597,-1.2175,-1.2975,0.0800,0
2023-10-11,65.25,65.35,63.78,64.06,63.81,64.94,67.60,,,67.5096,0,61.8541,1,60252,77617,-1.1380,-1.2656,0.1276,0
2023-10-12,63.99,64.13,61.81,62.35,63.58,64.60,67.45,,,67.5096,0,65.4363,0,61100,77028,-1.1989,-1.2522,0.0534,0
2023-10-13,62.88,63.19,61.88,62.17,63.31,64.27,67.27,,,67.5096,0,65.3637,0,48226,76227,-1.2473,-1.2512,0.0039,0
2023-10-16,62.61,63.40,62.22,63.01,63.23,63.99,67.10,,,67.5096,0,65.2926,0,56039,75634,-1.2044,-1.2419,0.0375,0
2023-10-17,62.05,64.01,61.94,63.63,63.27,63.79,66.94,,,67.5096,0,65.2229,0,48145,75077,-1.1075,-1.2150,0.1075,0
2023-10-18,62.62,62.72,61.27,61.28,63.07,63.50,66.72,,,67.2815,0,65.1546,0,57002,74038,-1.2060,-1.2132,0.0072,0
2023-10-19,61.18,61.50,60.55,61.08,63.00,63.28,66.51,,,66.0637,0,64.9994,0,64806,73943,-1.2852,-1.2276,-0.0576,0
2023-10-20,60.47,61.09,60.08,60.50,62.68,63.08,66.28,,,65.4270,0,64.7324,0,59824,73404,-1.3794,-1.2580,-0.1214,0
2023-10-23,60.15,60.79,59.53,60.47,62.34,62.90,66.08,,,64.8940,0,64.3606,0,56248,72628,-1.4396,-1.2943,-0.1453,0
2023-10-24,60.81,61.97,60.50,61.40,62.00,62.83,65.90,,,64.8940,0,63.8778,0,54100,72132,-1.3960,-1.3146,-0.0814,0
2023-10-25,61.40,63.82,59.87,59.96,61.58,62.70,65.71,,,64.8940,0,59.5330,1,113413,72547,-1.4615,-1.3440,-0.1175,0
2023-10-26,59.96,61.55,59.69,60.88,61.44,62.51,65.55,,,64.8940,0,59.6188,1,62177,71713,-1.4226,-1.3597,-0.0628,0
2023-10-27,62.61,63.49,61.38,61.64,61.38,62.35,65.40,,,64.8940,0,59.6881,1,67102,71629,-1.3147,-1.3507,0.0360,0
2023-10-30,62.47,62.64,61.74,61.86,61.27,62.25,65.31,,,64.8940,0,59.6881,1,61264,70521,-1.1980,-1.3202,0.1222,0
2023-10-31,61.32,61.52,60.52,61.10,61.02,62.14,65.18,,,64.8940,0,59.7708,1,65660,70486,-1.1534,-1.2868,0.1334,0
2023-11-01,61.39,62.09,60.65,61.97,61.09,62.08,65.05,,,64.8940,0,59.8519,1,49388,70358,-1.0359,-1.2366,0.2007,0
2023-11-02,63.08,64.16,62.64,63.65,61.34,62.17,64.92,,,64.8940,0,59.9314,1,77228,70077,-0.7979,-1.1489,0.3509,0
2023-11-03,64.15,64.86,63.71,64.00,61.69,62.19,64.84,,,64.8940,0,60.1006,1,62727,69459,-0.5749,-1.0341,0.4592,0
2023-11-06,64.29,64.63,63.74,63.97,62.04,62.19,64.78,,,64.8940,0,60.3861,1,43313,69309,-0.3957,-0.9064,0.5107,0
2023-11-07,62.82,63.28,62.01,62.28,62.13,62.06,64.66,,,64.8940,0,60.6544,1,46417,68604,-0.3860,-0.8023,0.4163,0
2023-11-08,61.99,62.53,60.80,61.44,62.28,61.93,64.50,,,64.8940,0,64.8589,0,58754,68401,-0.4409,-0.7301,0.2892,0
2023-11-09,61.94,62.30,60.88,60.99,62.29,61.86,64.33,,,64.8940,0,64.7777,0,50508,68214,-0.5144,-0.6869,0.1725,0
2023-11-10,60.91,61.79,60.21,61.73,62.30,61.84,64.17,,,64.8940,0,64.6982,0,56232,67931,-0.5069,-0.6509,0.1440,0
2023-11-13,61.60,61.96,61.26,61.31,62.24,61.76,63.98,,,64.8940,0,64.5188,0,40368,67583,-0.5294,-0.6266,0.0972,0
2023-11-14,63.16,64.96,62.89,64.72,62.61,61.81,63.91,,,64.8940,0,60.2149,1,100807,67602,-0.2685,-0.5550,0.2865,0
2023-11-15,65.32,66.30,64.82,65.79,62.99,62.04,63.85,,,60.3442,1,60.3098,1,100930,67933,0.0239,-0.4392,0.4632,0
2023-11-16,65.38,65.76,64.57,65.40,63.16,62.25,63.81,,,60.3442,1,60.5495,1,50942,67691,0.2222,-0.3069,0.5291,0
2023-11-17,65.89,66.07,65.24,65.30,63.29,62.49,63.76,,,60.8503,1,60.7797,1,58903,67626,0.3666,-0.1722,0.5388,0
2023-11-20,65.52,66.12,64.91,65.37,63.43,62.74,63.68,,,60.8503,1,61.0007,1,78669,68349,0.4811,-0.0416,0.5227,0
2023-11-21,65.70,67.45,65.67,66.45,63.85,62.99,63.64,,,61.7154,1,61.2128,1,110172,69329,0.6518,0.0971,0.5547,0
2023-11-22,66.22,66.79,65.21,65.72,64.28,63.28,63.60,,,61.7154,1,61.5869,1,58574,69335,0.7195,0.2216,0.4979,0
2023-11-24,65.51,65.58,64.60,64.83,64.66,63.48,63.52,,,61.7154,1,61.9386,1,39584,68081,0.6933,0.3159,0.3774,0
2023-11-27,63.12,63.77,61.97,62.03,64.69,63.50,63.38,,,61.7154,1,67.4480,0,121612,67897,0.4419,0.3411,0.1008,0
2023-11-28,62.03,62.79,61.70,62.76,64.84,63.54,63.27,,,61.7154,1,67.3385,0,102279,68773,0.2977,0.3324,-0.0347,0
2023-11-29,63.12,63.21,62.34,62.70,64.63,63.62,63.17,,,61.7154,1,67.1130,0,61564,68807,0.1764,0.3012,-0.1248,0
2023-11-30,62.88,63.05,62.29,62.84,64.34,63.66,63.08,,,61.7154,1,66.8964,0,112160,70388,0.0906,0.2591,-0.1685,0
2023-12-01,63.56,67.07,63.36,67.04,64.50,63.83,63.11,,,61.7154,1,61.7000,1,122116,70986,0.3575,0.2788,0.0787,0
2023-12-04,65.11,65.72,64.06,64.37,64.41,63.85,63.11,,,61.7154,1,61.8074,1,68207,70315,0.3500,0.2930,0.0570,0
2023-12-05,63.69,63.69,62.44,62.54,64.13,63.78,63.08,,,61.7154,1,61.9127,1,72864,70153,0.1938,0.2732,-0.0794,0
2023-12-06,63.15,63.43,61.99,62.26,63.71,63.78,63.07,,,61.7154,1,67.0724,0,55377,68128,0.0469,0.2279,-0.1810,0
2023-12-07,62.63,62.98,61.95,62.61,63.40,63.84,63.07,,,61.7154,1,66.9707,0,67133,67971,-0.0409,0.1742,-0.2150,0
2023-12-08,63.01,66.48,62.69,65.91,63.50,64.08,63.09,,,61.7154,1,66.7700,0,112036,69040,0.1543,0.1702,-0.0159,0
2023-12-11,64.68,65.74,63.93,65.63,63.86,64.28,63.11,,,61.7154,1,66.5774,0,63568,69108,0.2831,0.1928,0.0903,0
2023-12-12,65.40,65.71,64.87,65.37,64.13,64.48,63.14,,,61.7154,1,66.4784,0,54850,68685,0.3599,0.2262,0.1337,0
2023-12-13,65.24,67.90,64.45,67.57,64.61,64.62,63.23,,,61.7154,1,61.9533,1,82571,69074,0.5916,0.2993,0.2923,0
2023-12-14,69.00,71.45,68.99,71.38,65.47,64.90,63.39,,,63.6170,1,62.0723,1,145615,70368,1.0702,0.4534,0.6167,0
2023-12-15,70.85,72.22,70.27,71.88,65.95,65.23,63.59,,,64.7151,1,62.4474,1,180481,72572,1.4727,0.6573,0.8154,0
2023-12-18,72.07,73.29,72.07,72.35,66.75,65.58,63.77,,,66.3804,1,63.0336,1,103434,72859,1.8089,0.8876,0.9213,0
2023-12-19,73.60,74.39,73.21,74.22,67.92,66.02,63.97,,,67.5197,1,63.8543,1,70908,73379,2.2008,1.1502,1.0505,0
2023-12-20,73.48,74.10,72.70,72.77,68.97,66.34,64.13,,,67.5197,1,64.9081,1,108348,74480,2.3671,1.3936,0.9735,0
2023-12-21,74.15,75.30,73.49,75.12,70.22,66.81,64.35,,,68.1372,1,65.8566,1,82396,74923,2.6579,1.6465,1.0114,0
2023-12-22,75.97,76.66,75.43,76.52,71.28,67.39,64.64,,,69.9504,1,66.9900,1,110867,75918,2.9676,1.9107,1.0569,0
2023-12-26,76.84,77.10,76.08,76.26,72.34,68.10,64.92,,,70.7952,1,68.3444,1,52825,76010,3.1555,2.1596,0.9959,0
2023-12-27,76.53,77.17,76.32,77.05,73.51,68.82,65.20,,,71.2594,1,69.7454,1,68390,76257,3.3295,2.3936,0.9359,0
2023-12-28,76.66,77.22,76.29,76.29,74.38,69.50,65.45,,,71.5364,1,71.0820,1,58904,76472,3.3673,2.5883,0.7789,0
2023-12-29,75.12,75.62,73.77,75.19,74.76,70.12,65.73,,,71.5364,1,72.3102,1,67565,76684,3.2707,2.7248,0.5458,0
2024-01-02,74.50,75.28,73.47,73.96,74.97,70.46,65.99,,,71.5364,1,73.2928,1,97588,77339,3.0594,2.7917,0.2677,0
2024-01-03,71.96,73.69,70.92,73.28,75.07,70.91,66.24,,,71.5364,1,77.2232,0,103210,78207,2.8054,2.7945,0.0110,0
2024-01-04,72.95,73.51,72.61,73.21,74.97,71.44,66.50,,,71.5364,1,77.0971,0,61835,78319,2.5689,2.7494,-0.1805,0
2024-01-05,72.98,74.25,72.65,73.01,74.99,71.98,66.73,,,71.5364,1,76.9735,0,57954,78396,2.3382,2.6671,-0.3289,0
2024-01-08,72.44,74.69,72.15,74.68,74.95,72.58,67.02,,,71.5364,1,76.8523,0,62733,77382,2.2640,2.5865,-0.3225,0
2024-01-09,73.75,74.13,73.27,73.62,74.66,72.97,67.28,,,71.5364,1,76.7336,0,78945,77718,2.0957,2.4884,-0.3926,0
2024-01-10,73.41,73.62,72.70,72.78,74.31,73.33,67.50,,,71.5364,1,76.6173,0,56667,77509,1.8724,2.3652,-0.4928,0
2024-01-11,73.42,73.46,71.82,72.54,73.86,73.68,67.72,,,71.5364,1,76.5032,0,60212,77488,1.6573,2.2236,-0.5663,0
2024-01-12,73.20,73.56,72.34,72.63,73.49,73.94,67.95,,,71.5364,1,76.3915,0,52411,77223,1.4768,2.0742,-0.5974,0
2024-01-16,71.41,71.55,69.60,69.61,72.93,73.85,68.10,,,76.0333,0,76.2820,0,104915,78333,1.0775,1.8749,-0.7974,0
2024-01-17,68.22,68.77,67.39,68.56,72.39,73.68,68.20,,,73.6548,0,76.0146,0,72100,78231,0.6687,1.6336,-0.9649,0
2024-01-18,68.92,68.94,67.81,68.85,71.95,73.51,68.29,,,73.6548,0,75.4969,0,61440,78205,0.3638,1.3797,-1.0159,0
2024-01-19,68.85,70.87,68.36,70.84,71.71,73.34,68.43,,,73.6548,0,75.0103,0,105847,79456,0.2797,1.1597,-0.8800,0
2024-01-22,69.87,71.13,69.66,70.25,71.43,73.21,68.59,,,73.6548,0,74.5529,0,93416,80396,0.1639,0.9605,-0.7966,0
2024-01-23,71.20,72.34,71.01,71.60,71.13,73.04,68.79,,,73.6548,0,74.1230,0,104032,81301,0.1786,0.8041,-0.6255,0
2024-01-24,74.08,74.41,72.60,72.72,71.04,72.85,69.03,,,73.6548,0,67.3869,1,75083,81793,0.2780,0.6989,-0.4209,0
2024-01-25,73.23,73.63,72.33,73.22,71.08,72.69,69.26,,,73.6548,0,67.5274,1,93032,82529,0.3924,0.6376,-0.2452,0
2024-01-26,73.71,74.38,72.31,72.68,71.10,72.48,69.49,,,73.6548,0,67.6650,1,63964,83001,0.4344,0.5970,-0.1626,0
2024-01-29,72.87,73.40,72.16,73.08,71.14,72.32,69.65,,,73.6548,0,67.7999,1,64661,82278,0.4944,0.5765,-0.0821,0
2024-01-30,72.08,72.77,71.63,72.32,71.41,72.17,69.78,,,73.6548,0,67.9321,1,73956,81738,0.4752,0.5562,-0.0811,0
2024-01-31,72.75,73.77,71.69,71.72,71.73,72.06,69.91,,,73.6548,0,68.0617,1,85310,82426,0.4066,0.5263,-0.1197,0
2024-02-01,72.22,73.22,72.03,73.20,72.16,72.06,70.07,,,73.6548,0,68.1887,1,84234,82932,0.4660,0.5142,-0.0482,0
2024-02-02,71.28,72.25,70.19,71.40,72.22,71.97,70.19,,,73.6548,0,68.3131,1,106445,83488,0.3636,0.4841,-0.1205,0
2024-02-05,69.89,69.89,68.54,69.61,72.16,71.80,70.25,,,73.6548,0,68.4351,1,99955,83283,0.1372,0.4147,-0.2775,0
2024-02-06,70.36,71.98,70.32,71.82,72.18,71.65,70.37,,,73.6548,0,68.5400,1,82613,83764,0.1338,0.3585,-0.2248,0
2024-02-07,71.75,71.80,70.36,71.66,72.07,71.55,70.51,,,73.6548,0,68.5400,1,57618,84125,0.1171,0.3102,-0.1932,0
2024-02-08,71.20,71.30,69.78,70.71,71.82,71.45,70.68,,,73.6548,0,68.6574,1,64412,82981,0.0267,0.2535,-0.2269,0
2024-02-09,70.40,70.71,69.55,70.03,71.55,71.32,70.83,,,73.6548,0,68.7725,1,79262,82521,-0.0988,0.1830,-0.2819,0
2024-02-12,70.23,71.17,69.98,70.84,71.33,71.23,70.99,,,73.6548,0,68.8852,1,52551,82340,-0.1313,0.1202,-0.2514,0
2024-02-13,69.49,69.77,68.31,68.85,70.98,71.20,71.11,,,73.6548,0,74.4104,0,78810,81673,-0.3135,0.0334,-0.3470,0
2024-02-14,69.40,70.74,69.29,70.70,70.88,71.30,71.18,67.76,,73.6548,0,74.2884,0,51205,80255,-0.3057,-0.0344,-0.2713,0
2024-02-15,71.19,73.31,71.09,73.21,70.88,71.52,71.36,67.81,,73.6548,0,74.1689,0,80373,80498,-0.0954,-0.0466,-0.0488,0
2024-02-16,74.16,75.55,73.68,73.85,71.13,71.67,71.59,67.87,,68.6111,1,68.3133,1,75329,80548,0.1211,-0.0131,0.1341,0
