Date,Open,High,Low,Close,Ma10:Top:Line,Ma20:Top:Line,Ma50:Top:Line,Ma150:Top:Line,Ma200:Top:Line,Supertrend:Top:ColorLine,Supertrend_Dir,ParabolicSAR:Top:ColorLine,ParabolicSAR_Dir,Volume:Middle:Histogram,Vo50:Middle:Line,Macd:Bottom:Line,MacdSignal:Bottom:Line,MacdDelta:Bottom:Histogram,RsRating:Hidden:Hidden
2023-07-12,62.67,63.49,61.80,63.09,,,,,,,0,61.8042,1,13687,,,,,0
2023-07-13,62.92,64.20,62.78,64.13,,,,,,,0,61.8042,1,13601,,,,,0
2023-07-14,64.01,64.26,63.12,63.59,,,,,,,0,61.8042,1,13109,,,,,0
2023-07-17,63.42,64.69,63.17,63.87,,,,,,,0,61.9023,1,14395,,,,,0
2023-07-18,63.40,64.75,63.40,64.48,,,,,,,0,62.0698,1,13348,,,,,0
2023-07-19,64.48,65.34,64.32,65.12,,,,,,,0,62.2841,1,13015,,,,,0
2023-07-20,65.18,66.25,64.87,65.90,,,,,,,0,62.5895,1,11358,,,,,0
2023-07-21,66.15,66.41,65.52,66.25,,,,,,,0,63.0285,1,24476,,,,,0
2023-07-24,66.20,66.46,65.07,65.56,,,,,,,0,63.5020,1,13189,,,,,0
2023-07-25,65.15,65.92,64.53,65.55,64.75,,,,,69.1831,0,63.9747,1,13389,,,,,0
2023-07-26,65.24,66.26,64.81,65.63,65.01,,,,,69.1831,0,64.3718,1,12684,,,,,0
2023-07-27,65.57,65.57,62.83,63.59,64.95,,,,,68.6385,0,66.4563,0,20766,,,,,0
2023-07-28,63.78,64.35,62.97,64.18,65.01,,,,,68.0641,0,66.3838,0,19635,,,,,0
2023-07-31,63.92,64.92,63.28,64.02,65.03,,,,,68.0641,0,66.3128,0,181949,,,,,0
2023-08-01,64.07,64.35,62.70,63.09,64.89,,,,,68.0326,0,66.2431,0,15788,,,,,0
2023-08-02,62.82,63.70,62.55,63.69,64.74,,,,,67.5283,0,66.1015,0,14663,,,,,0
2023-08-03,63.59,63.78,62.39,62.53,64.41,,,,,67.4616,0,65.8884,0,11176,,,,,0
2023-08-04,62.64,63.93,62.64,63.28,64.11,,,,,67.4616,0,65.6089,0,12730,,,,,0
2023-08-07,63.22,64.52,63.22,64.04,63.96,,,,,67.4616,0,65.3518,0,11397,,,,,0
2023-08-08,64.04,64.12,62.90,63.56,63.76,64.26,,,,67.4616,0,65.1152,0,10289,,,,,0
2023-08-09,63.33,64.01,63.19,63.55,63.55,64.28,,,,67.4616,0,64.8976,0,11712,,,,,0
2023-08-10,64.06,64.63,62.94,63.18,63.51,64.23,,,,67.4616,0,64.6974,0,16928,,,,,0
2023-08-11,63.14,63.73,63.05,63.23,63.42,64.21,,,,67.3472,0,64.6325,0,8269,,,,,0
2023-08-14,63.47,63.47,62.28,62.54,63.27,64.15,,,,66.7962,0,64.6325,0,11650,,,,,0
2023-08-15,62.63,63.06,62.08,62.11,63.17,64.03,,,,66.3916,0,64.3977,0,7301,,,,,0
2023-08-16,62.44,62.44,61.49,62.00,63.00,63.87,,,,65.6871,0,64.1200,0,10220,,,,,0
2023-08-17,62.40,62.68,61.16,61.22,62.87,63.64,,,,65.6871,0,63.7517,0,6680,,,,,0
2023-08-18,61.30,61.84,61.05,61.58,62.70,63.41,,,,65.1043,0,63.3371,0,7866,,,,,0
2023-08-21,61.18,61.18,60.33,60.50,62.35,63.15,,,,64.4239,0,62.9256,0,8436,,,,,0
