Date,Open,High,Low,Close,Ma10:Top:Line,Ma20:Top:Line,Ma50:Top:Line,Ma150:Top:Line,Ma200:Top:Line,Supertrend:Top:ColorLine,Supertrend_Dir,ParabolicSAR:Top:ColorLine,ParabolicSAR_Dir,Volume:Middle:Histogram,Vo50:Middle:Line,Macd:Bottom:Line,MacdSignal:Bottom:Line,MacdDelta:Bottom:Histogram,RsRating:Hidden:Hidden
2023-07-12,45.52,45.80,44.65,44.78,,,,,,,0,45.8035,0,7410,,,,,0
2023-07-13,44.81,45.29,44.40,45.24,,,,,,,0,45.8035,0,5699,,,,,0
2023-07-14,45.28,45.28,44.21,44.52,,,,,,,0,45.8035,0,4978,,,,,0
2023-07-17,44.63,45.89,44.48,45.61,,,,,,,0,44.2100,1,7442,,,,,0
2023-07-18,45.61,46.61,45.58,46.17,,,,,,,0,44.2100,1,7509,,,,,0
2023-07-19,46.36,46.40,45.53,45.99,,,,,,,0,44.3058,1,8445,,,,,0
2023-07-20,46.25,46.51,45.64,46.10,,,,,,,0,44.3978,1,7575,,,,,0
2023-07-21,46.52,46.52,45.35,45.58,,,,,,,0,44.4860,1,8236,,,,,0
2023-07-24,45.47,46.75,45.40,46.14,,,,,,,0,44.5708,1,9689,,,,,0
2023-07-25,46.15,46.70,46.05,46.42,45.66,,,,,49.5136,0,44.7015,1,5775,,,,,0
2023-07-26,46.44,46.69,46.27,46.64,45.84,,,,,49.4308,0,44.8243,1,5714,,,,,0
2023-07-27,46.76,47.25,46.49,46.99,46.02,,,,,49.4308,0,44.9397,1,7352,,,,,0
2023-07-28,47.46,47.68,47.15,47.28,46.29,,,,,49.4308,0,45.1248,1,6382,,,,,0
2023-07-31,47.51,47.60,46.45,46.59,46.39,,,,,49.4308,0,45.3807,1,10106,,,,,0
2023-08-01,46.38,47.59,45.78,47.47,46.52,,,,,49.4308,0,45.6110,1,10423,,,,,0
2023-08-02,47.68,49.65,44.83,47.62,46.68,,,,,49.4308,0,47.6834,0,19950,,,,,0
2023-08-03,48.48,50.38,47.77,50.30,47.10,,,,,44.6118,1,44.8302,1,16240,,,,,0
2023-08-04,50.30,50.93,49.72,50.58,47.60,,,,,45.7644,1,44.8302,1,18235,,,,,0
2023-08-07,50.21,51.00,49.57,49.73,47.96,,,,,45.7644,1,45.0741,1,16727,,,,,0
2023-08-08,49.31,49.90,48.35,49.81,48.30,46.98,,,,45.7644,1,45.4299,1,11933,,,,,0
2023-08-09,50.03,50.34,49.50,50.10,48.65,47.24,,,,45.7644,1,45.7644,1,15582,,,,,0
2023-08-10,50.24,50.80,49.28,50.00,48.95,47.48,,,,45.7644,1,46.0788,1,22191,,,,,0
2023-08-11,50.03,50.20,49.50,49.94,49.21,47.75,,,,45.7644,1,46.3743,1,10499,,,,,0
2023-08-14,49.77,49.77,48.86,49.03,49.46,47.92,,,,45.7644,1,46.6521,1,11745,,,,,0
2023-08-15,48.68,48.81,47.47,47.62,49.47,48.00,,,,45.7644,1,46.9132,1,13468,,,,,0
2023-08-16,47.75,48.15,46.97,47.32,49.44,48.06,,,,45.7644,1,51.0042,0,17604,,,,,0
2023-08-17,47.55,48.77,47.26,47.93,49.21,48.15,,,,45.7644,1,50.9234,0,18570,,,,,0
2023-08-18,47.53,49.42,47.53,49.32,49.08,48.34,,,,45.7644,1,50.8443,0,10322,,,,,0
2023-08-21,49.57,49.79,48.27,48.62,48.97,48.47,,,,45.7644,1,50.7668,0,10649,,,,,0
2023-08-22,48.67,49.02,47.83,48.40,48.83,48.56,,,,45.7644,1,50.6908,0,9819,,,,,0
2023-08-23,48.25,49.16,47.81,49.05,48.72,48.68,,,,45.7644,1,50.6163,0,8507,,,,,0
2023-08-24,49.08,49.24,48.49,48.95,48.62,48.78,,,,45.7644,1,50.5434,0,9367,,,,,0
2023-08-25,48.91,49.05,48.04,48.96,48.52,48.87,,,,45.7644,1,50.4719,0,11145,,,,,0
2023-08-28,49.15,49.85,49.15,49.55,48.57,49.02,,,,45.7644,1,50.4018,0,7275,,0.7359,0.8568,-0.1209,0
2023-08-29,49.57,49.99,48.86,49.95,48.81,49.14,,,,45.7644,1,50.3331,0,8920,,0.7694,0.8393,-0.0699,0
2023-08-30,49.91,50.28,49.43,49.52,49.03,49.23,,,,46.2266,1,46.9677,1,8173,,0.7518,0.8218,-0.0700,0
2023-08-31,49.51,49.64,48.94,49.01,49.13,49.17,,,,46.2266,1,47.0339,1,23364,,0.6892,0.7953,-0.1061,0
2023-09-01,49.22,50.34,49.22,49.71,49.17,49.13,,,,46.2535,1,47.0988,1,10777,,0.6878,0.7738,-0.0860,0
2023-09-05,49.32,49.63,47.73,47.88,49.10,49.03,,,,46.2535,1,47.2283,1,10478,,0.5335,0.7257,-0.1922,0
2023-09-06,47.97,48.47,47.58,48.09,49.07,48.95,,,,46.2535,1,47.3527,1,8699,,0.4233,0.6652,-0.2419,0
2023-09-07,48.28,48.46,47.57,48.19,48.98,48.85,,,,46.2535,1,47.4720,1,7903,,0.3397,0.6001,-0.2604,0
2023-09-08,48.13,48.41,47.86,48.04,48.89,48.75,,,,46.2535,1,47.5689,1,6741,,0.2582,0.5318,-0.2735,0
2023-09-11,48.14,48.61,47.46,47.71,48.77,48.64,,,,46.2535,1,50.3362,0,7950,,0.1655,0.4585,-0.2930,0
2023-09-12,47.77,48.14,47.47,47.56,48.57,48.57,,,,46.2535,1,50.2787,0,5816,,0.0788,0.3826,-0.3038,0
2023-09-13,47.56,47.56,46.28,46.81,48.25,48.53,,,,46.2535,1,50.2224,0,7573,,-0.0501,0.2960,-0.3462,0
2023-09-14,47.30,48.32,47.30,48.07,48.11,48.57,,,,46.2535,1,50.0648,0,7777,,-0.0501,0.2268,-0.2769,0
2023-09-15,47.90,48.24,47.16,48.19,48.02,48.58,,,,46.2535,1,49.9134,0,38471,,-0.0396,0.1735,-0.2131,0
2023-09-18,48.24,48.85,48.10,48.27,47.88,48.53,,,,46.2535,1,49.7681,0,7319,,-0.0249,0.1338,-0.1587,0
2023-09-19,48.46,49.07,48.01,48.67,47.96,48.53,,,,46.2535,1,49.6286,0,9088,,0.0189,0.1108,-0.0919,0
2023-09-20,48.90,49.32,48.66,48.81,48.03,48.55,47.98,,,46.2535,1,49.4947,0,7816,10989,0.0645,0.1016,-0.0371,0
2023-09-21,48.77,49.74,48.49,49.63,48.17,48.58,48.07,,,46.2535,1,46.2807,1,8706,11015,0.1649,0.1142,0.0506,0
2023-09-22,49.67,50.13,48.92,49.01,48.27,48.58,48.15,,,46.2830,1,46.3498,1,7935,11059,0.1922,0.1298,0.0623,0
2023-09-25,49.00,49.48,48.64,48.86,48.39,48.58,48.24,,,46.2830,1,46.5008,1,9759,11155,0.1992,0.1437,0.0555,0
2023-09-26,48.67,48.90,48.09,48.39,48.47,48.52,48.29,,,46.2830,1,46.6458,1,17125,11348,0.1651,0.1480,0.0171,0
2023-09-27,48.64,49.78,48.64,49.57,48.75,48.50,48.36,,,46.2830,1,46.7850,1,6104,11320,0.2309,0.1646,0.0664,0
2023-09-28,49.74,50.48,49.74,50.06,48.94,48.53,48.44,,,46.9583,1,46.9187,1,9301,11338,0.3187,0.1954,0.1233,0
2023-09-29,50.27,50.27,48.55,49.33,49.06,48.54,48.51,,,46.9583,1,47.1323,1,8612,11358,0.3254,0.2214,0.1040,0
2023-10-02,49.39,49.39,47.56,48.57,49.09,48.48,48.56,,,46.9583,1,47.3332,1,14450,11483,0.2666,0.2304,0.0361,0
2023-10-03,48.30,48.80,47.70,47.79,49.00,48.48,48.60,,,46.9583,1,47.5219,1,11559,11520,0.1556,0.2155,-0.0599,0
2023-10-04,47.77,48.57,46.96,48.38,48.96,48.49,48.64,,,46.9583,1,50.4793,0,9371,11592,0.1134,0.1950,-0.0816,0
2023-10-05,48.20,48.53,47.59,47.99,48.79,48.48,48.66,,,46.9583,1,50.4090,0,6790,11613,0.0478,0.1656,-0.1178,0
2023-10-06,47.79,48.19,47.17,47.71,48.66,48.47,48.68,,,46.9583,1,50.3400,0,8569,11638,-0.0263,0.1272,-0.1535,0
2023-10-09,47.76,49.57,47.76,49.19,48.70,48.54,48.72,,,46.9583,1,50.2725,0,5563,11621,0.0343,0.1086,-0.0743,0
2023-10-10,49.46,50.06,49.45,49.54,48.81,48.64,48.78,,,46.9583,1,50.2062,0,7216,11564,0.1089,0.1087,0.0002,0
2023-10-11,49.73,49.73,49.17,49.68,48.82,48.78,48.82,,,46.9583,1,50.1413,0,4980,11455,0.1776,0.1225,0.0551,0
2023-10-12,49.70,49.70,47.83,48.55,48.67,48.81,48.84,,,46.9583,1,50.0778,0,5567,11167,0.1393,0.1258,0.0134,0
2023-10-13,48.86,48.87,48.04,48.37,48.58,48.82,48.80,,,46.9583,1,50.0154,0,4349,10929,0.0931,0.1193,-0.0262,0
2023-10-16,48.83,49.67,48.83,49.29,48.65,48.87,48.77,,,46.9583,1,49.9544,0,4653,10658,0.1292,0.1213,0.0079,0
2023-10-17,49.30,50.83,49.30,50.29,48.90,48.95,48.79,,,46.9583,1,46.9616,1,9916,10521,0.2363,0.1443,0.0920,0
2023-10-18,50.04,50.41,49.77,49.97,49.06,49.01,48.79,,,46.9583,1,47.0389,1,5401,10391,0.2914,0.1737,0.1177,0
2023-10-19,49.97,50.27,49.19,49.31,49.19,48.99,48.77,,,46.9583,1,47.1148,1,10051,10280,0.2787,0.1947,0.0840,0
2023-10-20,49.14,49.14,47.10,47.17,49.14,48.90,48.72,,,46.9583,1,50.8303,0,10492,10046,0.0951,0.1748,-0.0797,0
2023-10-23,47.01,47.58,46.50,46.74,48.89,48.79,48.65,,,50.7776,0,50.7557,0,9503,10026,-0.0842,0.1230,-0.2071,0
2023-10-24,46.72,47.11,46.21,46.95,48.63,48.72,48.61,,,50.2959,0,50.5855,0,9693,9985,-0.2068,0.0570,-0.2639,0
2023-10-25,46.68,47.26,46.43,47.11,48.38,48.60,48.60,,,50.2959,0,50.3233,0,7260,9861,-0.2884,-0.0121,-0.2763,0
2023-10-26,47.35,47.95,46.98,47.40,48.26,48.47,48.60,,,50.2959,0,50.0767,0,5460,9618,-0.3253,-0.0747,-0.2506,0
2023-10-27,47.25,47.43,46.64,47.22,48.15,48.36,48.59,,,50.2959,0,49.8450,0,4951,9346,-0.3650,-0.1328,-0.2323,0
2023-10-30,47.68,47.90,47.11,47.51,47.97,48.31,48.55,,,50.2959,0,49.6272,0,6137,9262,-0.3691,-0.1800,-0.1890,0
2023-10-31,47.63,48.17,47.41,48.01,47.74,48.32,48.54,,,50.2959,0,49.4224,0,5589,9161,-0.3283,-0.2097,-0.1186,0
2023-11-01,47.88,48.74,47.44,48.59,47.60,48.33,48.54,,,50.2959,0,49.2300,0,5800,9080,-0.2461,-0.2170,-0.0291,0
2023-11-02,49.08,50.01,48.79,49.78,47.65,48.42,48.56,,,50.2959,0,46.2146,1,6882,9048,-0.0841,-0.1904,0.1063,0
2023-11-03,50.36,51.03,50.09,50.53,47.98,48.56,48.59,,,47.1891,1,46.2905,1,11050,9082,0.1041,-0.1315,0.2356,0
2023-11-06,50.48,51.21,50.32,51.16,48.42,48.66,48.63,,,47.4651,1,46.4801,1,10620,9071,0.3001,-0.0452,0.3452,0
2023-11-07,50.96,50.96,49.73,49.88,48.72,48.68,48.64,,,47.4651,1,46.7641,1,9626,9118,0.3486,0.0336,0.3150,0
