Date,Open,High,Low,Close,Ma10:Top:Line,Ma20:Top:Line,Ma50:Top:Line,Ma150:Top:Line,Ma200:Top:Line,Supertrend:Top:ColorLine,Supertrend_Dir,ParabolicSAR:Top:ColorLine,ParabolicSAR_Dir,Volume:Middle:Histogram,Vo50:Middle:Line,Macd:Bottom:Line,MacdSignal:Bottom:Line,MacdDelta:Bottom:Histogram,RsRating:Hidden:Hidden
2023-07-12,55.46,55.81,53.79,53.81,,,,,,,0,53.7914,1,122964,,,,,0
2023-07-13,54.03,55.62,54.03,55.46,,,,,,,0,53.7914,1,117620,,,,,0
2023-07-14,55.50,55.69,54.76,54.91,,,,,,,0,53.7914,1,76689,,,,,0
2023-07-17,55.16,55.72,54.61,54.92,,,,,,,0,53.8319,1,103789,,,,,0
2023-07-18,55.05,57.62,54.97,57.13,,,,,,,0,53.8715,1,164818,,,,,0
2023-07-19,57.69,59.26,57.50,58.40,,,,,,,0,54.0216,1,196759,,,,,0
2023-07-20,58.90,59.36,57.93,58.27,,,,,,,0,54.3362,1,118923,,,,,0
2023-07-21,58.15,58.56,57.81,58.23,,,,,,,0,54.7377,1,71027,,,,,0
2023-07-24,59.65,60.86,59.43,60.01,,,,,,,0,55.1072,1,171622,,,,,0
2023-07-25,59.84,60.82,59.60,60.54,57.17,,,,,65.2346,0,55.6824,1,106488,,,,,0
2023-07-26,59.91,61.38,59.88,61.01,57.89,,,,,65.2346,0,56.2001,1,126594,,,,,0
2023-07-27,61.29,61.55,60.66,60.94,58.44,,,,,65.2346,0,56.8213,1,171824,,,,,0
2023-07-28,61.28,61.94,60.97,61.39,59.08,,,,,65.2346,0,57.4831,1,150931,,,,,0
2023-07-31,62.02,62.64,61.99,62.43,59.83,,,,,65.2346,0,58.1959,1,120874,,,,,0
2023-08-01,61.84,61.91,60.32,60.77,60.20,,,,,65.2346,0,58.9951,1,167207,,,,,0
2023-08-02,59.97,61.20,59.36,61.06,60.46,,,,,65.0285,0,62.6359,0,198380,,,,,0
2023-08-03,58.90,59.89,57.89,58.49,60.49,,,,,64.1182,0,62.5703,0,238674,,,,,0
2023-08-04,58.55,60.52,58.49,59.33,60.60,,,,,64.1182,0,62.3829,0,134574,,,,,0
2023-08-07,59.40,60.91,59.33,60.13,60.61,,,,,64.1182,0,62.2031,0,139627,,,,,0
2023-08-08,59.24,60.18,58.45,60.08,60.56,58.87,,,,64.1182,0,62.0305,0,114361,,,,,0
2023-08-09,60.45,61.89,60.33,61.50,60.61,59.25,,,,64.1182,0,57.8874,1,138095,,,,,0
2023-08-10,61.94,62.61,60.62,60.62,60.58,59.51,,,,64.1182,0,57.9675,1,114984,,,,,0
2023-08-11,60.41,61.11,59.94,60.25,60.47,59.78,,,,64.1182,0,58.1532,1,83046,,,,,0
2023-08-14,58.51,58.70,57.72,57.84,60.01,59.92,,,,63.6126,0,62.6087,0,182216,,,,,0
2023-08-15,57.19,57.39,55.50,55.55,59.49,59.84,,,,62.0099,0,62.5110,0,174766,,,,,0
2023-08-16,55.50,56.42,55.24,55.54,58.93,59.70,,,,61.1907,0,62.2307,0,123990,,,,,0
2023-08-17,56.01,56.23,55.53,55.56,58.64,59.56,,,,60.9139,0,61.8113,0,98752,,,,,0
2023-08-18,54.97,55.81,54.75,55.70,58.28,59.44,,,,60.1269,0,61.4171,0,112724,,,,,0
2023-08-21,56.05,56.27,55.59,55.91,57.86,59.23,,,,60.1269,0,60.8839,0,75539,,,,,0
2023-08-22,55.95,56.18,54.48,54.70,57.32,58.94,,,,59.9542,0,60.3934,0,91729,,,,,0
2023-08-23,54.60,54.88,54.05,54.70,56.64,58.62,,,,58.8760,0,59.8016,0,116935,,,,,0
2023-08-24,54.37,55.69,54.17,55.14,56.09,58.33,,,,58.8760,0,59.1119,0,77839,,,,,0
2023-08-25,55.42,55.70,54.61,55.24,55.59,58.03,,,,58.8760,0,58.5050,0,86856,,,,,0
2023-08-28,55.50,56.88,55.50,56.53,55.46,57.73,,,,58.8760,0,57.9709,0,137217,,-0.9759,-0.8001,-0.1758,0
2023-08-29,56.47,57.96,55.85,57.90,55.69,57.59,,,,58.8760,0,54.0542,1,106083,,-0.7747,-0.7950,0.0203,0
2023-08-30,58.00,58.18,57.18,57.87,55.92,57.43,,,,58.8760,0,54.1324,1,56925,,-0.6104,-0.7581,0.1477,0
2023-08-31,57.95,58.32,56.93,57.38,56.11,57.37,,,,58.8760,0,54.2942,1,75826,,-0.5138,-0.7092,0.1955,0
2023-09-01,58.00,58.84,57.84,58.53,56.39,57.33,,,,58.8760,0,54.5358,1,55444,,-0.3404,-0.6355,0.2951,0
2023-09-05,58.75,59.53,58.03,58.12,56.61,57.23,,,,58.8760,0,54.8800,1,116998,,-0.2332,-0.5550,0.3218,0
2023-09-06,58.00,58.45,56.90,57.38,56.88,57.10,,,,58.8760,0,55.3448,1,103262,,-0.2059,-0.4852,0.2793,0
2023-09-07,57.28,57.72,56.30,56.60,57.07,56.85,,,,58.8760,0,55.7631,1,66164,,-0.2442,-0.4370,0.1927,0
