Date,Open,High,Low,Close,Ma10:Top:Line,Ma20:Top:Line,Ma50:Top:Line,Ma150:Top:Line,Ma200:Top:Line,Supertrend:Top:ColorLine,Supertrend_Dir,ParabolicSAR:Top:ColorLine,ParabolicSAR_Dir,Volume:Middle:Histogram,Vo50:Middle:Line,Macd:Bottom:Line,MacdSignal:Bottom:Line,MacdDelta:Bottom:Histogram,RsRating:Hidden:Hidden
2023-07-13,81.16,82.88,80.78,82.88,,,,,,,0,80.7780,1,9896,,,,,0
2023-07-14,82.03,82.43,81.20,82.00,,,,,,,0,80.7780,1,13358,,,,,0
2023-07-17,82.00,83.24,81.39,82.67,,,,,,,0,80.7780,1,8341,,,,,0
2023-07-18,83.08,83.08,81.30,81.37,,,,,,,0,80.8765,1,14582,,,,,0
2023-07-19,81.35,82.45,81.10,81.46,,,,,,,0,80.9710,1,4350,,,,,0
2023-07-20,81.22,81.61,80.15,80.78,,,,,,,0,83.2400,0,5041,,,,,0
2023-07-21,80.91,81.03,80.05,80.47,,,,,,,0,83.1782,0,3428,,,,,0
2023-07-24,80.54,81.51,80.00,81.26,,,,,,,0,83.0529,0,7963,,,,,0
2023-07-25,81.01,81.77,80.70,81.03,,,,,,,0,82.8698,0,5226,,,,,0
2023-07-26,80.63,81.01,79.79,80.47,81.44,,,,,84.9078,0,82.6976,0,3677,,,,,0
2023-07-27,80.61,81.18,78.48,78.80,81.03,,,,,84.6949,0,82.4652,0,6139,,,,,0
2023-07-28,79.34,80.40,79.06,79.61,80.79,,,,,84.5880,0,82.0667,0,4259,,,,,0
2023-07-31,79.67,80.11,79.09,79.76,80.50,,,,,84.2787,0,81.7080,0,8486,,,,,0
2023-08-01,79.55,80.69,78.41,80.44,80.41,,,,,84.2787,0,81.3852,0,6226,,,,,0
2023-08-02,79.90,80.20,78.48,78.57,80.12,,,,,84.2787,0,81.0277,0,5170,,,,,0
2023-08-03,78.50,79.58,77.77,79.26,79.97,,,,,83.7138,0,80.7131,0,8417,,,,,0
2023-08-04,81.36,83.81,80.50,80.75,80.00,,,,,83.7138,0,77.7740,1,25549,,,,,0
2023-08-07,80.78,81.99,79.35,79.38,79.81,,,,,83.7138,0,77.7740,1,7827,,,,,0
2023-08-08,79.31,79.59,77.52,78.06,79.51,,,,,83.7138,0,83.8050,0,8641,,,,,0
2023-08-09,78.10,79.43,77.29,77.29,79.19,80.32,,,,83.7138,0,83.6793,0,3733,,,,,0
2023-08-10,77.72,78.74,76.38,76.47,78.96,80.00,,,,83.7138,0,83.4237,0,9689,,,,,0
2023-08-11,78.39,78.39,75.01,75.61,78.56,79.68,,,,83.3212,0,83.0011,0,7183,,,,,0
2023-08-14,75.34,76.44,74.40,75.71,78.15,79.33,,,,81.9928,0,82.3619,0,10751,,,,,0
2023-08-15,70.70,74.15,70.50,73.27,77.44,78.92,,,,79.8036,0,81.5657,0,144210,,,,,0
2023-08-16,72.13,72.74,66.50,69.87,76.57,78.34,,,,78.3794,0,80.2378,0,81098,,,,,0
2023-08-17,70.32,71.05,68.80,69.85,75.63,77.80,,,,78.3794,0,78.3147,0,16520,,,,,0
2023-08-18,70.70,88.88,70.62,87.48,76.30,78.15,,,,68.8472,1,66.5010,1,120233,,,,,0
2023-08-21,89.51,99.50,83.00,90.39,77.40,78.60,,,,74.2281,1,66.9486,1,167945,,,,,0
2023-08-22,89.90,90.91,88.53,90.70,78.66,79.09,,,,74.2281,1,68.2506,1,34475,,,,,0
2023-08-23,90.00,91.35,86.40,91.33,80.07,79.63,,,,74.2281,1,69.5006,1,51620,,,,,0
2023-08-24,90.22,93.50,88.02,92.97,81.72,80.34,,,,74.7922,1,70.7006,1,51254,,,,,0
2023-08-25,93.71,96.31,92.22,95.91,83.75,81.15,,,,78.6710,1,71.8526,1,52156,,,,,0
2023-08-28,95.49,99.56,94.29,98.43,86.02,82.09,,,,81.3087,1,72.9585,1,39972,,,,,0
2023-08-29,98.57,102.40,96.20,97.75,88.47,82.95,,,,83.3844,1,74.5546,1,42521,,3.7497,0.5237,3.2259,0
2023-08-30,96.96,101.42,96.95,100.67,91.55,84.06,,,,83.5232,1,76.7822,1,33513,,4.3724,1.2935,3.0789,0
2023-08-31,99.07,101.49,97.50,98.32,94.40,85.01,,,,84.2006,1,78.8316,1,34815,,4.6229,1.9593,2.6636,0
2023-09-01,98.49,100.89,96.20,100.57,95.70,86.00,,,,84.2006,1,80.7171,1,42058,,4.9460,2.5567,2.3893,0
