Date,Open,High,Low,Close,Ma10:Top:Line,Ma20:Top:Line,Ma50:Top:Line,Ma150:Top:Line,Ma200:Top:Line,Supertrend:Top:ColorLine,Supertrend_Dir,ParabolicSAR:Top:ColorLine,ParabolicSAR_Dir,Volume:Middle:Histogram,Vo50:Middle:Line,Macd:Bottom:Line,MacdSignal:Bottom:Line,MacdDelta:Bottom:Histogram,RsRating:Hidden:Hidden
2023-07-12,78.87,79.03,75.51,76.72,,,,,,,0,75.5100,1,471667,,,,,0
2023-07-13,77.40,78.29,76.73,78.25,,,,,,,0,75.5100,1,368518,,,,,0
2023-07-14,78.55,80.03,78.34,78.92,,,,,,,0,75.5100,1,387789,,,,,0
2023-07-17,78.72,80.60,78.58,80.28,,,,,,,0,75.6908,1,335996,,,,,0
2023-07-18,79.96,80.44,79.16,80.24,,,,,,,0,75.9854,1,367997,,,,,0
2023-07-19,80.45,81.24,78.30,78.69,,,,,,,0,76.2622,1,470960,,,,,0
2023-07-20,78.67,79.37,77.53,77.70,,,,,,,0,76.6605,1,281577,,,,,0
2023-07-21,78.37,79.14,78.06,78.16,,,,,,,0,77.0268,1,948401,,,,,0
2023-07-24,78.69,78.82,76.32,77.27,,,,,,,0,81.2400,0,299050,,,,,0
2023-07-25,77.73,78.62,77.41,78.34,78.46,,,,,84.0870,0,81.1416,0,288213,,,,,0
2023-07-26,77.56,78.75,76.86,77.26,78.51,,,,,83.8368,0,81.0452,0,261023,,,,,0
2023-07-27,78.39,78.52,76.31,76.58,78.34,,,,,83.5066,0,80.9507,0,303081,,,,,0
2023-07-28,77.24,77.63,76.15,76.80,78.13,,,,,82.8165,0,80.7650,0,272210,,,,,0
2023-07-31,77.09,77.75,76.79,77.72,77.88,,,,,82.8165,0,80.4881,0,275409,,,,,0
2023-08-01,77.64,78.58,76.91,78.03,77.66,,,,,82.8165,0,80.2278,0,204407,,,,,0
2023-08-02,77.24,77.24,74.01,74.32,77.22,,,,,81.8356,0,79.9832,0,421714,,,,,0
2023-08-03,74.20,76.00,74.15,75.76,77.02,,,,,81.2195,0,79.5053,0,456098,,,,,0
2023-08-04,60.42,61.36,56.10,56.77,74.89,,,,,70.1581,0,79.0657,0,1863844,,,,,0
2023-08-07,57.58,58.18,56.86,57.70,72.93,,,,,68.2283,0,76.7691,0,831018,,,,,0
2023-08-08,56.88,59.12,56.57,58.57,70.95,74.70,,,,68.2283,0,74.7022,0,937811,,,,,0
2023-08-09,58.84,60.35,58.46,59.78,69.20,73.86,,,,68.2283,0,72.8420,0,785121,,,,,0
2023-08-10,61.16,62.21,60.07,60.56,67.60,72.97,,,,68.2283,0,71.1678,0,665772,,,,,0
2023-08-11,60.05,61.21,59.35,59.68,65.89,72.01,,,,68.2283,0,69.6610,0,459279,,,,,0
2023-08-14,59.69,60.10,59.20,59.66,64.08,70.98,,,,68.2283,0,68.3049,0,437904,,,,,0
2023-08-15,59.57,60.23,59.01,59.17,62.20,69.93,,,,67.7270,0,67.0844,0,426657,,,,,0
2023-08-16,59.00,59.59,58.15,58.18,60.58,68.90,,,,66.5983,0,65.9860,0,209256,,,,,0
2023-08-17,58.60,58.83,57.34,57.41,58.75,67.89,,,,65.4874,0,64.9974,0,289668,,,,,0
2023-08-18,56.98,57.69,56.84,57.16,58.79,66.84,,,,64.1822,0,64.1076,0,308115,,,,,0
2023-08-21,58.07,58.72,57.79,58.39,58.86,65.89,,,,64.1822,0,63.3069,0,391896,,,,,0
2023-08-22,58.32,58.61,57.78,58.32,58.83,64.89,,,,64.1822,0,62.5862,0,282374,,,,,0
2023-08-23,58.81,59.50,58.14,59.19,58.77,63.99,,,,64.1822,0,61.9376,0,277583,,,,,0
2023-08-24,59.60,59.83,58.12,58.15,58.53,63.07,,,,64.1822,0,61.3538,0,281080,,,,,0
2023-08-25,58.20,58.96,57.96,58.81,58.44,62.17,,,,64.1253,0,60.8284,0,249419,,,,,0
2023-08-28,59.10,59.43,58.20,58.70,58.35,61.22,,,,64.1253,0,60.3556,0,284161,,-5.6416,-7.0196,1.3779,0
2023-08-29,58.70,60.93,58.51,60.63,58.49,60.35,,,,64.1253,0,56.1000,1,341480,,-5.1454,-6.6447,1.4994,0
2023-08-30,60.57,61.45,60.50,61.22,58.80,59.69,,,,64.1253,0,56.1966,1,308904,,-4.6508,-6.2460,1.5951,0
2023-08-31,61.50,61.83,60.17,60.21,59.08,58.91,,,,64.1253,0,56.4067,1,387066,,-4.2909,-5.8550,1.5640,0
2023-09-01,60.50,60.96,60.39,60.87,59.45,59.12,,,,64.1253,0,56.7321,1,301787,,-3.9074,-5.4654,1.5580,0
2023-09-05,60.92,61.97,60.56,61.91,59.80,59.33,,,,64.1253,0,57.0380,1,303656,,-3.4795,-5.0683,1.5888,0
