Date,Open,High,Low,Close,Ma10:Top:Line,Ma20:Top:Line,Ma50:Top:Line,Ma150:Top:Line,Ma200:Top:Line,Supertrend:Top:ColorLine,Supertrend_Dir,ParabolicSAR:Top:ColorLine,ParabolicSAR_Dir,Volume:Middle:Histogram,Vo50:Middle:Line,Macd:Bottom:Line,MacdSignal:Bottom:Line,MacdDelta:Bottom:Histogram,RsRating:Hidden:Hidden
2023-07-12,27.85,28.04,27.61,27.65,,,,,,,0,27.6125,1,6126,,,,,0
2023-07-13,27.68,27.85,27.65,27.80,,,,,,,0,27.6125,1,5725,,,,,0
2023-07-14,27.80,28.04,27.59,27.85,,,,,,,0,28.0440,0,7651,,,,,0
2023-07-17,27.91,27.94,27.62,27.78,,,,,,,0,28.0441,0,9424,,,,,0
2023-07-18,27.74,28.00,27.60,27.97,,,,,,,0,28.0441,0,6746,,,,,0
2023-07-19,28.09,28.39,28.03,28.38,,,,,,,0,27.5881,1,8765,,,,,0
2023-07-20,28.41,28.79,28.20,28.78,,,,,,,0,27.6042,1,6784,,,,,0
2023-07-21,28.81,28.81,28.47,28.66,,,,,,,0,27.6515,1,8036,,,,,0
2023-07-24,28.75,29.04,28.71,28.95,,,,,,,0,27.7211,1,5219,,,,,0
2023-07-25,28.88,29.20,28.83,29.02,28.28,,,,,30.1919,0,27.8267,1,9735,,,,,0
2023-07-26,29.07,29.25,28.90,29.07,28.43,,,,,30.1919,0,27.9645,1,7209,,,,,0
2023-07-27,29.07,29.17,28.76,28.81,28.53,,,,,30.1351,0,28.1183,1,9836,,,,,0
2023-07-28,28.33,28.74,27.92,28.16,28.56,,,,,29.6474,0,29.2458,0,11311,,,,,0
2023-07-31,28.17,28.31,26.99,27.48,28.53,,,,,29.2339,0,29.2193,0,23948,,,,,0
2023-08-01,27.38,27.60,27.13,27.54,28.49,,,,,28.9314,0,29.1299,0,6217,,,,,0
2023-08-02,27.51,27.55,27.28,27.47,28.39,,,,,28.9088,0,29.0442,0,7300,,,,,0
2023-08-03,27.31,27.64,26.93,27.58,28.27,,,,,28.8422,0,28.9618,0,6409,,,,,0
2023-08-04,27.49,27.90,27.46,27.61,28.17,,,,,28.8422,0,28.8399,0,4923,,,,,0
2023-08-07,27.62,28.48,27.59,28.43,28.12,,,,,28.8422,0,28.7252,0,7520,,,,,0
2023-08-08,28.26,28.40,27.88,28.32,28.05,28.17,,,,28.8422,0,28.6174,0,5112,,,,,0
2023-08-09,28.25,28.28,27.57,27.71,27.91,28.17,,,,28.8422,0,28.5161,0,6582,,,,,0
2023-08-10,27.82,27.94,27.47,27.60,27.79,28.16,,,,28.8422,0,28.4208,0,4753,,,,,0
2023-08-11,27.53,27.70,27.53,27.62,27.74,28.15,,,,28.8422,0,28.3313,0,3708,,,,,0
2023-08-14,27.51,27.58,27.08,27.24,27.71,28.12,,,,28.8422,0,28.2472,0,5619,,,,,0
2023-08-15,27.13,27.22,26.76,26.81,27.64,28.06,,,,28.5497,0,28.1681,0,4949,,,,,0
2023-08-16,26.86,27.06,26.36,26.39,27.53,27.96,,,,28.3205,0,28.0558,0,6046,,,,,0
2023-08-17,26.48,26.65,26.04,26.07,27.38,27.83,,,,27.9770,0,27.8866,0,7406,,,,,0
2023-08-18,25.96,26.38,25.96,26.08,27.23,27.70,,,,27.7633,0,27.6655,0,5809,,,,,0
2023-08-21,26.03,26.13,25.82,25.97,26.98,27.55,,,,27.5034,0,27.4271,0,6125,,,,,0
2023-08-22,26.03,26.16,25.86,26.01,26.75,27.40,,,,27.4766,0,27.1692,0,4412,,,,,0
2023-08-23,26.16,26.48,26.00,26.46,26.63,27.27,,,,27.4766,0,26.9526,0,6073,,,,,0
2023-08-24,26.45,26.67,26.27,26.28,26.49,27.14,,,,27.4766,0,26.7706,0,5315,,,,,0
2023-08-25,26.37,26.58,26.21,26.44,26.38,27.06,,,,27.4766,0,26.6709,0,3688,,,,,0
2023-08-28,26.42,26.85,26.40,26.75,26.33,27.02,,,,27.4766,0,25.8152,1,4229,,-0.5580,-0.6181,0.0601,0
2023-08-29,26.84,26.99,26.56,26.96,26.34,26.99,,,,27.4766,0,25.8360,1,3888,,-0.4905,-0.5926,0.1020,0
2023-08-30,26.96,27.26,26.84,27.22,26.42,26.98,,,,27.4766,0,25.8822,1,10388,,-0.4111,-0.5563,0.1452,0
2023-08-31,27.26,27.26,26.84,27.07,26.52,26.95,,,,27.4766,0,25.9651,1,9556,,-0.3566,-0.5163,0.1597,0
2023-09-01,27.13,27.39,26.98,27.08,26.62,26.93,,,,27.4766,0,26.0430,1,5284,,-0.3086,-0.4748,0.1662,0
2023-09-05,26.89,26.99,26.20,26.39,26.67,26.82,,,,27.4766,0,26.1506,1,11429,,-0.3226,-0.4443,0.1217,0
2023-09-06,26.38,26.46,26.04,26.33,26.70,26.72,,,,27.4766,0,27.3875,0,6301,,-0.3345,-0.4224,0.0879,0
2023-09-07,26.33,26.42,26.14,26.19,26.67,26.65,,,,27.4766,0,27.3605,0,6077,,-0.3512,-0.4081,0.0569,0
2023-09-08,26.03,26.51,26.03,26.34,26.68,26.59,,,,27.4766,0,27.3340,0,6793,,-0.3485,-0.3962,0.0477,0
2023-09-11,26.65,26.65,26.23,26.39,26.67,26.52,,,,27.4766,0,27.2818,0,5783,,-0.3384,-0.3846,0.0462,0
2023-09-12,26.39,26.53,26.23,26.52,26.65,26.49,,,,27.4766,0,27.2317,0,5635,,-0.3161,-0.3709,0.0548,0
2023-09-13,26.62,26.68,26.29,26.35,26.59,26.47,,,,27.4766,0,27.1835,0,5736,,-0.3089,-0.3585,0.0496,0
2023-09-14,26.56,26.73,26.44,26.56,26.52,26.47,,,,27.4766,0,27.1373,0,6461,,-0.2833,-0.3435,0.0602,0
2023-09-15,26.41,26.60,26.19,26.25,26.44,26.48,,,,27.4766,0,27.0930,0,42808,,-0.2843,-0.3316,0.0474,0
2023-09-18,26.33,26.39,26.13,26.30,26.36,26.49,,,,27.4766,0,27.0504,0,7478,,-0.2779,-0.3209,0.0430,0
2023-09-19,26.31,26.52,26.30,26.42,26.37,26.52,,,,27.4766,0,27.0095,0,6911,,-0.2605,-0.3088,0.0483,0
2023-09-20,26.42,26.66,26.32,26.45,26.38,26.54,27.23,,,27.4766,0,26.9703,0,6355,7712,-0.2413,-0.2953,0.0540,0
2023-09-21,26.29,26.41,26.08,26.14,26.37,26.52,27.20,,,27.4036,0,26.9326,0,8418,7758,-0.2479,-0.2858,0.0379,0
2023-09-22,26.18,26.37,26.03,26.03,26.34,26.51,27.17,,,27.3400,0,26.8964,0,5794,7759,-0.2589,-0.2805,0.0215,0
2023-09-25,26.01,26.26,25.96,26.22,26.32,26.50,27.13,,,27.2281,0,26.8442,0,4792,7702,-0.2494,-0.2742,0.0249,0
2023-09-26,26.11,26.27,25.69,25.71,26.24,26.45,27.09,,,27.1593,0,26.7735,0,6414,7642,-0.2800,-0.2754,-0.0046,0
