Date,Open,High,Low,Close,Ma10:Top:Line,Ma20:Top:Line,Ma50:Top:Line,Ma150:Top:Line,Ma200:Top:Line,Supertrend:Top:ColorLine,Supertrend_Dir,ParabolicSAR:Top:ColorLine,ParabolicSAR_Dir,Volume:Middle:Histogram,Vo50:Middle:Line,Macd:Bottom:Line,MacdSignal:Bottom:Line,MacdDelta:Bottom:Histogram,RsRating:Hidden:Hidden
2023-07-12,66.70,66.72,63.69,63.80,,,,,,,0,66.7200,0,429400,,,,,0
2023-07-13,63.87,64.39,63.55,63.65,,,,,,,0,66.7200,0,234334,,,,,0
2023-07-14,65.07,66.81,64.98,65.63,,,,,,,0,63.5500,1,333591,,,,,0
2023-07-17,65.50,65.96,65.02,65.07,,,,,,,0,63.5500,1,195353,,,,,0
2023-07-18,65.35,66.72,65.25,66.33,,,,,,,0,63.6152,1,251344,,,,,0
2023-07-19,68.08,69.92,67.93,68.49,,,,,,,0,63.6791,1,269885,,,,,0
2023-07-20,69.06,70.39,68.34,70.18,,,,,,,0,63.9287,1,218730,,,,,0
2023-07-21,70.40,71.66,70.40,70.63,,,,,,,0,64.3164,1,359281,,,,,0
2023-07-24,70.51,70.97,70.47,70.86,,,,,,,0,64.9039,1,218922,,,,,0
2023-07-25,70.72,70.72,69.99,70.32,67.50,,,,,75.7880,0,65.4444,1,184126,,,,,0
2023-07-26,70.63,70.98,69.66,69.97,68.11,,,,,75.6057,0,65.9416,1,217453,,,,,0
2023-07-27,70.24,71.08,69.85,69.95,68.74,,,,,75.5911,0,66.3991,1,201407,,,,,0
2023-07-28,69.08,69.08,64.93,66.18,68.80,,,,,73.1245,0,71.6600,0,471771,,,,,0
2023-07-31,66.26,68.50,66.14,68.09,69.10,,,,,73.1245,0,71.5254,0,336099,,,,,0
2023-08-01,68.15,68.67,67.76,68.01,69.27,,,,,73.1245,0,71.3935,0,258343,,,,,0
2023-08-02,68.44,68.83,67.30,67.35,69.15,,,,,73.1245,0,71.2642,0,213277,,,,,0
2023-08-03,67.32,67.32,65.90,66.06,68.74,,,,,72.2104,0,71.1375,0,333345,,,,,0
2023-08-04,66.10,66.60,65.51,65.80,68.26,,,,,71.4223,0,71.0134,0,277380,,,,,0
2023-08-07,66.14,67.21,66.08,66.83,67.86,,,,,71.4223,0,70.8917,0,170564,,,,,0
2023-08-08,67.00,67.02,66.01,66.28,67.45,67.47,,,,71.4223,0,70.7725,0,130857,,,,,0
2023-08-09,66.04,66.55,65.79,65.80,67.03,67.57,,,,70.9261,0,70.6556,0,146148,,,,,0
2023-08-10,66.02,66.88,65.49,65.75,66.62,67.68,,,,70.8825,0,70.5411,0,153303,,,,,0
