Date,Open,High,Low,Close,Ma10:Top:Line,Ma20:Top:Line,Ma50:Top:Line,Ma150:Top:Line,Ma200:Top:Line,Supertrend:Top:ColorLine,Supertrend_Dir,ParabolicSAR:Top:ColorLine,ParabolicSAR_Dir,Volume:Middle:Histogram,Vo50:Middle:Line,Macd:Bottom:Line,MacdSignal:Bottom:Line,MacdDelta:Bottom:Histogram,RsRating:Hidden:Hidden
2023-07-12,13.84,13.85,13.66,13.82,,,,,,,0,13.6620,1,1974,,,,,0
2023-07-13,13.81,13.97,13.69,13.87,,,,,,,0,13.6620,1,2305,,,,,0
2023-07-14,13.79,13.82,13.70,13.77,,,,,,,0,13.6620,1,2852,,,,,0
2023-07-17,13.80,14.00,13.80,13.86,,,,,,,0,13.6682,1,3295,,,,,0
2023-07-18,13.90,14.26,13.90,14.17,,,,,,,0,13.6813,1,3473,,,,,0
2023-07-19,14.18,14.31,14.06,14.20,,,,,,,0,13.7158,1,3280,,,,,0
2023-07-20,14.19,14.21,13.90,14.15,,,,,,,0,13.7633,1,4705,,,,,0
2023-07-21,14.21,14.21,14.04,14.06,,,,,,,0,13.8071,1,3746,,,,,0
2023-07-24,14.04,14.21,13.90,14.19,,,,,,,0,13.8474,1,5808,,,,,0
2023-07-25,14.17,14.17,13.87,13.94,14.00,,,,,14.8081,0,14.3105,0,9906,,,,,0
2023-07-26,13.93,14.00,13.70,13.77,14.00,,,,,14.6543,0,14.3017,0,7671,,,,,0
2023-07-27,13.90,14.00,13.68,13.71,13.98,,,,,14.6543,0,14.2775,0,4864,,,,,0
2023-07-28,13.79,13.79,13.52,13.61,13.97,,,,,14.4733,0,14.2417,0,4878,,,,,0
2023-07-31,13.60,13.62,13.45,13.51,13.93,,,,,14.3208,0,14.1838,0,3879,,,,,0
2023-08-01,13.47,13.53,13.42,13.43,13.86,,,,,14.2117,0,14.1109,0,3747,,,,,0
2023-08-02,13.32,13.41,13.01,13.05,13.74,,,,,14.0032,0,14.0278,0,4253,,,,,0
2023-08-03,13.02,13.06,12.85,12.87,13.61,,,,,13.7275,0,13.8858,0,4101,,,,,0
2023-08-04,12.90,13.07,12.76,12.81,13.49,,,,,13.7016,0,13.7204,0,3630,,,,,0
2023-08-07,12.81,12.89,12.71,12.78,13.35,,,,,13.5598,0,13.5478,0,3684,,,,,0
2023-08-08,12.65,12.99,12.65,12.99,13.25,13.63,,,,13.5598,0,13.3797,0,5436,,,,,0
2023-08-09,13.62,14.14,13.52,14.02,13.28,13.64,,,,12.7753,1,12.6534,1,8372,,,,,0
2023-08-10,14.04,14.15,13.63,13.82,13.29,13.63,,,,12.7825,1,12.6534,1,7529,,,,,0
2023-08-11,13.74,13.94,13.68,13.82,13.31,13.64,,,,12.7825,1,12.7132,1,6724,,,,,0
2023-08-14,13.79,13.97,13.75,13.91,13.35,13.64,,,,12.8300,1,12.7706,1,4232,,,,,0
2023-08-15,13.81,13.89,13.67,13.74,13.38,13.62,,,,12.8300,1,12.8257,1,4187,,,,,0
2023-08-16,13.69,14.00,13.64,13.77,13.45,13.60,,,,12.8300,1,12.8786,1,4642,,,,,0
2023-08-17,13.86,13.90,13.35,13.59,13.52,13.57,,,,12.8300,1,12.9294,1,9520,,,,,0
2023-08-18,13.37,13.78,13.37,13.50,13.59,13.54,,,,12.8300,1,12.9782,1,5090,,,,,0
2023-08-21,13.44,13.91,13.44,13.89,13.70,13.53,,,,12.8300,1,13.0250,1,5062,,,,,0
2023-08-22,13.91,14.08,13.60,13.62,13.77,13.51,,,,12.8300,1,13.0699,1,5206,,,,,0
2023-08-23,13.70,13.86,13.62,13.69,13.73,13.51,,,,12.8300,1,13.1130,1,3015,,,,,0
2023-08-24,13.68,13.89,13.64,13.70,13.72,13.51,,,,12.8300,1,13.1545,1,5980,,,,,0
2023-08-25,13.73,13.78,13.62,13.73,13.71,13.51,,,,12.8300,1,13.1942,1,3199,,,,,0
2023-08-28,13.77,13.80,13.70,13.77,13.70,13.52,,,,12.8300,1,13.2324,1,2324,,-0.0015,-0.0298,0.0283,0
2023-08-29,13.73,14.03,13.71,14.02,13.73,13.55,,,,12.9255,1,13.2690,1,3822,,0.0254,-0.0188,0.0442,0
2023-08-30,13.99,14.15,13.95,13.97,13.75,13.60,,,,13.1395,1,13.3042,1,3574,,0.0422,-0.0066,0.0488,0
2023-08-31,14.04,14.04,13.89,13.95,13.78,13.65,,,,13.1395,1,13.3549,1,5506,,0.0533,0.0054,0.0479,0
2023-09-01,14.00,14.05,13.79,13.95,13.83,13.71,,,,13.1395,1,13.4026,1,3878,,0.0614,0.0166,0.0448,0
2023-09-05,13.96,14.10,13.78,14.01,13.84,13.77,,,,13.1395,1,13.4475,1,6157,,0.0718,0.0276,0.0442,0
2023-09-06,14.03,14.08,13.76,13.87,13.87,13.82,,,,13.1395,1,13.4896,1,3569,,0.0679,0.0357,0.0323,0
2023-09-07,13.79,13.84,13.26,13.38,13.84,13.78,,,,13.1395,1,14.1500,0,3237,,0.0251,0.0336,-0.0085,0
2023-09-08,13.41,13.41,13.14,13.22,13.79,13.76,,,,13.1395,1,14.1322,0,2692,,-0.0215,0.0225,-0.0441,0
2023-09-11,13.29,13.34,13.16,13.34,13.75,13.73,,,,13.1395,1,14.0925,0,3167,,-0.0483,0.0084,-0.0566,0
2023-09-12,13.28,13.43,13.19,13.42,13.71,13.71,,,,13.1395,1,14.0544,0,2583,,-0.0623,-0.0057,-0.0565,0
2023-09-13,13.42,13.65,13.28,13.61,13.67,13.70,,,,13.1395,1,14.0178,0,3688,,-0.0574,-0.0161,-0.0413,0
2023-09-14,14.03,14.52,13.89,14.50,13.73,13.74,,,,13.1395,1,13.1400,1,6563,,0.0181,-0.0092,0.0274,0
2023-09-15,14.45,14.69,14.13,14.18,13.75,13.77,,,,13.2550,1,13.1676,1,16496,,0.0515,0.0029,0.0486,0
2023-09-18,14.12,14.27,13.95,14.10,13.76,13.80,,,,13.2550,1,13.2285,1,8429,,0.0707,0.0165,0.0543,0
2023-09-19,14.11,14.24,13.99,14.09,13.77,13.81,,,,13.2550,1,13.2870,1,3032,,0.0842,0.0300,0.0542,0
