Date,Open,High,Low,Close,Ma10:Top:Line,Ma20:Top:Line,Ma50:Top:Line,Ma150:Top:Line,Ma200:Top:Line,Supertrend:Top:ColorLine,Supertrend_Dir,ParabolicSAR:Top:ColorLine,ParabolicSAR_Dir,Volume:Middle:Histogram,Vo50:Middle:Line,Macd:Bottom:Line,MacdSignal:Bottom:Line,MacdDelta:Bottom:Histogram,RsRating:Hidden:Hidden
2023-07-13,119.99,121.98,119.73,121.27,,,,,,,0,121.9825,0,43397,,,,,0
2023-07-14,121.36,121.36,118.66,119.71,,,,,,,0,121.9825,0,33934,,,,,0
2023-07-17,118.61,120.02,118.06,118.47,,,,,,,0,121.9825,0,48975,,,,,0
2023-07-18,118.38,120.94,118.14,120.21,,,,,,,0,121.8254,0,42801,,,,,0
2023-07-19,119.96,122.35,119.64,121.66,,,,,,,0,118.0573,1,34704,,,,,0
2023-07-20,122.48,123.14,120.91,123.05,,,,,,,0,118.1429,1,47891,,,,,0
2023-07-21,123.53,123.55,122.05,123.11,,,,,,,0,118.3428,1,40131,,,,,0
2023-07-24,123.33,124.77,122.70,124.04,,,,,,,0,118.6553,1,33920,,,,,0
2023-07-25,123.76,124.60,123.11,123.19,,,,,,,0,119.1442,1,31057,,,,,0
2023-07-26,123.41,126.04,123.41,125.99,122.07,,,,,131.4901,0,119.5941,1,28092,,,,,0
2023-07-27,126.30,128.35,126.05,128.06,122.75,,,,,131.4901,0,120.2387,1,61253,,,,,0
2023-07-28,130.08,131.40,126.24,126.66,123.44,,,,,131.4901,0,121.2121,1,72072,,,,,0
2023-07-31,127.32,128.46,126.53,127.84,124.38,,,,,131.4901,0,122.6385,1,43675,,,,,0
2023-08-01,127.67,128.74,126.72,128.34,125.19,,,,,131.4901,0,123.8652,1,62240,,,,,0
2023-08-02,133.05,137.06,128.29,135.68,126.59,,,,,123.4427,1,124.9202,1,135679,,,,,0
2023-08-03,135.40,136.18,132.31,134.66,127.76,,,,,124.7783,1,126.7249,1,80607,,,,,0
2023-08-04,135.51,137.98,134.34,134.75,128.92,,,,,126.5435,1,128.2930,1,44448,,,,,0
2023-08-07,135.39,136.95,134.77,135.05,130.02,,,,,126.5488,1,130.0362,1,37173,,,,,0
2023-08-08,134.06,136.20,133.44,135.99,131.30,,,,,126.5488,1,131.4657,1,39078,,,,,0
2023-08-09,135.57,135.69,133.55,133.80,132.08,127.08,,,,126.5488,1,132.6378,1,41840,,,,,0
2023-08-10,134.26,135.28,133.08,134.09,132.68,127.72,,,,126.5488,1,137.9775,0,33721,,,,,0
2023-08-11,133.88,136.14,133.88,136.05,133.62,128.53,,,,126.5488,1,137.8796,0,24378,,,,,0
2023-08-14,135.92,136.79,134.83,136.13,134.45,129.42,,,,127.5025,1,137.7837,0,42585,,,,,0
2023-08-15,134.83,134.90,133.30,133.97,135.02,130.10,,,,127.5025,1,137.6897,0,26247,,,,,0
2023-08-16,133.64,135.18,133.38,134.74,134.92,130.76,,,,127.5025,1,137.5975,0,29063,,,,,0
2023-08-17,135.15,135.60,134.66,134.95,134.95,131.35,,,,127.6165,1,137.5072,0,44613,,,,,0
2023-08-18,134.30,135.40,133.62,133.73,134.85,131.88,,,,127.6165,1,137.4188,0,38245,,,,,0
2023-08-21,133.83,135.65,133.83,134.51,134.79,132.41,,,,127.6165,1,137.3320,0,57900,,,,,0
2023-08-22,134.21,135.04,131.38,132.06,134.40,132.85,,,,127.6165,1,137.2471,0,30694,,,,,0
2023-08-23,132.47,133.44,131.70,132.27,134.25,133.16,,,,127.6165,1,137.0125,0,52008,,,,,0
2023-08-24,132.09,133.90,132.01,133.42,134.18,133.43,,,,127.6165,1,136.7872,0,32456,,,,,0
2023-08-25,133.86,134.45,132.05,132.51,133.83,133.73,,,,127.6165,1,136.5710,0,31436,,,,,0
2023-08-28,132.73,133.49,130.93,132.25,133.44,133.95,,,,127.6165,1,136.3634,0,53778,,,,,0
2023-08-29,132.49,133.22,130.04,133.14,133.36,134.19,,,,127.6165,1,136.0376,0,33955,,2.2936,3.3775,-1.0840,0
2023-08-30,133.14,134.01,132.45,132.76,133.16,134.04,,,,127.6165,1,135.5581,0,31718,,2.1006,3.1222,-1.0215,0
2023-08-31,133.35,133.35,131.82,133.08,132.97,133.96,,,,127.6165,1,135.1169,0,58449,,1.9514,2.8880,-0.9366,0
2023-09-01,133.86,134.92,133.68,133.74,132.97,133.91,,,,127.6165,1,130.0439,1,32583,,1.8649,2.6834,-0.8185,0
