Date,Open,High,Low,Close,Ma10:Top:Line,Ma20:Top:Line,Ma50:Top:Line,Ma150:Top:Line,Ma200:Top:Line,Supertrend:Top:ColorLine,Supertrend_Dir,ParabolicSAR:Top:ColorLine,ParabolicSAR_Dir,Volume:Middle:Histogram,Vo50:Middle:Line,Macd:Bottom:Line,MacdSignal:Bottom:Line,MacdDelta:Bottom:Histogram,RsRating:Hidden:Hidden
2023-07-12,11.28,11.48,11.11,11.42,,,,,,,0,11.1100,1,63466,,,,,0
2023-07-13,11.54,11.70,11.30,11.60,,,,,,,0,11.1100,1,105995,,,,,0
2023-07-14,11.99,12.00,11.59,11.67,,,,,,,0,11.1100,1,136527,,,,,0
2023-07-17,11.80,11.95,11.51,11.80,,,,,,,0,11.1456,1,68990,,,,,0
2023-07-18,11.91,12.01,11.72,11.81,,,,,,,0,11.1798,1,51133,,,,,0
2023-07-19,11.82,11.97,11.48,11.54,,,,,,,0,11.2293,1,35445,,,,,0
2023-07-20,11.50,11.56,11.11,11.13,,,,,,,0,12.0050,0,46945,,,,,0
2023-07-21,11.15,11.27,10.97,11.09,,,,,,,0,11.9871,0,35719,,,,,0
2023-07-24,11.01,11.08,10.56,10.73,,,,,,,0,11.9464,0,44468,,,,,0
2023-07-25,10.69,10.91,10.61,10.73,11.35,,,,,11.9520,0,11.8635,0,23730,,,,,0
2023-07-26,10.75,10.99,10.73,10.93,11.30,,,,,11.9520,0,11.7856,0,23413,,,,,0
2023-07-27,11.12,11.14,10.73,10.80,11.22,,,,,11.9520,0,11.7124,0,20892,,,,,0
2023-07-28,10.77,11.73,10.77,11.66,11.22,,,,,11.9520,0,10.5650,1,38564,,,,,0
2023-07-31,11.78,11.99,11.65,11.98,11.24,,,,,10.5191,1,10.5883,1,37112,,,,,0
2023-08-01,11.86,12.00,11.78,11.93,11.25,,,,,10.6554,1,10.6444,1,20370,,,,,0
2023-08-02,11.79,11.92,11.74,11.81,11.28,,,,,10.6619,1,10.7257,1,24159,,,,,0
2023-08-03,11.75,12.00,11.49,11.50,11.32,,,,,10.6619,1,10.8022,1,39949,,,,,0
2023-08-04,11.53,11.71,11.41,11.59,11.37,,,,,10.6619,1,10.8740,1,22273,,,,,0
2023-08-07,11.76,11.76,11.20,11.24,11.42,,,,,10.6619,1,10.9416,1,57542,,,,,0
2023-08-08,11.18,11.67,11.10,11.39,11.48,11.42,,,,10.6619,1,11.0051,1,32980,,,,,0
2023-08-09,11.33,11.44,11.25,11.28,11.52,11.41,,,,10.6619,1,11.0648,1,29692,,,,,0
2023-08-10,11.30,11.47,11.20,11.39,11.58,11.40,,,,10.6619,1,11.1010,1,30573,,,,,0
2023-08-11,11.25,11.69,11.25,11.57,11.57,11.40,,,,10.6619,1,11.1549,1,54488,,,,,0
2023-08-14,11.55,11.96,10.95,11.71,11.54,11.39,,,,10.6619,1,12.0000,0,42771,,,,,0
2023-08-15,11.72,11.75,10.86,10.97,11.45,11.35,,,,10.6619,1,11.9790,0,48947,,,,,0
2023-08-16,10.93,11.01,10.61,10.81,11.35,11.31,,,,10.6619,1,11.9600,0,52481,,,,,0
2023-08-17,10.78,10.78,10.32,10.47,11.24,11.28,,,,12.0135,0,11.8790,0,47187,,,,,0
2023-08-18,10.37,11.00,10.24,10.87,11.17,11.27,,,,12.0135,0,11.7543,0,43026,,,,,0
2023-08-21,10.72,11.04,10.48,10.96,11.14,11.28,,,,12.0135,0,11.6029,0,54642,,,,,0
2023-08-22,10.99,11.19,10.82,11.15,11.12,11.30,,,,12.0135,0,11.4666,0,32226,,,,,0
2023-08-23,11.23,11.81,11.23,11.71,11.16,11.34,,,,12.0135,0,10.2400,1,51352,,,,,0
2023-08-24,11.74,11.74,11.10,11.11,11.13,11.36,,,,12.0135,0,10.2713,1,24964,,,,,0
2023-08-25,11.14,11.31,11.02,11.14,11.09,11.33,,,,12.0135,0,10.3020,1,19010,,,,,0
2023-08-28,11.18,11.39,11.08,11.29,11.05,11.29,,,,12.0135,0,10.3320,1,25063,,-0.0631,-0.1001,0.0370,0
2023-08-29,11.19,11.37,11.00,11.25,11.08,11.26,,,,12.0135,0,10.3615,1,19752,,-0.0547,-0.0910,0.0363,0
2023-08-30,11.28,11.74,11.24,11.58,11.15,11.25,,,,12.0135,0,10.3904,1,30267,,-0.0212,-0.0770,0.0559,0
2023-08-31,11.58,11.80,11.51,11.57,11.26,11.25,,,,12.0135,0,10.4187,1,43959,,0.0045,-0.0607,0.0653,0
2023-09-01,11.65,11.94,11.46,11.68,11.34,11.26,,,,12.0135,0,10.4464,1,43339,,0.0334,-0.0419,0.0753,0
2023-09-05,11.63,12.01,11.59,11.75,11.42,11.28,,,,12.0135,0,10.5059,1,45677,,0.0612,-0.0213,0.0825,0
2023-09-06,11.72,11.87,11.45,11.79,11.49,11.30,,,,12.0135,0,10.5962,1,26491,,0.0855,0.0001,0.0854,0
2023-09-07,11.59,11.82,11.47,11.70,11.49,11.32,,,,12.0135,0,10.6810,1,35405,,0.0964,0.0193,0.0770,0
2023-09-08,11.73,12.62,11.73,12.60,11.64,11.38,,,,10.7037,1,10.7607,1,126378,,0.1756,0.0506,0.1250,0
2023-09-11,12.65,12.84,11.31,11.51,11.67,11.38,,,,10.7037,1,10.9095,1,76301,,0.1487,0.0702,0.0785,0
2023-09-12,11.39,11.68,11.16,11.22,11.67,11.36,,,,10.7037,1,11.1025,1,40873,,0.1028,0.0767,0.0261,0
2023-09-13,11.11,11.39,11.10,11.16,11.66,11.37,,,,10.7037,1,12.8400,0,28518,,0.0609,0.0736,-0.0127,0
2023-09-14,11.21,11.66,11.09,11.49,11.65,11.40,,,,10.7037,1,12.8052,0,24038,,0.0537,0.0696,-0.0159,0
2023-09-15,11.49,11.57,11.22,11.29,11.62,11.44,,,,10.7037,1,12.7366,0,252907,,0.0315,0.0620,-0.0305,0
2023-09-18,11.17,11.40,11.01,11.12,11.56,11.45,,,,10.7037,1,12.6707,0,38172,,0.0002,0.0496,-0.0495,0
2023-09-19,11.12,11.12,10.64,10.80,11.47,11.45,,,,10.7037,1,12.5710,0,33565,,-0.0499,0.0297,-0.0796,0
2023-09-20,10.66,10.79,10.29,10.33,11.32,11.40,11.35,,,12.0927,0,12.4165,0,32513,47685,-0.1261,-0.0014,-0.1246,0
2023-09-21,10.23,10.34,9.96,10.22,11.17,11.33,11.33,,,11.6614,0,12.2038,0,33752,47091,-0.1931,-0.0398,-0.1533,0
2023-09-22,10.35,10.44,10.06,10.33,10.95,11.29,11.30,,,11.6614,0,11.9346,0,48787,45947,-0.2346,-0.0787,-0.1559,0
2023-09-25,10.16,10.30,9.87,10.21,10.82,11.24,11.27,,,11.5485,0,11.6976,0,22578,43668,-0.2740,-0.1178,-0.1562,0
2023-09-26,11.80,12.83,11.75,12.41,10.94,11.30,11.29,,,10.1869,1,9.8700,1,273847,47765,-0.1263,-0.1195,-0.0068,0
2023-09-27,12.77,13.23,12.60,13.19,11.14,11.40,11.31,,,10.7762,1,9.8700,1,217320,51088,0.0531,-0.0850,0.1381,0
2023-09-28,13.20,13.24,12.24,12.55,11.24,11.45,11.33,,,10.7762,1,10.0044,1,104577,52471,0.1420,-0.0396,0.1816,0
2023-09-29,11.87,12.00,11.51,11.68,11.28,11.45,11.34,,,10.7762,1,10.1985,1,201487,55562,0.1406,-0.0035,0.1442,0
2023-10-02,11.56,11.65,10.34,10.52,11.22,11.39,11.33,,,13.4788,0,13.2400,0,128944,57426,0.0450,0.0062,0.0389,0
2023-10-03,10.41,10.53,9.86,10.42,11.19,11.33,11.33,,,12.6324,0,13.1820,0,123044,58998,-0.0380,-0.0026,-0.0353,0
2023-10-04,10.39,10.41,9.89,9.93,11.15,11.23,11.31,,,12.5004,0,13.0493,0,111277,60749,-0.1416,-0.0304,-0.1112,0
2023-10-05,9.82,10.44,9.79,10.43,11.17,11.17,11.30,,,12.4254,0,12.9219,0,87890,62038,-0.1814,-0.0606,-0.1207,0
2023-10-06,10.29,10.91,10.29,10.80,11.21,11.08,11.30,,,12.4254,0,12.7340,0,50843,62637,-0.1809,-0.0847,-0.0962,0
2023-10-09,10.68,10.84,10.29,10.63,11.26,11.04,11.28,,,12.4254,0,12.5574,0,47409,62814,-0.1921,-0.1062,-0.0859,0
2023-10-10,10.57,10.87,10.38,10.70,11.08,11.01,11.25,,,12.4254,0,12.3913,0,39984,62872,-0.1930,-0.1235,-0.0695,0
2023-10-11,10.70,10.82,10.12,10.14,10.78,10.96,11.22,,,12.4254,0,12.2353,0,28765,63040,-0.2363,-0.1461,-0.0902,0
