Date,Open,High,Low,Close,Ma10:Top:Line,Ma20:Top:Line,Ma50:Top:Line,Ma150:Top:Line,Ma200:Top:Line,Supertrend:Top:ColorLine,Supertrend_Dir,ParabolicSAR:Top:ColorLine,ParabolicSAR_Dir,Volume:Middle:Histogram,Vo50:Middle:Line,Macd:Bottom:Line,MacdSignal:Bottom:Line,MacdDelta:Bottom:Histogram,RsRating:Hidden:Hidden
2023-07-12,71.25,72.42,70.29,70.59,,,,,,,0,70.2851,1,1036,,,,,0
2023-07-13,70.37,71.95,70.36,71.21,,,,,,,0,70.2851,1,960,,,,,0
2023-07-14,70.82,72.19,70.22,71.78,,,,,,,0,72.4175,0,1161,,,,,0
2023-07-17,71.81,72.06,70.42,70.59,,,,,,,0,72.3735,0,868,,,,,0
2023-07-18,70.49,71.98,70.49,71.43,,,,,,,0,72.3305,0,894,,,,,0
2023-07-19,71.90,71.90,70.19,70.73,,,,,,,0,72.2883,0,999,,,,,0
2023-07-20,70.55,71.66,70.26,71.39,,,,,,,0,72.2044,0,855,,,,,0
2023-07-21,71.99,71.99,70.78,71.40,,,,,,,0,72.1239,0,1301,,,,,0
2023-07-24,71.58,72.19,71.32,72.07,,,,,,,0,70.1924,1,614,,,,,0
2023-07-25,72.13,72.61,71.07,71.82,71.30,,,,,76.5042,0,70.2323,1,689,,,,,0
2023-07-26,71.82,72.35,71.65,71.97,71.44,,,,,76.4071,0,70.3274,1,629,,,,,0
2023-07-27,71.69,72.49,70.47,70.69,71.39,,,,,76.0535,0,70.4188,1,907,,,,,0
2023-07-28,71.33,72.48,70.21,72.26,71.44,,,,,76.0535,0,72.6122,0,2003,,,,,0
2023-07-31,72.08,72.60,71.10,72.60,71.64,,,,,76.0535,0,70.2109,1,1793,,,,,0
2023-08-01,70.67,72.41,70.67,72.41,71.73,,,,,76.0535,0,70.2109,1,1007,,,,,0
2023-08-02,71.28,73.58,71.23,73.19,71.98,,,,,76.0535,0,70.2588,1,1255,,,,,0
2023-08-03,72.99,74.26,72.40,73.83,72.22,,,,,76.0535,0,70.3915,1,995,,,,,0
2023-08-04,74.10,75.17,73.90,74.16,72.50,,,,,76.0535,0,70.6237,1,1448,,,,,0
2023-08-07,73.79,74.80,73.68,74.24,72.72,,,,,76.0535,0,70.9875,1,1305,,,,,0
2023-08-08,74.37,75.47,74.36,75.12,73.05,72.17,,,,76.0535,0,71.3222,1,786,,,,,0
2023-08-09,75.09,75.09,73.59,73.98,73.25,72.34,,,,76.0535,0,71.7368,1,814,,,,,0
2023-08-10,74.15,74.15,73.03,73.68,73.55,72.47,,,,76.0535,0,72.1099,1,1113,,,,,0
2023-08-11,73.58,74.55,72.88,73.08,73.63,72.53,,,,76.0535,0,72.4456,1,1253,,,,,0
2023-08-14,73.06,73.22,71.61,71.61,73.53,72.58,,,,76.0535,0,75.4677,0,1329,,,,,0
2023-08-15,70.92,72.33,70.92,71.68,73.46,72.60,,,,76.0535,0,75.3906,0,1971,,,,,0
2023-08-16,71.85,72.16,70.80,70.80,73.22,72.60,,,,76.0378,0,75.2119,0,1069,,,,,0
2023-08-17,70.63,71.45,69.88,69.90,72.83,72.52,,,,75.2391,0,74.9475,0,1221,,,,,0
2023-08-18,69.47,70.30,69.47,69.99,72.41,72.45,,,,74.2532,0,74.5419,0,1027,,,,,0
2023-08-21,70.02,70.02,68.62,68.76,71.86,72.29,,,,73.6663,0,74.0346,0,1387,,,,,0
2023-08-22,68.31,69.07,68.21,68.31,71.18,72.11,,,,72.8132,0,73.3844,0,1127,,,,,0
2023-08-23,68.36,68.36,67.58,67.79,70.56,71.90,,,,71.9573,0,72.6598,0,1068,,,,,0
2023-08-24,67.38,68.14,67.38,67.61,69.95,71.75,,,,71.5824,0,71.8467,0,1371,,,,,0
2023-08-25,67.63,68.17,67.23,67.51,69.40,71.51,,,,71.4212,0,71.0432,0,772,,,,,0
2023-08-28,67.58,68.29,67.38,67.82,69.02,71.27,,,,71.4212,0,70.2816,0,775,,-1.1251,-0.5128,-0.6123,0
