Date,Open,High,Low,Close,Ma10:Top:Line,Ma20:Top:Line,Ma50:Top:Line,Ma150:Top:Line,Ma200:Top:Line,Supertrend:Top:ColorLine,Supertrend_Dir,ParabolicSAR:Top:ColorLine,ParabolicSAR_Dir,Volume:Middle:Histogram,Vo50:Middle:Line,Macd:Bottom:Line,MacdSignal:Bottom:Line,MacdDelta:Bottom:Histogram,RsRating:Hidden:Hidden
2023-07-13,70.29,71.33,70.05,71.23,,,,,,,0,70.0491,1,100003,,,,,0
2023-07-14,71.40,71.40,70.24,70.56,,,,,,,0,70.0491,1,114682,,,,,0
2023-07-17,70.16,72.10,69.96,71.83,,,,,,,0,71.4043,0,58921,,,,,0
2023-07-18,71.57,73.11,71.57,72.63,,,,,,,0,69.9600,1,67506,,,,,0
2023-07-19,72.47,73.73,72.06,73.56,,,,,,,0,69.9600,1,100918,,,,,0
2023-07-20,73.91,74.69,73.55,74.47,,,,,,,0,70.1109,1,85693,,,,,0
2023-07-21,74.68,75.02,73.84,74.59,,,,,,,0,70.3853,1,125314,,,,,0
2023-07-24,74.35,75.29,74.25,74.63,,,,,,,0,70.7557,1,82279,,,,,0
2023-07-25,74.62,74.93,73.86,73.87,,,,,,,0,71.2093,1,87583,,,,,0
2023-07-26,73.75,75.32,73.75,74.98,73.24,,,,,78.6713,0,71.6175,1,81257,,,,,0
2023-07-27,75.12,75.47,74.18,74.18,73.53,,,,,78.6713,0,72.0616,1,105847,,,,,0
2023-07-28,72.32,72.32,68.89,70.88,73.56,,,,,75.8930,0,75.4698,0,222139,,,,,0
2023-07-31,70.99,71.75,70.73,71.21,73.50,,,,,75.8930,0,75.4698,0,96459,,,,,0
2023-08-01,71.02,71.24,70.26,70.51,73.29,,,,,75.6067,0,75.3382,0,108986,,,,,0
2023-08-02,69.63,70.03,69.10,69.93,72.93,,,,,74.3564,0,75.2092,0,91296,,,,,0
2023-08-03,69.41,71.18,69.41,70.75,72.55,,,,,74.3564,0,75.0828,0,67845,,,,,0
2023-08-04,70.65,70.97,69.84,70.05,72.10,,,,,74.3564,0,74.9590,0,81854,,,,,0
2023-08-07,70.48,71.30,70.32,71.14,71.75,,,,,74.3564,0,74.8376,0,56858,,,,,0
2023-08-08,69.68,70.62,69.34,70.44,71.41,,,,,74.3564,0,74.7187,0,62133,,,,,0
2023-08-09,70.44,70.44,69.35,69.47,70.86,72.05,,,,74.3564,0,74.6021,0,63863,,,,,0
2023-08-10,70.00,70.18,68.82,68.95,70.33,71.93,,,,73.9970,0,74.4879,0,82916,,,,,0
