Date,Open,High,Low,Close,Ma10:Top:Line,Ma20:Top:Line,Ma50:Top:Line,Ma150:Top:Line,Ma200:Top:Line,Supertrend:Top:ColorLine,Supertrend_Dir,ParabolicSAR:Top:ColorLine,ParabolicSAR_Dir,Volume:Middle:Histogram,Vo50:Middle:Line,Macd:Bottom:Line,MacdSignal:Bottom:Line,MacdDelta:Bottom:Histogram,RsRating:Hidden:Hidden
2023-07-12,26.50,27.24,26.33,26.69,,,,,,,0,26.3300,1,32463,,,,,0
2023-07-13,26.80,27.85,26.68,27.39,,,,,,,0,26.3300,1,29620,,,,,0
2023-07-14,26.00,26.02,23.59,25.04,,,,,,,0,27.8500,0,80719,,,,,0
2023-07-17,25.00,26.78,25.00,25.98,,,,,,,0,27.8500,0,45338,,,,,0
2023-07-18,26.30,27.55,26.19,26.98,,,,,,,0,27.7648,0,33199,,,,,0
2023-07-19,27.22,27.76,26.45,26.72,,,,,,,0,23.5900,1,21761,,,,,0
2023-07-20,26.90,26.90,25.81,26.07,,,,,,,0,23.6734,1,20585,,,,,0
2023-07-21,26.26,26.70,26.09,26.18,,,,,,,0,23.7551,1,10365,,,,,0
2023-07-24,26.25,26.95,26.08,26.26,,,,,,,0,23.8352,1,21032,,,,,0
2023-07-25,26.20,26.70,26.05,26.29,26.36,,,,,30.5077,0,23.9137,1,19994,,,,,0
2023-07-26,26.00,26.40,25.86,25.88,26.28,,,,,30.0137,0,23.9907,1,11982,,,,,0
2023-07-27,26.03,26.14,25.14,25.32,26.07,,,,,29.4343,0,24.0660,1,14957,,,,,0
2023-07-28,25.30,26.01,24.57,25.71,26.14,,,,,29.1391,0,24.1399,1,16223,,,,,0
2023-07-31,25.91,26.38,25.66,26.10,26.15,,,,,29.1391,0,24.2123,1,14285,,,,,0
2023-08-01,25.50,25.89,25.02,25.81,26.03,,,,,29.0908,0,24.2833,1,15907,,,,,0
2023-08-02,25.55,25.55,24.81,25.03,25.86,,,,,28.7531,0,24.3528,1,15258,,,,,0
2023-08-03,24.78,25.05,23.73,24.88,25.75,,,,,28.0018,0,27.7600,0,19989,,,,,0
2023-08-04,25.18,25.95,24.93,24.99,25.63,,,,,28.0018,0,27.6794,0,16169,,,,,0
2023-08-07,24.92,25.19,24.48,24.98,25.50,,,,,28.0018,0,27.6004,0,10122,,,,,0
2023-08-08,24.25,25.99,24.08,25.79,25.45,25.90,,,,28.0018,0,27.5230,0,16629,,,,,0
2023-08-09,26.00,26.43,25.40,25.49,25.41,25.84,,,,28.0018,0,27.4471,0,15590,,,,,0
2023-08-10,25.43,26.09,25.13,25.26,25.40,25.74,,,,28.0018,0,27.3728,0,11630,,,,,0
2023-08-11,24.99,26.17,24.99,25.87,25.42,25.78,,,,28.0018,0,27.2999,0,13561,,,,,0
2023-08-14,25.49,26.69,24.04,25.49,25.36,25.75,,,,28.0018,0,27.2285,0,26071,,,,,0
2023-08-15,25.29,25.53,25.07,25.25,25.30,25.67,,,,28.0018,0,27.1586,0,9431,,,,,0
2023-08-16,25.15,26.29,25.01,25.27,25.33,25.60,,,,28.0018,0,27.0900,0,15096,,,,,0
2023-08-17,25.59,26.00,24.79,24.98,25.34,25.54,,,,28.0018,0,27.0228,0,21028,,,,,0
2023-08-18,24.75,25.38,24.50,25.06,25.34,25.49,,,,28.0018,0,26.9569,0,9533,,,,,0
2023-08-21,25.42,25.69,24.67,24.90,25.34,25.42,,,,28.0018,0,26.8924,0,8451,,,,,0
2023-08-22,24.91,25.38,24.91,25.22,25.28,25.36,,,,28.0018,0,26.8292,0,8199,,,,,0
2023-08-23,25.16,26.42,24.79,26.24,25.35,25.38,,,,28.0018,0,26.7672,0,16303,,,,,0
2023-08-24,26.41,26.59,25.74,25.87,25.41,25.41,,,,28.0018,0,26.7064,0,11592,,,,,0
2023-08-25,26.18,26.29,25.45,26.12,25.44,25.43,,,,28.0018,0,26.6469,0,8708,,,,,0
2023-08-28,26.25,27.32,26.14,27.31,25.62,25.49,,,,28.0018,0,23.7300,1,18489,,0.0354,-0.2386,0.2740,0
2023-08-29,27.31,27.96,26.46,26.72,25.77,25.54,,,,28.0018,0,23.8018,1,21985,,0.1021,-0.1705,0.2726,0
2023-08-30,26.80,27.44,26.80,26.93,25.93,25.63,,,,28.0018,0,23.9681,1,10721,,0.1699,-0.1024,0.2723,0
2023-08-31,27.12,27.34,26.51,26.80,26.12,25.73,,,,28.0018,0,24.1278,1,13917,,0.2108,-0.0398,0.2506,0
2023-09-01,27.20,27.40,26.70,26.74,26.28,25.81,,,,28.0018,0,24.2811,1,9094,,0.2356,0.0153,0.2203,0
2023-09-05,26.80,26.86,25.17,25.27,26.32,25.83,,,,28.0018,0,24.4282,1,25255,,0.1351,0.0393,0.0958,0
2023-09-06,25.10,26.45,25.03,25.89,26.39,25.83,,,,28.0018,0,24.5695,1,15078,,0.1043,0.0523,0.0520,0
2023-09-07,25.80,25.89,25.28,25.46,26.31,25.83,,,,28.0018,0,24.7051,1,12206,,0.0446,0.0507,-0.0061,0
2023-09-08,25.55,26.10,24.38,24.85,26.21,25.81,,,,28.0018,0,27.9600,0,19159,,-0.0513,0.0303,-0.0816,0
2023-09-11,24.86,25.37,24.46,24.65,26.06,25.75,,,,28.0018,0,27.8884,0,12128,,-0.1418,-0.0041,-0.1377,0
2023-09-12,24.63,25.82,24.51,25.63,25.89,25.76,,,,28.0018,0,27.8182,0,9388,,-0.1329,-0.0298,-0.1030,0
2023-09-13,25.88,26.42,25.54,26.42,25.86,25.82,,,,28.0018,0,27.7495,0,14372,,-0.0614,-0.0361,-0.0252,0
2023-09-14,26.50,27.83,26.46,27.40,25.91,25.92,,,,28.0018,0,24.3800,1,21202,,0.0735,-0.0142,0.0877,0
2023-09-15,27.38,27.44,26.84,27.18,25.95,26.03,,,,28.0018,0,24.4490,1,13019,,0.1608,0.0208,0.1400,0
2023-09-18,27.50,28.33,27.43,27.93,26.07,26.18,,,,28.0018,0,24.5166,1,17074,,0.2872,0.0741,0.2131,0
2023-09-19,28.21,28.38,26.96,27.12,26.25,26.29,,,,28.0018,0,24.6692,1,13221,,0.3183,0.1229,0.1954,0
2023-09-20,26.83,27.44,26.81,27.00,26.36,26.38,25.97,,,28.0018,0,24.8915,1,7347,17909,0.3295,0.1643,0.1653,0
2023-09-21,27.06,27.87,26.57,27.55,26.57,26.44,25.99,,,28.0018,0,25.1005,1,17334,17606,0.3784,0.2071,0.1713,0
2023-09-22,27.98,28.64,27.40,27.41,26.83,26.52,25.99,,,28.0018,0,25.2970,1,18992,17394,0.4012,0.2459,0.1553,0
2023-09-25,27.30,27.90,27.19,27.40,27.10,26.58,26.03,,,28.0018,0,25.5644,1,11220,16004,0.4138,0.2795,0.1343,0
2023-09-26,27.27,28.35,26.94,27.55,27.30,26.59,26.06,,,28.0018,0,25.8105,1,17472,15446,0.4308,0.3098,0.1211,0
2023-09-27,28.47,30.69,28.28,30.33,27.69,26.78,26.13,,,25.5532,1,26.0368,1,40023,15583,0.6610,0.3800,0.2810,0
2023-09-28,30.39,31.26,30.35,31.10,28.06,26.98,26.22,,,26.9851,1,26.5022,1,27499,15698,0.8953,0.4831,0.4122,0
2023-09-29,31.36,31.79,29.71,30.39,28.38,27.16,26.31,,,26.9851,1,27.0731,1,47761,16241,1.0120,0.5888,0.4231,0
2023-10-02,30.23,31.01,30.02,30.40,28.62,27.35,26.39,,,26.9851,1,27.7335,1,23478,16503,1.0927,0.6896,0.4031,0
2023-10-03,30.49,30.72,29.01,29.45,28.86,27.56,26.45,,,26.9851,1,28.3014,1,21528,16513,1.0677,0.7652,0.3024,0
2023-10-04,29.40,29.45,28.04,28.73,29.03,27.70,26.50,,,26.9851,1,31.7900,0,23625,16586,0.9785,0.8079,0.1706,0
2023-10-05,28.26,29.31,28.16,29.12,29.19,27.88,26.57,,,26.9851,1,31.7150,0,12396,16594,0.9285,0.8320,0.0965,0
2023-10-06,29.28,29.99,29.10,29.71,29.42,28.12,26.65,,,26.9851,1,31.6415,0,18203,16659,0.9259,0.8508,0.0751,0
2023-10-09,30.94,31.27,30.54,30.86,29.76,28.43,26.76,,,26.9851,1,31.5695,0,15489,16645,1.0050,0.8816,0.1234,0
2023-10-10,31.00,31.49,30.65,30.82,30.09,28.69,26.85,,,27.2489,1,31.4989,0,24129,16841,1.0524,0.9158,0.1366,0
2023-10-11,30.74,31.22,30.41,30.98,30.16,28.92,26.96,,,27.2489,1,31.4900,0,21351,16950,1.0902,0.9507,0.1396,0
2023-10-12,31.48,31.76,30.52,30.88,30.13,29.10,27.07,,,27.4565,1,28.0400,1,26053,17166,1.0995,0.9804,0.1191,0
2023-10-13,31.66,31.95,31.01,31.06,30.20,29.29,27.20,,,27.8416,1,28.1145,1,12030,17007,1.1086,1.0061,0.1025,0
2023-10-16,31.29,32.18,30.69,31.39,30.30,29.46,27.32,,,27.8416,1,28.2679,1,24318,17170,1.1294,1.0307,0.0987,0
2023-10-17,31.86,32.68,31.74,32.59,30.61,29.74,27.48,,,28.4726,1,28.5026,1,24335,17454,1.2286,1.0703,0.1583,0
2023-10-18,32.78,33.09,30.91,31.18,30.86,29.94,27.58,,,28.4726,1,28.8368,1,31208,17746,1.1798,1.0922,0.0876,0
2023-10-19,31.15,31.59,30.80,31.22,31.07,30.13,27.70,,,28.4726,1,29.2622,1,20443,17843,1.1313,1.1000,0.0313,0
2023-10-20,31.17,31.17,30.23,30.59,31.16,30.29,27.81,,,28.4726,1,29.6449,1,12068,17852,1.0302,1.0861,-0.0559,0
2023-10-23,30.00,30.62,28.32,30.30,31.10,30.43,27.89,,,28.4726,1,33.0900,0,29364,18168,0.9161,1.0521,-0.1360,0
2023-10-24,30.54,31.15,30.24,30.54,31.07,30.58,28.00,,,28.4726,1,32.9946,0,19637,18039,0.8354,1.0087,-0.1733,0
2023-10-25,30.65,31.41,29.33,30.10,30.98,30.57,28.09,,,28.4726,1,32.9011,0,23309,18317,0.7275,0.9525,-0.2250,0
2023-10-26,30.05,30.42,29.20,29.78,30.88,30.50,28.18,,,28.4726,1,32.8095,0,13184,18278,0.6092,0.8838,-0.2746,0
2023-10-27,29.79,29.85,29.04,29.24,30.69,30.45,28.27,,,28.4726,1,32.7197,0,8208,18022,0.4665,0.8004,-0.3339,0
2023-10-30,29.44,29.86,27.43,28.19,30.37,30.34,28.33,,,32.7578,0,32.6317,0,25616,18344,0.2656,0.6934,-0.4278,0
2023-10-31,28.04,28.49,26.63,27.22,29.84,30.22,28.38,,,31.9770,0,32.4236,0,23371,18642,0.0278,0.5603,-0.5325,0
2023-11-01,27.42,28.55,27.19,27.62,29.48,30.17,28.42,,,31.9770,0,32.0760,0,19607,18870,-0.1269,0.4229,-0.5498,0
2023-11-02,27.97,28.70,27.67,28.48,29.21,30.14,28.47,,,31.9770,0,31.7493,0,14713,18838,-0.1781,0.3027,-0.4807,0
2023-11-03,28.60,28.99,27.85,28.16,28.96,30.06,28.52,,,31.9770,0,31.4421,0,13024,18867,-0.2416,0.1938,-0.4355,0
2023-11-06,28.45,28.45,27.11,27.18,28.65,29.88,28.54,,,31.9481,0,31.1534,0,12579,18944,-0.3669,0.0817,-0.4486,0
2023-11-07,26.64,26.68,25.83,26.08,28.21,29.64,28.51,,,30.4128,0,30.8820,0,22494,19025,-0.5486,-0.0444,-0.5042,0
2023-11-08,25.97,26.45,25.31,25.43,27.74,29.36,28.49,,,29.9627,0,30.4778,0,17725,18939,-0.7365,-0.1828,-0.5537,0
2023-11-09,25.46,26.71,25.40,26.06,27.37,29.12,28.47,,,29.9627,0,29.9610,0,10049,18926,-0.8251,-0.3113,-0.5139,0
2023-11-10,26.42,27.15,26.21,26.76,27.12,28.91,28.47,,,29.9627,0,29.4959,0,8320,18814,-0.8293,-0.4149,-0.4144,0
2023-11-13,26.68,27.17,26.02,26.22,26.92,28.65,28.46,,,29.9627,0,29.0773,0,14951,18931,-0.8662,-0.5051,-0.3611,0
2023-11-14,26.22,26.90,26.20,26.85,26.88,28.36,28.49,,,29.9627,0,28.7006,0,19686,18820,-0.8350,-0.5711,-0.2639,0
2023-11-15,26.66,27.09,26.28,26.28,26.75,28.12,28.50,,,29.9627,0,28.3615,0,15513,18828,-0.8465,-0.6262,-0.2203,0
2023-11-16,25.99,26.00,25.00,25.65,26.47,27.84,28.50,,,29.1396,0,28.0564,0,15177,18888,-0.8961,-0.6802,-0.2159,0
2023-11-17,25.92,27.24,25.80,26.59,26.31,27.64,28.54,,,29.1396,0,27.6896,0,16964,18844,-0.8498,-0.7141,-0.1357,0
2023-11-20,29.73,32.24,29.62,30.09,26.60,27.63,28.64,,,25.8576,1,25.0000,1,73913,20080,-0.5246,-0.6762,0.1516,0
2023-11-21,30.10,30.24,29.15,29.85,26.98,27.59,28.73,,,25.8576,1,25.1448,1,24522,20382,-0.2830,-0.5976,0.3146,0
2023-11-22,29.66,29.98,28.67,29.10,27.35,27.54,28.78,,,25.8576,1,25.2867,1,25989,20615,-0.1503,-0.5081,0.3578,0
2023-11-24,29.22,32.66,29.22,31.89,27.93,27.65,28.87,,,25.8576,1,25.4258,1,33826,20867,0.1779,-0.3709,0.5488,0
2023-11-27,32.42,33.14,31.52,32.12,28.46,27.79,28.97,,,27.0005,1,25.7151,1,29046,21188,0.4514,-0.2064,0.6578,0
2023-11-28,32.12,32.30,30.70,30.89,28.93,27.93,29.03,,,27.0005,1,26.1606,1,33991,21526,0.5624,-0.0527,0.6151,0
2023-11-29,31.00,31.43,30.40,30.42,29.29,28.09,29.10,,,27.0005,1,26.5794,1,16183,21585,0.6055,0.0790,0.5265,0
2023-11-30,30.60,31.22,30.18,30.83,29.74,28.25,29.17,,,27.0005,1,26.9730,1,17182,21782,0.6650,0.1962,0.4689,0
2023-12-01,30.68,31.22,30.55,31.09,30.29,28.38,29.24,,,27.0005,1,27.3430,1,18670,21809,0.7248,0.3019,0.4229,0
2023-12-04,31.16,31.34,29.55,30.07,30.63,28.47,29.30,,,27.0005,1,27.6909,1,20863,21846,0.6821,0.3779,0.3041,0
2023-12-05,29.80,31.45,29.80,31.37,30.76,28.68,29.38,,,27.0005,1,28.0178,1,19628,22014,0.7445,0.4513,0.2933,0
2023-12-06,31.22,31.22,30.07,30.10,30.79,28.88,29.43,,,27.0005,1,28.3251,1,15339,21972,0.6836,0.4977,0.1859,0
