Date,Open,High,Low,Close,Ma10:Top:Line,Ma20:Top:Line,Ma50:Top:Line,Ma150:Top:Line,Ma200:Top:Line,Supertrend:Top:ColorLine,Supertrend_Dir,ParabolicSAR:Top:ColorLine,ParabolicSAR_Dir,Volume:Middle:Histogram,Vo50:Middle:Line,Macd:Bottom:Line,MacdSignal:Bottom:Line,MacdDelta:Bottom:Histogram,RsRating:Hidden:Hidden
2023-07-12,2.24,2.27,2.23,2.27,,,,,,,0,2.2300,1,1005,,,,,0
2023-07-13,2.27,2.29,2.25,2.27,,,,,,,0,2.2300,1,897,,,,,0
2023-07-14,2.28,2.28,2.19,2.23,,,,,,,0,2.2900,0,902,,,,,0
2023-07-17,2.23,2.27,2.22,2.25,,,,,,,0,2.2900,0,899,,,,,0
2023-07-18,2.23,2.28,2.20,2.21,,,,,,,0,2.2880,0,963,,,,,0
2023-07-19,2.22,2.28,2.21,2.26,,,,,,,0,2.2860,0,1516,,,,,0
2023-07-20,2.26,2.27,2.22,2.25,,,,,,,0,2.2841,0,905,,,,,0
2023-07-21,2.27,2.27,2.15,2.17,,,,,,,0,2.2822,0,1511,,,,,0
2023-07-24,2.16,2.17,2.12,2.16,,,,,,,0,2.2769,0,881,,,,,0
2023-07-25,2.14,2.15,2.11,2.13,2.22,,,,,2.3220,0,2.2700,0,873,,,,,0
2023-07-26,2.13,2.18,2.13,2.15,2.21,,,,,2.3220,0,2.2572,0,493,,,,,0
2023-07-27,2.15,2.16,2.11,2.14,2.20,,,,,2.3190,0,2.2454,0,772,,,,,0
2023-07-28,2.14,2.18,2.13,2.17,2.19,,,,,2.3190,0,2.2346,0,1016,,,,,0
2023-07-31,2.17,2.18,2.15,2.17,2.18,,,,,2.3190,0,2.2246,0,720,,,,,0
2023-08-01,2.20,2.21,2.16,2.18,2.18,,,,,2.3190,0,2.2155,0,895,,,,,0
2023-08-02,2.15,2.19,2.07,2.08,2.16,,,,,2.3185,0,2.2100,0,1006,,,,,0
2023-08-03,2.13,2.13,2.00,2.06,2.14,,,,,2.2736,0,2.2100,0,1480,,,,,0
2023-08-04,2.05,2.17,2.05,2.14,2.14,,,,,2.2736,0,2.1900,0,1780,,,,,0
2023-08-07,2.13,2.13,2.04,2.10,2.13,,,,,2.2736,0,2.1700,0,1327,,,,,0
2023-08-08,2.08,2.08,2.01,2.03,2.12,2.17,,,,2.2736,0,2.1700,0,967,,,,,0
2023-08-09,2.03,2.05,2.03,2.03,2.11,2.16,,,,2.2577,0,2.1496,0,1235,,,,,0
2023-08-10,2.03,2.09,2.01,2.06,2.10,2.15,,,,2.2577,0,2.1316,0,2200,,,,,0
2023-08-11,2.06,2.07,2.00,2.04,2.09,2.14,,,,2.2539,0,2.1159,0,838,,,,,0
2023-08-14,2.02,2.04,1.98,2.01,2.07,2.13,,,,2.2251,0,2.1019,0,745,,,,,0
2023-08-15,2.02,2.03,1.99,1.99,2.05,2.12,,,,2.2155,0,2.0849,0,1401,,,,,0
2023-08-16,1.99,2.08,1.98,2.03,2.05,2.10,,,,2.2155,0,1.9800,1,2298,,,,,0
