Date,Open,High,Low,Close,Ma10:Top:Line,Ma20:Top:Line,Ma50:Top:Line,Ma150:Top:Line,Ma200:Top:Line,Supertrend:Top:ColorLine,Supertrend_Dir,ParabolicSAR:Top:ColorLine,ParabolicSAR_Dir,Volume:Middle:Histogram,Vo50:Middle:Line,Macd:Bottom:Line,MacdSignal:Bottom:Line,MacdDelta:Bottom:Histogram,RsRating:Hidden:Hidden
2023-07-12,27.85,28.43,27.80,27.91,,,,,,,0,27.8000,1,56694,,,,,0
2023-07-13,27.99,29.26,27.85,29.15,,,,,,,0,27.8000,1,53665,,,,,0
2023-07-14,29.23,29.70,28.38,28.51,,,,,,,0,27.8000,1,49254,,,,,0
2023-07-17,28.44,29.47,28.20,29.43,,,,,,,0,27.8500,1,41487,,,,,0
2023-07-18,29.43,29.97,29.37,29.62,,,,,,,0,27.9240,1,38334,,,,,0
2023-07-19,29.61,29.71,28.67,28.69,,,,,,,0,28.0468,1,34015,,,,,0
2023-07-20,28.22,28.30,27.37,27.46,,,,,,,0,29.9700,0,53006,,,,,0
2023-07-21,27.75,28.05,27.12,27.20,,,,,,,0,29.9180,0,28987,,,,,0
2023-07-24,27.28,28.02,27.28,27.58,,,,,,,0,29.8061,0,18172,,,,,0
2023-07-25,27.60,28.18,27.50,27.95,28.35,,,,,30.8460,0,29.6986,0,19406,,,,,0
2023-07-26,27.67,28.28,27.48,28.07,28.37,,,,,30.8254,0,29.5955,0,15876,,,,,0
2023-07-27,28.54,29.04,27.60,27.68,28.22,,,,,30.8254,0,29.4965,0,20071,,,,,0
2023-07-28,28.19,28.54,27.90,28.49,28.22,,,,,30.8254,0,29.4014,0,15607,,,,,0
2023-07-31,28.63,29.43,28.63,29.20,28.19,,,,,30.8254,0,27.1200,1,19275,,,,,0
2023-08-01,28.80,29.26,28.61,28.80,28.11,,,,,30.8254,0,27.1662,1,13807,,,,,0
2023-08-02,28.36,28.49,27.23,27.31,27.97,,,,,30.8254,0,27.2115,1,25955,,,,,0
2023-08-03,26.93,27.51,26.66,27.48,27.98,,,,,30.1171,0,29.4300,0,17475,,,,,0
2023-08-04,27.36,27.91,27.24,27.48,28.00,,,,,30.1171,0,29.3746,0,25817,,,,,0
2023-08-07,27.71,27.71,27.06,27.45,27.99,,,,,30.1171,0,29.3203,0,18477,,,,,0
2023-08-08,27.01,27.28,26.68,27.13,27.91,28.13,,,,29.7597,0,29.2671,0,12613,,,,,0
2023-08-09,27.03,27.03,26.45,26.64,27.77,28.07,,,,29.4457,0,29.2150,0,14466,,,,,0
2023-08-10,26.87,26.96,25.97,26.04,27.60,27.91,,,,29.1972,0,29.1044,0,28985,,,,,0
2023-08-11,25.73,25.73,25.20,25.35,27.29,27.75,,,,28.1759,0,28.9163,0,12832,,,,,0
2023-08-14,25.00,25.46,24.76,25.45,26.91,27.55,,,,27.7599,0,28.6190,0,13201,,,,,0
2023-08-15,25.30,25.65,24.87,24.91,26.52,27.32,,,,27.7599,0,28.2331,0,18976,,,,,0
2023-08-16,24.90,25.35,24.65,25.02,26.30,27.13,,,,27.5670,0,27.8858,0,17517,,,,,0
2023-08-17,24.91,25.21,24.84,25.03,26.05,27.01,,,,27.4463,0,27.4975,0,19273,,,,,0
2023-08-18,24.73,25.17,24.61,24.71,25.77,26.89,,,,27.2372,0,27.1558,0,16472,,,,,0
2023-08-21,24.71,25.53,24.45,25.35,25.56,26.78,,,,27.2372,0,26.7994,0,13646,,,,,0
2023-08-22,25.73,25.83,25.06,25.53,25.40,26.66,,,,27.2372,0,26.4235,0,12367,,,,,0
2023-08-23,25.48,26.21,25.32,26.10,25.35,26.56,,,,27.2372,0,24.4500,1,13794,,,,,0
2023-08-24,26.17,26.46,25.01,25.03,25.25,26.43,,,,27.2372,0,24.4852,1,22815,,,,,0
2023-08-25,25.05,25.49,24.81,25.31,25.24,26.27,,,,27.2372,0,24.5642,1,15181,,,,,0
2023-08-28,25.51,26.11,25.37,26.00,25.30,26.11,,,,27.2372,0,24.6400,1,30290,,-0.8729,-1.1081,0.2352,0
2023-08-29,25.96,26.41,25.85,26.10,25.42,25.97,,,,27.2372,0,24.7128,1,24364,,-0.7759,-1.0417,0.2658,0
2023-08-30,25.96,26.07,25.39,25.53,25.47,25.88,,,,27.2372,0,24.7827,1,22346,,-0.7365,-0.9806,0.2441,0
2023-08-31,25.51,26.40,25.44,26.15,25.58,25.82,,,,27.2372,0,24.8498,1,22659,,-0.6478,-0.9141,0.2662,0
2023-09-01,26.36,26.88,26.22,26.56,25.77,25.77,,,,27.2372,0,24.9142,1,16385,,-0.5383,-0.8389,0.3006,0
2023-09-05,26.27,26.40,25.34,25.36,25.77,25.67,,,,27.2372,0,25.0322,1,18381,,-0.5420,-0.7795,0.2375,0
2023-09-06,27.04,27.06,25.12,25.60,25.77,25.59,,,,27.2372,0,26.8800,0,35725,,-0.5196,-0.7276,0.2079,0
2023-09-07,24.07,24.88,23.93,24.66,25.63,25.49,,,,27.2372,0,27.0600,0,41656,,-0.5711,-0.6963,0.1251,0
2023-09-08,24.78,24.85,23.78,24.21,25.55,25.40,,,,27.2372,0,27.0600,0,20574,,-0.6409,-0.6852,0.0443,0
2023-09-11,24.62,24.67,23.14,23.36,25.35,25.30,,,,27.1718,0,26.8632,0,32307,,-0.7561,-0.6994,-0.0567,0
2023-09-12,23.21,23.25,22.71,22.72,25.03,25.16,,,,26.1151,0,26.5653,0,25396,,-0.8887,-0.7372,-0.1515,0
2023-09-13,22.68,22.96,22.04,22.87,24.70,25.06,,,,25.5976,0,26.1798,0,78995,,-0.9706,-0.7839,-0.1867,0
2023-09-14,24.20,25.23,23.20,25.18,24.67,25.07,,,,25.5976,0,25.6830,0,225965,,-0.8393,-0.7950,-0.0444,0
2023-09-15,25.09,25.95,24.70,24.98,24.55,25.07,,,,25.5976,0,22.0400,1,103719,,-0.7429,-0.7846,0.0416,0
2023-09-18,24.81,24.99,24.19,24.29,24.32,25.04,,,,25.5976,0,22.1182,1,33515,,-0.7140,-0.7705,0.0565,0
2023-09-19,25.02,26.23,24.97,25.07,24.29,25.03,,,,25.5976,0,22.1948,1,67456,,-0.6209,-0.7406,0.1196,0
2023-09-20,25.08,25.94,24.58,25.48,24.28,25.03,26.34,,,25.5976,0,22.3562,1,61284,33171,-0.5082,-0.6941,0.1859,0
2023-09-21,25.24,25.73,24.78,25.22,24.34,24.98,26.29,,,25.5976,0,22.5112,1,29596,32629,-0.4349,-0.6423,0.2073,0
2023-09-22,25.52,26.47,25.32,26.13,24.53,25.04,26.23,,,22.2720,1,22.6599,1,30428,32164,-0.2999,-0.5738,0.2739,0
2023-09-25,25.93,26.53,25.66,25.96,24.79,25.07,26.18,,,22.5733,1,22.8885,1,25547,31690,-0.2043,-0.4999,0.2956,0
2023-09-26,25.90,26.39,25.39,25.41,25.06,25.04,26.10,,,22.5733,1,23.1799,1,34580,31552,-0.1709,-0.4341,0.2632,0
2023-09-27,25.45,25.61,25.01,25.45,25.32,25.01,26.01,,,22.5733,1,23.4479,1,30135,31388,-0.1396,-0.3752,0.2356,0
2023-09-28,25.47,26.24,25.36,26.04,25.40,25.03,25.96,,,22.5733,1,23.6944,1,31334,31334,-0.0664,-0.3134,0.2470,0
2023-09-29,26.36,26.60,25.69,25.75,25.48,25.01,25.93,,,22.9593,1,23.9213,1,27347,30821,-0.0315,-0.2570,0.2256,0
2023-10-02,25.70,25.95,24.80,25.21,25.57,24.95,25.89,,,22.9593,1,24.1892,1,29019,30822,-0.0468,-0.2150,0.1682,0
2023-10-03,25.26,25.67,25.07,25.14,25.58,24.94,25.84,,,22.9593,1,24.4302,1,18729,30833,-0.0639,-0.1848,0.1209,0
2023-10-04,25.22,25.31,24.36,24.74,25.50,24.89,25.77,,,22.9593,1,26.6000,0,31284,31070,-0.1084,-0.1695,0.0611,0
2023-10-05,24.59,24.66,22.29,22.29,25.21,24.77,25.66,,,26.9539,0,26.5552,0,61090,31975,-0.3375,-0.2031,-0.1344,0
2023-10-06,21.98,23.00,21.98,22.66,24.86,24.70,25.56,,,25.9270,0,26.3846,0,46868,32511,-0.4837,-0.2592,-0.2245,0
2023-10-09,22.35,22.53,21.74,22.01,24.47,24.63,25.43,,,25.5043,0,26.1203,0,24574,32690,-0.6445,-0.3363,-0.3082,0
2023-10-10,21.84,23.54,21.84,23.40,24.27,24.66,25.31,,,25.5043,0,25.7699,0,36799,33040,-0.6523,-0.3995,-0.2528,0
2023-10-11,23.44,23.90,23.11,23.90,24.11,24.72,25.22,,,25.5043,0,25.4475,0,37377,33512,-0.6111,-0.4418,-0.1693,0
2023-10-12,23.90,23.92,23.05,23.42,23.85,24.63,25.14,,,25.5043,0,25.1509,0,36828,33729,-0.6101,-0.4755,-0.1346,0
2023-10-13,23.37,23.37,21.66,21.92,23.47,24.47,25.03,,,25.5043,0,24.8780,0,31609,34012,-0.7221,-0.5248,-0.1973,0
2023-10-16,21.86,22.47,21.76,22.40,23.19,24.38,24.92,,,25.5043,0,24.5562,0,30321,34102,-0.7632,-0.5725,-0.1908,0
