Date,Open,High,Low,Close,Ma10:Top:Line,Ma20:Top:Line,Ma50:Top:Line,Ma150:Top:Line,Ma200:Top:Line,Supertrend:Top:ColorLine,Supertrend_Dir,ParabolicSAR:Top:ColorLine,ParabolicSAR_Dir,Volume:Middle:Histogram,Vo50:Middle:Line,Macd:Bottom:Line,MacdSignal:Bottom:Line,MacdDelta:Bottom:Histogram,RsRating:Hidden:Hidden
2023-07-12,7.54,7.66,7.46,7.51,,,,,,,0,7.4583,1,10596,,,,,0
2023-07-13,7.56,7.74,7.51,7.62,,,,,,,0,7.4583,1,8455,,,,,0
2023-07-14,7.68,7.70,7.40,7.49,,,,,,,0,7.7386,0,6313,,,,,0
2023-07-17,7.48,7.70,7.48,7.65,,,,,,,0,7.7386,0,5855,,,,,0
2023-07-18,7.67,8.00,7.65,7.94,,,,,,,0,7.3988,1,9160,,,,,0
2023-07-19,8.00,8.28,7.92,8.27,,,,,,,0,7.4109,1,8628,,,,,0
2023-07-20,8.23,8.24,8.01,8.17,,,,,,,0,7.4457,1,9246,,,,,0
2023-07-21,8.25,8.25,8.06,8.10,,,,,,,0,7.4792,1,8438,,,,,0
2023-07-24,8.23,8.57,8.20,8.46,,,,,,,0,7.5113,1,10144,,,,,0
2023-07-25,8.49,8.66,8.40,8.44,7.96,,,,,9.3823,0,7.5749,1,11280,,,,,0
2023-07-26,8.51,9.08,8.51,8.98,8.11,,,,,9.3823,0,7.6614,1,15207,,,,,0
2023-07-27,9.02,9.29,8.97,9.04,8.25,,,,,9.3823,0,7.8033,1,15239,,,,,0
2023-07-28,9.16,9.34,9.05,9.26,8.43,,,,,9.3823,0,7.9821,1,10311,,,,,0
2023-07-31,9.26,9.32,9.13,9.23,8.59,,,,,9.3823,0,8.1728,1,9906,,,,,0
2023-08-01,9.17,9.17,8.96,9.10,8.70,,,,,9.3823,0,8.3368,1,7093,,,,,0
2023-08-02,8.96,9.11,8.86,9.07,8.78,,,,,9.3823,0,8.4778,1,6621,,,,,0
2023-08-03,9.05,9.27,8.92,9.18,8.89,,,,,9.3823,0,8.5991,1,5793,,,,,0
2023-08-04,9.17,9.27,9.12,9.16,8.99,,,,,9.3823,0,8.7034,1,5751,,,,,0
2023-08-07,9.17,9.30,9.10,9.29,9.07,,,,,9.3823,0,8.7931,1,7520,,,,,0
2023-08-08,9.05,9.17,8.82,9.14,9.14,8.55,,,,9.3823,0,9.3441,0,9527,,,,,0
2023-08-09,9.10,9.10,8.93,8.96,9.14,8.63,,,,9.3823,0,9.3336,0,11015,,,,,0
2023-08-10,9.02,9.14,8.88,8.94,9.13,8.69,,,,9.3823,0,9.3234,0,13141,,,,,0
2023-08-11,8.90,9.03,8.87,8.93,9.10,8.76,,,,9.3823,0,9.3134,0,12754,,,,,0
2023-08-14,8.84,8.85,8.66,8.74,9.05,8.82,,,,9.3823,0,9.3036,0,7373,,,,,0
2023-08-15,8.61,8.63,8.45,8.49,8.99,8.85,,,,9.3662,0,9.2778,0,8196,,,,,0
2023-08-16,8.47,8.60,8.43,8.43,8.93,8.86,,,,9.3053,0,9.2282,0,10757,,,,,0
2023-08-17,8.50,8.56,8.40,8.41,8.85,8.87,,,,9.2450,0,9.1641,0,7712,,,,,0
2023-08-18,8.31,8.49,8.27,8.43,8.78,8.88,,,,9.1300,0,9.0877,0,12434,,,,,0
2023-08-21,8.46,8.50,8.24,8.30,8.68,8.88,,,,9.1194,0,8.9898,0,5653,,,,,0
2023-08-22,8.31,8.38,8.04,8.05,8.57,8.86,,,,8.9925,0,8.8844,0,5133,,,,,0
2023-08-23,8.04,8.17,7.94,8.13,8.49,8.81,,,,8.8266,0,8.7491,0,4590,,,,,0
2023-08-24,8.10,8.33,8.07,8.21,8.41,8.77,,,,8.8266,0,8.6043,0,5116,,,,,0
2023-08-25,8.23,8.32,8.02,8.12,8.33,8.72,,,,8.8266,0,8.4855,0,4221,,,,,0
2023-08-28,8.18,8.32,8.18,8.27,8.28,8.67,,,,8.8266,0,8.3881,0,3882,,-0.0663,0.0304,-0.0967,0
2023-08-29,8.29,8.42,8.20,8.37,8.27,8.63,,,,8.8266,0,7.9444,1,5372,,-0.0611,0.0121,-0.0732,0
2023-08-30,8.36,8.38,8.27,8.31,8.26,8.59,,,,8.8266,0,7.9538,1,3967,,-0.0604,-0.0024,-0.0580,0
2023-08-31,8.32,8.43,8.30,8.32,8.25,8.55,,,,8.8266,0,7.9631,1,4546,,-0.0585,-0.0136,-0.0449,0
2023-09-01,8.41,8.58,8.41,8.50,8.26,8.52,,,,8.8266,0,7.9817,1,6329,,-0.0420,-0.0193,-0.0227,0
2023-09-05,8.43,8.45,8.28,8.31,8.26,8.47,,,,8.8266,0,8.0176,1,5192,,-0.0443,-0.0243,-0.0200,0
2023-09-06,8.31,8.37,8.08,8.13,8.27,8.42,,,,8.8266,0,8.0515,1,4558,,-0.0594,-0.0313,-0.0281,0
2023-09-07,8.07,8.13,7.95,8.01,8.26,8.37,,,,8.7318,0,8.5813,0,5824,,-0.0801,-0.0411,-0.0390,0
2023-09-08,8.03,8.09,7.90,8.06,8.24,8.33,,,,8.6724,0,8.5687,0,5116,,-0.0920,-0.0513,-0.0407,0
2023-09-11,8.09,8.15,7.97,8.02,8.23,8.28,,,,8.6724,0,8.5420,0,5459,,-0.1030,-0.0616,-0.0414,0
