Date,Open,High,Low,Close,Ma10:Top:Line,Ma20:Top:Line,Ma50:Top:Line,Ma150:Top:Line,Ma200:Top:Line,Supertrend:Top:ColorLine,Supertrend_Dir,ParabolicSAR:Top:ColorLine,ParabolicSAR_Dir,Volume:Middle:Histogram,Vo50:Middle:Line,Macd:Bottom:Line,MacdSignal:Bottom:Line,MacdDelta:Bottom:Histogram,RsRating:Hidden:Hidden
2023-07-12,6.96,7.78,6.95,7.55,,,,,,,0,6.9500,1,40858,,,,,0
2023-07-13,7.53,7.63,7.18,7.42,,,,,,,0,6.9500,1,30919,,,,,0
2023-07-14,7.40,8.00,7.04,7.16,,,,,,,0,6.9500,1,18189,,,,,0
2023-07-17,7.16,7.62,7.02,7.55,,,,,,,0,6.9920,1,13170,,,,,0
2023-07-18,7.61,7.81,7.50,7.56,,,,,,,0,7.0210,1,13368,,,,,0
2023-07-19,7.64,8.05,7.60,7.95,,,,,,,0,7.0210,1,25301,,,,,0
2023-07-20,7.91,8.02,7.70,7.72,,,,,,,0,7.0827,1,18706,,,,,0
2023-07-21,7.76,7.86,7.53,7.85,,,,,,,0,7.1408,1,12023,,,,,0
2023-07-24,7.87,7.96,7.62,7.65,,,,,,,0,7.1953,1,15782,,,,,0
2023-07-25,7.65,7.84,7.56,7.82,7.62,,,,,9.1742,0,7.2466,1,11981,,,,,0
2023-07-26,7.79,7.80,7.56,7.76,7.64,,,,,9.0873,0,7.2948,1,10689,,,,,0
2023-07-27,7.79,7.89,7.51,7.52,7.65,,,,,9.0783,0,7.3401,1,8286,,,,,0
2023-07-28,7.56,7.80,7.56,7.69,7.71,,,,,9.0045,0,7.3827,1,9114,,,,,0
2023-07-31,7.75,7.85,7.59,7.73,7.73,,,,,8.9900,0,7.4228,1,10391,,,,,0
2023-08-01,7.73,7.73,7.25,7.27,7.70,,,,,8.7770,0,8.0500,0,12616,,,,,0
2023-08-02,7.13,7.20,6.83,6.94,7.60,,,,,8.3038,0,8.0340,0,15521,,,,,0
2023-08-03,6.93,7.10,6.82,6.97,7.52,,,,,8.2053,0,7.9858,0,22984,,,,,0
2023-08-04,6.52,6.87,5.92,6.04,7.34,,,,,7.8308,0,7.9159,0,33713,,,,,0
2023-08-07,6.16,6.66,5.80,5.85,7.16,,,,,7.7802,0,7.7562,0,20252,,,,,0
2023-08-08,5.86,5.93,5.70,5.89,6.97,7.29,,,,7.2752,0,7.5606,0,11769,,,,,0
2023-08-09,5.89,6.05,5.80,6.02,6.79,7.22,,,,7.2752,0,7.3373,0,15556,,,,,0
2023-08-10,6.05,6.14,5.86,5.88,6.63,7.14,,,,7.2752,0,7.1408,0,9931,,,,,0
2023-08-11,5.83,5.88,5.72,5.76,6.43,7.07,,,,7.0496,0,6.9679,0,13929,,,,,0
2023-08-14,5.75,5.75,5.56,5.59,6.22,6.97,,,,6.8396,0,6.8158,0,11976,,,,,0
2023-08-15,5.60,5.65,5.50,5.52,6.05,6.87,,,,6.6861,0,6.6400,0,10202,,,,,0
