Date,Open,High,Low,Close,Ma10:Top:Line,Ma20:Top:Line,Ma50:Top:Line,Ma150:Top:Line,Ma200:Top:Line,Supertrend:Top:ColorLine,Supertrend_Dir,ParabolicSAR:Top:ColorLine,ParabolicSAR_Dir,Volume:Middle:Histogram,Vo50:Middle:Line,Macd:Bottom:Line,MacdSignal:Bottom:Line,MacdDelta:Bottom:Histogram,RsRating:Hidden:Hidden
2023-07-12,11.72,11.80,11.64,11.69,,,,,,,0,11.6382,1,1890,,,,,0
2023-07-13,11.73,11.87,11.63,11.81,,,,,,,0,11.8749,0,3821,,,,,0
2023-07-14,11.77,11.86,11.70,11.85,,,,,,,0,11.8749,0,1943,,,,,0
2023-07-17,11.87,12.16,11.87,12.04,,,,,,,0,11.6289,1,2658,,,,,0
2023-07-18,12.02,12.33,12.02,12.13,,,,,,,0,11.6395,1,905,,,,,0
2023-07-19,12.13,12.26,11.99,12.09,,,,,,,0,11.6671,1,2679,,,,,0
2023-07-20,12.12,12.32,12.06,12.31,,,,,,,0,11.6937,1,2992,,,,,0
2023-07-21,12.44,12.48,12.09,12.12,,,,,,,0,11.7192,1,1310,,,,,0
2023-07-24,12.09,12.31,12.01,12.23,,,,,,,0,11.7649,1,1051,,,,,0
2023-07-25,12.11,12.51,12.11,12.30,12.06,,,,,13.1550,0,11.8079,1,2247,,,,,0
2023-07-26,11.64,11.95,11.42,11.77,12.06,,,,,12.7059,0,12.5072,0,2783,,,,,0
2023-07-27,11.69,11.76,10.91,11.10,11.99,,,,,12.5148,0,12.5072,0,2148,,,,,0
2023-07-28,11.19,11.38,10.94,11.01,11.91,,,,,12.3555,0,12.4433,0,2874,,,,,0
2023-07-31,11.03,11.19,11.03,11.12,11.82,,,,,12.2429,0,12.3819,0,2443,,,,,0
2023-08-01,11.09,11.22,11.04,11.19,11.72,,,,,12.1999,0,12.3230,0,1768,,,,,0
2023-08-02,11.10,11.18,10.90,10.92,11.61,,,,,12.0919,0,12.2664,0,1504,,,,,0
2023-08-03,10.87,10.88,10.62,10.64,11.44,,,,,11.7865,0,12.1844,0,3054,,,,,0
2023-08-04,10.67,11.01,10.66,10.71,11.30,,,,,11.7865,0,12.0592,0,1482,,,,,0
2023-08-07,10.72,10.96,10.65,10.80,11.15,,,,,11.7865,0,11.9440,0,4897,,,,,0
