Date,Open,High,Low,Close,Ma10:Top:Line,Ma20:Top:Line,Ma50:Top:Line,Ma150:Top:Line,Ma200:Top:Line,Supertrend:Top:ColorLine,Supertrend_Dir,ParabolicSAR:Top:ColorLine,ParabolicSAR_Dir,Volume:Middle:Histogram,Vo50:Middle:Line,Macd:Bottom:Line,MacdSignal:Bottom:Line,MacdDelta:Bottom:Histogram,RsRating:Hidden:Hidden
2023-07-13,21.47,21.50,19.92,20.50,,,,,,,0,21.5000,0,14291,,,,,0
2023-07-14,20.46,20.46,19.59,19.62,,,,,,,0,21.5000,0,7644,,,,,0
2023-07-17,19.83,20.31,19.41,20.17,,,,,,,0,21.5000,0,5369,,,,,0
2023-07-18,20.17,20.59,20.00,20.35,,,,,,,0,21.4164,0,4906,,,,,0
2023-07-19,20.44,21.08,20.20,20.23,,,,,,,0,21.3361,0,4190,,,,,0
2023-07-20,20.23,20.24,19.95,20.03,,,,,,,0,21.2591,0,4024,,,,,0
2023-07-21,20.09,20.40,19.92,20.07,,,,,,,0,21.1851,0,4688,,,,,0
2023-07-24,20.03,20.08,19.30,19.54,,,,,,,0,21.1141,0,3801,,,,,0
2023-07-25,19.43,19.68,19.35,19.41,,,,,,,0,21.0053,0,3016,,,,,0
2023-07-26,19.28,19.61,19.11,19.44,19.94,,,,,21.5320,0,20.9030,0,6058,,,,,0
2023-07-27,19.81,19.99,19.49,19.56,19.84,,,,,21.5320,0,20.7595,0,4029,,,,,0
2023-07-28,19.76,20.14,19.70,19.74,19.85,,,,,21.5320,0,20.6276,0,2880,,,,,0
2023-07-31,19.75,20.24,19.74,19.88,19.83,,,,,21.5320,0,20.5062,0,3503,,,,,0
2023-08-01,19.67,19.67,19.02,19.34,19.72,,,,,21.4243,0,20.3945,0,3470,,,,,0
2023-08-02,19.12,19.62,18.88,19.40,19.64,,,,,21.3433,0,20.2570,0,3585,,,,,0
2023-08-03,19.26,19.40,18.48,18.78,19.52,,,,,21.1000,0,20.0918,0,7189,,,,,0
2023-08-04,18.85,19.46,18.74,19.22,19.43,,,,,21.1000,0,19.8661,0,8120,,,,,0
2023-08-07,19.21,19.25,18.40,18.64,19.34,,,,,21.0240,0,19.6721,0,6013,,,,,0
2023-08-08,18.60,18.68,17.72,18.39,19.24,,,,,20.4671,0,19.4685,0,9506,,,,,0
2023-08-09,15.51,15.69,12.79,13.11,18.61,19.27,,,,17.9604,0,19.2500,0,29394,,,,,0
2023-08-10,13.03,13.16,12.11,12.42,17.89,18.87,,,,16.2984,0,18.6800,0,10304,,,,,0
2023-08-11,12.37,12.43,11.83,12.14,17.13,18.49,,,,15.6070,0,17.3660,0,9212,,,,,0
2023-08-14,12.85,12.85,12.34,12.60,16.40,18.11,,,,15.6070,0,16.2588,0,7901,,,,,0
2023-08-15,12.48,12.78,12.26,12.27,15.70,17.71,,,,15.6070,0,15.3730,0,6061,,,,,0
2023-08-16,12.19,12.48,11.67,11.67,14.92,17.28,,,,15.1657,0,14.6644,0,4056,,,,,0
2023-08-17,11.66,11.70,11.45,11.54,14.20,16.86,,,,14.4316,0,14.0655,0,3620,,,,,0
2023-08-18,11.36,11.47,10.76,10.81,13.36,16.39,,,,13.9200,0,13.5424,0,6149,,,,,0
2023-08-21,10.80,11.10,10.48,10.94,12.59,15.96,,,,13.5005,0,12.9859,0,7840,,,,,0
2023-08-22,10.98,11.45,10.85,11.26,11.88,15.56,,,,13.5005,0,12.4848,0,6472,,,,,0
