Date,Open,High,Low,Close,Ma10:Top:Line,Ma20:Top:Line,Ma50:Top:Line,Ma150:Top:Line,Ma200:Top:Line,Supertrend:Top:ColorLine,Supertrend_Dir,ParabolicSAR:Top:ColorLine,ParabolicSAR_Dir,Volume:Middle:Histogram,Vo50:Middle:Line,Macd:Bottom:Line,MacdSignal:Bottom:Line,MacdDelta:Bottom:Histogram,RsRating:Hidden:Hidden
2023-07-13,317.97,320.55,317.22,318.47,,,,,,,0,320.5500,0,69044,,,,,0
2023-07-14,316.82,317.05,307.87,309.28,,,,,,,0,320.5500,0,92165,,,,,0
2023-07-17,306.80,311.01,305.66,309.51,,,,,,,0,320.5500,0,91429,,,,,0
2023-07-18,308.10,313.73,308.05,313.17,,,,,,,0,319.9544,0,123733,,,,,0
2023-07-19,313.29,319.04,312.89,318.37,,,,,,,0,319.3826,0,82585,,,,,0
2023-07-20,316.57,316.57,303.17,304.54,,,,,,,0,319.0400,0,94834,,,,,0
2023-07-21,308.02,310.45,305.37,306.46,,,,,,,0,319.0400,0,65920,,,,,0
2023-07-24,305.82,308.71,301.81,302.59,,,,,,,0,318.0878,0,91957,,,,,0
2023-07-25,302.72,307.07,300.79,301.43,,,,,,,0,316.7856,0,96488,,,,,0
2023-07-26,299.19,306.68,298.96,306.12,308.99,,,,,324.7560,0,315.1860,0,88499,,,,,0
2023-07-27,308.00,308.98,297.45,299.43,307.09,,,,,324.7560,0,313.2389,0,147888,,,,,0
2023-07-28,303.43,304.83,296.43,299.18,306.08,,,,,324.0312,0,311.0285,0,159792,,,,,0
2023-07-31,299.36,308.04,299.35,307.96,305.92,,,,,324.0312,0,308.9800,0,168085,,,,,0
2023-08-01,245.02,262.50,244.67,254.77,300.08,,,,,293.9192,0,308.0400,0,667931,,,,,0
2023-08-02,250.10,251.24,236.97,241.15,292.36,,,,,285.7458,0,308.0400,0,317667,,,,,0
2023-08-03,238.09,252.28,231.98,249.55,286.86,,,,,285.6967,0,293.8260,0,291998,,,,,0
2023-08-04,249.00,254.80,246.60,251.41,281.36,,,,,285.6967,0,281.4568,0,143228,,,,,0
2023-08-07,251.06,251.92,245.35,248.23,275.92,,,,,285.6967,0,271.5614,0,106143,,,,,0
2023-08-08,248.82,254.32,248.14,253.68,271.15,,,,,285.6967,0,263.6452,0,132167,,,,,0
2023-08-09,253.42,260.88,250.75,257.89,266.32,287.66,,,,285.6967,0,231.9800,1,128842,,,,,0
2023-08-10,258.50,260.00,252.83,255.42,261.92,284.51,,,,285.6967,0,232.5580,1,105744,,,,,0
2023-08-11,254.08,263.00,254.08,261.94,258.20,282.14,,,,285.6967,0,233.1244,1,129189,,,,,0
2023-08-14,263.45,264.09,258.62,263.86,253.79,279.86,,,,285.6967,0,234.3195,1,77865,,,,,0
2023-08-15,261.18,268.92,261.12,267.98,255.11,277.60,,,,285.6967,0,236.1057,1,134258,,,,,0
2023-08-16,265.65,268.24,263.89,265.94,257.59,274.98,,,,285.6967,0,238.7308,1,99595,,,,,0
2023-08-17,267.67,269.61,263.14,266.03,259.24,273.05,,,,285.6967,0,241.1460,1,91301,,,,,0
2023-08-18,261.82,274.03,260.81,271.98,261.30,271.33,,,,285.6967,0,243.9924,1,190168,,,,,0
2023-08-21,270.47,273.00,266.50,267.53,263.23,269.57,,,,285.6967,0,247.5969,1,100029,,,,,0
2023-08-22,269.82,272.47,266.76,269.36,264.79,267.97,,,,285.6967,0,250.7689,1,91717,,,,,0
2023-08-23,269.98,271.22,267.10,270.09,266.01,266.17,,,,285.6967,0,253.5602,1,85024,,,,,0
2023-08-24,270.38,272.70,265.92,265.92,267.06,264.49,,,,285.6967,0,256.0166,1,65496,,,,,0
2023-08-25,267.90,269.47,264.45,268.39,267.71,262.95,,,,285.6967,0,258.1782,1,90528,,,,,0
2023-08-28,270.39,271.31,268.18,269.92,268.31,261.05,,,,285.6967,0,260.0804,1,56953,,,,,0
2023-08-29,268.34,274.72,268.01,273.49,268.87,261.99,,,,285.6967,0,261.7544,1,76796,,-7.5135,-11.3695,3.8561,0
2023-08-30,272.40,279.83,268.97,279.11,270.18,263.89,,,,285.6967,0,263.5695,1,109132,,-6.1402,-10.3237,4.1834,0
2023-08-31,279.88,279.88,274.77,275.01,271.08,265.16,,,,285.6967,0,266.1712,1,102524,,-5.3215,-9.3232,4.0018,0
2023-09-01,276.96,278.76,275.00,275.95,271.48,266.39,,,,285.6967,0,268.6388,1,86069,,-4.5443,-8.3674,3.8231,0
2023-09-05,275.74,276.98,271.70,273.25,272.05,267.64,,,,285.6967,0,270.6622,1,114027,,-4.0991,-7.5138,3.4147,0
2023-09-06,273.25,275.02,270.19,272.38,272.35,268.57,,,,285.6967,0,279.8800,0,89123,,-3.7729,-6.7656,2.9927,0
2023-09-07,268.61,268.81,256.82,264.24,271.77,268.89,,,,285.6967,0,279.6862,0,131618,,-4.1237,-6.2372,2.1135,0
2023-09-08,262.97,263.13,254.94,256.37,270.81,268.94,,,,282.5803,0,278.7716,0,111521,,-4.9794,-5.9856,1.0063,0
2023-09-11,257.79,258.13,254.15,254.77,269.45,268.58,,,,278.5248,0,277.3417,0,91310,,-5.7206,-5.9326,0.2120,0
2023-09-12,254.28,254.58,250.76,251.31,267.59,267.95,,,,274.0193,0,275.4863,0,97408,,-6.5122,-6.0486,-0.4637,0
2023-09-13,251.40,253.02,248.86,250.18,265.26,267.06,,,,271.4024,0,273.0137,0,101973,,-7.1484,-6.2685,-0.8798,0
2023-09-14,251.29,255.10,250.18,254.79,262.83,266.50,,,,271.4024,0,270.1153,0,113152,,-7.1975,-6.4543,-0.7432,0
2023-09-15,255.11,256.18,249.38,251.38,260.46,265.77,,,,271.4024,0,267.5646,0,134539,,-7.4261,-6.6487,-0.7774,0
2023-09-18,250.53,253.52,249.01,253.20,258.19,264.83,,,,270.5666,0,265.3201,0,55704,,-7.3753,-6.7940,-0.5813,0
2023-09-19,252.94,253.72,250.62,252.17,256.08,264.06,,,,270.4715,0,263.3449,0,61782,,-7.3336,-6.9019,-0.4317,0
2023-09-20,245.09,245.49,235.63,235.83,252.42,262.39,,,,261.9933,0,261.6067,0,194536,,-8.5209,-7.2257,-1.2952,0
2023-09-21,232.93,234.33,228.52,228.68,248.87,260.32,272.39,,,252.9080,0,257.9699,0,154633,126082,-9.9244,-7.7655,-2.1589,0
2023-09-22,228.64,229.79,224.57,227.15,245.95,258.38,270.57,,,248.0807,0,253.2580,0,109532,126892,-11.0329,-8.4189,-2.6140,0
2023-09-25,225.75,230.76,225.75,228.15,243.28,256.37,268.94,,,248.0807,0,248.0941,0,71753,126484,-11.6959,-9.0743,-2.6216,0
2023-09-26,225.97,226.65,222.58,223.96,240.55,254.07,267.23,,,244.5683,0,243.8598,0,79595,126247,-12.4163,-9.7427,-2.6736,0
2023-09-27,224.16,226.98,222.58,225.91,238.12,251.69,265.49,,,244.0579,0,239.6038,0,82367,125420,-12.6837,-10.3309,-2.3528,0
2023-09-28,226.30,239.01,226.30,236.87,236.33,249.58,263.86,,,244.0579,0,222.5800,1,144917,126666,-11.8743,-10.6396,-1.2347,0
2023-09-29,238.69,241.66,235.97,236.53,234.84,247.65,262.50,,,244.0579,0,222.5800,1,92247,126615,-11.1320,-10.7381,-0.3939,0
2023-10-02,236.53,236.70,232.24,233.63,232.89,245.54,261.04,,,244.0579,0,223.3432,1,57473,126446,-10.6549,-10.7214,0.0666,0
2023-10-03,230.97,232.89,228.16,230.33,230.70,243.39,259.60,,,244.0579,0,224.0759,1,72162,126050,-10.4229,-10.6617,0.2388,0
2023-10-04,232.05,232.05,227.79,230.94,230.21,241.32,258.19,,,244.0579,0,224.7792,1,112583,126372,-10.0737,-10.5441,0.4704,0
2023-10-05,227.38,228.48,219.42,222.54,229.60,239.23,256.51,,,244.0579,0,241.6600,0,99787,126597,-10.3554,-10.5064,0.1510,0
2023-10-06,220.85,225.02,219.33,223.85,229.27,237.61,255.00,,,242.4188,0,241.2152,0,85958,125359,-10.3536,-10.4758,0.1222,0
2023-10-09,221.17,223.46,220.18,222.58,228.71,236.00,253.47,,,241.1405,0,240.3398,0,59340,123350,-10.3355,-10.4478,0.1122,0
2023-10-10,222.98,227.54,221.76,222.40,228.56,234.55,251.76,,,241.1405,0,239.4994,0,80487,121598,-10.2179,-10.4018,0.1839,0
2023-10-11,222.04,223.27,215.32,217.16,227.68,232.90,251.01,,,238.8902,0,238.6926,0,178636,111812,-10.4273,-10.4069,-0.0204,0
2023-10-12,218.33,218.33,208.01,210.87,225.08,230.71,250.40,,,233.9017,0,237.2903,0,125932,107977,-10.9743,-10.5204,-0.4540,0
2023-10-13,210.59,210.59,205.19,206.92,222.12,228.48,249.55,,,228.2525,0,234.9478,0,95369,104045,-11.5930,-10.7349,-0.8581,0
2023-10-16,207.32,216.00,206.84,214.97,220.26,226.57,248.82,,,228.2525,0,231.9721,0,91427,103009,-11.3033,-10.8486,-0.4548,0
2023-10-17,212.29,216.57,212.29,212.99,218.52,224.61,248.12,,,228.2525,0,229.2939,0,75782,102401,-11.1056,-10.9000,-0.2056,0
2023-10-18,211.08,211.13,207.75,209.12,216.34,223.28,247.22,,,228.2525,0,226.8835,0,72439,101207,-11.1328,-10.9465,-0.1862,0
2023-10-19,209.40,213.74,205.10,205.99,214.69,222.14,246.19,,,228.2525,0,224.7141,0,106600,100762,-11.2769,-11.0126,-0.2643,0
2023-10-20,204.84,205.15,201.01,204.55,212.76,221.01,245.17,,,222.9430,0,222.3604,0,175995,102167,-11.3762,-11.0853,-0.2909,0
2023-10-23,203.81,208.73,202.70,205.29,211.03,219.87,244.04,,,222.9430,0,219.3714,0,99114,101566,-11.2653,-11.1213,-0.1440,0
2023-10-24,206.49,207.50,203.11,205.91,209.38,218.97,242.88,,,222.9430,0,216.8008,0,71698,101442,-11.0006,-11.0972,0.0966,0
2023-10-25,203.83,205.23,196.13,198.91,207.55,217.62,241.50,,,220.7447,0,214.5901,0,114950,101056,-11.2263,-11.1230,-0.1033,0
2023-10-26,200.00,207.38,198.86,204.83,206.95,216.02,240.27,,,220.7447,0,211.6365,0,150652,102077,-10.8029,-11.0590,0.2561,0
2023-10-27,204.60,207.56,201.16,207.18,206.97,214.55,239.10,,,220.7447,0,209.1554,0,117057,102592,-10.1606,-10.8793,0.7187,0
2023-10-30,207.50,211.21,204.47,209.77,206.45,213.36,237.85,,,220.7447,0,196.1300,1,203477,102858,-9.3349,-10.5704,1.2355,0
