Date,Open,High,Low,Close,Ma10:Top:Line,Ma20:Top:Line,Ma50:Top:Line,Ma150:Top:Line,Ma200:Top:Line,Supertrend:Top:ColorLine,Supertrend_Dir,ParabolicSAR:Top:ColorLine,ParabolicSAR_Dir,Volume:Middle:Histogram,Vo50:Middle:Line,Macd:Bottom:Line,MacdSignal:Bottom:Line,MacdDelta:Bottom:Histogram,RsRating:Hidden:Hidden
2023-07-13,391.72,394.60,388.74,393.01,,,,,,,0,388.7366,1,409304,,,,,0
2023-07-14,396.49,398.19,392.56,397.86,,,,,,,0,388.7366,1,408059,,,,,0
2023-07-17,398.21,406.32,398.15,403.61,,,,,,,0,388.7366,1,634727,,,,,0
2023-07-18,404.30,414.51,403.74,414.13,,,,,,,0,389.4398,1,679880,,,,,0
2023-07-19,414.79,420.13,414.19,418.55,,,,,,,0,390.9441,1,726136,,,,,0
2023-07-20,421.06,422.24,417.48,421.87,,,,,,,0,393.2786,1,564881,,,,,0
2023-07-21,421.28,422.46,417.73,419.28,,,,,,,0,396.1744,1,522393,,,,,0
2023-07-24,419.30,428.94,418.63,424.71,,,,,,,0,399.3283,1,576119,,,,,0
2023-07-25,423.22,431.82,422.69,428.30,,,,,,,0,403.4745,1,518055,,,,,0
2023-07-26,425.61,428.67,414.08,415.46,413.68,,,,,445.4858,0,408.0103,1,761776,,,,,0
2023-07-27,415.98,416.47,407.31,411.31,415.51,,,,,436.3400,0,431.8229,0,847382,,,,,0
2023-07-28,411.44,412.76,407.86,409.86,416.71,,,,,433.7801,0,431.3328,0,510268,,,,,0
2023-07-31,412.15,415.40,409.68,412.25,417.57,,,,,433.7801,0,430.8524,0,502460,,,,,0
2023-08-01,413.93,421.08,412.64,415.93,417.75,,,,,433.7801,0,430.3817,0,483632,,,,,0
2023-08-02,413.24,417.39,409.79,413.14,417.21,,,,,433.7801,0,429.9203,0,464068,,,,,0
2023-08-03,409.96,411.97,404.22,406.82,415.71,,,,,431.6188,0,429.4682,0,459297,,,,,0
2023-08-04,411.16,412.63,406.24,406.91,414.47,,,,,431.6188,0,428.4585,0,407587,,,,,0
2023-08-07,407.61,415.34,407.01,413.89,413.39,,,,,431.6188,0,427.4891,0,435364,,,,,0
2023-08-08,409.75,413.67,407.26,413.07,411.86,,,,,431.6188,0,426.5585,0,583015,,,,,0
2023-08-09,415.51,421.63,415.01,418.47,412.16,412.92,,,,431.6188,0,425.6652,0,593649,,,,,0
2023-08-10,419.04,423.64,416.62,417.02,412.74,414.12,,,,431.6188,0,424.8076,0,557944,,,,,0
2023-08-11,417.70,419.73,415.10,417.50,413.50,415.10,,,,431.6188,0,423.9842,0,529567,,,,,0
2023-08-14,417.92,420.68,416.65,419.96,414.27,415.92,,,,431.6188,0,423.6375,0,463242,,,,,0
2023-08-15,416.02,417.62,412.24,414.24,414.10,415.93,,,,431.6188,0,422.8609,0,680673,,,,,0
2023-08-16,410.71,418.14,406.11,406.82,413.47,415.34,,,,431.6188,0,422.1155,0,792895,,,,,0
2023-08-17,404.74,408.24,398.98,402.23,413.01,414.36,,,,426.8949,0,421.3999,0,900859,,,,,0
2023-08-18,391.24,396.27,379.41,380.98,410.42,412.44,,,,415.6455,0,420.0544,0,1680864,,,,,0
2023-08-21,380.02,381.92,369.92,375.00,406.53,409.96,,,,404.5480,0,416.8028,0,996163,,,,,0
2023-08-22,376.88,377.21,368.73,369.65,402.19,407.03,,,,401.2794,0,412.1144,0,640951,,,,,0
2023-08-23,369.61,379.68,369.61,378.35,398.18,405.17,,,,401.2794,0,406.9081,0,623830,,,,,0
2023-08-24,374.62,376.26,370.25,371.02,393.58,403.16,,,,401.2794,0,402.3266,0,533525,,,,,0
2023-08-25,372.52,376.20,370.62,374.45,389.27,401.39,,,,400.3574,0,398.2948,0,429192,,,,,0
2023-08-28,377.04,380.00,375.67,378.75,385.15,399.71,,,,400.3574,0,394.7469,0,492178,,,,,0
2023-08-29,378.28,389.24,377.38,387.78,382.50,398.30,,,,400.3574,0,391.6247,0,757930,,-9.6672,-7.4854,-2.1818,0
2023-08-30,387.56,398.80,387.16,396.58,381.48,397.47,,,,400.3574,0,368.7288,1,750292,,-8.1817,-7.6247,-0.5571,0
2023-08-31,397.33,400.43,394.09,394.34,380.69,396.85,,,,400.3574,0,369.3303,1,622780,,-7.1030,-7.5203,0.4173,0
2023-09-01,397.92,402.46,397.83,401.98,382.79,396.60,,,,373.5731,1,370.5744,1,523499,,-5.5676,-7.1298,1.5622,0
2023-09-05,403.90,406.25,397.14,397.69,385.06,395.79,,,,375.0481,1,372.4875,1,610870,,-4.6433,-6.6325,1.9892,0
2023-09-06,395.47,399.61,394.05,397.56,387.85,395.02,,,,375.0481,1,375.1884,1,415367,,-3.8770,-6.0814,2.2044,0
2023-09-07,394.55,398.65,389.02,395.10,389.52,393.85,,,,375.0481,1,377.6733,1,423588,,-3.4284,-5.5508,2.1224,0
2023-09-08,394.88,396.49,382.94,383.52,390.77,392.17,,,,375.0481,1,379.9594,1,734375,,-3.9618,-5.2330,1.2712,0
2023-09-11,387.01,387.68,381.64,384.20,391.75,390.51,,,,375.0481,1,406.2494,0,571808,,-4.2802,-5.0424,0.7622,0
2023-09-12,383.28,389.32,383.17,386.01,392.47,388.81,,,,375.0481,1,405.7571,0,453669,,-4.3362,-4.9012,0.5650,0
2023-09-13,385.61,390.46,383.54,385.98,392.29,387.40,,,,375.0481,1,405.2747,0,444142,,-4.3330,-4.7876,0.4546,0
2023-09-14,389.88,395.50,388.77,395.05,392.14,386.81,,,,375.0481,1,404.8019,0,523822,,-3.5577,-4.5416,0.9839,0
2023-09-15,395.16,398.11,392.46,395.46,392.25,386.47,,,,375.0481,1,404.3386,0,818533,,-2.8768,-4.2086,1.3318,0
2023-09-18,394.34,396.89,391.05,394.24,391.48,387.14,,,,375.0481,1,403.8845,0,398227,,-2.4078,-3.8485,1.4407,0
2023-09-19,386.33,387.63,382.32,382.59,389.97,387.51,,,,375.0481,1,403.4395,0,780356,,-2.9429,-3.6673,0.7244,0
2023-09-20,385.50,392.62,383.41,386.08,388.82,388.34,,,,375.0481,1,403.0034,0,518885,,-3.0500,-3.5439,0.4938,0
2023-09-21,382.91,383.56,370.45,371.98,386.51,388.02,400.01,,,404.7793,0,402.5761,0,856336,612288,-4.2237,-3.6799,-0.5439,0
2023-09-22,366.31,368.07,362.32,365.49,384.71,387.74,399.46,,,393.0882,0,401.2909,0,918087,622464,-5.6134,-4.0666,-1.5468,0
2023-09-25,363.73,369.65,363.08,368.86,383.17,387.46,398.88,,,393.0882,0,398.9526,0,531842,624940,-6.3687,-4.5270,-1.8417,0
2023-09-26,362.73,366.44,362.00,364.30,381.00,386.74,398.09,,,390.6519,0,396.7545,0,482282,621891,-7.2523,-5.0721,-2.1803,0
2023-09-27,366.35,370.75,364.91,368.83,379.29,385.79,397.19,,,390.6519,0,393.9743,0,539603,619085,-7.4998,-5.5576,-1.9422,0
2023-09-28,369.79,374.72,368.82,370.49,376.83,384.49,396.23,,,390.6519,0,391.4165,0,503689,614636,-7.4762,-5.9413,-1.5349,0
2023-09-29,369.53,372.66,361.81,363.41,373.63,382.94,395.06,,,390.6519,0,389.0634,0,801668,619372,-7.9371,-6.3405,-1.5966,0
2023-10-02,365.16,366.54,356.84,360.00,370.20,380.84,393.87,,,387.7130,0,386.3384,0,743867,623801,-8.4797,-6.7683,-1.7114,0
2023-10-03,358.63,360.01,356.79,358.98,367.84,378.91,392.56,,,382.7898,0,382.7981,0,451884,621317,-8.8896,-7.1926,-1.6970,0
2023-10-04,358.60,364.57,356.46,363.05,365.54,377.18,391.25,,,382.7898,0,379.1566,0,459563,620147,-8.7852,-7.5111,-1.2741,0
