Date,Open,High,Low,Close,Ma10:Top:Line,Ma20:Top:Line,Ma50:Top:Line,Ma150:Top:Line,Ma200:Top:Line,Supertrend:Top:ColorLine,Supertrend_Dir,ParabolicSAR:Top:ColorLine,ParabolicSAR_Dir,Volume:Middle:Histogram,Vo50:Middle:Line,Macd:Bottom:Line,MacdSignal:Bottom:Line,MacdDelta:Bottom:Histogram,RsRating:Hidden:Hidden
2023-07-12,54.57,54.77,54.15,54.32,,,,,,,0,54.1540,1,302031,,,,,0
2023-07-13,54.78,55.03,54.44,54.60,,,,,,,0,54.1540,1,313224,,,,,0
2023-07-14,54.77,54.77,53.29,53.35,,,,,,,0,55.0332,0,389625,,,,,0
2023-07-17,53.82,53.91,53.46,53.46,,,,,,,0,55.0332,0,323805,,,,,0
2023-07-18,53.51,54.01,53.42,53.66,,,,,,,0,54.9983,0,307067,,,,,0
2023-07-19,54.03,54.42,53.97,54.27,,,,,,,0,54.9642,0,252176,,,,,0
2023-07-20,54.81,55.10,54.64,55.03,,,,,,,0,53.2925,1,231692,,,,,0
2023-07-21,55.23,55.37,55.02,55.36,,,,,,,0,53.3287,1,278653,,,,,0
2023-07-24,55.29,55.99,55.26,55.72,,,,,,,0,53.4103,1,364993,,,,,0
2023-07-25,55.09,55.59,54.77,55.41,54.52,,,,,57.4498,0,53.5651,1,308594,,,,,0
2023-07-26,54.79,55.20,54.70,55.05,54.59,,,,,57.2063,0,53.7107,1,280790,,,,,0
2023-07-27,54.15,54.40,53.35,53.45,54.48,,,,,56.4154,0,55.9914,0,446774,,,,,0
2023-07-28,53.46,53.92,53.28,53.57,54.50,,,,,56.0785,0,55.9385,0,237851,,,,,0
2023-07-31,53.98,54.44,53.90,54.18,54.57,,,,,56.0785,0,55.8323,0,322935,,,,,0
2023-08-01,53.82,54.01,53.33,53.64,54.57,,,,,56.0785,0,55.7303,0,289811,,,,,0
2023-08-02,53.06,53.13,52.31,52.68,54.41,,,,,55.3647,0,55.6325,0,334558,,,,,0
2023-08-03,52.60,53.39,52.38,53.27,54.23,,,,,55.3647,0,55.4333,0,279156,,,,,0
2023-08-04,53.80,54.49,53.71,53.76,54.07,,,,,55.3647,0,55.2460,0,260957,,,,,0
2023-08-07,54.11,54.20,53.82,54.01,53.90,,,,,55.3647,0,55.0700,0,244080,,,,,0
2023-08-08,53.36,54.28,53.05,54.22,53.78,54.15,,,,55.3647,0,54.9045,0,227874,,,,,0
2023-08-09,54.75,55.19,54.72,54.96,53.78,54.18,,,,55.3647,0,52.3123,1,312549,,,,,0
2023-08-10,55.66,56.06,55.27,55.37,53.97,54.22,,,,52.8547,1,52.3698,1,234543,,,,,0
2023-08-11,54.76,55.50,54.76,55.46,54.16,54.33,,,,52.8547,1,52.5175,1,281714,,,,,0
2023-08-14,54.59,54.84,54.29,54.70,54.21,54.39,,,,52.8547,1,52.6593,1,291389,,,,,0
2023-08-15,54.59,54.67,54.05,54.14,54.26,54.41,,,,52.8547,1,52.7954,1,254102,,,,,0
2023-08-16,53.93,54.37,53.89,53.92,54.38,54.40,,,,52.8547,1,52.9261,1,304104,,,,,0
2023-08-17,54.60,54.80,54.05,54.19,54.47,54.35,,,,52.8547,1,53.0515,1,250049,,,,,0
