Date,Open,High,Low,Close,Ma10:Top:Line,Ma20:Top:Line,Ma50:Top:Line,Ma150:Top:Line,Ma200:Top:Line,Supertrend:Top:ColorLine,Supertrend_Dir,ParabolicSAR:Top:ColorLine,ParabolicSAR_Dir,Volume:Middle:Histogram,Vo50:Middle:Line,Macd:Bottom:Line,MacdSignal:Bottom:Line,MacdDelta:Bottom:Histogram,RsRating:Hidden:Hidden
2023-07-13,7.74,7.77,7.49,7.64,,,,,,,0,7.7704,0,36049,,,,,0
2023-07-14,7.67,7.71,7.42,7.62,,,,,,,0,7.7704,0,31120,,,,,0
2023-07-17,7.50,7.69,7.44,7.66,,,,,,,0,7.7704,0,27721,,,,,0
2023-07-18,7.67,8.11,7.67,8.00,,,,,,,0,7.4235,1,47388,,,,,0
2023-07-19,8.14,8.64,8.11,8.52,,,,,,,0,7.4354,1,77094,,,,,0
2023-07-20,8.52,8.81,8.49,8.63,,,,,,,0,7.4835,1,54319,,,,,0
2023-07-21,8.58,8.63,8.17,8.24,,,,,,,0,7.5632,1,41588,,,,,0
2023-07-24,8.20,8.37,8.17,8.30,,,,,,,0,7.6381,1,24583,,,,,0
2023-07-25,8.37,8.51,8.12,8.17,,,,,,,0,7.7085,1,28500,,,,,0
2023-07-26,8.10,8.54,8.09,8.49,8.13,,,,,9.4314,0,7.7746,1,35156,,,,,0
2023-07-27,8.67,9.04,8.56,8.61,8.22,,,,,9.4314,0,7.8368,1,65811,,,,,0
2023-07-28,8.75,9.21,8.75,9.10,8.37,,,,,9.4314,0,7.9335,1,56159,,,,,0
2023-07-31,9.10,9.21,8.87,9.06,8.51,,,,,9.4314,0,8.0607,1,39355,,,,,0
2023-08-01,8.89,9.13,8.72,9.06,8.62,,,,,9.4314,0,8.1982,1,30736,,,,,0
2023-08-02,8.88,8.96,8.51,8.94,8.66,,,,,9.4314,0,8.3191,1,37405,,,,,0
2023-08-03,8.81,9.22,8.76,9.19,8.72,,,,,9.4314,0,8.4255,1,42498,,,,,0
2023-08-04,9.18,9.25,8.85,9.00,8.79,,,,,9.4314,0,8.5122,1,23855,,,,,0
2023-08-07,9.00,9.07,8.62,8.67,8.83,,,,,9.4314,0,9.2533,0,29249,,,,,0
2023-08-08,8.49,8.79,8.28,8.69,8.88,,,,,9.4314,0,9.2533,0,29092,,,,,0
2023-08-09,8.69,8.69,8.34,8.47,8.88,8.50,,,,9.4314,0,9.2143,0,26179,,,,,0
2023-08-10,8.52,8.63,8.41,8.50,8.87,8.55,,,,9.4314,0,9.1769,0,19634,,,,,0
2023-08-11,8.37,8.60,8.31,8.53,8.81,8.59,,,,9.4314,0,9.1410,0,20333,,,,,0
2023-08-14,8.46,8.46,8.23,8.33,8.74,8.62,,,,9.4314,0,9.1065,0,27702,,,,,0
2023-08-15,8.21,8.23,7.95,8.04,8.64,8.63,,,,9.2359,0,9.0540,0,48844,,,,,0
2023-08-16,7.53,7.62,7.15,7.21,8.46,8.56,,,,8.6844,0,8.9657,0,105461,,,,,0
2023-08-17,7.26,7.65,7.26,7.41,8.28,8.50,,,,8.6844,0,8.7840,0,42551,,,,,0
2023-08-18,7.22,7.54,7.15,7.42,8.13,8.46,,,,8.6293,0,8.6204,0,28834,,,,,0
2023-08-21,7.31,7.56,7.30,7.55,8.01,8.42,,,,8.6293,0,8.4732,0,26491,,,,,0
2023-08-22,7.55,7.64,7.27,7.35,7.88,8.38,,,,8.6293,0,8.3407,0,26523,,,,,0
2023-08-23,7.28,7.41,7.20,7.41,7.77,8.33,,,,8.4650,0,8.2215,0,21039,,,,,0
2023-08-24,7.39,7.42,7.24,7.29,7.65,8.26,,,,8.4259,0,8.1141,0,22697,,,,,0
2023-08-25,7.24,7.30,7.02,7.09,7.51,8.16,,,,8.2330,0,8.0176,0,28334,,,,,0
2023-08-28,7.16,7.28,7.01,7.06,7.38,8.06,,,,8.1918,0,7.8974,0,20867,,,,,0
2023-08-29,7.06,7.32,7.02,7.30,7.31,7.97,,,,8.1918,0,7.7733,0,24498,,-0.3804,-0.3253,-0.0551,0
2023-08-30,7.30,7.30,7.20,7.24,7.31,7.89,,,,8.1918,0,7.6665,0,14755,,-0.3733,-0.3349,-0.0384,0
2023-08-31,7.18,7.27,7.12,7.22,7.29,7.79,,,,8.1016,0,7.5747,0,35074,,-0.3649,-0.3409,-0.0239,0
2023-09-01,7.32,7.48,7.31,7.32,7.28,7.70,,,,8.1016,0,7.4957,0,20879,,-0.3460,-0.3419,-0.0041,0
2023-09-05,7.26,7.28,6.97,6.99,7.23,7.62,,,,8.0372,0,7.4833,0,29675,,-0.3535,-0.3442,-0.0093,0
2023-09-06,6.96,7.06,6.91,7.00,7.19,7.54,,,,7.8502,0,7.4833,0,18326,,-0.3549,-0.3464,-0.0085,0
2023-09-07,6.91,6.94,6.76,6.79,7.13,7.45,,,,7.7005,0,7.3799,0,26560,,-0.3686,-0.3508,-0.0178,0
2023-09-08,6.77,6.92,6.68,6.84,7.09,7.37,,,,7.6410,0,7.2556,0,15916,,-0.3709,-0.3548,-0.0161,0
2023-09-11,6.85,6.96,6.79,6.84,7.06,7.28,,,,7.6410,0,7.1396,0,18946,,-0.3689,-0.3577,-0.0113,0
2023-09-12,6.79,7.00,6.77,6.94,7.05,7.22,,,,7.6410,0,7.0469,0,14803,,-0.3546,-0.3570,0.0024,0
2023-09-13,7.00,7.13,6.75,6.75,6.99,7.15,,,,7.6410,0,6.6757,1,26728,,-0.3551,-0.3567,0.0016,0
2023-09-14,6.91,7.02,6.72,6.73,6.94,7.13,,,,7.6410,0,6.6848,1,27163,,-0.3528,-0.3559,0.0031,0
2023-09-15,6.76,6.84,6.58,6.58,6.88,7.09,,,,7.5447,0,7.1274,0,37749,,-0.3590,-0.3565,-0.0025,0
2023-09-18,6.89,7.19,6.83,6.91,6.84,7.06,,,,7.5447,0,6.5800,1,52052,,-0.3335,-0.3519,0.0184,0
2023-09-19,6.90,7.05,6.88,7.05,6.84,7.03,,,,7.5447,0,6.5800,1,23880,,-0.2987,-0.3413,0.0426,0
2023-09-20,7.11,7.19,6.83,6.84,6.83,7.01,,,,7.5447,0,6.5923,1,25255,,-0.2847,-0.3300,0.0452,0
2023-09-21,6.73,6.86,6.62,6.65,6.81,6.97,7.74,,,7.5447,0,6.6044,1,24023,33189,-0.2859,-0.3211,0.0353,0
2023-09-22,6.65,6.93,6.64,6.83,6.81,6.95,7.73,,,7.5447,0,6.6162,1,27833,33025,-0.2687,-0.3106,0.0420,0
2023-09-25,6.70,6.72,6.38,6.51,6.78,6.92,7.71,,,7.4859,0,7.1950,0,39466,33192,-0.2774,-0.3040,0.0266,0
2023-09-26,6.47,6.57,6.28,6.30,6.71,6.88,7.68,,,7.3576,0,7.1787,0,22781,33093,-0.2983,-0.3029,0.0045,0
2023-09-27,6.34,6.39,5.99,6.13,6.65,6.82,7.64,,,7.1456,0,7.1428,0,30861,32762,-0.3251,-0.3073,-0.0178,0
2023-09-28,6.08,6.24,6.02,6.18,6.60,6.77,7.59,,,7.0588,0,7.0735,0,16171,31544,-0.3381,-0.3135,-0.0246,0
2023-09-29,6.16,6.33,6.16,6.25,6.56,6.72,7.55,,,7.0588,0,7.0084,0,14643,30750,-0.3387,-0.3185,-0.0202,0
2023-10-02,6.22,6.27,5.90,5.93,6.47,6.65,7.50,,,6.9996,0,6.9471,0,21067,30340,-0.3606,-0.3269,-0.0337,0
2023-10-03,5.85,5.89,5.68,5.71,6.33,6.59,7.45,,,6.6804,0,6.8632,0,25144,30351,-0.3918,-0.3399,-0.0519,0
2023-10-04,5.68,5.76,5.46,5.73,6.22,6.52,7.40,,,6.5099,0,6.7446,0,22232,30226,-0.4099,-0.3539,-0.0560,0
2023-10-05,5.75,5.80,5.55,5.58,6.11,6.46,7.34,,,6.5099,0,6.5907,0,17111,29865,-0.4317,-0.3695,-0.0623,0
2023-10-06,5.51,5.88,5.49,5.84,6.02,6.41,7.29,,,6.5099,0,6.4552,0,21646,28981,-0.4225,-0.3801,-0.0424,0
2023-10-09,5.59,5.91,5.55,5.84,5.95,6.36,7.22,,,6.5099,0,6.3360,0,33869,28536,-0.4104,-0.3861,-0.0243,0
2023-10-10,5.71,5.93,5.70,5.78,5.90,6.31,7.16,,,6.5099,0,6.2312,0,17360,28096,-0.4016,-0.3892,-0.0123,0
2023-10-11,5.70,5.78,5.64,5.71,5.86,6.25,7.09,,,6.5099,0,6.1389,0,15175,27785,-0.3958,-0.3905,-0.0052,0
2023-10-12,5.77,5.77,5.41,5.46,5.78,6.19,7.02,,,6.4723,0,6.0576,0,28856,27614,-0.4063,-0.3937,-0.0126,0
2023-10-13,5.49,5.89,5.48,5.84,5.74,6.15,6.95,,,6.4723,0,5.9675,0,32352,27411,-0.3798,-0.3909,0.0111,0
2023-10-16,5.75,5.88,5.73,5.80,5.73,6.10,6.89,,,6.4723,0,5.8921,0,15944,27252,-0.3581,-0.3843,0.0263,0
2023-10-17,5.71,5.85,5.66,5.72,5.73,6.03,6.83,,,6.4723,0,5.8921,0,15190,26971,-0.3432,-0.3761,0.0329,0
2023-10-18,5.63,5.66,5.42,5.49,5.70,5.96,6.77,,,6.3849,0,5.8802,0,17496,26739,-0.3462,-0.3701,0.0239,0
2023-10-19,5.42,5.43,5.17,5.23,5.67,5.89,6.70,,,6.1587,0,5.8503,0,24951,26715,-0.3647,-0.3690,0.0044,0
2023-10-20,5.17,5.23,5.07,5.07,5.59,5.80,6.63,,,5.9709,0,5.7421,0,15120,26625,-0.3884,-0.3729,-0.0155,0
2023-10-23,4.95,5.01,4.79,4.82,5.49,5.72,6.56,,,5.7204,0,5.6205,0,27675,26771,-0.4225,-0.3828,-0.0397,0
2023-10-24,4.88,5.19,4.88,5.09,5.42,5.66,6.49,,,5.7204,0,5.4535,0,32585,26869,-0.4225,-0.3908,-0.0318,0
2023-10-25,5.02,5.08,4.94,5.08,5.36,5.61,6.43,,,5.7204,0,5.3199,0,9188,26076,-0.4187,-0.3964,-0.0223,0
