Date,Open,High,Low,Close,Ma10:Top:Line,Ma20:Top:Line,Ma50:Top:Line,Ma150:Top:Line,Ma200:Top:Line,Supertrend:Top:ColorLine,Supertrend_Dir,ParabolicSAR:Top:ColorLine,ParabolicSAR_Dir,Volume:Middle:Histogram,Vo50:Middle:Line,Macd:Bottom:Line,MacdSignal:Bottom:Line,MacdDelta:Bottom:Histogram,RsRating:Hidden:Hidden
2023-07-13,66.88,69.02,66.88,68.69,,,,,,,0,66.8817,1,203658,,,,,0
2023-07-14,68.94,69.20,67.90,68.50,,,,,,,0,66.8817,1,194489,,,,,0
2023-07-17,68.94,69.10,68.41,68.67,,,,,,,0,66.8817,1,136098,,,,,0
2023-07-18,68.67,72.38,68.41,70.92,,,,,,,0,66.9281,1,269890,,,,,0
2023-07-19,71.40,74.10,71.34,72.72,,,,,,,0,67.1462,1,294732,,,,,0
2023-07-20,73.80,74.13,72.31,73.40,,,,,,,0,67.5634,1,132682,,,,,0
2023-07-21,73.24,73.93,72.33,73.42,,,,,,,0,68.0885,1,133767,,,,,0
2023-07-24,74.23,75.73,74.16,74.82,,,,,,,0,68.5716,1,173779,,,,,0
2023-07-25,75.14,75.61,74.42,75.32,,,,,,,0,69.2879,1,156809,,,,,0
2023-07-26,75.01,76.47,74.79,75.85,72.23,,,,,81.5910,0,69.9325,1,186611,,,,,0
2023-07-27,76.02,76.74,75.59,75.69,72.93,,,,,81.5910,0,70.7168,1,173178,,,,,0
2023-07-28,76.22,76.27,74.53,75.46,73.63,,,,,81.0627,0,71.5597,1,166651,,,,,0
2023-07-31,74.94,76.32,74.94,76.25,74.38,,,,,81.0627,0,72.2845,1,160007,,,,,0
2023-08-01,76.25,76.74,75.13,75.50,74.84,,,,,81.0627,0,72.9080,1,193455,,,,,0
2023-08-02,74.91,76.28,73.76,74.92,75.06,,,,,80.6750,0,73.5207,1,171647,,,,,0
2023-08-03,78.25,78.31,73.55,75.46,75.27,,,,,80.6750,0,76.7374,0,231668,,,,,0
2023-08-04,75.76,78.21,75.42,75.46,75.47,,,,,80.6750,0,78.3073,0,156436,,,,,0
2023-08-07,75.24,75.43,74.09,74.77,75.47,,,,,80.6750,0,78.3073,0,152271,,,,,0
2023-08-08,73.71,74.29,72.84,73.63,75.30,,,,,79.9435,0,78.2144,0,205149,,,,,0
2023-08-09,75.48,77.29,75.07,76.88,75.40,73.82,,,,79.9435,0,77.9993,0,197101,,,,,0
2023-08-10,76.91,77.11,74.17,74.28,75.26,74.09,,,,79.9435,0,77.7927,0,199820,,,,,0
2023-08-11,74.28,74.93,73.93,74.21,75.13,74.38,,,,79.9435,0,77.5945,0,196481,,,,,0
2023-08-14,72.82,73.31,71.73,72.88,74.80,74.59,,,,79.2303,0,77.4041,0,172466,,,,,0
2023-08-15,72.13,73.95,71.82,72.03,74.45,74.65,,,,79.2303,0,77.0635,0,156314,,,,,0
2023-08-16,71.89,72.88,71.59,71.64,74.12,74.59,,,,78.6311,0,76.7434,0,127012,,,,,0
2023-08-17,72.09,73.58,72.09,72.68,73.84,74.56,,,,78.6311,0,76.3309,0,134937,,,,,0
2023-08-18,71.76,74.30,71.63,73.80,73.68,74.57,,,,78.6311,0,75.9514,0,208447,,,,,0
