Date,Open,High,Low,Close,Ma10:Top:Line,Ma20:Top:Line,Ma50:Top:Line,Ma150:Top:Line,Ma200:Top:Line,Supertrend:Top:ColorLine,Supertrend_Dir,ParabolicSAR:Top:ColorLine,ParabolicSAR_Dir,Volume:Middle:Histogram,Vo50:Middle:Line,Macd:Bottom:Line,MacdSignal:Bottom:Line,MacdDelta:Bottom:Histogram,RsRating:Hidden:Hidden
2023-07-13,4.97,5.04,4.88,4.98,,,,,,,0,4.8800,1,3927,,,,,0
2023-07-14,4.98,5.04,4.92,5.01,,,,,,,0,4.8800,1,3007,,,,,0
2023-07-17,5.01,5.14,4.94,5.01,,,,,,,0,4.8800,1,3983,,,,,0
2023-07-18,5.00,5.11,4.97,5.10,,,,,,,0,4.8902,1,1981,,,,,0
2023-07-19,5.08,5.37,5.08,5.18,,,,,,,0,4.9000,1,3826,,,,,0
2023-07-20,5.19,5.24,5.10,5.14,,,,,,,0,4.9282,1,1866,,,,,0
2023-07-21,5.19,5.43,5.18,5.42,,,,,,,0,4.9547,1,1873,,,,,0
2023-07-24,5.43,5.46,5.28,5.32,,,,,,,0,4.9927,1,2190,,,,,0
2023-07-25,5.30,5.47,5.24,5.37,,,,,,,0,5.0395,1,2288,,,,,0
2023-07-26,5.36,5.45,5.26,5.34,5.19,,,,,5.9258,0,5.0905,1,2310,,,,,0
2023-07-27,5.36,5.47,5.29,5.32,5.22,,,,,5.9258,0,5.1355,1,1460,,,,,0
2023-07-28,5.34,5.45,5.34,5.36,5.26,,,,,5.9258,0,5.1823,1,991,,,,,0
2023-07-31,5.36,5.51,5.35,5.50,5.31,,,,,5.9258,0,5.2226,1,1421,,,,,0
2023-08-01,5.50,5.62,5.42,5.54,5.35,,,,,5.9258,0,5.2686,1,3111,,,,,0
2023-08-02,5.48,5.51,5.24,5.26,5.36,,,,,5.9258,0,5.6200,0,3384,,,,,0
2023-08-03,5.23,5.51,5.13,5.49,5.39,,,,,5.9258,0,5.6200,0,2647,,,,,0
2023-08-04,5.53,5.60,5.38,5.41,5.39,,,,,5.9258,0,5.6004,0,2503,,,,,0
2023-08-07,5.41,5.49,5.23,5.44,5.40,,,,,5.9258,0,5.6000,0,1963,,,,,0
2023-08-08,5.39,5.65,5.39,5.64,5.43,,,,,5.9258,0,5.1300,1,4092,,,,,0
2023-08-09,5.65,5.80,5.27,5.79,5.48,5.33,,,,5.9258,0,5.1404,1,3448,,,,,0
2023-08-10,5.87,5.87,5.71,5.78,5.52,5.37,,,,5.9258,0,5.1666,1,2778,,,,,0
2023-08-11,5.78,5.81,5.41,5.46,5.53,5.39,,,,5.9258,0,5.2088,1,9820,,,,,0
2023-08-14,5.41,5.60,5.31,5.45,5.53,5.42,,,,5.9258,0,5.2485,1,3823,,,,,0
2023-08-15,5.39,5.62,5.34,5.57,5.53,5.44,,,,5.9258,0,5.2858,1,2679,,,,,0
2023-08-16,5.77,5.97,5.74,5.93,5.60,5.48,,,,5.0569,1,5.3100,1,3885,,,,,0
2023-08-17,5.92,5.94,5.72,5.85,5.63,5.51,,,,5.0569,1,5.3400,1,4623,,,,,0
2023-08-18,5.79,5.85,5.66,5.69,5.66,5.53,,,,5.0569,1,5.3908,1,4028,,,,,0
2023-08-21,5.70,5.94,5.68,5.80,5.70,5.55,,,,5.0569,1,5.4375,1,4863,,,,,0
2023-08-22,5.80,5.83,5.61,5.62,5.69,5.56,,,,5.0569,1,5.4805,1,2950,,,,,0
2023-08-23,5.61,5.85,5.61,5.73,5.69,5.58,,,,5.0569,1,5.5201,1,2427,,,,,0
2023-08-24,5.72,5.80,5.66,5.71,5.68,5.60,,,,5.0569,1,5.5565,1,1828,,,,,0
2023-08-25,5.71,5.74,5.59,5.65,5.70,5.62,,,,5.0569,1,5.9750,0,1559,,,,,0
2023-08-28,5.65,5.72,5.59,5.62,5.72,5.62,,,,5.0569,1,5.9672,0,1273,,,,,0
2023-08-29,5.59,5.82,5.57,5.80,5.74,5.63,,,,5.0569,1,5.9596,0,1192,,0.1352,0.1685,-0.0333,0
2023-08-30,5.81,5.88,5.78,5.86,5.73,5.66,,,,5.1833,1,5.9440,0,1494,,0.1396,0.1627,-0.0231,0
2023-08-31,5.83,5.91,5.76,5.80,5.73,5.68,,,,5.2079,1,5.9290,0,2134,,0.1366,0.1575,-0.0209,0
2023-09-01,5.84,5.89,5.82,5.83,5.74,5.70,,,,5.2638,1,5.9147,0,1550,,0.1351,0.1530,-0.0179,0
2023-09-05,5.82,5.85,5.63,5.65,5.73,5.71,,,,5.2638,1,5.9100,0,2460,,0.1181,0.1460,-0.0280,0
2023-09-06,5.62,5.70,5.43,5.44,5.71,5.70,,,,5.2638,1,5.8964,0,1986,,0.0866,0.1342,-0.0475,0
2023-09-07,5.44,5.48,5.37,5.37,5.67,5.68,,,,5.2638,1,5.8687,0,2437,,0.0554,0.1184,-0.0630,0
2023-09-08,5.35,5.43,5.18,5.19,5.62,5.65,,,,5.9108,0,5.8288,0,2064,,0.0160,0.0979,-0.0820,0
2023-09-11,5.24,5.32,5.22,5.30,5.59,5.64,,,,5.8502,0,5.7639,0,1313,,-0.0064,0.0771,-0.0834,0
2023-09-12,5.30,5.36,5.18,5.22,5.55,5.63,,,,5.8478,0,5.7055,0,1218,,-0.0302,0.0556,-0.0858,0
