Date,Open,High,Low,Close,Ma10:Top:Line,Ma20:Top:Line,Ma50:Top:Line,Ma150:Top:Line,Ma200:Top:Line,Supertrend:Top:ColorLine,Supertrend_Dir,ParabolicSAR:Top:ColorLine,ParabolicSAR_Dir,Volume:Middle:Histogram,Vo50:Middle:Line,Macd:Bottom:Line,MacdSignal:Bottom:Line,MacdDelta:Bottom:Histogram,RsRating:Hidden:Hidden
2023-07-12,26.00,26.80,25.04,25.20,,,,,,,0,25.0400,1,11,,,,,0
2023-07-13,25.40,26.40,25.40,26.40,,,,,,,0,25.0400,1,5,,,,,0
2023-07-14,25.80,26.60,25.80,25.80,,,,,,,0,25.0400,1,10,,,,,0
2023-07-17,25.60,25.90,25.20,25.60,,,,,,,0,25.0752,1,12,,,,,0
2023-07-18,26.00,26.80,25.00,25.40,,,,,,,0,26.8000,0,16,,,,,0
2023-07-19,24.80,25.10,24.20,24.40,,,,,,,0,26.8000,0,14,,,,,0
2023-07-20,25.00,26.20,24.60,26.00,,,,,,,0,26.8000,0,3,,,,,0
2023-07-21,25.60,26.00,24.40,24.60,,,,,,,0,26.6960,0,18,,,,,0
2023-07-24,25.60,26.00,24.20,24.60,,,,,,,0,26.5962,0,30,,,,,0
2023-07-25,24.38,25.40,24.38,24.40,25.24,,,,,28.9940,0,26.5003,0,19,,,,,0
2023-07-26,26.40,26.40,24.80,25.60,25.28,,,,,28.9940,0,26.4083,0,10,,,,,0
2023-07-27,25.80,26.20,25.20,25.80,25.22,,,,,28.9940,0,26.4000,0,8,,,,,0
2023-07-28,25.40,26.40,25.20,25.20,25.16,,,,,28.9940,0,26.4000,0,10,,,,,0
2023-07-31,26.40,26.40,25.20,25.20,25.12,,,,,28.9940,0,26.4000,0,10,,,,,0
2023-08-01,25.30,26.00,25.00,26.00,25.18,,,,,28.9940,0,26.4000,0,29,,,,,0
2023-08-02,25.40,25.80,24.00,25.00,25.24,,,,,28.9940,0,26.4000,0,42,,,,,0
2023-08-03,25.34,25.60,23.80,24.00,25.04,,,,,28.9806,0,26.2560,0,84,,,,,0
2023-08-04,23.68,25.60,23.20,24.40,25.02,,,,,28.9725,0,26.0595,0,41,,,,,0
2023-08-07,25.40,25.60,24.00,24.40,25.00,,,,,28.9725,0,25.7736,0,12,,,,,0
2023-08-08,24.40,25.00,24.40,24.40,25.00,25.12,,,,28.9725,0,25.6000,0,5,,,,,0
2023-08-09,25.00,25.60,24.40,25.00,24.94,25.11,,,,28.9725,0,25.6000,0,17,,,,,0
2023-08-10,25.40,25.40,23.80,24.60,24.82,25.02,,,,28.8998,0,25.6000,0,10,,,,,0
2023-08-11,24.80,24.80,23.00,23.20,24.62,24.89,,,,28.3098,0,25.6000,0,4,,,,,0
2023-08-14,23.70,23.70,23.00,23.00,24.40,24.76,,,,27.5288,0,25.4000,0,10,,,,,0
2023-08-15,22.80,23.80,21.20,21.60,23.96,24.57,,,,27.0409,0,25.1120,0,37,,,,,0
2023-08-16,21.40,22.20,20.20,22.20,23.68,24.46,,,,25.8868,0,24.5643,0,37,,,,,0
2023-08-17,21.40,21.40,20.20,21.20,23.40,24.22,,,,25.6181,0,23.8660,0,19,,,,,0
2023-08-18,21.00,21.20,20.20,20.80,23.04,24.03,,,,25.3363,0,23.2795,0,8,,,,,0
2023-08-21,20.20,24.80,20.20,20.20,22.62,23.81,,,,25.3363,0,20.2000,1,22,,,,,0
2023-08-22,20.20,21.60,20.20,20.60,22.24,23.62,,,,25.3363,0,20.2000,1,5,,,,,0
2023-08-23,21.60,21.60,20.20,20.60,21.80,23.37,,,,25.3363,0,20.2000,1,11,,,,,0
2023-08-24,20.60,20.60,20.20,20.60,21.40,23.11,,,,25.2861,0,20.2000,1,2,,,,,0
2023-08-25,20.20,20.40,19.00,19.70,21.05,22.84,,,,24.5775,0,24.8000,0,20,,,,,0
2023-08-28,19.80,20.60,19.60,19.60,20.71,22.56,,,,24.5775,0,24.6840,0,11,,-1.5468,-1.3656,-0.1813,0
2023-08-29,19.40,20.40,18.80,20.20,20.57,22.27,,,,24.3008,0,24.5703,0,12,,-1.5075,-1.3940,-0.1135,0
2023-08-30,20.00,20.60,19.00,20.60,20.41,22.05,,,,24.3008,0,24.3395,0,16,,-1.4276,-1.4007,-0.0269,0
2023-08-31,19.90,21.60,19.80,20.00,20.29,21.85,,,,24.3008,0,24.1179,0,10,,-1.3966,-1.3999,0.0033,0
2023-09-01,20.02,23.80,20.00,20.60,20.27,21.66,,,,24.3008,0,23.9052,0,6,,-1.3086,-1.3816,0.0731,0
2023-09-05,20.20,23.60,18.40,18.96,20.15,21.38,,,,24.3008,0,23.8000,0,28,,-1.3555,-1.3764,0.0209,0
2023-09-06,18.80,18.80,18.00,18.32,19.92,21.08,,,,24.3008,0,23.8000,0,17,,-1.4278,-1.3867,-0.0411,0
2023-09-07,18.36,18.40,17.00,18.20,19.68,20.74,,,,23.6098,0,23.6000,0,23,,-1.4778,-1.4049,-0.0729,0
2023-09-08,18.06,21.80,16.00,17.20,19.34,20.37,,,,23.6098,0,22.9400,0,22,,-1.5799,-1.4399,-0.1400,0
2023-09-11,17.00,17.20,16.20,16.22,18.99,20.02,,,,23.3529,0,22.1072,0,8,,-1.7201,-1.4959,-0.2241,0
2023-09-12,16.28,16.50,15.20,15.60,18.59,19.65,,,,22.2276,0,21.8000,0,47,,-1.8598,-1.5687,-0.2911,0
2023-09-13,15.76,17.00,15.60,15.60,18.13,19.35,,,,22.2276,0,20.8760,0,18,,-1.9480,-1.6446,-0.3034,0
2023-09-14,15.50,15.66,15.00,15.00,17.57,18.99,,,,21.0719,0,20.0814,0,14,,-2.0428,-1.7242,-0.3186,0
2023-09-15,15.20,17.00,15.20,16.48,17.22,18.75,,,,21.0719,0,19.2683,0,56,,-1.9757,-1.7745,-0.2012,0
2023-09-18,16.14,16.96,16.12,16.84,16.84,18.56,,,,21.0719,0,18.5854,0,7,,-1.8719,-1.7940,-0.0779,0
2023-09-19,16.84,17.00,15.20,17.00,16.65,18.40,,,,21.0719,0,18.0117,0,11,,-1.7565,-1.7865,0.0300,0
2023-09-20,17.00,19.60,16.92,17.20,16.53,18.23,21.79,,,21.0719,0,15.0000,1,16,18,-1.6301,-1.7552,0.1251,0
2023-09-21,16.92,18.26,15.62,16.40,16.35,18.02,21.61,,,21.0719,0,15.0920,1,14,18,-1.5764,-1.7195,0.1431,0
2023-09-22,16.42,17.58,15.58,17.40,16.37,17.86,21.43,,,21.0719,0,15.1822,1,23,19,-1.4365,-1.6629,0.2264,0
2023-09-25,17.40,17.40,16.16,16.18,16.37,17.68,21.24,,,21.0719,0,15.2705,1,11,19,-1.4078,-1.6119,0.2040,0
2023-09-26,15.80,17.60,15.42,17.60,16.57,17.58,21.08,,,21.0719,0,15.3571,1,31,19,-1.2561,-1.5407,0.2846,0
2023-09-27,17.20,17.60,15.70,15.82,16.59,17.36,20.89,,,21.0719,0,15.4200,1,26,19,-1.2649,-1.4855,0.2207,0
2023-09-28,15.42,16.70,15.10,15.30,16.62,17.10,20.70,,,21.0719,0,19.6000,0,8,19,-1.2988,-1.4482,0.1494,0
2023-09-29,15.30,16.00,14.42,16.00,16.57,16.90,20.50,,,20.7994,0,19.5100,0,22,20,-1.2548,-1.4095,0.1547,0
2023-10-02,15.98,16.00,14.62,15.00,16.39,16.62,20.31,,,20.7545,0,19.3064,0,4,19,-1.2857,-1.3848,0.0990,0
2023-10-03,14.60,15.18,14.20,14.20,16.11,16.38,20.10,,,19.8840,0,19.1109,0,14,19,-1.3592,-1.3796,0.0205,0
2023-10-04,14.00,14.80,13.74,13.82,15.77,16.15,19.89,,,19.2626,0,18.8163,0,14,19,-1.4315,-1.3900,-0.0415,0
2023-10-05,14.00,14.80,13.60,14.40,15.57,15.96,19.67,,,19.0534,0,18.4102,0,16,19,-1.4256,-1.3971,-0.0285,0
2023-10-06,13.68,15.10,13.64,14.86,15.32,15.85,19.45,,,19.0534,0,17.9292,0,11,19,-1.3681,-1.3913,0.0233,0
2023-10-09,15.04,16.00,14.88,15.00,15.20,15.78,19.25,,,19.0534,0,17.4962,0,12,19,-1.2962,-1.3723,0.0761,0
2023-10-10,16.00,16.00,15.06,15.06,14.95,15.76,19.04,,,19.0534,0,17.1066,0,10,19,-1.2203,-1.3419,0.1216,0
2023-10-11,15.06,15.60,15.00,15.60,14.92,15.76,18.84,,,19.0534,0,16.7560,0,9,19,-1.1039,-1.2943,0.1904,0
2023-10-12,15.60,16.06,15.00,15.00,14.89,15.76,18.64,,,19.0534,0,16.4404,0,3,18,-1.0480,-1.2451,0.1970,0
2023-10-13,14.88,16.00,14.32,14.80,14.77,15.67,18.45,,,19.0534,0,16.1563,0,10,16,-1.0082,-1.1977,0.1895,0
2023-10-16,15.00,16.20,15.00,15.02,14.78,15.58,18.26,,,19.0534,0,13.6000,1,9,16,-0.9480,-1.1477,0.1998,0
2023-10-17,15.00,15.98,13.82,13.88,14.74,15.43,18.05,,,19.0534,0,13.6520,1,55,17,-0.9809,-1.1144,0.1334,0
2023-10-18,14.20,14.80,13.02,13.56,14.72,15.25,17.84,,,18.4416,0,16.2000,0,22,17,-1.0211,-1.0957,0.0746,0
