Date,Open,High,Low,Close,Ma10:Top:Line,Ma20:Top:Line,Ma50:Top:Line,Ma150:Top:Line,Ma200:Top:Line,Supertrend:Top:ColorLine,Supertrend_Dir,ParabolicSAR:Top:ColorLine,ParabolicSAR_Dir,Volume:Middle:Histogram,Vo50:Middle:Line,Macd:Bottom:Line,MacdSignal:Bottom:Line,MacdDelta:Bottom:Histogram,RsRating:Hidden:Hidden
2023-07-12,30.92,31.10,30.50,30.59,,,,,,,0,30.4999,1,48506,,,,,0
2023-07-13,30.65,31.66,30.30,31.35,,,,,,,0,31.6635,0,46768,,,,,0
2023-07-14,30.99,31.05,29.66,29.71,,,,,,,0,31.6635,0,43288,,,,,0
2023-07-17,29.66,30.16,29.51,29.92,,,,,,,0,31.6635,0,32484,,,,,0
2023-07-18,30.28,32.22,30.21,31.62,,,,,,,0,29.5104,1,82085,,,,,0
2023-07-19,31.83,32.30,31.55,31.85,,,,,,,0,29.5104,1,54514,,,,,0
2023-07-20,32.25,32.25,31.29,31.85,,,,,,,0,29.6218,1,46945,,,,,0
2023-07-21,31.91,32.03,31.21,31.55,,,,,,,0,29.7288,1,34691,,,,,0
2023-07-24,31.74,32.21,31.52,31.81,,,,,,,0,29.8315,1,62402,,,,,0
2023-07-25,31.85,32.85,31.64,32.33,31.26,,,,,35.5583,0,29.9300,1,46782,,,,,0
2023-07-26,31.88,32.61,31.79,32.38,31.44,,,,,35.4268,0,30.1052,1,41806,,,,,0
2023-07-27,32.87,33.01,31.75,31.90,31.49,,,,,35.4268,0,30.2699,1,49186,,,,,0
2023-07-28,32.21,33.06,31.79,32.97,31.82,,,,,35.4268,0,30.4888,1,43834,,,,,0
2023-07-31,33.39,33.57,33.05,33.39,32.17,,,,,35.4268,0,30.7460,1,55339,,,,,0
2023-08-01,33.01,33.36,32.26,33.21,32.32,,,,,35.4268,0,31.0846,1,45917,,,,,0
2023-08-02,32.88,33.09,32.21,32.78,32.42,,,,,35.4268,0,31.3825,1,59706,,,,,0
2023-08-03,32.98,34.86,32.63,34.32,32.66,,,,,35.4268,0,31.6447,1,83671,,,,,0
2023-08-04,34.83,35.66,34.51,35.27,33.04,,,,,35.4268,0,32.0955,1,61071,,,,,0
2023-08-07,35.15,35.74,34.78,35.73,33.43,,,,,31.7518,1,32.6288,1,56354,,,,,0
2023-08-08,34.60,36.02,34.29,35.79,33.77,32.52,,,,31.7518,1,33.1887,1,71245,,,,,0
2023-08-09,36.12,37.17,35.87,36.62,34.20,32.82,,,,32.7979,1,33.7558,1,82764,,,,,0
2023-08-10,36.30,36.63,35.79,36.04,34.61,33.05,,,,32.7979,1,34.2943,1,57705,,,,,0
2023-08-11,35.93,36.73,35.93,36.58,34.97,33.40,,,,32.8504,1,34.8703,1,46237,,,,,0
2023-08-14,36.30,36.56,35.88,36.41,35.28,33.72,,,,32.8738,1,35.3312,1,39206,,,,,0
2023-08-15,35.93,36.19,35.57,35.90,35.54,33.93,,,,32.8738,1,37.1744,0,52597,,,,,0
2023-08-16,36.61,37.33,36.13,36.30,35.90,34.16,,,,33.3677,1,35.5733,1,64603,,,,,0
2023-08-17,37.04,37.51,36.82,37.09,36.17,34.42,,,,33.7750,1,35.5733,1,67245,,,,,0
2023-08-18,36.61,37.42,36.49,37.36,36.38,34.71,,,,33.7750,1,35.6506,1,73669,,,,,0
2023-08-21,37.63,38.28,37.49,38.05,36.61,35.02,,,,34.6099,1,35.7248,1,74198,,,,,0
2023-08-22,38.08,38.35,37.05,37.06,36.74,35.26,,,,34.6099,1,35.8781,1,61201,,,,,0
2023-08-23,36.81,37.38,36.14,37.31,36.81,35.50,,,,34.6099,1,36.0760,1,47220,,,,,0
2023-08-24,36.90,37.48,36.68,36.68,36.87,35.74,,,,34.6099,1,36.1438,1,41375,,,,,0
2023-08-25,37.13,38.00,36.66,37.58,36.97,35.97,,,,34.6099,1,36.1438,1,60382,,,,,0
2023-08-28,37.78,38.11,37.52,37.78,37.11,36.19,,,,34.6269,1,36.3205,1,37159,,1.6331,1.8432,-0.2100,0
2023-08-29,38.09,38.12,37.36,37.80,37.30,36.42,,,,34.6387,1,36.4830,1,38513,,1.5875,1.7920,-0.2046,0
2023-08-30,38.14,38.77,37.93,38.62,37.53,36.71,,,,35.2663,1,36.6326,1,63245,,1.5989,1.7534,-0.1545,0
2023-08-31,38.66,39.18,38.37,38.93,37.72,36.95,,,,35.7594,1,36.8459,1,61261,,1.6146,1.7256,-0.1110,0
2023-09-01,39.46,39.86,39.18,39.50,37.93,37.16,,,,36.5275,1,37.1261,1,52881,,1.6541,1.7113,-0.0573,0
2023-09-05,39.49,39.73,38.88,38.90,38.02,37.32,,,,36.5275,1,37.5090,1,74853,,1.6184,1.6927,-0.0744,0
2023-09-06,38.75,39.43,38.67,39.08,38.22,37.48,,,,36.5275,1,37.8383,1,37807,,1.5859,1.6714,-0.0854,0
2023-09-07,39.10,39.31,38.47,38.73,38.36,37.59,,,,36.5275,1,38.1215,1,61624,,1.5145,1.6400,-0.1255,0
2023-09-08,38.83,38.95,38.19,38.31,38.52,37.70,,,,36.5275,1,39.8613,0,92111,,1.4076,1.5935,-0.1859,0
2023-09-11,38.44,38.53,36.42,37.04,38.47,37.72,,,,36.5275,1,39.8278,0,88977,,1.2065,1.5161,-0.3097,0
2023-09-12,37.78,38.13,37.35,38.08,38.50,37.80,,,,36.5275,1,39.6915,0,48742,,1.1181,1.4365,-0.3184,0
2023-09-13,38.00,38.03,36.71,37.31,38.45,37.88,,,,36.5275,1,39.5606,0,70143,,0.9751,1.3442,-0.3691,0
2023-09-14,37.90,38.14,37.03,37.13,38.30,37.92,,,,36.5275,1,39.4350,0,54468,,0.8374,1.2429,-0.4055,0
