Date,Open,High,Low,Close,Ma10:Top:Line,Ma20:Top:Line,Ma50:Top:Line,Ma150:Top:Line,Ma200:Top:Line,Supertrend:Top:ColorLine,Supertrend_Dir,ParabolicSAR:Top:ColorLine,ParabolicSAR_Dir,Volume:Middle:Histogram,Vo50:Middle:Line,Macd:Bottom:Line,MacdSignal:Bottom:Line,MacdDelta:Bottom:Histogram,RsRating:Hidden:Hidden
2023-07-12,64.96,65.15,63.97,64.51,,,,,,,0,63.9700,1,80708,,,,,0
2023-07-13,64.46,65.30,63.83,64.31,,,,,,,0,65.3000,0,74722,,,,,0
2023-07-14,64.61,65.37,63.55,63.75,,,,,,,0,63.8300,1,84176,,,,,0
2023-07-17,64.00,65.93,63.86,65.70,,,,,,,0,63.5500,1,74024,,,,,0
2023-07-18,66.03,68.23,65.94,66.43,,,,,,,0,63.5500,1,82300,,,,,0
2023-07-19,66.62,67.39,66.02,66.74,,,,,,,0,63.8308,1,55501,,,,,0
2023-07-20,67.91,68.24,67.04,67.69,,,,,,,0,64.0948,1,44384,,,,,0
2023-07-21,67.97,68.39,67.10,67.72,,,,,,,0,64.4264,1,51975,,,,,0
2023-07-24,68.00,68.77,67.31,67.49,,,,,,,0,64.8227,1,64183,,,,,0
2023-07-25,67.41,68.98,67.01,68.40,66.27,,,,,73.0260,0,65.2964,1,38051,,,,,0
2023-07-26,68.31,70.16,68.31,69.80,66.80,,,,,73.0260,0,65.8121,1,79377,,,,,0
2023-07-27,70.35,71.60,68.80,68.81,67.25,,,,,73.0260,0,66.5078,1,137310,,,,,0
2023-07-28,69.52,69.86,68.07,69.76,67.85,,,,,73.0260,0,67.4244,1,53799,,,,,0
2023-07-31,69.84,70.04,69.09,69.25,68.21,,,,,73.0260,0,68.0700,1,65968,,,,,0
2023-08-01,69.01,69.44,68.36,68.69,68.44,,,,,73.0260,0,68.0700,1,50611,,,,,0
2023-08-02,67.98,69.30,67.81,69.01,68.66,,,,,73.0260,0,71.6000,0,69010,,,,,0
2023-08-03,68.91,69.55,68.15,68.60,68.75,,,,,73.0260,0,71.5242,0,51594,,,,,0
2023-08-04,68.82,69.47,67.97,68.16,68.80,,,,,73.0260,0,71.4499,0,83094,,,,,0
2023-08-07,68.33,68.91,67.41,68.38,68.89,,,,,72.9371,0,71.3771,0,77235,,,,,0
2023-08-08,66.76,68.45,66.10,68.38,68.88,67.58,,,,72.2794,0,71.2184,0,97332,,,,,0
2023-08-09,69.36,69.63,65.74,65.89,68.49,67.65,,,,72.2794,0,70.9113,0,119557,,,,,0
2023-08-10,65.67,65.88,63.30,63.65,67.98,67.62,,,,70.4709,0,70.4976,0,113564,,,,,0
2023-08-11,63.40,64.61,63.01,64.50,67.45,67.65,,,,69.5828,0,69.7779,0,90571,,,,,0
2023-08-14,64.25,65.93,63.77,65.86,67.11,67.66,,,,69.5828,0,68.9657,0,118397,,,,,0
2023-08-15,65.16,65.50,63.69,63.83,66.63,67.53,,,,69.5828,0,68.2510,0,56324,,,,,0
2023-08-16,63.76,63.96,62.45,62.61,65.99,67.32,,,,68.9771,0,67.6221,0,71451,,,,,0
2023-08-17,62.93,63.68,62.38,62.83,65.41,67.08,,,,68.6149,0,66.8980,0,58338,,,,,0
2023-08-18,62.35,64.14,62.35,63.83,64.98,66.89,,,,68.6149,0,66.1751,0,55532,,,,,0
2023-08-21,64.04,64.17,62.66,63.08,64.45,66.67,,,,68.6149,0,65.4866,0,48420,,,,,0
2023-08-22,63.25,63.66,61.35,61.37,63.75,66.31,,,,68.1121,0,64.9220,0,62131,,,,,0
2023-08-23,61.08,61.88,60.22,61.48,63.30,65.90,,,,66.5944,0,64.2076,0,57158,,,,,0
2023-08-24,61.28,61.64,59.95,60.25,62.96,65.47,,,,66.2919,0,63.6600,0,51942,,,,,0
2023-08-25,60.53,60.81,59.71,60.32,62.55,65.00,,,,65.5372,0,62.9180,0,74387,,,,,0
2023-08-28,60.85,61.46,60.46,61.04,62.06,64.59,,,,65.5372,0,62.2764,0,49796,,-1.9173,-1.5785,-0.3388,0
2023-08-29,61.23,62.82,60.82,62.80,61.96,64.29,,,,65.5372,0,59.7100,1,65519,,-1.7523,-1.6133,-0.1391,0
2023-08-30,62.71,63.41,62.17,62.81,61.98,63.98,,,,65.5372,0,59.7722,1,67671,,-1.6023,-1.6111,0.0087,0
2023-08-31,62.81,63.23,61.52,61.76,61.87,63.64,,,,65.5372,0,59.9177,1,60827,,-1.5503,-1.5989,0.0486,0
2023-09-01,62.44,62.76,61.50,61.91,61.68,63.33,,,,65.5372,0,60.0574,1,51769,,-1.4799,-1.5751,0.0952,0
2023-09-05,61.31,61.58,60.02,60.26,61.40,62.92,,,,65.5372,0,63.4100,0,60935,,-1.5396,-1.5680,0.0285,0
