Date,Open,High,Low,Close,Ma10:Top:Line,Ma20:Top:Line,Ma50:Top:Line,Ma150:Top:Line,Ma200:Top:Line,Supertrend:Top:ColorLine,Supertrend_Dir,ParabolicSAR:Top:ColorLine,ParabolicSAR_Dir,Volume:Middle:Histogram,Vo50:Middle:Line,Macd:Bottom:Line,MacdSignal:Bottom:Line,MacdDelta:Bottom:Histogram,RsRating:Hidden:Hidden
2023-07-12,146.20,147.20,144.12,145.45,,,,,,,0,144.1235,1,44658,,,,,0
2023-07-13,146.52,148.23,144.86,147.39,,,,,,,0,144.1235,1,52644,,,,,0
2023-07-14,147.76,147.85,144.43,146.09,,,,,,,0,144.1235,1,43862,,,,,0
2023-07-17,145.55,149.13,145.23,147.46,,,,,,,0,144.2056,1,67511,,,,,0
2023-07-18,147.79,156.15,147.31,154.86,,,,,,,0,144.4025,1,102730,,,,,0
2023-07-19,153.67,155.00,150.89,152.86,,,,,,,0,145.1075,1,70126,,,,,0
2023-07-20,153.11,153.92,150.37,153.32,,,,,,,0,145.7702,1,66299,,,,,0
2023-07-21,154.26,154.54,150.47,150.84,,,,,,,0,146.3931,1,40732,,,,,0
2023-07-24,151.36,154.21,151.23,151.60,,,,,,,0,146.9787,1,45736,,,,,0
2023-07-25,151.14,155.76,151.14,154.16,150.40,,,,,166.1481,0,147.5291,1,58834,,,,,0
2023-07-26,152.58,154.20,147.91,149.39,150.80,,,,,164.3719,0,156.1522,0,55653,,,,,0
2023-07-27,150.99,152.14,148.27,148.83,150.94,,,,,163.3514,0,155.9874,0,32599,,,,,0
2023-07-28,150.65,150.86,148.74,150.61,151.39,,,,,162.2673,0,155.8259,0,42983,,,,,0
2023-07-31,152.22,152.97,150.50,151.84,151.83,,,,,162.2673,0,155.6677,0,38525,,,,,0
2023-08-01,150.65,156.65,150.53,156.39,151.98,,,,,162.2673,0,147.9130,1,69196,,,,,0
2023-08-02,154.76,157.66,151.47,151.54,151.85,,,,,162.2673,0,148.0878,1,54048,,,,,0
2023-08-03,151.38,151.38,147.48,147.77,151.30,,,,,162.2673,0,157.6593,0,79526,,,,,0
2023-08-04,148.30,148.30,144.57,144.66,150.68,,,,,159.3364,0,157.6593,0,66666,,,,,0
2023-08-07,144.26,144.50,139.62,141.88,149.71,,,,,155.1812,0,157.1359,0,121848,,,,,0
2023-08-08,143.02,150.15,141.76,148.81,149.17,149.79,,,,155.1812,0,156.0847,0,108375,,,,,0
2023-08-09,150.05,150.05,142.69,143.11,148.54,149.67,,,,155.1812,0,155.0966,0,88145,,,,,0
2023-08-10,142.83,146.82,140.37,140.94,147.76,149.35,,,,155.1812,0,154.1678,0,52270,,,,,0
2023-08-11,141.25,143.03,140.65,141.96,146.89,149.14,,,,155.1812,0,153.2947,0,33275,,,,,0
2023-08-14,140.33,144.32,140.32,144.15,146.12,148.98,,,,155.1812,0,152.4740,0,40823,,,,,0
2023-08-15,143.57,146.31,143.13,144.19,144.90,148.44,,,,155.1812,0,151.7026,0,49046,,,,,0
2023-08-16,143.21,144.93,137.58,137.81,143.53,147.69,,,,155.1812,0,150.9774,0,57330,,,,,0
2023-08-17,137.80,138.65,134.71,134.93,142.24,146.77,,,,151.1345,0,149.9054,0,55794,,,,,0
2023-08-18,133.34,136.07,131.01,135.86,141.36,146.02,,,,148.0659,0,148.3856,0,97306,,,,,0
2023-08-21,136.65,137.71,135.35,136.56,140.83,145.27,,,,148.0659,0,146.3010,0,44854,,,,,0
2023-08-22,137.59,138.31,135.55,136.32,139.58,144.38,,,,148.0659,0,144.4665,0,37481,,,,,0
2023-08-23,136.83,138.93,135.65,138.32,139.10,143.82,,,,148.0659,0,142.8521,0,38725,,,,,0
2023-08-24,137.76,139.43,136.21,136.22,138.63,143.19,,,,148.0659,0,141.4315,0,31004,,,,,0
2023-08-25,136.86,137.88,134.60,136.70,138.11,142.50,,,,148.0659,0,140.1813,0,31141,,,,,0
2023-08-28,137.80,141.02,137.80,139.65,137.66,141.89,,,,148.0659,0,131.0135,1,36643,,-3.8602,-4.2266,0.3664,0
2023-08-29,139.20,144.73,138.89,144.27,137.66,141.28,,,,148.0659,0,131.2137,1,49510,,-3.1607,-4.0134,0.8527,0
2023-08-30,144.50,148.25,144.50,146.39,138.52,141.02,,,,148.0659,0,131.7542,1,60810,,-2.4072,-3.6922,1.2850,0
2023-08-31,146.54,147.92,145.45,147.34,139.76,141.00,,,,148.0659,0,132.7438,1,66946,,-1.7138,-3.2965,1.5827,0
2023-09-01,148.61,152.05,148.40,151.16,141.29,141.33,,,,137.7858,1,133.6741,1,46045,,-0.8464,-2.8065,1.9601,0
2023-09-05,151.19,152.16,146.48,146.76,142.31,141.57,,,,137.7858,1,135.1439,1,46655,,-0.5076,-2.3467,1.8391,0
