Date,Open,High,Low,Close,Ma10:Top:Line,Ma20:Top:Line,Ma50:Top:Line,Ma150:Top:Line,Ma200:Top:Line,Supertrend:Top:ColorLine,Supertrend_Dir,ParabolicSAR:Top:ColorLine,ParabolicSAR_Dir,Volume:Middle:Histogram,Vo50:Middle:Line,Macd:Bottom:Line,MacdSignal:Bottom:Line,MacdDelta:Bottom:Histogram,RsRating:Hidden:Hidden
2023-07-13,26.08,26.25,25.31,25.67,,,,,,,0,26.2500,0,6184,,,,,0
2023-07-14,25.48,25.48,24.58,24.90,,,,,,,0,26.2500,0,6631,,,,,0
2023-07-17,24.61,25.12,24.54,24.99,,,,,,,0,26.2500,0,5688,,,,,0
2023-07-18,24.91,26.02,24.91,25.65,,,,,,,0,26.1816,0,12938,,,,,0
2023-07-19,25.59,26.19,25.50,25.60,,,,,,,0,24.5400,1,9188,,,,,0
2023-07-20,25.80,25.80,25.34,25.45,,,,,,,0,24.5730,1,4187,,,,,0
2023-07-21,25.50,25.62,24.93,24.98,,,,,,,0,24.6053,1,5800,,,,,0
2023-07-24,25.00,25.73,24.98,25.50,,,,,,,0,24.6370,1,12957,,,,,0
2023-07-25,25.57,25.63,25.32,25.45,,,,,,,0,24.6681,1,5235,,,,,0
2023-07-26,25.26,25.60,25.01,25.25,25.34,,,,,27.4680,0,24.6985,1,10842,,,,,0
2023-07-27,25.29,25.47,24.58,24.79,25.26,,,,,27.2387,0,26.1900,0,8647,,,,,0
2023-07-28,24.90,25.34,24.90,25.27,25.29,,,,,27.2387,0,26.1578,0,5223,,,,,0
2023-07-31,25.63,26.02,25.36,25.89,25.38,,,,,27.2387,0,26.1262,0,7622,,,,,0
2023-08-01,27.30,28.50,26.33,27.12,25.53,,,,,27.2387,0,24.5800,1,14325,,,,,0
2023-08-02,26.76,27.65,26.37,27.61,25.73,,,,,24.6821,1,24.6584,1,13819,,,,,0
2023-08-03,27.88,28.62,27.58,28.11,26.00,,,,,25.2287,1,24.7352,1,11609,,,,,0
2023-08-04,28.34,28.35,27.55,27.75,26.27,,,,,25.2287,1,24.8906,1,5925,,,,,0
2023-08-07,27.66,27.89,26.97,27.19,26.44,,,,,25.2287,1,25.0398,1,6798,,,,,0
2023-08-08,26.87,27.13,26.56,26.86,26.58,,,,,25.2287,1,25.1830,1,7889,,,,,0
2023-08-09,27.11,27.82,26.90,27.49,26.81,26.08,,,,25.2287,1,25.3205,1,5130,,,,,0
2023-08-10,27.41,27.93,27.41,27.90,27.12,26.19,,,,25.2287,1,25.4525,1,7558,,,,,0
2023-08-11,27.94,28.35,27.82,28.21,27.41,26.35,,,,25.5658,1,25.5792,1,6816,,,,,0
2023-08-14,28.08,28.08,27.55,27.84,27.61,26.50,,,,25.5658,1,25.7008,1,5752,,,,,0
2023-08-15,27.58,27.69,27.08,27.35,27.63,26.58,,,,25.5658,1,25.8176,1,5046,,,,,0
2023-08-16,27.35,27.81,27.20,27.47,27.62,26.67,,,,25.5658,1,25.9297,1,5554,,,,,0
2023-08-17,27.92,28.09,27.51,27.91,27.60,26.80,,,,25.5658,1,26.0373,1,6121,,,,,0
2023-08-18,27.63,28.67,26.80,28.10,27.63,26.95,,,,25.5658,1,26.1406,1,8941,,,,,0
2023-08-21,28.12,28.43,27.39,27.62,27.68,27.06,,,,25.5658,1,26.2924,1,4963,,,,,0
2023-08-22,27.56,28.14,27.31,27.57,27.75,27.17,,,,25.5658,1,26.4350,1,4166,,,,,0
2023-08-23,27.24,27.85,27.03,27.84,27.78,27.29,,,,25.5658,1,26.5691,1,3602,,,,,0
2023-08-24,27.54,27.91,27.16,27.63,27.75,27.44,,,,25.5658,1,26.6952,1,4451,,,,,0
2023-08-25,27.81,27.81,27.07,27.29,27.66,27.54,,,,25.5658,1,26.8137,1,3051,,,,,0
2023-08-28,27.45,27.90,27.16,27.51,27.63,27.62,,,,25.5658,1,26.9250,1,2900,,,,,0
2023-08-29,27.50,27.59,27.14,27.29,27.62,27.63,,,,25.5658,1,27.0297,1,4271,,0.5207,0.7433,-0.2226,0
