Date,Open,High,Low,Close,Ma10:Top:Line,Ma20:Top:Line,Ma50:Top:Line,Ma150:Top:Line,Ma200:Top:Line,Supertrend:Top:ColorLine,Supertrend_Dir,ParabolicSAR:Top:ColorLine,ParabolicSAR_Dir,Volume:Middle:Histogram,Vo50:Middle:Line,Macd:Bottom:Line,MacdSignal:Bottom:Line,MacdDelta:Bottom:Histogram,RsRating:Hidden:Hidden
2023-07-13,64.92,65.19,64.18,64.28,,,,,,,0,65.1927,0,10929,,,,,0
2023-07-14,64.06,64.58,63.03,64.46,,,,,,,0,65.1927,0,8475,,,,,0
2023-07-17,64.25,64.25,63.30,63.57,,,,,,,0,65.1927,0,9234,,,,,0
2023-07-18,63.69,64.13,63.40,64.12,,,,,,,0,65.1494,0,10512,,,,,0
2023-07-19,64.41,65.40,64.23,65.32,,,,,,,0,63.0299,1,12454,,,,,0
2023-07-20,65.61,66.28,64.65,64.95,,,,,,,0,63.0773,1,8845,,,,,0
2023-07-21,60.24,63.13,58.85,61.22,,,,,,,0,66.2788,0,21141,,,,,0
2023-07-24,61.22,61.47,59.97,60.18,,,,,,,0,66.2788,0,18378,,,,,0
2023-07-25,60.46,61.77,60.46,61.11,,,,,,,0,66.1303,0,12813,,,,,0
2023-07-26,61.00,62.47,61.00,61.66,63.09,,,,,67.1373,0,65.9848,0,22616,,,,,0
2023-07-27,62.19,62.64,61.07,61.27,62.79,,,,,67.1373,0,65.8421,0,11609,,,,,0
2023-07-28,61.95,61.95,60.47,60.61,62.40,,,,,66.4569,0,65.7024,0,10702,,,,,0
2023-07-31,60.92,61.12,59.70,59.96,62.04,,,,,65.5543,0,65.5654,0,17432,,,,,0
2023-08-01,59.78,60.00,58.95,59.63,61.59,,,,,64.4180,0,65.4312,0,12783,,,,,0
2023-08-02,58.91,59.89,58.65,59.87,61.05,,,,,64.0957,0,65.2997,0,13314,,,,,0
2023-08-03,59.70,59.70,58.11,58.15,60.37,,,,,63.7761,0,65.0336,0,11670,,,,,0
2023-08-04,57.94,58.98,57.82,58.00,60.05,,,,,63.1329,0,64.6184,0,8203,,,,,0
2023-08-07,58.00,58.50,57.52,58.11,59.84,,,,,62.5627,0,64.0747,0,8084,,,,,0
2023-08-08,57.15,57.24,56.18,57.01,59.43,,,,,61.3865,0,63.4193,0,10320,,,,,0
2023-08-09,56.75,56.82,55.79,55.91,58.85,60.97,,,,60.8811,0,62.5508,0,10725,,,,,0
2023-08-10,55.91,56.61,55.30,56.02,58.33,60.56,,,,60.4631,0,61.6038,0,14575,,,,,0
2023-08-11,55.75,56.03,55.24,55.49,57.82,60.11,,,,59.9336,0,60.5946,0,9615,,,,,0
2023-08-14,55.49,55.66,54.50,54.99,57.32,59.68,,,,59.3002,0,59.6307,0,13922,,,,,0
