Date,Open,High,Low,Close,Ma10:Top:Line,Ma20:Top:Line,Ma50:Top:Line,Ma150:Top:Line,Ma200:Top:Line,Supertrend:Top:ColorLine,Supertrend_Dir,ParabolicSAR:Top:ColorLine,ParabolicSAR_Dir,Volume:Middle:Histogram,Vo50:Middle:Line,Macd:Bottom:Line,MacdSignal:Bottom:Line,MacdDelta:Bottom:Histogram,RsRating:Hidden:Hidden
2023-07-12,5.88,5.88,5.31,5.49,,,,,,,0,5.8800,0,2058,,,,,0
2023-07-13,5.39,5.49,5.05,5.13,,,,,,,0,5.8800,0,792,,,,,0
2023-07-14,5.09,5.16,4.90,4.95,,,,,,,0,5.8800,0,656,,,,,0
2023-07-17,5.00,5.09,4.72,4.85,,,,,,,0,5.8408,0,593,,,,,0
2023-07-18,4.89,5.00,4.80,4.83,,,,,,,0,5.7736,0,719,,,,,0
2023-07-19,4.85,4.86,4.75,4.81,,,,,,,0,5.7103,0,635,,,,,0
2023-07-20,4.87,4.90,4.82,4.90,,,,,,,0,5.6509,0,675,,,,,0
2023-07-21,4.92,5.00,4.86,4.90,,,,,,,0,5.5951,0,616,,,,,0
2023-07-24,5.02,5.02,4.75,4.82,,,,,,,0,5.5426,0,581,,,,,0
2023-07-25,4.84,4.94,4.84,4.87,4.95,,,,,5.6616,0,5.4932,0,318,,,,,0
2023-07-26,4.87,4.96,4.73,4.79,4.88,,,,,5.6084,0,5.4468,0,333,,,,,0
2023-07-27,4.75,4.75,4.40,4.43,4.81,,,,,5.3791,0,5.4032,0,600,,,,,0
2023-07-28,4.43,4.43,4.26,4.28,4.75,,,,,5.1197,0,5.3229,0,707,,,,,0
2023-07-31,4.35,4.43,4.27,4.38,4.70,,,,,5.0952,0,5.2167,0,618,,,,,0
2023-08-01,4.34,4.35,4.14,4.20,4.64,,,,,4.9877,0,5.1210,0,931,,,,,0
2023-08-02,4.20,4.24,3.99,4.00,4.56,,,,,4.8584,0,5.0033,0,603,,,,,0
2023-08-03,4.00,4.15,3.90,4.07,4.47,,,,,4.7691,0,4.8614,0,1163,,,,,0
2023-08-04,4.19,4.53,3.96,4.03,4.39,,,,,4.7691,0,4.7076,0,3721,,,,,0
2023-08-07,4.04,4.16,3.85,4.04,4.31,,,,,4.7691,0,4.5784,0,1865,,,,,0
2023-08-08,4.05,4.11,4.00,4.07,4.23,4.59,,,,4.7691,0,4.5300,0,772,,,,,0
2023-08-09,4.07,4.16,3.83,3.87,4.14,4.51,,,,4.7691,0,4.4076,0,1610,,,,,0
2023-08-10,3.86,3.86,2.82,3.23,4.02,4.42,,,,4.3915,0,4.2911,0,3517,,,,,0
2023-08-11,3.20,3.35,3.05,3.16,3.91,4.33,,,,4.2364,0,4.1600,0,3105,,,,,0
2023-08-14,3.27,3.27,2.86,3.12,3.78,4.24,,,,4.1208,0,3.8920,0,2622,,,,,0
2023-08-15,5.84,7.27,5.34,5.67,3.93,4.28,,,,4.1098,1,2.8200,1,596258,,,,,0
2023-08-16,5.55,6.01,5.20,5.41,4.07,4.31,,,,4.1098,1,2.8600,1,53024,,,,,0
2023-08-17,5.30,5.72,4.80,4.80,4.14,4.31,,,,4.1098,1,2.9482,1,15478,,,,,0
2023-08-18,4.64,5.14,4.63,5.01,4.24,4.31,,,,4.1098,1,3.0346,1,6505,,,,,0
2023-08-21,4.90,5.15,4.70,5.08,4.34,4.33,,,,4.1098,1,3.1193,1,4695,,,,,0
2023-08-22,5.11,5.63,5.06,5.51,4.49,4.36,,,,4.1098,1,3.2024,1,7350,,,,,0
2023-08-23,5.41,5.88,5.32,5.75,4.67,4.41,,,,4.1098,1,3.2837,1,8248,,,,,0
2023-08-24,5.70,5.74,5.23,5.49,4.90,4.46,,,,4.1098,1,3.3634,1,4221,,,,,0
2023-08-25,5.40,5.54,5.08,5.11,5.10,4.50,,,,4.1098,1,3.4416,1,3225,,,,,0
2023-08-28,5.05,5.25,4.92,4.98,5.28,4.53,,,,4.1098,1,3.5181,1,2522,,0.1684,0.0446,0.1239,0
2023-08-29,4.96,5.10,4.82,4.88,5.20,4.56,,,,4.1098,1,3.5932,1,3509,,0.1473,0.0651,0.0822,0
2023-08-30,4.91,5.03,4.74,4.81,5.14,4.60,,,,4.1098,1,3.6667,1,2237,,0.1234,0.0768,0.0467,0
2023-08-31,4.82,4.88,4.55,4.59,5.12,4.63,,,,4.1098,1,3.7388,1,3241,,0.0858,0.0786,0.0072,0
2023-09-01,4.59,5.39,4.58,4.86,5.11,4.67,,,,4.1098,1,3.8094,1,5414,,0.0769,0.0782,-0.0013,0
2023-09-05,4.90,4.99,4.62,4.65,5.06,4.70,,,,4.1098,1,3.8786,1,2018,,0.0523,0.0731,-0.0208,0
2023-09-06,4.64,4.81,4.45,4.71,4.98,4.73,,,,4.1098,1,3.9464,1,2120,,0.0372,0.0659,-0.0287,0
2023-09-07,4.86,4.86,4.39,4.60,4.87,4.77,,,,4.1098,1,4.0129,1,2941,,0.0162,0.0559,-0.0398,0
2023-09-08,4.73,5.05,4.63,4.81,4.80,4.85,,,,4.1098,1,4.0781,1,2252,,0.0163,0.0480,-0.0317,0
2023-09-11,4.77,4.97,4.77,4.90,4.78,4.94,,,,4.1098,1,4.1419,1,982,,0.0233,0.0431,-0.0197,0
2023-09-12,4.85,5.05,4.78,4.81,4.76,5.02,,,,4.1098,1,4.2045,1,1054,,0.0214,0.0387,-0.0173,0
2023-09-13,4.73,4.89,4.53,4.53,4.73,4.96,,,,4.1098,1,4.2658,1,1374,,-0.0026,0.0305,-0.0331,0
2023-09-14,4.60,4.90,4.54,4.75,4.72,4.93,,,,4.1098,1,4.3258,1,2391,,-0.0039,0.0236,-0.0275,0
2023-09-15,4.76,4.86,4.42,4.48,4.71,4.92,,,,4.1098,1,4.3847,1,2739,,-0.0264,0.0136,-0.0400,0
2023-09-18,4.49,4.51,4.26,4.40,4.66,4.89,,,,4.1098,1,7.2700,0,1789,,-0.0501,0.0008,-0.0510,0
2023-09-19,4.42,4.45,4.27,4.43,4.64,4.85,,,,4.1098,1,7.2098,0,962,,-0.0657,-0.0125,-0.0533,0
2023-09-20,4.41,4.54,4.28,4.36,4.61,4.80,4.65,,,4.1098,1,7.1508,0,2153,15370,-0.0828,-0.0265,-0.0563,0
2023-09-21,4.35,4.35,4.10,4.16,4.56,4.72,4.63,,,4.1098,1,7.0930,0,1652,15362,-0.1112,-0.0435,-0.0677,0
2023-09-22,4.21,4.31,4.08,4.14,4.50,4.65,4.61,,,4.1098,1,6.9733,0,628,15359,-0.1338,-0.0615,-0.0722,0
2023-09-25,4.11,4.19,4.00,4.07,4.41,4.60,4.59,,,5.1123,0,6.7997,0,1353,15373,-0.1555,-0.0803,-0.0752,0
2023-09-26,4.03,4.37,4.03,4.12,4.34,4.55,4.57,,,5.1123,0,6.5757,0,995,15381,-0.1668,-0.0976,-0.0692,0
2023-09-27,4.12,4.24,3.98,4.02,4.29,4.51,4.56,,,5.1086,0,6.3696,0,612,15379,-0.1817,-0.1144,-0.0672,0
2023-09-28,4.06,4.19,4.02,4.11,4.23,4.48,4.54,,,5.0525,0,6.1307,0,570,15377,-0.1841,-0.1284,-0.0557,0
2023-09-29,4.10,4.34,4.03,4.05,4.19,4.45,4.53,,,5.0525,0,5.9156,0,976,15383,-0.1887,-0.1404,-0.0483,0
2023-10-02,4.03,4.06,3.51,3.73,4.12,4.39,4.50,,,4.8012,0,5.7220,0,3645,15444,-0.2157,-0.1555,-0.0602,0
2023-10-03,3.73,3.82,3.58,3.65,4.04,4.34,4.48,,,4.6856,0,5.4566,0,724,15447,-0.2407,-0.1725,-0.0682,0
2023-10-04,3.67,3.78,3.64,3.68,3.97,4.29,4.46,,,4.6413,0,5.2230,0,377,15448,-0.2552,-0.1891,-0.0662,0
2023-10-05,3.63,3.76,3.59,3.64,3.92,4.24,4.43,,,4.5641,0,5.0174,0,387,15449,-0.2669,-0.2046,-0.0622,0
2023-10-06,3.62,3.74,3.52,3.72,3.88,4.19,4.42,,,4.4962,0,4.8366,0,400,15445,-0.2666,-0.2170,-0.0495,0
2023-10-09,3.67,3.71,3.54,3.69,3.84,4.13,4.41,,,4.4586,0,4.6774,0,490,15441,-0.2657,-0.2267,-0.0389,0
2023-10-10,3.73,3.90,3.70,3.78,3.81,4.08,4.39,,,4.4586,0,4.5373,0,640,15441,-0.2548,-0.2323,-0.0224,0
2023-10-11,3.75,3.79,3.49,3.56,3.76,4.03,4.38,,,4.4586,0,4.4140,0,1002,15443,-0.2609,-0.2381,-0.0228,0
2023-10-12,3.55,3.56,3.32,3.33,3.68,3.96,4.37,,,4.2509,0,4.2853,0,834,15447,-0.2810,-0.2467,-0.0344,0
2023-10-13,3.27,3.53,3.27,3.46,3.62,3.91,4.36,,,4.2078,0,4.1309,0,648,15437,-0.2833,-0.2540,-0.0293,0
2023-10-16,3.49,3.74,3.46,3.67,3.62,3.87,4.35,,,4.2078,0,3.9759,0,826,15379,-0.2650,-0.2562,-0.0088,0
2023-10-17,3.63,3.92,3.63,3.83,3.64,3.84,4.34,,,4.2078,0,3.2700,1,1205,15366,-0.2349,-0.2519,0.0170,0
2023-10-18,3.85,3.94,3.76,3.80,3.65,3.81,4.34,,,4.2078,0,3.2830,1,689,15364,-0.2111,-0.2438,0.0327,0
2023-10-19,3.80,3.89,3.66,3.71,3.65,3.79,4.34,,,4.2078,0,3.3093,1,559,15343,-0.1972,-0.2345,0.0373,0
