Date,Open,High,Low,Close,Ma10:Top:Line,Ma20:Top:Line,Ma50:Top:Line,Ma150:Top:Line,Ma200:Top:Line,Supertrend:Top:ColorLine,Supertrend_Dir,ParabolicSAR:Top:ColorLine,ParabolicSAR_Dir,Volume:Middle:Histogram,Vo50:Middle:Line,Macd:Bottom:Line,MacdSignal:Bottom:Line,MacdDelta:Bottom:Histogram,RsRating:Hidden:Hidden
2023-07-12,164.47,165.19,162.40,163.03,,,,,,,0,165.1878,0,48386,,,,,0
2023-07-13,162.92,164.06,161.64,161.76,,,,,,,0,165.1878,0,21410,,,,,0
2023-07-14,161.42,162.34,159.35,159.73,,,,,,,0,165.1878,0,25181,,,,,0
2023-07-17,159.04,160.36,156.55,160.22,,,,,,,0,164.9543,0,27222,,,,,0
2023-07-18,160.13,163.13,160.13,161.96,,,,,,,0,164.4499,0,29097,,,,,0
2023-07-19,161.80,164.30,161.50,164.10,,,,,,,0,156.5466,1,64692,,,,,0
2023-07-20,164.46,164.46,160.46,161.14,,,,,,,0,156.7017,1,38157,,,,,0
2023-07-21,161.81,161.81,153.29,154.68,,,,,,,0,164.4570,0,73917,,,,,0
2023-07-24,154.66,155.93,151.27,153.22,,,,,,,0,164.4570,0,54331,,,,,0
2023-07-25,152.10,153.40,150.38,150.76,159.06,,,,,163.2878,0,163.9294,0,69073,,,,,0
2023-07-26,148.71,151.99,146.25,148.87,157.65,,,,,161.1010,0,163.1165,0,67409,,,,,0
2023-07-27,150.18,151.85,147.53,148.96,156.37,,,,,161.1010,0,161.7674,0,51908,,,,,0
2023-07-28,150.36,150.36,146.16,147.60,155.15,,,,,160.3932,0,160.5261,0,53583,,,,,0
2023-07-31,145.73,147.63,144.23,147.45,153.88,,,,,157.8702,0,159.0896,0,52429,,,,,0
2023-08-01,145.61,149.61,145.20,148.54,152.53,,,,,157.8702,0,157.3068,0,50913,,,,,0
2023-08-02,157.11,161.99,157.11,158.27,151.95,,,,,144.6545,1,144.2333,1,268898,,,,,0
2023-08-03,158.39,159.55,156.67,157.79,151.62,,,,,144.6545,1,144.5885,1,799009,,,,,0
2023-08-04,157.20,158.44,152.85,152.86,151.43,,,,,144.6545,1,144.9365,1,132918,,,,,0
2023-08-07,153.21,153.42,151.18,153.29,151.44,,,,,144.6545,1,145.2776,1,66470,,,,,0
2023-08-08,151.71,152.76,150.15,151.27,151.49,155.28,,,,144.6545,1,145.6119,1,54002,,,,,0
2023-08-09,151.87,153.17,149.06,152.78,151.88,154.76,,,,144.6545,1,145.9395,1,43348,,,,,0
2023-08-10,153.29,154.07,150.61,151.93,152.18,154.27,,,,144.6545,1,146.2605,1,52992,,,,,0
2023-08-11,151.95,160.20,150.99,159.28,153.34,154.25,,,,144.6545,1,146.5751,1,72968,,,,,0
2023-08-14,158.53,160.62,157.69,160.49,154.65,154.26,,,,145.3178,1,146.8834,1,75920,,,,,0
2023-08-15,160.02,160.63,157.85,158.52,155.65,154.09,,,,145.9590,1,147.1856,1,57591,,,,,0
2023-08-16,158.47,159.48,156.62,157.48,155.57,153.76,,,,145.9590,1,147.4817,1,49023,,,,,0
2023-08-17,157.54,159.26,153.89,153.94,155.18,153.40,,,,145.9590,1,147.7718,1,48659,,,,,0
2023-08-18,153.28,156.03,153.28,155.90,155.49,153.46,,,,145.9590,1,148.0562,1,46476,,,,,0
2023-08-21,156.06,157.42,152.85,154.54,155.61,153.53,,,,145.9590,1,148.3349,1,46172,,,,,0
2023-08-22,154.49,155.38,152.53,152.92,155.78,153.63,,,,145.9590,1,148.6080,1,43287,,,,,0
2023-08-23,151.85,154.22,151.40,153.52,155.85,153.87,,,,145.9590,1,148.8757,1,40563,,,,,0
2023-08-24,152.75,153.51,150.82,151.07,155.77,153.97,,,,145.9590,1,149.1380,1,34745,,,,,0
2023-08-25,151.88,153.08,149.26,149.95,154.83,154.09,,,,145.9590,1,161.9907,0,29388,,,,,0
2023-08-28,150.27,152.06,149.07,149.48,153.73,154.19,,,,145.9590,1,161.7361,0,39282,,-1.0965,-0.1955,-0.9011,0
2023-08-29,149.97,152.81,149.51,151.84,153.06,154.36,,,,145.9590,1,161.2296,0,31346,,-1.1085,-0.3781,-0.7305,0
2023-08-30,151.28,153.00,151.25,152.07,152.52,154.04,,,,145.9590,1,160.7434,0,32719,,-1.0870,-0.5199,-0.5671,0
2023-08-31,152.27,153.07,150.51,150.73,152.20,153.69,,,,145.9590,1,160.2766,0,30724,,-1.1639,-0.6487,-0.5152,0
2023-09-01,152.04,153.21,150.60,152.45,151.86,153.67,,,,145.9590,1,159.8285,0,38435,,-1.0740,-0.7337,-0.3402,0
2023-09-05,150.17,150.63,147.10,148.52,151.26,153.43,,,,145.9590,1,159.3983,0,55625,,-1.3045,-0.8479,-0.4566,0
2023-09-06,148.25,149.89,145.40,146.06,150.57,153.17,,,,145.9590,1,158.6605,0,38431,,-1.6672,-1.0117,-0.6554,0
