Date,Open,High,Low,Close,Ma10:Top:Line,Ma20:Top:Line,Ma50:Top:Line,Ma150:Top:Line,Ma200:Top:Line,Supertrend:Top:ColorLine,Supertrend_Dir,ParabolicSAR:Top:ColorLine,ParabolicSAR_Dir,Volume:Middle:Histogram,Vo50:Middle:Line,Macd:Bottom:Line,MacdSignal:Bottom:Line,MacdDelta:Bottom:Histogram,RsRating:Hidden:Hidden
2023-07-13,109.61,110.37,109.32,110.16,,,,,,,0,110.3745,0,29512,,,,,0
2023-07-14,110.01,110.22,108.84,110.00,,,,,,,0,110.3745,0,27181,,,,,0
2023-07-17,109.74,112.04,109.74,111.90,,,,,,,0,108.8354,1,27710,,,,,0
2023-07-18,111.93,112.98,111.61,111.82,,,,,,,0,108.8354,1,26968,,,,,0
2023-07-19,112.08,112.82,110.92,111.65,,,,,,,0,109.0012,1,20962,,,,,0
2023-07-20,111.66,113.08,111.30,113.06,,,,,,,0,109.1604,1,27361,,,,,0
2023-07-21,113.51,113.88,112.88,113.25,,,,,,,0,109.3954,1,35107,,,,,0
2023-07-24,113.65,114.22,112.79,112.90,,,,,,,0,109.7539,1,34131,,,,,0
2023-07-25,112.08,113.76,111.40,113.74,,,,,,,0,110.2007,1,27183,,,,,0
2023-07-26,114.05,115.13,113.80,114.41,112.29,,,,,119.2533,0,110.6029,1,34754,,,,,0
2023-07-27,114.31,114.76,112.64,113.40,112.61,,,,,118.6492,0,111.1457,1,35883,,,,,0
2023-07-28,114.01,116.10,114.01,116.01,113.22,,,,,118.6492,0,111.6234,1,30391,,,,,0
2023-07-31,115.96,117.05,115.96,116.72,113.70,,,,,118.6492,0,112.2499,1,41401,,,,,0
2023-08-01,116.92,118.55,116.35,117.72,114.29,,,,,118.6492,0,113.0180,1,64274,,,,,0
2023-08-02,117.43,118.25,116.77,117.37,114.86,,,,,118.6492,0,114.0139,1,35273,,,,,0
2023-08-03,117.67,118.41,116.81,117.99,115.35,,,,,118.6492,0,114.8306,1,39227,,,,,0
2023-08-04,118.26,118.83,117.07,117.08,115.74,,,,,118.6492,0,115.5003,1,26521,,,,,0
2023-08-07,117.36,118.29,117.36,117.74,116.22,,,,,118.6492,0,116.1663,1,20490,,,,,0
2023-08-08,117.43,117.67,116.12,116.60,116.51,,,,,118.6492,0,118.8301,0,31381,,,,,0
2023-08-09,116.63,116.94,115.74,115.89,116.65,114.47,,,,118.6492,0,118.7758,0,40129,,,,,0
2023-08-10,115.68,116.39,114.79,115.09,116.82,114.72,,,,118.6492,0,118.6545,0,34313,,,,,0
2023-08-11,115.18,115.93,114.88,115.89,116.81,115.01,,,,118.6492,0,118.4226,0,41418,,,,,0
2023-08-14,116.20,116.87,115.48,115.76,116.71,115.20,,,,118.6492,0,118.2046,0,36391,,,,,0
2023-08-15,115.17,115.92,114.16,115.06,116.45,115.37,,,,118.6492,0,117.9997,0,27654,,,,,0
2023-08-16,114.95,115.51,113.99,114.06,116.12,115.49,,,,118.6492,0,117.6929,0,26500,,,,,0
2023-08-17,113.98,114.68,111.73,111.81,115.50,115.42,,,,118.2917,0,117.3228,0,33195,,,,,0
2023-08-18,111.66,112.69,111.52,111.63,114.95,115.34,,,,117.0339,0,116.6518,0,35871,,,,,0
2023-08-21,111.78,112.13,110.94,111.57,114.33,115.28,,,,116.3314,0,115.9332,0,24205,,,,,0
2023-08-22,111.33,112.15,110.52,111.12,113.79,115.15,,,,116.1407,0,115.1346,0,36112,,,,,0
2023-08-23,111.52,113.25,111.36,113.14,113.51,115.08,,,,116.1407,0,114.3038,0,38062,,,,,0
2023-08-24,112.91,114.08,112.61,113.40,113.34,115.08,,,,116.1407,0,110.5188,1,21631,,,,,0
2023-08-25,113.85,114.16,112.61,113.27,113.08,114.95,,,,116.1407,0,110.5900,1,23632,,,,,0
2023-08-28,113.12,114.36,113.12,114.05,112.91,114.81,,,,116.1407,0,110.7330,1,27198,,,,,0
2023-08-29,113.91,113.91,112.49,112.73,112.68,114.56,,,,116.1407,0,110.9504,1,28735,,-0.3023,-0.1911,-0.1112,0
2023-08-30,112.73,113.87,112.73,113.01,112.57,114.34,,,,116.1407,0,111.1548,1,37159,,-0.3102,-0.2149,-0.0953,0
2023-08-31,113.53,113.90,112.38,113.18,112.71,114.10,,,,116.1407,0,111.3469,1,32015,,-0.2990,-0.2317,-0.0673,0
2023-09-01,113.76,114.81,113.08,114.49,113.00,113.97,,,,116.1407,0,111.5275,1,26851,,-0.1825,-0.2219,0.0394,0
2023-09-05,113.81,113.90,112.33,112.64,113.10,113.72,,,,116.1407,0,111.7901,1,33628,,-0.2372,-0.2249,-0.0123,0
2023-09-06,112.56,113.31,110.89,111.13,113.10,113.45,,,,116.1407,0,114.8091,0,40435,,-0.3971,-0.2594,-0.1377,0
2023-09-07,111.88,112.35,105.59,105.73,112.36,112.94,,,,115.5796,0,114.7308,0,93413,,-0.9491,-0.3973,-0.5518,0
2023-09-08,106.15,107.86,105.33,106.12,111.64,112.49,,,,113.3064,0,114.3653,0,57035,,-1.3393,-0.5857,-0.7536,0
2023-09-11,106.17,107.08,105.36,106.19,110.93,112.01,,,,112.7694,0,113.8234,0,46563,,-1.6244,-0.7935,-0.8309,0
2023-09-12,105.33,107.35,105.26,107.05,110.23,111.57,,,,112.7694,0,113.3140,0,51389,,-1.7610,-0.9870,-0.7740,0
2023-09-13,107.08,107.85,106.44,107.08,109.66,111.17,,,,112.7694,0,112.6695,0,50450,,-1.8448,-1.1585,-0.6863,0
2023-09-14,107.40,107.86,106.32,107.02,109.06,110.82,,,,112.7694,0,112.0765,0,49540,,-1.8948,-1.3058,-0.5890,0
2023-09-15,106.64,107.14,104.47,105.57,108.30,110.51,,,,112.1257,0,111.5309,0,203070,,-2.0276,-1.4502,-0.5774,0
2023-09-18,105.91,107.28,105.81,105.89,107.44,110.22,,,,112.1257,0,110.8246,0,48490,,-2.0831,-1.5767,-0.5064,0
2023-09-19,106.02,106.08,103.88,104.00,106.58,109.84,,,,111.2229,0,110.1890,0,52390,,-2.2541,-1.7122,-0.5419,0
2023-09-20,104.26,106.58,103.54,105.33,106.00,109.55,,,,111.2229,0,109.4321,0,74493,,-2.2557,-1.8209,-0.4348,0
2023-09-21,104.84,104.84,102.46,102.49,105.67,109.02,112.10,,,110.3886,0,108.6078,0,36650,40487,-2.4583,-1.9484,-0.5099,0
2023-09-22,102.40,102.81,101.17,101.42,105.20,108.42,111.92,,,108.5489,0,107.6238,0,31018,40517,-2.6743,-2.0936,-0.5807,0
2023-09-25,101.40,102.34,101.29,101.35,104.72,107.82,111.75,,,108.0345,0,106.4619,0,20387,40381,-2.8184,-2.2385,-0.5799,0
2023-09-26,100.99,101.14,100.30,100.87,104.10,107.16,111.53,,,106.6308,0,105.5091,0,25785,40342,-2.9375,-2.3783,-0.5592,0
2023-09-27,101.10,101.78,100.62,101.48,103.54,106.60,111.32,,,106.6308,0,104.4678,0,28387,40371,-2.9491,-2.4925,-0.4566,0
2023-09-28,101.65,103.14,101.65,102.64,103.10,106.08,111.14,,,106.6308,0,103.6348,0,29097,40533,-2.8316,-2.5603,-0.2713,0
2023-09-29,103.02,103.38,101.43,101.52,102.70,105.50,110.91,,,106.6308,0,100.3028,1,38163,40749,-2.7964,-2.6075,-0.1889,0
2023-10-02,101.54,104.17,101.54,102.85,102.40,104.92,110.70,,,106.6308,0,100.3644,1,51963,41087,-2.6310,-2.6122,-0.0188,0
2023-10-03,102.36,103.13,101.16,101.80,102.18,104.38,110.48,,,106.6308,0,100.5166,1,45359,41311,-2.5551,-2.6008,0.0457,0
2023-10-04,101.96,102.27,100.78,101.76,101.82,103.91,110.24,,,106.6308,0,100.6628,1,45443,41676,-2.4703,-2.5747,0.1044,0
2023-10-05,101.68,102.43,101.11,101.15,101.68,103.68,109.98,,,106.6308,0,100.7838,1,20946,41400,-2.4241,-2.5446,0.1205,0
2023-10-06,100.58,103.30,100.50,102.62,101.80,103.50,109.76,,,106.6308,0,104.1699,0,31833,41319,-2.2428,-2.4842,0.2414,0
2023-10-09,103.05,107.65,103.05,106.84,102.35,103.54,109.58,,,98.5945,1,100.4952,1,50759,41726,-1.7384,-2.3351,0.5966,0
2023-10-10,107.08,109.39,106.98,107.75,103.04,103.57,109.40,,,101.3386,1,100.4952,1,47515,41849,-1.2513,-2.1183,0.8670,0
2023-10-11,107.85,109.41,107.51,109.37,103.83,103.69,109.23,,,101.7261,1,100.8512,1,32370,41211,-0.7256,-1.8398,1.1141,0
2023-10-12,109.66,110.30,108.26,108.43,104.41,103.76,109.05,,,102.6108,1,101.3649,1,35727,41220,-0.3810,-1.5480,1.1670,0
2023-10-13,108.90,110.22,108.80,110.06,105.26,103.98,108.89,,,102.9710,1,102.0797,1,39139,41218,0.0235,-1.2337,1.2572,0
2023-10-16,110.44,112.28,110.28,111.12,106.09,104.24,108.78,,,104.7255,1,102.7374,1,34669,41381,0.4248,-0.9020,1.3268,0
2023-10-17,111.01,113.00,110.57,110.70,106.98,104.58,108.63,,,105.1580,1,103.6915,1,39927,41770,0.7005,-0.5815,1.2820,0
2023-10-18,110.80,110.82,108.84,108.91,107.70,104.76,108.48,,,105.1580,1,104.8089,1,24376,41630,0.7660,-0.3120,1.0781,0
2023-10-19,108.85,109.36,107.42,107.54,108.33,105.01,108.31,,,105.1580,1,105.7922,1,30855,41444,0.6994,-0.1097,0.8091,0
2023-10-20,107.97,108.71,106.06,106.15,108.69,105.25,108.14,,,105.1580,1,113.0028,0,26497,41288,0.5283,0.0179,0.5104,0
2023-10-23,105.96,106.60,104.35,104.63,108.47,105.41,107.91,,,112.1197,0,112.8640,0,25671,40973,0.2666,0.0676,0.1990,0
2023-10-24,105.43,105.65,102.90,103.41,108.03,105.54,107.66,,,111.0789,0,112.5233,0,29048,40826,-0.0384,0.0464,-0.0848,0
2023-10-25,103.56,103.90,102.43,102.99,107.39,105.61,107.42,,,109.7315,0,111.9458,0,38106,41035,-0.3109,-0.0250,-0.2858,0
2023-10-26,103.05,105.24,102.27,104.54,107.00,105.71,107.23,,,109.7315,0,111.1842,0,21859,40942,-0.3968,-0.0994,-0.2974,0
