Date,Open,High,Low,Close,Ma10:Top:Line,Ma20:Top:Line,Ma50:Top:Line,Ma150:Top:Line,Ma200:Top:Line,Supertrend:Top:ColorLine,Supertrend_Dir,ParabolicSAR:Top:ColorLine,ParabolicSAR_Dir,Volume:Middle:Histogram,Vo50:Middle:Line,Macd:Bottom:Line,MacdSignal:Bottom:Line,MacdDelta:Bottom:Histogram,RsRating:Hidden:Hidden
2023-07-13,2.93,2.95,2.90,2.93,,,,,,,0,2.9521,0,1380,,,,,0
2023-07-14,2.90,2.90,2.86,2.87,,,,,,,0,2.9521,0,1243,,,,,0
2023-07-17,2.89,2.90,2.81,2.82,,,,,,,0,2.9521,0,1201,,,,,0
2023-07-18,2.80,2.87,2.79,2.80,,,,,,,0,2.9466,0,1139,,,,,0
2023-07-19,2.80,2.84,2.80,2.83,,,,,,,0,2.9370,0,823,,,,,0
2023-07-20,2.82,2.85,2.80,2.81,,,,,,,0,2.9280,0,1151,,,,,0
2023-07-21,2.84,2.86,2.77,2.82,,,,,,,0,2.9195,0,1841,,,,,0
2023-07-24,2.83,2.83,2.77,2.80,,,,,,,0,2.9075,0,1740,,,,,0
2023-07-25,2.81,2.87,2.81,2.82,,,,,,,0,2.8936,0,1330,,,,,0
2023-07-26,2.83,2.88,2.82,2.88,2.84,,,,,3.0532,0,2.7693,1,1479,,,,,0
2023-07-27,2.87,2.88,2.75,2.80,2.82,,,,,3.0374,0,2.8825,0,2563,,,,,0
2023-07-28,2.80,2.91,2.79,2.91,2.83,,,,,3.0374,0,2.7518,1,2783,,,,,0
2023-07-31,2.91,2.96,2.89,2.90,2.84,,,,,3.0374,0,2.7518,1,2385,,,,,0
2023-08-01,2.88,2.89,2.82,2.84,2.84,,,,,3.0374,0,2.7602,1,1499,,,,,0
2023-08-02,2.84,2.86,2.79,2.82,2.84,,,,,3.0374,0,2.7682,1,1677,,,,,0
2023-08-03,2.84,2.89,2.82,2.87,2.85,,,,,3.0374,0,2.7759,1,1590,,,,,0
2023-08-04,2.89,2.94,2.87,2.87,2.85,,,,,3.0374,0,2.7833,1,1448,,,,,0
2023-08-07,2.88,2.94,2.87,2.93,2.86,,,,,3.0374,0,2.7904,1,945,,,,,0
2023-08-08,2.88,2.92,2.86,2.92,2.87,,,,,3.0374,0,2.7973,1,1056,,,,,0
2023-08-09,2.91,2.95,2.91,2.91,2.88,2.86,,,,3.0374,0,2.8038,1,1471,,,,,0
2023-08-10,2.91,2.94,2.90,2.92,2.89,2.86,,,,3.0374,0,2.8101,1,1094,,,,,0
2023-08-11,2.92,2.97,2.90,2.94,2.89,2.86,,,,3.0374,0,2.8161,1,1156,,,,,0
2023-08-14,2.93,2.96,2.87,2.95,2.90,2.87,,,,3.0374,0,2.8253,1,1564,,,,,0
2023-08-15,2.94,2.94,2.89,2.92,2.90,2.87,,,,3.0374,0,2.8340,1,1116,,,,,0
2023-08-16,2.93,2.98,2.87,2.87,2.91,2.87,,,,3.0374,0,2.8421,1,1235,,,,,0
2023-08-17,2.89,2.94,2.86,2.86,2.91,2.88,,,,3.0374,0,2.8530,1,1218,,,,,0
2023-08-18,2.84,2.88,2.79,2.84,2.91,2.88,,,,3.0374,0,2.9783,0,1407,,,,,0
2023-08-21,2.85,2.86,2.82,2.82,2.90,2.88,,,,3.0374,0,2.9744,0,1140,,,,,0
2023-08-22,2.84,2.86,2.83,2.83,2.89,2.88,,,,3.0374,0,2.9706,0,850,,,,,0
2023-08-23,2.82,2.83,2.79,2.81,2.88,2.88,,,,3.0094,0,2.9669,0,920,,,,,0
2023-08-24,2.80,2.84,2.75,2.75,2.86,2.87,,,,3.0025,0,2.9597,0,1088,,,,,0
2023-08-25,2.76,2.78,2.71,2.72,2.84,2.86,,,,2.9498,0,2.9471,0,942,,,,,0
2023-08-28,2.74,2.78,2.72,2.73,2.82,2.86,,,,2.9498,0,2.9278,0,770,,,,,0
2023-08-29,2.76,2.83,2.76,2.83,2.81,2.86,,,,2.9498,0,2.9100,0,1198,,-0.0187,0.0002,-0.0189,0
2023-08-30,2.84,2.85,2.81,2.83,2.80,2.86,,,,2.9498,0,2.8937,0,693,,-0.0160,-0.0031,-0.0130,0
2023-08-31,2.86,2.86,2.82,2.84,2.80,2.85,,,,2.9498,0,2.8786,0,952,,-0.0130,-0.0051,-0.0080,0
2023-09-01,2.86,2.86,2.81,2.83,2.80,2.85,,,,2.9498,0,2.7058,1,1109,,-0.0113,-0.0063,-0.0050,0
2023-09-05,2.83,2.84,2.76,2.76,2.79,2.84,,,,2.9498,0,2.7089,1,1196,,-0.0154,-0.0081,-0.0073,0
2023-09-06,2.78,2.80,2.72,2.72,2.78,2.83,,,,2.9498,0,2.7121,1,989,,-0.0212,-0.0107,-0.0105,0
2023-09-07,2.72,2.74,2.63,2.65,2.77,2.82,,,,2.8985,0,2.8649,0,3101,,-0.0312,-0.0148,-0.0164,0
2023-09-08,2.68,2.75,2.68,2.71,2.76,2.81,,,,2.8985,0,2.8601,0,1530,,-0.0338,-0.0186,-0.0152,0
2023-09-11,2.76,2.77,2.66,2.66,2.76,2.80,,,,2.8985,0,2.8555,0,1022,,-0.0396,-0.0228,-0.0168,0
2023-09-12,2.66,2.69,2.64,2.64,2.75,2.78,,,,2.8864,0,2.8509,0,1353,,-0.0452,-0.0273,-0.0179,0
2023-09-13,2.64,2.71,2.64,2.70,2.73,2.77,,,,2.8864,0,2.8464,0,1266,,-0.0447,-0.0308,-0.0140,0
2023-09-14,2.70,2.79,2.69,2.78,2.73,2.77,,,,2.8864,0,2.8420,0,1595,,-0.0376,-0.0321,-0.0054,0
2023-09-15,2.77,2.80,2.76,2.79,2.72,2.76,,,,2.8864,0,2.8377,0,2371,,-0.0308,-0.0319,0.0011,0
2023-09-18,2.77,2.78,2.71,2.77,2.72,2.76,,,,2.8864,0,2.8334,0,890,,-0.0266,-0.0308,0.0042,0
2023-09-19,2.77,2.86,2.77,2.79,2.72,2.76,,,,2.8864,0,2.6262,1,1651,,-0.0208,-0.0288,0.0080,0
2023-09-20,2.80,2.84,2.80,2.82,2.73,2.76,,,,2.8864,0,2.6308,1,1146,,-0.0140,-0.0258,0.0119,0
2023-09-21,2.79,2.84,2.78,2.78,2.74,2.76,2.82,,,2.8864,0,2.6353,1,1398,1374,-0.0120,-0.0231,0.0111,0
2023-09-22,2.80,2.89,2.80,2.87,2.76,2.76,2.82,,,2.8864,0,2.6397,1,2318,1393,-0.0025,-0.0190,0.0164,0
2023-09-25,2.87,2.90,2.83,2.86,2.78,2.77,2.82,,,2.8864,0,2.6498,1,1883,1406,0.0042,-0.0143,0.0185,0
2023-09-26,2.86,2.91,2.85,2.87,2.80,2.78,2.82,,,2.8864,0,2.6648,1,1089,1403,0.0102,-0.0094,0.0196,0
