Date,Open,High,Low,Close,Ma10:Top:Line,Ma20:Top:Line,Ma50:Top:Line,Ma150:Top:Line,Ma200:Top:Line,Supertrend:Top:ColorLine,Supertrend_Dir,ParabolicSAR:Top:ColorLine,ParabolicSAR_Dir,Volume:Middle:Histogram,Vo50:Middle:Line,Macd:Bottom:Line,MacdSignal:Bottom:Line,MacdDelta:Bottom:Histogram,RsRating:Hidden:Hidden
2023-07-12,26.28,26.42,26.18,26.18,,,,,,,0,26.1801,1,57844,,,,,0
2023-07-13,26.76,26.85,26.64,26.79,,,,,,,0,26.1801,1,44593,,,,,0
2023-07-14,26.77,26.77,26.51,26.58,,,,,,,0,26.1801,1,29674,,,,,0
2023-07-17,26.38,26.69,26.36,26.57,,,,,,,0,26.1936,1,39765,,,,,0
2023-07-18,26.42,26.79,26.40,26.76,,,,,,,0,26.2068,1,26236,,,,,0
2023-07-19,26.38,26.50,26.17,26.43,,,,,,,0,26.8541,0,39043,,,,,0
2023-07-20,26.91,26.96,26.51,26.54,,,,,,,0,26.1706,1,36122,,,,,0
2023-07-21,26.39,26.43,26.02,26.12,,,,,,,0,26.9585,0,51319,,,,,0
2023-07-24,26.25,26.66,26.22,26.42,,,,,,,0,26.9585,0,38873,,,,,0
2023-07-25,26.92,27.22,26.88,27.10,26.55,,,,,28.5228,0,26.0187,1,63801,,,,,0
2023-07-26,27.01,27.14,26.86,27.01,26.63,,,,,28.4063,0,26.0428,1,51321,,,,,0
2023-07-27,26.58,26.80,26.07,26.28,26.58,,,,,27.9782,0,27.2243,0,83034,,,,,0
2023-07-28,26.80,27.04,26.58,26.67,26.59,,,,,27.9782,0,27.2011,0,49228,,,,,0
2023-07-31,27.09,27.67,27.08,27.40,26.67,,,,,27.9782,0,26.0662,1,93252,,,,,0
2023-08-01,26.89,27.08,26.72,27.06,26.70,,,,,27.9782,0,26.0983,1,47549,,,,,0
2023-08-02,26.63,26.75,26.20,26.41,26.70,,,,,27.9782,0,26.1297,1,56839,,,,,0
2023-08-03,25.99,26.32,25.74,26.16,26.66,,,,,27.9100,0,27.6704,0,48511,,,,,0
2023-08-04,26.14,26.46,25.92,25.93,26.64,,,,,27.9100,0,27.6319,0,36286,,,,,0
2023-08-07,26.07,26.14,25.84,26.09,26.61,,,,,27.7453,0,27.5941,0,42882,,,,,0
2023-08-08,25.46,25.78,25.25,25.78,26.48,26.51,,,,27.3486,0,27.5571,0,45227,,,,,0
2023-08-09,25.82,25.94,25.58,25.59,26.34,26.48,,,,27.3486,0,27.4648,0,39707,,,,,0
2023-08-10,25.97,26.06,25.56,25.64,26.27,26.43,,,,27.3486,0,27.3762,0,48116,,,,,0
2023-08-11,25.37,25.61,25.35,25.55,26.16,26.38,,,,27.1250,0,27.2912,0,34266,,,,,0
2023-08-14,25.68,25.82,25.33,25.77,26.00,26.34,,,,27.1250,0,27.2095,0,120902,,,,,0
2023-08-15,25.33,25.36,24.96,25.08,25.80,26.25,,,,26.8683,0,27.1311,0,60388,,,,,0
2023-08-16,25.16,25.45,24.26,24.35,25.60,26.15,,,,26.7497,0,27.0006,0,180263,,,,,0
2023-08-17,24.76,24.93,24.51,24.53,25.43,26.05,,,,26.5964,0,26.7816,0,86254,,,,,0
2023-08-18,24.24,24.56,24.16,24.53,25.29,25.97,,,,26.1675,0,26.5800,0,68228,,,,,0
2023-08-21,24.49,24.58,24.19,24.47,25.13,25.87,,,,26.1270,0,26.3379,0,75025,,,,,0
2023-08-22,24.91,25.03,24.74,24.80,25.03,25.76,,,,26.1270,0,26.1199,0,42069,,,,,0
2023-08-23,24.98,25.15,24.86,24.96,24.97,25.65,,,,26.1270,0,25.9237,0,38331,,,,,0
2023-08-24,24.70,24.94,24.57,24.73,24.88,25.58,,,,26.1270,0,25.7472,0,35696,,,,,0
2023-08-25,24.79,24.92,24.48,24.76,24.80,25.48,,,,26.1270,0,25.5883,0,38244,,,,,0
2023-08-28,25.00,25.17,24.86,24.94,24.71,25.36,,,,26.1270,0,25.4453,0,42636,,-0.5590,-0.6365,0.0775,0
2023-08-29,24.97,25.69,24.92,25.63,24.77,25.28,,,,26.1270,0,24.1582,1,43265,,-0.4666,-0.6025,0.1359,0
2023-08-30,25.60,25.69,25.34,25.40,24.87,25.23,,,,26.1270,0,24.1888,1,29618,,-0.4071,-0.5635,0.1563,0
2023-08-31,25.44,25.44,25.13,25.26,24.95,25.19,,,,26.1270,0,24.2487,1,25923,,-0.3672,-0.5242,0.1570,0
2023-09-01,25.92,26.04,25.56,25.63,25.06,25.17,,,,26.1270,0,24.3062,1,44591,,-0.3022,-0.4798,0.1776,0
2023-09-05,25.56,25.65,25.25,25.33,25.14,25.14,,,,26.1270,0,24.4101,1,44444,,-0.2721,-0.4383,0.1662,0
2023-09-06,25.26,25.48,25.13,25.35,25.20,25.11,,,,26.1270,0,24.5078,1,30305,,-0.2431,-0.3992,0.1561,0
