Date,Open,High,Low,Close,Ma10:Top:Line,Ma20:Top:Line,Ma50:Top:Line,Ma150:Top:Line,Ma200:Top:Line,Supertrend:Top:ColorLine,Supertrend_Dir,ParabolicSAR:Top:ColorLine,ParabolicSAR_Dir,Volume:Middle:Histogram,Vo50:Middle:Line,Macd:Bottom:Line,MacdSignal:Bottom:Line,MacdDelta:Bottom:Histogram,RsRating:Hidden:Hidden
2023-07-13,23.96,24.12,23.94,24.05,,,,,,,0,23.9434,1,3551,,,,,0
2023-07-14,24.42,24.44,24.19,24.27,,,,,,,0,23.9434,1,3892,,,,,0
2023-07-17,24.31,24.52,24.24,24.49,,,,,,,0,23.9434,1,2338,,,,,0
2023-07-18,24.21,24.47,24.19,24.33,,,,,,,0,23.9666,1,4058,,,,,0
2023-07-19,24.17,24.20,24.03,24.12,,,,,,,0,23.9888,1,4737,,,,,0
2023-07-20,24.14,24.19,23.91,24.02,,,,,,,0,24.5221,0,5962,,,,,0
2023-07-21,24.03,24.11,23.80,23.86,,,,,,,0,24.5098,0,4196,,,,,0
2023-07-24,23.64,23.87,23.58,23.74,,,,,,,0,24.4814,0,3659,,,,,0
2023-07-25,23.50,23.58,23.36,23.41,,,,,,,0,24.4274,0,3591,,,,,0
2023-07-26,23.64,24.13,23.64,23.98,24.03,,,,,24.9155,0,24.3417,0,5506,,,,,0
2023-07-27,24.91,25.10,24.66,24.85,24.11,,,,,24.9155,0,23.3557,1,3952,,,,,0
2023-07-28,25.06,25.06,24.85,24.97,24.18,,,,,23.7516,1,23.3906,1,2096,,,,,0
2023-07-31,24.90,24.99,24.87,24.97,24.22,,,,,23.8110,1,23.4248,1,2918,,,,,0
2023-08-01,25.27,25.34,25.16,25.24,24.32,,,,,24.1298,1,23.4583,1,2947,,,,,0
2023-08-02,24.84,24.85,24.59,24.66,24.37,,,,,24.1298,1,23.5338,1,3256,,,,,0
2023-08-03,24.37,24.47,24.21,24.40,24.41,,,,,24.1298,1,23.6062,1,2829,,,,,0
2023-08-04,24.52,24.78,24.42,24.42,24.46,,,,,24.1298,1,23.6758,1,3149,,,,,0
2023-08-07,24.78,24.91,24.67,24.83,24.57,,,,,24.1298,1,23.7426,1,2790,,,,,0
2023-08-08,24.49,24.56,24.26,24.54,24.69,,,,,24.1298,1,23.8066,1,2510,,,,,0
2023-08-09,24.40,24.40,24.11,24.28,24.72,24.37,,,,24.1298,1,23.8682,1,2833,,,,,0
2023-08-10,24.23,24.41,24.13,24.14,24.65,24.38,,,,24.1298,1,23.9272,1,5845,,,,,0
2023-08-11,23.74,23.92,23.70,23.77,24.52,24.35,,,,25.0546,0,25.3450,0,3928,,,,,0
2023-08-14,23.73,23.74,23.63,23.69,24.40,24.31,,,,24.8468,0,25.3120,0,2919,,,,,0
2023-08-15,23.64,23.69,23.40,23.41,24.21,24.26,,,,24.6814,0,25.2446,0,2535,,,,,0
2023-08-16,23.32,23.39,23.17,23.17,24.07,24.22,,,,24.3761,0,25.1340,0,3252,,,,,0
2023-08-17,23.50,23.56,23.40,23.46,23.97,24.19,,,,24.3761,0,24.9773,0,3756,,,,,0
2023-08-18,23.38,23.56,23.38,23.52,23.88,24.17,,,,24.3761,0,24.8331,0,2715,,,,,0
2023-08-21,23.75,23.83,23.65,23.73,23.77,24.17,,,,24.3761,0,24.7004,0,2236,,,,,0
2023-08-22,23.74,23.74,23.51,23.53,23.67,24.18,,,,24.3761,0,24.5784,0,2415,,,,,0
2023-08-23,23.70,24.03,23.70,24.02,23.64,24.18,,,,24.3761,0,24.4661,0,1964,,,,,0
2023-08-24,24.02,24.14,23.90,23.91,23.62,24.13,,,,24.3761,0,24.3628,0,2567,,,,,0
2023-08-25,24.05,24.22,23.92,24.18,23.66,24.09,,,,24.3761,0,24.2678,0,2610,,,,,0
2023-08-28,24.35,24.48,24.35,24.43,23.74,24.07,,,,23.4146,1,23.1749,1,1870,,,,,0
2023-08-29,24.40,24.65,24.28,24.63,23.86,24.04,,,,23.4530,1,23.2009,1,1888,,-0.0661,-0.2345,0.1683,0
2023-08-30,24.48,24.48,24.27,24.32,23.97,24.02,,,,23.4530,1,23.2588,1,2133,,-0.0407,-0.1957,0.1550,0
2023-08-31,24.40,24.45,24.21,24.32,24.06,24.02,,,,23.4530,1,23.3144,1,2577,,-0.0203,-0.1606,0.1403,0
2023-09-01,24.56,24.56,24.36,24.45,24.15,24.02,,,,23.4980,1,23.3678,1,1952,,0.0061,-0.1273,0.1333,0
2023-09-05,24.20,24.26,24.12,24.12,24.19,23.98,,,,23.4980,1,23.4190,1,2367,,0.0006,-0.1017,0.1023,0
2023-09-06,24.24,24.33,24.12,24.16,24.26,23.96,,,,23.4980,1,23.4682,1,2132,,-0.0007,-0.0815,0.0808,0
2023-09-07,24.16,24.22,24.08,24.08,24.26,23.95,,,,23.4980,1,23.5154,1,2839,,-0.0083,-0.0669,0.0586,0
2023-09-08,24.28,24.34,24.13,24.24,24.29,23.96,,,,23.4980,1,23.5608,1,4842,,-0.0011,-0.0537,0.0526,0
2023-09-11,24.86,25.00,24.86,24.97,24.37,24.02,,,,23.9145,1,23.6043,1,3266,,0.0622,-0.0305,0.0927,0
2023-09-12,24.52,24.77,24.51,24.69,24.40,24.07,,,,23.9145,1,23.6881,1,1781,,0.0895,-0.0065,0.0960,0
2023-09-13,25.00,25.18,25.00,25.09,24.45,24.15,,,,24.0015,1,23.7669,1,4049,,0.1416,0.0231,0.1185,0
2023-09-14,25.10,25.22,25.04,25.13,24.53,24.25,,,,24.0924,1,23.8801,1,3324,,0.1836,0.0552,0.1284,0
2023-09-15,25.80,25.83,25.71,25.76,24.67,24.36,,,,24.6264,1,24.0139,1,2806,,0.2650,0.0972,0.1678,0
2023-09-18,25.74,25.76,25.64,25.74,24.80,24.48,,,,24.6377,1,24.2323,1,2081,,0.3243,0.1426,0.1817,0
2023-09-19,25.53,25.65,25.49,25.56,24.94,24.57,,,,24.6377,1,24.4244,1,2895,,0.3526,0.1846,0.1680,0
2023-09-20,25.78,25.95,25.64,25.66,25.09,24.67,,,,24.7498,1,24.5934,1,1774,,0.3787,0.2234,0.1553,0
2023-09-21,25.24,25.31,25.10,25.12,25.20,24.73,24.37,,,24.7498,1,24.7835,1,3609,3114,0.3516,0.2490,0.1025,0
2023-09-22,25.27,25.45,25.19,25.20,25.29,24.79,24.39,,,24.7498,1,24.9469,1,4493,3133,0.3328,0.2658,0.0670,0
2023-09-25,25.04,25.04,24.87,24.93,25.29,24.83,24.41,,,24.7498,1,25.9508,0,3901,3133,0.2927,0.2712,0.0215,0
2023-09-26,23.82,24.03,23.70,23.77,25.20,24.80,24.39,,,25.2144,0,25.9293,0,4511,3176,0.1655,0.2500,-0.0845,0
2023-09-27,23.84,23.90,23.65,23.83,25.07,24.76,24.38,,,25.0606,0,25.8401,0,3229,3160,0.0691,0.2139,-0.1447,0
2023-09-28,24.18,24.41,24.02,24.33,24.99,24.76,24.39,,,25.0606,0,25.7084,0,2545,3116,0.0326,0.1776,-0.1450,0
2023-09-29,24.46,24.53,24.28,24.32,24.85,24.76,24.39,,,25.0606,0,25.5846,0,2779,3052,0.0022,0.1425,-0.1403,0
2023-10-02,24.32,24.32,23.86,23.88,24.66,24.73,24.39,,,25.0606,0,25.4682,0,3068,3030,-0.0561,0.1028,-0.1589,0
2023-10-03,23.78,23.78,23.54,23.55,24.46,24.70,24.39,,,24.9193,0,25.3588,0,4537,3047,-0.1275,0.0567,-0.1842,0
2023-10-04,23.63,23.74,23.42,23.62,24.26,24.67,24.39,,,24.8071,0,25.2129,0,4652,3068,-0.1768,0.0100,-0.1869,0
2023-10-05,23.28,23.54,23.14,23.41,24.09,24.64,24.38,,,24.5887,0,25.0333,0,3672,3032,-0.2303,-0.0381,-0.1923,0
2023-10-06,23.89,24.39,23.89,24.32,24.00,24.64,24.37,,,24.5887,0,24.8062,0,3597,3025,-0.1971,-0.0699,-0.1273,0
2023-10-09,24.13,24.26,24.00,24.26,23.93,24.61,24.36,,,24.5887,0,24.6064,0,2054,3024,-0.1733,-0.0905,-0.0827,0
2023-10-10,24.39,24.63,24.33,24.53,24.01,24.60,24.35,,,24.5887,0,23.1410,1,2175,3009,-0.1313,-0.0987,-0.0326,0
2023-10-11,24.43,24.48,24.23,24.38,24.06,24.57,24.33,,,24.5887,0,23.1707,1,2675,3004,-0.1087,-0.1007,-0.0080,0
2023-10-12,24.39,24.39,23.87,24.03,24.03,24.51,24.32,,,24.5887,0,23.1999,1,4448,3027,-0.1176,-0.1041,-0.0135,0
2023-10-13,24.14,24.21,23.93,23.93,23.99,24.42,24.31,,,24.5887,0,23.2284,1,2492,3021,-0.1313,-0.1095,-0.0217,0
2023-10-16,24.10,24.34,24.09,24.27,24.03,24.35,24.30,,,24.5887,0,23.2564,1,2176,3001,-0.1134,-0.1103,-0.0031,0
2023-10-17,23.91,24.19,23.89,24.01,24.08,24.27,24.29,,,24.5887,0,23.2838,1,3424,3014,-0.1186,-0.1119,-0.0066,0
2023-10-18,24.60,24.65,24.35,24.41,24.15,24.21,24.29,,,24.5887,0,23.3107,1,3342,3031,-0.0898,-0.1075,0.0177,0
2023-10-19,24.24,24.46,24.19,24.21,24.24,24.16,24.28,,,24.5887,0,23.3642,1,2195,3018,-0.0816,-0.1023,0.0207,0
2023-10-20,24.22,24.44,24.15,24.15,24.22,24.11,24.28,,,24.5887,0,23.4154,1,3052,2962,-0.0794,-0.0978,0.0183,0
2023-10-23,23.73,24.07,23.61,23.74,24.17,24.05,24.28,,,24.5887,0,23.4647,1,2573,2935,-0.1097,-0.1001,-0.0096,0
2023-10-24,23.90,23.90,23.70,23.85,24.10,24.05,24.29,,,24.5887,0,23.5119,1,2252,2922,-0.1234,-0.1048,-0.0186,0
2023-10-25,23.94,24.03,23.83,23.86,24.05,24.05,24.30,,,24.5887,0,23.5573,1,2243,2916,-0.1320,-0.1102,-0.0218,0
2023-10-26,23.65,23.83,23.60,23.74,24.02,24.02,24.31,,,24.5887,0,24.6464,0,2511,2901,-0.1468,-0.1176,-0.0292,0
2023-10-27,23.68,23.68,23.05,23.07,23.93,23.96,24.30,,,24.5691,0,24.6254,0,3043,2887,-0.2101,-0.1361,-0.0741,0
2023-10-30,23.27,23.32,23.03,23.21,23.82,23.93,24.29,,,24.3414,0,24.5624,0,3123,2895,-0.2456,-0.1580,-0.0877,0
2023-10-31,23.52,23.54,23.27,23.40,23.76,23.92,24.29,,,24.3414,0,24.4705,0,5399,2958,-0.2560,-0.1776,-0.0784,0
2023-11-01,23.67,23.68,23.41,23.50,23.67,23.91,24.29,,,24.3414,0,24.3841,0,7711,3064,-0.2532,-0.1927,-0.0605,0
2023-11-02,23.69,24.03,23.64,23.98,23.65,23.94,24.29,,,24.3414,0,24.3029,0,6540,3155,-0.2100,-0.1962,-0.0138,0
2023-11-03,24.54,24.78,24.54,24.70,23.70,23.96,24.30,,,23.3681,1,23.0308,1,2947,3163,-0.1159,-0.1801,0.0642,0
2023-11-06,25.40,25.40,25.00,25.10,23.84,24.00,24.32,,,23.8296,1,23.0659,1,3549,3182,-0.0094,-0.1460,0.1366,0
2023-11-07,24.50,24.67,24.44,24.52,23.91,24.00,24.32,,,23.8296,1,23.1592,1,2316,3191,0.0280,-0.1112,0.1392,0
2023-11-08,24.35,24.35,24.11,24.21,23.94,23.99,24.31,,,23.8296,1,23.2488,1,3040,3214,0.0321,-0.0825,0.1146,0
2023-11-09,24.33,24.40,24.09,24.10,23.98,24.00,24.31,,,23.8296,1,23.3348,1,3168,3235,0.0262,-0.0608,0.0870,0
2023-11-10,24.37,24.54,24.31,24.52,24.12,24.03,24.31,,,23.8296,1,23.4174,1,2564,3234,0.0549,-0.0376,0.0926,0
2023-11-13,24.33,24.50,24.20,24.21,24.22,24.02,24.31,,,23.8296,1,23.4967,1,5527,3306,0.0527,-0.0196,0.0722,0
2023-11-14,25.01,25.34,24.84,25.34,24.42,24.09,24.33,,,23.8296,1,23.5728,1,5089,3360,0.1403,0.0124,0.1279,0
2023-11-15,25.46,25.62,25.44,25.45,24.61,24.14,24.36,,,24.0757,1,23.6458,1,2465,3367,0.2162,0.0532,0.1631,0
2023-11-16,25.52,25.74,25.52,25.57,24.77,24.21,24.39,,,24.2323,1,23.7642,1,3566,3381,0.2827,0.0991,0.1836,0
2023-11-17,25.51,25.65,25.44,25.63,24.86,24.28,24.42,,,24.2323,1,23.9222,1,2767,3340,0.3360,0.1465,0.1895,0
2023-11-20,25.70,25.88,25.68,25.77,24.93,24.39,24.43,,,24.5202,1,24.0675,1,2611,3327,0.3849,0.1942,0.1908,0
2023-11-21,26.05,26.10,25.83,25.91,25.07,24.49,24.46,,,24.7306,1,24.2484,1,2758,3346,0.4305,0.2414,0.1891,0
2023-11-22,25.85,25.92,25.78,25.92,25.24,24.59,24.47,,,24.7306,1,24.4702,1,1663,3299,0.4621,0.2856,0.1766,0
2023-11-24,25.80,25.89,25.70,25.89,25.42,24.70,24.49,,,24.7306,1,24.6654,1,1151,3255,0.4787,0.3242,0.1545,0
2023-11-27,25.73,25.83,25.67,25.78,25.55,24.84,24.49,,,24.7306,1,24.8371,1,2421,3247,0.4781,0.3550,0.1232,0
2023-11-28,25.99,26.23,25.96,26.18,25.75,24.98,24.50,,,25.0103,1,24.9883,1,3317,3272,0.5037,0.3847,0.1190,0
2023-11-29,25.66,26.00,25.66,25.93,25.80,25.11,24.50,,,25.0103,1,25.1614,1,2319,3261,0.4983,0.4074,0.0909,0
2023-11-30,26.01,26.12,25.90,26.07,25.87,25.24,24.51,,,25.0103,1,25.3104,1,1866,3262,0.4993,0.4258,0.0735,0
2023-12-01,25.53,26.06,25.51,26.05,25.91,25.34,24.53,,,25.0103,1,25.4385,1,2418,3239,0.4930,0.4393,0.0537,0
2023-12-04,25.70,25.84,25.59,25.66,25.92,25.39,24.54,,,25.0103,1,25.5092,1,2627,3201,0.4509,0.4416,0.0093,0
2023-12-05,25.50,25.67,25.49,25.66,25.90,25.42,24.55,,,25.0103,1,26.2252,0,2063,3165,0.4128,0.4358,-0.0230,0
2023-12-06,25.86,25.91,25.68,25.73,25.89,25.48,24.59,,,25.0103,1,26.2105,0,2957,3134,0.3841,0.4255,-0.0414,0
2023-12-07,25.44,25.70,25.44,25.63,25.86,25.55,24.63,,,25.0103,1,26.1961,0,3797,3145,0.3492,0.4102,-0.0610,0
2023-12-08,25.65,25.92,25.65,25.73,25.84,25.63,24.66,,,25.0103,1,26.1657,0,2685,3148,0.3259,0.3934,-0.0674,0
2023-12-11,25.56,25.68,25.50,25.58,25.82,25.69,24.68,,,25.0103,1,26.1365,0,4493,3182,0.2923,0.3732,-0.0809,0
2023-12-12,25.84,25.86,25.66,25.74,25.78,25.76,24.72,,,25.0103,1,26.1085,0,3606,3193,0.2750,0.3535,-0.0785,0
2023-12-13,25.71,26.52,25.69,26.45,25.83,25.82,24.78,,,25.0103,1,25.4358,1,3490,3172,0.3155,0.3459,-0.0305,0
2023-12-14,26.72,27.09,26.65,26.92,25.91,25.89,24.84,,,25.6582,1,25.4575,1,4180,3162,0.3809,0.3529,0.0280,0
2023-12-15,27.15,27.17,26.89,26.94,26.00,25.96,24.91,,,25.8545,1,25.5227,1,4984,3189,0.4293,0.3682,0.0611,0
2023-12-18,27.15,27.18,26.89,27.13,26.15,26.03,24.97,,,25.8883,1,25.6216,1,12885,3374,0.4777,0.3901,0.0876,0
2023-12-19,27.14,27.45,27.14,27.30,26.32,26.11,25.03,,,26.1708,1,25.7462,1,3010,3393,0.5234,0.4167,0.1066,0
2023-12-20,27.66,27.80,27.40,27.40,26.48,26.18,25.09,,,26.4392,1,25.9162,1,2764,3405,0.5612,0.4456,0.1156,0
2023-12-21,27.79,27.79,27.46,27.62,26.68,26.27,25.15,,,26.4646,1,26.1427,1,3948,3431,0.6021,0.4769,0.1251,0
2023-12-22,27.54,27.85,27.47,27.80,26.89,26.37,25.23,,,26.5003,1,26.3421,1,2393,3390,0.6419,0.5099,0.1319,0
2023-12-26,27.82,27.84,27.59,27.78,27.11,26.47,25.31,,,26.5972,1,26.5532,1,1580,3371,0.6635,0.5406,0.1229,0
2023-12-27,27.67,27.77,27.49,27.76,27.31,26.54,25.38,,,26.5972,1,26.7347,1,1557,3359,0.6715,0.5668,0.1047,0
2023-12-28,28.30,28.57,28.30,28.57,27.52,26.68,25.47,,,27.2068,1,26.8909,1,3411,3359,0.7345,0.6003,0.1341,0
2023-12-29,28.18,28.35,28.15,28.25,27.66,26.79,25.54,,,27.2068,1,27.1589,1,1859,3329,0.7506,0.6304,0.1202,0
