Date,Open,High,Low,Close,Ma10:Top:Line,Ma20:Top:Line,Ma50:Top:Line,Ma150:Top:Line,Ma200:Top:Line,Supertrend:Top:ColorLine,Supertrend_Dir,ParabolicSAR:Top:ColorLine,ParabolicSAR_Dir,Volume:Middle:Histogram,Vo50:Middle:Line,Macd:Bottom:Line,MacdSignal:Bottom:Line,MacdDelta:Bottom:Histogram,RsRating:Hidden:Hidden
2023-07-13,73.04,74.54,73.04,74.26,,,,,,,0,74.5390,0,126401,,,,,0
2023-07-14,73.73,74.12,72.89,73.44,,,,,,,0,74.5390,0,114664,,,,,0
2023-07-17,72.83,73.97,72.73,73.59,,,,,,,0,74.5390,0,126307,,,,,0
2023-07-18,73.25,74.45,72.88,74.44,,,,,,,0,74.4666,0,134085,,,,,0
2023-07-19,74.51,75.09,74.40,74.80,,,,,,,0,72.7281,1,144598,,,,,0
2023-07-20,74.51,75.59,73.89,75.52,,,,,,,0,72.7753,1,265360,,,,,0
2023-07-21,75.51,75.95,74.94,74.99,,,,,,,0,72.8877,1,775310,,,,,0
2023-07-24,75.27,75.79,73.78,73.99,,,,,,,0,73.0717,1,220084,,,,,0
2023-07-25,73.99,74.87,73.99,74.57,,,,,,,0,73.2446,1,147170,,,,,0
2023-07-26,74.95,75.34,72.89,73.94,74.35,,,,,78.4409,0,75.9538,0,183448,,,,,0
2023-07-27,74.42,74.98,73.68,73.78,74.31,,,,,78.4409,0,75.8925,0,130777,,,,,0
2023-07-28,74.34,74.34,72.46,72.85,74.25,,,,,77.8213,0,75.8324,0,176679,,,,,0
2023-07-31,73.11,73.85,73.09,73.58,74.25,,,,,77.7454,0,75.6977,0,273932,,,,,0
2023-08-01,73.10,74.60,73.01,74.39,74.24,,,,,77.7454,0,75.5683,0,128187,,,,,0
2023-08-02,73.69,75.47,73.59,74.00,74.16,,,,,77.7454,0,72.4641,1,182490,,,,,0
2023-08-03,73.54,75.18,73.29,74.81,74.09,,,,,77.7454,0,72.5242,1,149875,,,,,0
2023-08-04,74.90,74.94,73.25,73.36,73.93,,,,,77.7454,0,72.5832,1,154222,,,,,0
2023-08-07,74.00,74.10,73.41,73.84,73.91,,,,,77.7454,0,72.6410,1,109849,,,,,0
2023-08-08,73.35,73.68,72.88,73.46,73.80,,,,,77.5171,0,72.6976,1,138683,,,,,0
2023-08-09,73.29,73.40,72.44,72.54,73.66,74.01,,,,77.0387,0,75.4728,0,160865,,,,,0
2023-08-10,72.85,73.35,72.24,72.47,73.53,73.92,,,,76.8378,0,75.4120,0,166443,,,,,0
2023-08-11,72.22,72.97,72.15,72.40,73.49,73.87,,,,76.4485,0,75.2851,0,97140,,,,,0
2023-08-14,72.24,72.54,71.73,72.11,73.34,73.79,,,,75.8742,0,75.0971,0,107642,,,,,0
2023-08-15,72.37,72.78,71.79,71.95,73.10,73.67,,,,75.8742,0,74.8276,0,152389,,,,,0
2023-08-16,71.68,72.22,71.00,71.12,72.81,73.48,,,,75.2725,0,74.5797,0,129569,,,,,0
2023-08-17,71.63,71.63,70.71,70.77,72.40,73.25,,,,74.7450,0,74.2219,0,191124,,,,,0
2023-08-18,70.23,71.66,70.15,71.03,72.17,73.05,,,,74.5763,0,73.8005,0,162715,,,,,0
2023-08-21,71.29,72.28,71.24,72.12,72.00,72.95,,,,74.5763,0,73.2899,0,182059,,,,,0
2023-08-22,72.14,72.73,71.71,72.16,71.87,72.83,,,,74.5763,0,72.8507,0,183731,,,,,0
2023-08-23,72.44,72.83,71.62,72.18,71.83,72.75,,,,74.5763,0,70.1533,1,259414,,,,,0
2023-08-24,71.00,72.95,70.30,71.24,71.71,72.62,,,,74.5763,0,70.2069,1,258856,,,,,0
2023-08-25,71.68,72.22,69.93,70.47,71.52,72.50,,,,74.5763,0,72.9451,0,153908,,,,,0
2023-08-28,70.97,71.81,70.82,71.69,71.47,72.41,,,,74.5763,0,72.9451,0,104628,,,,,0
2023-08-29,71.59,72.45,71.37,72.08,71.49,72.29,,,,74.5763,0,72.8847,0,103496,,-0.8105,-0.9690,0.1584,0
2023-08-30,71.95,72.20,71.22,72.09,71.58,72.19,,,,74.5763,0,72.8256,0,136389,,-0.7295,-0.9211,0.1915,0
2023-08-31,72.45,72.53,71.86,72.34,71.74,72.07,,,,74.5763,0,72.7676,0,235377,,-0.6374,-0.8643,0.2269,0
2023-09-01,73.06,73.54,72.76,73.19,71.96,72.06,,,,74.5763,0,69.9269,1,178969,,-0.4903,-0.7895,0.2992,0
2023-09-05,74.27,75.40,74.10,74.97,72.24,72.12,,,,70.6317,1,69.9992,1,196142,,-0.2272,-0.6771,0.4499,0
2023-09-06,74.76,75.42,74.39,75.38,72.56,72.22,,,,70.8904,1,70.2151,1,137335,,0.0138,-0.5389,0.5527,0
2023-09-07,74.69,74.69,73.69,74.38,72.78,72.31,,,,70.8904,1,70.5271,1,159565,,0.1228,-0.4066,0.5293,0
2023-09-08,74.62,75.04,74.33,74.60,73.12,72.41,,,,70.8904,1,70.8205,1,99962,,0.2240,-0.2804,0.5045,0
2023-09-11,75.06,75.20,73.41,74.07,73.48,72.50,,,,70.8904,1,71.0962,1,106133,,0.2587,-0.1726,0.4313,0
