Date,Open,High,Low,Close,Ma10:Top:Line,Ma20:Top:Line,Ma50:Top:Line,Ma150:Top:Line,Ma200:Top:Line,Supertrend:Top:ColorLine,Supertrend_Dir,ParabolicSAR:Top:ColorLine,ParabolicSAR_Dir,Volume:Middle:Histogram,Vo50:Middle:Line,Macd:Bottom:Line,MacdSignal:Bottom:Line,MacdDelta:Bottom:Histogram,RsRating:Hidden:Hidden
2023-07-13,47.01,47.29,47.01,47.19,,,,,,,0,47.2904,0,175,,,,,0
2023-07-14,46.91,46.95,46.71,46.74,,,,,,,0,47.2904,0,202,,,,,0
2023-07-17,46.22,47.38,46.22,47.25,,,,,,,0,46.7065,1,170,,,,,0
2023-07-18,47.25,49.63,47.25,49.34,,,,,,,0,46.2200,1,543,,,,,0
2023-07-19,49.30,50.84,49.30,50.67,,,,,,,0,46.2200,1,411,,,,,0
2023-07-20,51.03,51.03,50.33,50.60,,,,,,,0,46.4973,1,666,,,,,0
2023-07-21,50.60,50.60,49.99,49.99,,,,,,,0,46.8597,1,257,,,,,0
2023-07-24,49.31,50.10,48.65,49.09,,,,,,,0,47.1931,1,323,,,,,0
2023-07-25,48.90,48.90,48.65,48.65,,,,,,,0,47.4998,1,165,,,,,0
2023-07-26,48.48,49.14,48.48,49.14,48.87,,,,,51.7171,0,47.7819,1,263,,,,,0
2023-07-27,48.90,48.90,48.67,48.67,49.01,,,,,51.5424,0,48.0415,1,345,,,,,0
2023-07-28,48.65,48.80,48.51,48.66,49.21,,,,,51.2228,0,48.2804,1,295,,,,,0
2023-07-31,48.26,48.70,47.69,47.69,49.25,,,,,50.8120,0,51.0269,0,274,,,,,0
2023-08-01,48.03,48.65,47.79,48.23,49.14,,,,,50.8120,0,50.9601,0,392,,,,,0
2023-08-02,48.25,48.65,48.25,48.54,48.93,,,,,50.8120,0,50.8947,0,514,,,,,0
2023-08-03,47.70,48.65,47.70,48.08,48.67,,,,,50.7166,0,50.8306,0,311,,,,,0
2023-08-04,48.28,48.56,48.03,48.03,48.48,,,,,50.7166,0,50.7678,0,183,,,,,0
2023-08-07,48.65,48.90,48.60,48.90,48.46,,,,,50.7166,0,50.7062,0,467,,,,,0
2023-08-08,48.51,48.65,48.51,48.56,48.45,,,,,50.7166,0,50.6459,0,294,,,,,0
2023-08-09,48.41,48.61,48.41,48.41,48.38,48.62,,,,50.6703,0,50.5867,0,139,,,,,0
2023-08-10,48.54,48.65,48.43,48.57,48.37,48.69,,,,50.5566,0,50.5288,0,290,,,,,0
2023-08-11,48.47,48.61,48.47,48.61,48.36,48.78,,,,50.3988,0,50.4720,0,160,,,,,0
2023-08-14,48.60,48.65,48.26,48.60,48.45,48.85,,,,50.2470,0,50.4164,0,300,,,,,0
2023-08-15,48.36,48.44,48.08,48.15,48.44,48.79,,,,50.0263,0,50.3618,0,238,,,,,0
2023-08-16,48.40,48.40,47.80,47.80,48.37,48.65,,,,49.8723,0,50.3084,0,142,,,,,0
2023-08-17,48.17,48.17,47.70,47.70,48.33,48.50,,,,49.6682,0,50.2560,0,186,,,,,0
2023-08-18,47.65,47.65,47.07,47.07,48.24,48.36,,,,49.1103,0,50.2047,0,174,,,,,0
2023-08-21,47.65,48.04,47.24,47.24,48.07,48.26,,,,49.1103,0,50.0791,0,296,,,,,0
