Date,Open,High,Low,Close,Ma10:Top:Line,Ma20:Top:Line,Ma50:Top:Line,Ma150:Top:Line,Ma200:Top:Line,Supertrend:Top:ColorLine,Supertrend_Dir,ParabolicSAR:Top:ColorLine,ParabolicSAR_Dir,Volume:Middle:Histogram,Vo50:Middle:Line,Macd:Bottom:Line,MacdSignal:Bottom:Line,MacdDelta:Bottom:Histogram,RsRating:Hidden:Hidden
2023-07-13,41.09,41.44,40.66,41.34,,,,,,,0,41.4435,0,64667,,,,,0
2023-07-14,41.10,41.12,40.20,40.63,,,,,,,0,41.4435,0,81847,,,,,0
2023-07-17,40.59,40.81,40.12,40.49,,,,,,,0,41.4435,0,64221,,,,,0
2023-07-18,40.85,41.80,40.69,40.95,,,,,,,0,40.1160,1,65030,,,,,0
2023-07-19,41.14,41.76,40.92,41.67,,,,,,,0,40.1160,1,54164,,,,,0
2023-07-20,42.16,42.63,41.96,42.50,,,,,,,0,40.1496,1,82937,,,,,0
2023-07-21,42.73,43.27,42.46,43.04,,,,,,,0,40.2488,1,82243,,,,,0
2023-07-24,43.48,44.98,43.30,44.20,,,,,,,0,40.4302,1,137340,,,,,0
2023-07-25,44.01,44.49,43.48,43.87,,,,,,,0,40.7940,1,95394,,,,,0
2023-07-26,43.61,45.05,43.61,44.75,42.34,,,,,47.6003,0,41.1287,1,99443,,,,,0
2023-07-27,44.96,45.21,44.26,44.56,42.67,,,,,47.6003,0,41.5207,1,81763,,,,,0
2023-07-28,44.93,45.39,44.58,45.36,43.14,,,,,47.6003,0,41.9629,1,104082,,,,,0
2023-07-31,45.65,46.24,45.58,45.80,43.67,,,,,47.6003,0,42.4429,1,88235,,,,,0
2023-08-01,45.62,46.28,45.50,46.01,44.18,,,,,47.6003,0,43.0510,1,88385,,,,,0
2023-08-02,45.94,46.28,45.18,45.38,44.55,,,,,47.6003,0,43.6320,1,140504,,,,,0
2023-08-03,45.77,46.87,44.65,46.63,44.96,,,,,47.6003,0,44.1614,1,226428,,,,,0
2023-08-04,47.07,48.94,46.80,48.30,45.49,,,,,44.1038,1,44.6525,1,157985,,,,,0
2023-08-07,48.46,49.72,48.33,49.57,46.02,,,,,45.2075,1,44.6525,1,159572,,,,,0
2023-08-08,49.18,50.54,48.97,50.48,46.68,,,,,45.8510,1,45.6653,1,112968,,,,,0
2023-08-09,50.54,52.01,50.36,51.62,47.37,44.86,,,,47.1743,1,46.6408,1,133624,,,,,0
2023-08-10,51.84,52.28,51.14,51.18,48.03,45.35,,,,47.7599,1,47.7148,1,105931,,,,,0
2023-08-11,51.26,52.41,51.25,52.17,48.71,45.93,,,,47.9028,1,48.6286,1,102255,,,,,0
2023-08-14,51.83,51.86,50.82,50.95,49.23,46.45,,,,47.9028,1,49.3842,1,86496,,,,,0
2023-08-15,49.98,50.00,48.83,49.43,49.57,46.87,,,,47.9028,1,52.4066,0,124904,,,,,0
2023-08-16,49.79,51.85,49.59,50.21,50.05,47.30,,,,47.9028,1,52.3351,0,246110,,,,,0
2023-08-17,50.74,50.99,50.17,50.29,50.42,47.69,,,,47.9028,1,52.2649,0,104004,,,,,0
2023-08-18,49.75,51.30,49.69,51.06,50.69,48.09,,,,47.9028,1,52.1962,0,128937,,,,,0
2023-08-21,51.05,51.25,49.75,50.37,50.77,48.40,,,,47.9028,1,52.1289,0,109207,,,,,0
2023-08-22,50.29,50.79,49.98,50.12,50.74,48.71,,,,47.9028,1,52.0629,0,101931,,,,,0
