Date,Open,High,Low,Close,Ma10:Top:Line,Ma20:Top:Line,Ma50:Top:Line,Ma150:Top:Line,Ma200:Top:Line,Supertrend:Top:ColorLine,Supertrend_Dir,ParabolicSAR:Top:ColorLine,ParabolicSAR_Dir,Volume:Middle:Histogram,Vo50:Middle:Line,Macd:Bottom:Line,MacdSignal:Bottom:Line,MacdDelta:Bottom:Histogram,RsRating:Hidden:Hidden
2023-07-12,21.21,21.57,20.66,20.68,,,,,,,0,21.5653,0,32105,,,,,0
2023-07-13,20.76,21.23,20.56,20.64,,,,,,,0,21.5653,0,22335,,,,,0
2023-07-14,20.52,20.52,20.07,20.27,,,,,,,0,21.5653,0,20252,,,,,0
2023-07-17,20.16,20.92,20.16,20.66,,,,,,,0,21.5056,0,35868,,,,,0
2023-07-18,20.56,21.55,20.54,21.08,,,,,,,0,20.0732,1,19365,,,,,0
2023-07-19,21.40,21.63,20.94,21.42,,,,,,,0,20.1027,1,29824,,,,,0
2023-07-20,21.75,21.94,21.42,21.93,,,,,,,0,20.1637,1,21177,,,,,0
2023-07-21,22.03,22.46,21.71,22.45,,,,,,,0,20.2704,1,35392,,,,,0
2023-07-24,22.66,23.15,22.57,22.72,,,,,,,0,20.4456,1,24837,,,,,0
2023-07-25,22.72,22.90,22.39,22.42,21.43,,,,,24.7672,0,20.7165,1,25767,,,,,0
2023-07-26,22.24,23.13,22.10,23.06,21.66,,,,,24.7672,0,20.9602,1,18279,,,,,0
2023-07-27,23.15,23.55,22.95,23.30,21.93,,,,,24.7672,0,21.1796,1,26359,,,,,0
2023-07-28,23.47,23.86,23.30,23.82,22.29,,,,,24.7672,0,21.4639,1,25452,,,,,0
2023-07-31,24.08,24.40,24.06,24.22,22.64,,,,,24.7672,0,21.7988,1,39305,,,,,0
2023-08-01,24.15,24.51,24.04,24.27,22.96,,,,,24.7672,0,22.2151,1,38190,,,,,0
2023-08-02,24.32,24.61,23.84,24.53,23.27,,,,,24.7672,0,22.6274,1,40430,,,,,0
2023-08-03,24.42,24.48,23.79,24.29,23.51,,,,,24.7672,0,23.0241,1,54098,,,,,0
2023-08-04,24.50,24.65,24.03,24.16,23.68,,,,,24.7672,0,23.3415,1,41953,,,,,0
2023-08-07,24.05,24.43,23.18,24.37,23.84,,,,,24.7672,0,24.6549,0,80604,,,,,0
2023-08-08,23.94,24.08,23.12,24.04,24.01,22.72,,,,24.7672,0,24.6549,0,38447,,,,,0
2023-08-09,24.18,25.16,24.03,24.70,24.17,22.92,,,,24.7672,0,23.1189,1,47256,,,,,0
2023-08-10,24.74,25.09,24.16,24.39,24.28,23.10,,,,24.7672,0,23.1189,1,30739,,,,,0
2023-08-11,24.55,25.21,24.28,25.03,24.40,23.34,,,,22.2974,1,23.1596,1,28916,,,,,0
2023-08-14,24.85,25.10,24.54,24.94,24.47,23.56,,,,22.3730,1,23.2416,1,23370,,,,,0
2023-08-15,24.70,24.71,23.68,24.14,24.46,23.71,,,,22.3730,1,23.3204,1,40741,,,,,0
2023-08-16,24.13,24.49,23.69,23.76,24.38,23.83,,,,22.3730,1,23.3960,1,33110,,,,,0
2023-08-17,24.03,24.29,23.71,23.87,24.34,23.92,,,,22.3730,1,23.4685,1,28000,,,,,0
2023-08-18,23.66,24.77,23.66,24.72,24.40,24.04,,,,22.3730,1,23.5382,1,45353,,,,,0
2023-08-21,24.82,24.95,23.68,23.72,24.33,24.09,,,,22.3730,1,23.6051,1,30051,,,,,0
2023-08-22,23.81,23.96,23.44,23.58,24.29,24.15,,,,22.3730,1,25.2103,0,21634,,,,,0
2023-08-23,23.35,23.39,22.65,22.85,24.10,24.14,,,,22.3730,1,25.1749,0,20060,,,,,0
2023-08-24,22.69,23.26,22.62,23.11,23.97,24.13,,,,22.3730,1,25.0740,0,21120,,,,,0
2023-08-25,23.16,24.04,23.10,23.75,23.85,24.12,,,,22.3730,1,24.9266,0,35679,,,,,0
2023-08-28,23.70,23.91,23.18,23.81,23.73,24.10,,,,22.3730,1,24.7880,0,22604,,0.3781,0.6559,-0.2778,0
2023-08-29,23.69,23.69,23.29,23.48,23.67,24.06,,,,22.3730,1,24.6577,0,42970,,0.3288,0.5905,-0.2617,0
2023-08-30,23.49,23.56,23.22,23.40,23.63,24.01,,,,22.3730,1,24.5353,0,16196,,0.2800,0.5284,-0.2484,0
2023-08-31,23.53,23.53,22.77,22.79,23.52,23.93,,,,22.3730,1,24.4202,0,27305,,0.1907,0.4609,-0.2702,0
2023-09-01,23.23,24.07,23.17,23.87,23.44,23.92,,,,22.3730,1,24.3119,0,23847,,0.2046,0.4096,-0.2050,0
2023-09-05,23.87,24.36,23.86,24.17,23.48,23.91,,,,22.3730,1,22.6167,1,35018,,0.2365,0.3750,-0.1385,0
2023-09-06,24.18,24.64,24.11,24.48,23.57,23.93,,,,22.3730,1,22.6516,1,28946,,0.2842,0.3568,-0.0726,0
2023-09-07,24.55,25.63,24.48,25.58,23.84,23.97,,,,22.6626,1,22.7313,1,44723,,0.4059,0.3666,0.0393,0
2023-09-08,26.06,27.44,25.79,27.18,24.25,24.11,,,,23.9106,1,22.9050,1,61832,,0.6244,0.4182,0.2062,0
2023-09-11,27.33,27.64,26.77,26.80,24.56,24.20,,,,24.5053,1,23.2679,1,60375,,0.7582,0.4862,0.2720,0
2023-09-12,26.87,27.06,26.25,26.87,24.86,24.30,,,,24.5053,1,23.7047,1,38156,,0.8600,0.5610,0.2990,0
2023-09-13,26.94,26.94,26.21,26.44,25.16,24.41,,,,24.5053,1,24.0978,1,35584,,0.8953,0.6278,0.2675,0
2023-09-14,26.78,27.27,26.52,26.79,25.50,24.56,,,,24.5053,1,24.4516,1,57083,,0.9411,0.6905,0.2506,0
2023-09-15,26.41,26.79,26.17,26.34,25.85,24.69,,,,24.5053,1,24.7700,1,103416,,0.9302,0.7384,0.1917,0
2023-09-18,26.96,27.44,26.46,26.73,26.14,24.79,,,,24.5053,1,25.0566,1,39100,,0.9421,0.7791,0.1629,0
