Date,Open,High,Low,Close,Ma10:Top:Line,Ma20:Top:Line,Ma50:Top:Line,Ma150:Top:Line,Ma200:Top:Line,Supertrend:Top:ColorLine,Supertrend_Dir,ParabolicSAR:Top:ColorLine,ParabolicSAR_Dir,Volume:Middle:Histogram,Vo50:Middle:Line,Macd:Bottom:Line,MacdSignal:Bottom:Line,MacdDelta:Bottom:Histogram,RsRating:Hidden:Hidden
2023-07-12,25.66,26.16,25.66,25.87,,,,,,,0,25.6641,1,966,,,,,0
2023-07-13,26.14,26.38,25.92,26.36,,,,,,,0,25.6641,1,702,,,,,0
2023-07-14,26.49,26.49,25.73,25.94,,,,,,,0,25.6641,1,674,,,,,0
2023-07-17,25.84,26.85,25.76,26.43,,,,,,,0,25.6971,1,1187,,,,,0
2023-07-18,27.75,29.71,27.74,29.64,,,,,,,0,25.7269,1,3062,,,,,0
2023-07-19,29.84,30.57,28.90,30.56,,,,,,,0,25.7628,1,2190,,,,,0
2023-07-20,30.46,30.56,29.81,30.43,,,,,,,0,26.2438,1,1651,,,,,0
2023-07-21,30.64,30.80,29.94,30.34,,,,,,,0,26.6767,1,4003,,,,,0
2023-07-24,30.34,30.68,30.18,30.48,,,,,,,0,27.1711,1,1318,,,,,0
2023-07-25,30.36,30.69,29.84,30.48,28.65,,,,,33.4935,0,27.6062,1,2558,,,,,0
2023-07-26,30.54,31.60,30.54,31.54,29.22,,,,,33.4935,0,27.9891,1,1729,,,,,0
2023-07-27,31.80,31.83,31.04,31.24,29.71,,,,,33.4935,0,28.4953,1,1681,,,,,0
2023-07-28,31.51,31.79,31.02,31.38,30.25,,,,,33.4935,0,29.0286,1,1462,,,,,0
2023-07-31,31.34,31.52,31.01,31.51,30.76,,,,,33.4935,0,29.4767,1,1004,,,,,0
2023-08-01,31.25,31.67,30.78,31.62,30.96,,,,,33.4935,0,29.8530,1,1420,,,,,0
2023-08-02,31.15,31.69,31.08,31.63,31.07,,,,,33.4935,0,30.1692,1,1079,,,,,0
2023-08-03,31.55,32.18,31.34,31.93,31.22,,,,,33.4935,0,30.4347,1,1146,,,,,0
2023-08-04,31.77,32.53,31.77,32.22,31.40,,,,,33.4935,0,30.7487,1,1099,,,,,0
2023-08-07,32.34,32.96,32.06,32.81,31.64,,,,,33.4935,0,31.1047,1,1100,,,,,0
2023-08-08,32.27,32.68,31.66,32.60,31.85,30.25,,,,33.4935,0,31.4757,1,952,,,,,0
2023-08-09,32.41,32.41,31.64,31.75,31.87,30.55,,,,33.4935,0,32.9595,0,1058,,,,,0
2023-08-10,31.91,32.12,31.29,31.53,31.90,30.80,,,,33.4935,0,32.9331,0,987,,,,,0
2023-08-11,31.50,31.87,31.34,31.64,31.92,31.09,,,,33.4935,0,32.8674,0,1061,,,,,0
2023-08-14,31.43,31.43,31.08,31.16,31.89,31.33,,,,33.4935,0,32.8044,0,552,,,,,0
2023-08-15,30.82,31.08,30.36,30.42,31.77,31.36,,,,33.2562,0,32.7006,0,878,,,,,0
2023-08-16,30.64,30.78,30.13,30.24,31.63,31.35,,,,32.9317,0,32.5131,0,1129,,,,,0
2023-08-17,30.29,30.47,30.08,30.29,31.47,31.34,,,,32.6231,0,32.2751,0,921,,,,,0
2023-08-18,30.05,30.73,30.05,30.50,31.29,31.35,,,,32.6231,0,32.0116,0,2702,,,,,0
2023-08-21,30.55,30.55,29.69,29.89,31.00,31.32,,,,32.4577,0,31.7373,0,759,,,,,0
2023-08-22,29.93,29.93,29.34,29.34,30.68,31.26,,,,31.9143,0,31.4102,0,1043,,,,,0
2023-08-23,29.45,29.96,29.17,29.89,30.49,31.18,,,,31.8559,0,31.0382,0,1669,,,,,0
2023-08-24,29.73,30.18,29.73,30.03,30.34,31.12,,,,31.8559,0,30.6651,0,913,,,,,0
2023-08-25,30.24,30.40,29.49,29.81,30.16,31.04,,,,31.8559,0,29.1727,1,545,,,,,0
2023-08-28,29.99,30.18,29.82,29.92,30.03,30.96,,,,31.8559,0,29.1973,1,2004,,0.0129,0.2774,-0.2645,0
