Date,Open,High,Low,Close,Ma10:Top:Line,Ma20:Top:Line,Ma50:Top:Line,Ma150:Top:Line,Ma200:Top:Line,Supertrend:Top:ColorLine,Supertrend_Dir,ParabolicSAR:Top:ColorLine,ParabolicSAR_Dir,Volume:Middle:Histogram,Vo50:Middle:Line,Macd:Bottom:Line,MacdSignal:Bottom:Line,MacdDelta:Bottom:Histogram,RsRating:Hidden:Hidden
2023-07-12,11.66,11.80,11.65,11.69,,,,,,,0,11.6502,1,77173,,,,,0
2023-07-13,11.95,11.98,11.89,11.96,,,,,,,0,11.6502,1,35402,,,,,0
2023-07-14,11.96,11.97,11.81,11.81,,,,,,,0,11.6502,1,31062,,,,,0
2023-07-17,11.89,11.93,11.86,11.89,,,,,,,0,11.6568,1,32533,,,,,0
2023-07-18,11.92,12.05,11.91,12.04,,,,,,,0,11.6632,1,34855,,,,,0
2023-07-19,12.00,12.07,11.97,12.05,,,,,,,0,11.6788,1,32674,,,,,0
2023-07-20,12.09,12.14,12.05,12.06,,,,,,,0,11.7023,1,28581,,,,,0
2023-07-21,12.14,12.16,12.07,12.09,,,,,,,0,11.7376,1,34079,,,,,0
2023-07-24,12.03,12.13,12.02,12.09,,,,,,,0,11.7799,1,25218,,,,,0
2023-07-25,12.00,12.07,11.98,12.00,11.97,,,,,12.4392,0,11.8179,1,29347,,,,,0
2023-07-26,11.84,12.00,11.82,11.97,11.99,,,,,12.3410,0,12.1603,0,34144,,,,,0
2023-07-27,11.88,11.95,11.77,11.79,11.98,,,,,12.3040,0,12.1535,0,30216,,,,,0
2023-07-28,11.93,12.00,11.89,11.94,11.99,,,,,12.3040,0,12.1383,0,28926,,,,,0
2023-07-31,12.03,12.08,11.98,11.99,12.00,,,,,12.3040,0,12.1238,0,19975,,,,,0
2023-08-01,11.98,12.03,11.89,11.94,11.99,,,,,12.3040,0,12.1097,0,30406,,,,,0
2023-08-02,11.74,11.78,11.66,11.74,11.96,,,,,12.2121,0,12.0963,0,30792,,,,,0
2023-08-03,11.78,11.95,11.78,11.93,11.95,,,,,12.2121,0,12.0700,0,42616,,,,,0
2023-08-04,12.04,12.22,12.01,12.07,11.94,,,,,12.2121,0,11.6584,1,55068,,,,,0
2023-08-07,12.23,12.24,12.17,12.20,11.96,,,,,12.2121,0,11.6696,1,25448,,,,,0
2023-08-08,11.85,12.01,11.76,12.01,11.96,11.96,,,,12.2121,0,11.6925,1,53506,,,,,0
2023-08-09,11.95,12.04,11.93,11.97,11.96,11.98,,,,12.2121,0,11.7145,1,29931,,,,,0
2023-08-10,12.20,12.34,12.14,12.19,12.00,11.99,,,,12.2121,0,11.7356,1,35352,,,,,0
