Date,Open,High,Low,Close,Ma10:Top:Line,Ma20:Top:Line,Ma50:Top:Line,Ma150:Top:Line,Ma200:Top:Line,Supertrend:Top:ColorLine,Supertrend_Dir,ParabolicSAR:Top:ColorLine,ParabolicSAR_Dir,Volume:Middle:Histogram,Vo50:Middle:Line,Macd:Bottom:Line,MacdSignal:Bottom:Line,MacdDelta:Bottom:Histogram,RsRating:Hidden:Hidden
2023-07-13,118.35,118.51,117.35,117.57,,,,,,,0,118.5144,0,92436,,,,,0
2023-07-14,117.66,117.92,117.05,117.40,,,,,,,0,118.5144,0,59171,,,,,0
2023-07-17,117.02,118.13,116.06,117.80,,,,,,,0,118.5144,0,75231,,,,,0
2023-07-18,118.53,120.04,118.01,118.82,,,,,,,0,116.0621,1,90752,,,,,0
2023-07-19,118.82,120.37,118.82,120.21,,,,,,,0,116.0621,1,91390,,,,,0
2023-07-20,119.96,121.24,119.06,120.18,,,,,,,0,116.2343,1,111908,,,,,0
2023-07-21,120.08,121.40,119.89,120.45,,,,,,,0,116.5345,1,77445,,,,,0
2023-07-24,118.99,121.00,118.99,120.68,,,,,,,0,116.9238,1,121865,,,,,0
2023-07-25,120.68,122.04,120.30,121.12,,,,,,,0,117.2820,1,98842,,,,,0
2023-07-26,121.12,122.13,120.61,121.87,119.61,,,,,126.4190,0,117.7577,1,127631,,,,,0
2023-07-27,122.62,122.96,121.38,121.75,120.03,,,,,126.4190,0,118.2818,1,100262,,,,,0
2023-07-28,122.77,123.32,121.87,122.85,120.57,,,,,126.4190,0,118.9362,1,108269,,,,,0
2023-07-31,122.85,123.62,122.19,122.91,121.08,,,,,126.4190,0,119.6380,1,135409,,,,,0
2023-08-01,121.84,122.22,120.53,121.14,121.32,,,,,126.4190,0,120.3551,1,126035,,,,,0
2023-08-02,120.24,121.15,119.69,120.14,121.31,,,,,125.4840,0,123.6219,0,80071,,,,,0
2023-08-03,119.72,121.05,119.02,120.14,121.30,,,,,125.2026,0,123.5433,0,82870,,,,,0
2023-08-04,120.80,121.16,119.27,119.49,121.21,,,,,125.2026,0,123.3622,0,82709,,,,,0
2023-08-07,120.05,121.70,119.67,120.50,121.19,,,,,125.2026,0,123.1884,0,128654,,,,,0
2023-08-08,119.62,119.71,114.07,115.20,120.60,,,,,123.6454,0,123.0215,0,241921,,,,,0
2023-08-09,115.25,115.25,113.12,113.32,119.74,119.68,,,,120.9020,0,122.4846,0,135891,,,,,0
2023-08-10,113.92,115.93,113.17,113.90,118.96,119.49,,,,120.9020,0,121.7352,0,121438,,,,,0
2023-08-11,111.82,113.18,111.61,112.93,117.97,119.27,,,,119.2715,0,121.0458,0,111788,,,,,0
2023-08-14,112.88,113.30,111.80,112.90,116.97,119.03,,,,119.1876,0,120.1023,0,81823,,,,,0
2023-08-15,112.34,112.46,111.10,111.21,115.97,118.64,,,,118.2933,0,119.2532,0,97546,,,,,0
2023-08-16,111.28,112.40,109.88,110.18,114.98,118.14,,,,117.7608,0,118.2748,0,75410,,,,,0
2023-08-17,110.83,111.14,109.98,110.00,113.96,117.63,,,,116.8624,0,117.0999,0,99837,,,,,0
