Date,Open,High,Low,Close,Ma10:Top:Line,Ma20:Top:Line,Ma50:Top:Line,Ma150:Top:Line,Ma200:Top:Line,Supertrend:Top:ColorLine,Supertrend_Dir,ParabolicSAR:Top:ColorLine,ParabolicSAR_Dir,Volume:Middle:Histogram,Vo50:Middle:Line,Macd:Bottom:Line,MacdSignal:Bottom:Line,MacdDelta:Bottom:Histogram,RsRating:Hidden:Hidden
2023-07-12,10.39,10.60,10.09,10.44,,,,,,,0,10.0900,1,9392,,,,,0
2023-07-13,10.55,10.74,10.07,10.11,,,,,,,0,10.7450,0,7298,,,,,0
2023-07-14,10.14,10.26,9.56,9.77,,,,,,,0,10.7450,0,5407,,,,,0
2023-07-17,9.77,10.27,9.55,10.12,,,,,,,0,10.7450,0,6969,,,,,0
2023-07-18,10.09,10.40,10.06,10.31,,,,,,,0,10.6733,0,5850,,,,,0
2023-07-19,10.40,10.82,10.25,10.28,,,,,,,0,9.5500,1,5563,,,,,0
2023-07-20,10.23,10.24,9.93,10.03,,,,,,,0,9.5754,1,6734,,,,,0
2023-07-21,10.20,10.74,9.87,10.63,,,,,,,0,9.6003,1,8544,,,,,0
2023-07-24,10.63,10.94,10.27,10.41,,,,,,,0,9.6247,1,7854,,,,,0
2023-07-25,10.52,11.19,10.36,11.01,10.31,,,,,12.6468,0,9.6773,1,13869,,,,,0
2023-07-26,11.15,11.52,11.04,11.26,10.39,,,,,12.6468,0,9.7681,1,11626,,,,,0
2023-07-27,11.32,11.40,10.57,10.71,10.45,,,,,12.6468,0,9.9078,1,10147,,,,,0
2023-07-28,10.92,11.23,10.72,11.16,10.59,,,,,12.6468,0,10.0364,1,7435,,,,,0
2023-07-31,11.15,11.26,10.70,10.91,10.67,,,,,12.6468,0,10.1547,1,8945,,,,,0
2023-08-01,10.80,10.85,10.48,10.49,10.69,,,,,12.4517,0,10.2635,1,7736,,,,,0
2023-08-02,10.56,11.66,10.56,11.26,10.79,,,,,12.4517,0,10.3636,1,16925,,,,,0
2023-08-03,11.15,11.15,10.61,10.73,10.86,,,,,12.4517,0,10.4750,1,8335,,,,,0
2023-08-04,10.90,11.27,10.74,11.10,10.90,,,,,12.4517,0,10.5600,1,8565,,,,,0
2023-08-07,11.16,11.22,10.58,10.80,10.94,,,,,12.4517,0,11.6570,0,6794,,,,,0
2023-08-08,10.80,11.15,10.57,11.04,10.95,10.63,,,,12.4517,0,11.6354,0,10489,,,,,0
2023-08-09,11.41,11.80,9.55,9.80,10.80,10.60,,,,12.4517,0,10.5750,1,13815,,,,,0
2023-08-10,9.88,9.96,9.32,9.68,10.70,10.58,,,,11.9843,0,11.8000,0,10897,,,,,0
2023-08-11,9.58,9.97,8.64,8.90,10.47,10.53,,,,11.8139,0,11.8000,0,9955,,,,,0
2023-08-14,8.76,9.47,8.57,9.35,10.31,10.49,,,,11.5450,0,11.6736,0,7040,,,,,0
2023-08-15,9.80,10.24,9.56,9.66,10.23,10.46,,,,11.5450,0,11.4877,0,9149,,,,,0
2023-08-16,9.56,9.68,8.73,8.74,9.98,10.38,,,,11.5450,0,11.3129,0,6714,,,,,0
2023-08-17,8.86,8.86,8.35,8.47,9.75,10.31,,,,11.0729,0,11.1486,0,5749,,,,,0
2023-08-18,8.44,8.70,8.34,8.41,9.48,10.19,,,,10.8491,0,10.9248,0,5046,,,,,0
2023-08-21,8.39,8.72,8.23,8.62,9.27,10.10,,,,10.7182,0,10.6663,0,4641,,,,,0
2023-08-22,8.62,8.73,8.34,8.38,9.00,9.97,,,,10.6709,0,10.3739,0,2845,,,,,0
2023-08-23,8.49,8.90,8.49,8.77,8.90,9.85,,,,10.6709,0,10.1167,0,6564,,,,,0
2023-08-24,8.77,8.87,8.51,8.71,8.80,9.75,,,,10.6685,0,9.8903,0,6168,,,,,0
2023-08-25,8.73,8.85,8.51,8.73,8.78,9.63,,,,10.5626,0,9.6910,0,4727,,,,,0
2023-08-28,8.78,9.06,8.76,8.86,8.73,9.52,,,,10.5626,0,9.5157,0,5241,,-0.5780,-0.6061,0.0281,0
2023-08-29,8.82,9.33,8.56,9.18,8.69,9.46,,,,10.5626,0,9.3614,0,5714,,-0.5192,-0.5887,0.0696,0
2023-08-30,9.14,9.40,9.13,9.31,8.74,9.36,,,,10.5626,0,8.2300,1,5161,,-0.4568,-0.5623,0.1056,0
2023-08-31,9.31,9.47,9.29,9.31,8.83,9.29,,,,10.5626,0,8.2535,1,4394,,-0.4027,-0.5304,0.1278,0
2023-09-01,9.38,9.79,9.38,9.73,8.96,9.22,,,,10.5626,0,8.3022,1,5630,,-0.3222,-0.4888,0.1666,0
2023-09-05,9.58,9.73,9.10,9.14,9.01,9.14,,,,10.5626,0,8.3914,1,5829,,-0.3025,-0.4515,0.1490,0
2023-09-06,9.17,9.25,8.75,8.81,9.06,9.03,,,,10.5626,0,8.4753,1,4081,,-0.3100,-0.4232,0.1132,0
2023-09-07,8.72,8.73,8.02,8.26,9.00,8.95,,,,10.0699,0,9.7900,0,5765,,-0.3562,-0.4098,0.0536,0
2023-09-08,8.30,8.32,8.06,8.17,8.95,8.88,,,,9.7934,0,9.7546,0,5297,,-0.3955,-0.4069,0.0114,0
2023-09-11,8.30,8.45,8.22,8.33,8.91,8.85,,,,9.7934,0,9.7199,0,6600,,-0.4090,-0.4074,-0.0017,0
2023-09-12,8.29,8.54,8.19,8.50,8.87,8.80,,,,9.7934,0,9.6859,0,5260,,-0.4014,-0.4062,0.0048,0
2023-09-13,8.50,8.75,8.34,8.40,8.80,8.74,,,,9.7934,0,9.6526,0,4616,,-0.3988,-0.4047,0.0059,0
2023-09-14,8.48,8.62,8.19,8.20,8.69,8.71,,,,9.7934,0,9.6199,0,3947,,-0.4082,-0.4054,-0.0028,0
2023-09-15,8.28,8.30,7.78,7.92,8.55,8.69,,,,9.4914,0,9.5879,0,15625,,-0.4333,-0.4110,-0.0223,0
2023-09-18,8.00,8.09,7.78,7.91,8.36,8.66,,,,9.3343,0,9.5156,0,4171,,-0.4488,-0.4185,-0.0302,0
2023-09-19,7.90,8.11,7.78,8.02,8.25,8.63,,,,9.3033,0,9.4462,0,4094,,-0.4470,-0.4242,-0.0228,0
2023-09-20,8.09,8.09,7.80,7.84,8.16,8.61,9.49,,,9.2545,0,9.3796,0,3878,7262,-0.4549,-0.4304,-0.0245,0
2023-09-21,7.76,7.86,7.49,7.75,8.10,8.55,9.44,,,8.9605,0,9.3156,0,5025,7174,-0.4631,-0.4369,-0.0262,0
2023-09-22,7.80,7.82,7.55,7.66,8.05,8.50,9.39,,,8.9292,0,9.2060,0,3118,7091,-0.4714,-0.4438,-0.0276,0
2023-09-25,7.60,7.66,7.34,7.64,7.98,8.45,9.35,,,8.7146,0,9.1031,0,4382,7070,-0.4741,-0.4499,-0.0242,0
2023-09-26,7.56,7.76,7.34,7.36,7.87,8.37,9.29,,,8.7146,0,8.9624,0,4626,7024,-0.4932,-0.4585,-0.0347,0
2023-09-27,7.49,7.66,7.20,7.37,7.77,8.28,9.23,,,8.6608,0,8.8330,0,4159,6990,-0.5017,-0.4672,-0.0345,0
2023-09-28,7.35,7.44,7.00,7.04,7.65,8.17,9.17,,,8.4620,0,8.6692,0,4469,6968,-0.5290,-0.4795,-0.0495,0
2023-09-29,7.16,7.28,6.87,7.00,7.56,8.05,9.11,,,8.3158,0,8.4689,0,4717,6927,-0.5475,-0.4931,-0.0544,0
2023-10-02,6.97,7.04,6.68,6.86,7.45,7.91,9.03,,,8.0847,0,8.2451,0,4930,6855,-0.5670,-0.5079,-0.0591,0
2023-10-03,6.82,6.97,6.72,6.95,7.35,7.80,8.96,,,8.0222,0,7.9947,0,5026,6799,-0.5686,-0.5200,-0.0486,0
2023-10-04,6.95,6.95,6.59,6.71,7.23,7.69,8.88,,,7.9385,0,7.7843,0,4624,6614,-0.5825,-0.5325,-0.0500,0
2023-10-05,6.69,6.92,6.52,6.85,7.14,7.62,8.79,,,7.8894,0,7.5702,0,5320,6488,-0.5756,-0.5411,-0.0345,0
2023-10-06,6.69,6.76,6.50,6.51,7.03,7.54,8.71,,,7.7875,0,7.3602,0,3567,6356,-0.5908,-0.5511,-0.0397,0
2023-10-09,6.46,6.58,6.31,6.45,6.91,7.45,8.61,,,7.5677,0,7.1882,0,3205,6271,-0.6007,-0.5610,-0.0397,0
2023-10-10,6.47,6.79,6.44,6.53,6.83,7.35,8.52,,,7.5677,0,7.0125,0,3718,6167,-0.5952,-0.5678,-0.0274,0
2023-10-11,6.50,6.50,5.79,5.88,6.68,7.22,8.43,,,7.3709,0,6.8720,0,6184,6136,-0.6360,-0.5815,-0.0546,0
2023-10-12,5.88,5.88,5.24,5.33,6.51,7.08,8.31,,,6.8555,0,6.7900,0,6694,5931,-0.7046,-0.6061,-0.0985,0
2023-10-13,5.36,5.70,5.19,5.65,6.37,6.97,8.21,,,6.7595,0,6.5000,0,6505,5895,-0.7248,-0.6299,-0.0950,0
2023-10-16,5.65,5.82,5.32,5.77,6.26,6.86,8.11,,,6.7595,0,6.2380,0,5285,5829,-0.7228,-0.6484,-0.0744,0
2023-10-17,5.72,6.01,5.64,5.78,6.15,6.75,8.00,,,6.7595,0,6.0284,0,4135,5776,-0.7122,-0.6612,-0.0510,0
2023-10-18,5.77,5.84,5.60,5.62,6.04,6.64,7.90,,,6.7595,0,6.0100,0,3389,5634,-0.7085,-0.6707,-0.0379,0
2023-10-19,5.63,5.79,5.24,5.28,5.88,6.51,7.81,,,6.7595,0,6.0100,0,4301,5444,-0.7247,-0.6815,-0.0432,0
2023-10-20,5.29,5.40,4.94,5.31,5.76,6.39,7.72,,,6.4733,0,5.8460,0,5221,5330,-0.7267,-0.6905,-0.0362,0
2023-10-23,5.21,5.48,5.18,5.21,5.64,6.27,7.64,,,6.4733,0,5.7900,0,4783,5227,-0.7280,-0.6980,-0.0300,0
2023-10-24,5.38,5.51,5.25,5.41,5.52,6.18,7.57,,,6.4733,0,5.6200,0,5805,5202,-0.7047,-0.6994,-0.0054,0
2023-10-25,5.29,5.31,4.90,4.90,5.43,6.05,7.47,,,6.3640,0,5.5150,0,6058,5140,-0.7192,-0.7033,-0.0159,0
2023-10-26,4.92,5.10,4.86,5.04,5.40,5.95,7.40,,,6.1841,0,5.5150,0,4514,5096,-0.7111,-0.7049,-0.0062,0
2023-10-27,5.06,5.06,4.80,5.00,5.33,5.85,7.33,,,6.0940,0,5.3830,0,5196,5085,-0.6999,-0.7039,0.0040,0
2023-10-30,5.02,5.18,4.92,5.15,5.27,5.77,7.26,,,6.0940,0,5.2664,0,4677,5078,-0.6712,-0.6973,0.0262,0
2023-10-31,5.15,5.43,4.97,5.41,5.23,5.69,7.20,,,6.0940,0,4.8000,1,6913,5123,-0.6203,-0.6819,0.0617,0
2023-11-01,5.53,5.53,5.20,5.41,5.21,5.62,7.14,,,6.0940,0,4.8126,1,4843,5163,-0.5733,-0.6602,0.0869,0
2023-11-02,6.24,6.59,5.89,5.95,5.28,5.58,7.08,,,6.0940,0,4.8413,1,10160,5235,-0.4869,-0.6255,0.1386,0
2023-11-03,6.07,6.69,6.07,6.31,5.38,5.57,7.03,,,4.9201,1,4.9462,1,15689,5425,-0.3850,-0.5774,0.1925,0
2023-11-06,6.45,6.74,6.36,6.48,5.51,5.57,6.99,,,5.1071,1,5.0857,1,10187,5535,-0.2871,-0.5194,0.2322,0
2023-11-07,6.50,6.78,6.30,6.63,5.63,5.58,6.94,,,5.1071,1,5.2511,1,9587,5621,-0.1953,-0.4545,0.2593,0
2023-11-08,6.62,6.62,6.11,6.33,5.77,5.60,6.89,,,5.1071,1,5.4352,1,7969,5667,-0.1450,-0.3926,0.2477,0
2023-11-09,8.00,8.00,7.12,7.21,5.99,5.69,6.85,,,5.7502,1,5.5972,1,24093,6045,-0.0337,-0.3208,0.2871,0
2023-11-10,7.33,7.51,6.91,7.41,6.23,5.78,6.81,,,5.7502,1,5.9336,1,8273,6123,0.0698,-0.2427,0.3125,0
